Method,Density,Voronoi,Moran,Local Balance
"K-Means (1, 1)",-0.2967440281777465,0.11688457071632699,-0.07692783996500951,0.2412968372829908
"K-Means (1, 1)",-0.0685087778037381,0.18077687345663235,-0.185506696980264,0.4066340999316069
"K-Means (1, 1)",-0.12168378567210635,0.034580256728446813,-0.15453824009289602,0.4462955747665138
"K-Means (1, 1)",-0.17018018899743004,0.3547916678066567,-0.034128500428972926,0.3915495707375224
"K-Means (1, 1)",-0.12168378567210635,0.034580256728446813,-0.15453824009289602,0.4462955747665138
"K-Means (1, 1)",-0.29401970112992326,0.15004731133173946,-0.1302204435064776,0.5438965422528382
"K-Means (1, 1)",-0.15273837466680817,0.14576642302431053,-0.17386047791151454,0.4696006965907528
"K-Means (1, 1)",-0.12967312255463953,0.2259926731339571,-0.1491530493474929,0.30197787439955587
"K-Means (1, 1)",-0.31027533695421783,0.2694533382124248,-0.060446041868325286,0.6675904940342052
"K-Means (1, 1)",-0.2137127712345542,0.050033284379173766,-0.21619845865962267,0.23645277884855395
"K-Means (1, 1)",-0.37675344634135716,0.1213821039176892,-0.07716954080299901,0.34407263396408294
"K-Means (1, 1)",-0.33529029642129937,0.09766093411808402,-0.05088597076132698,0.4971563099929753
"K-Means (1, 1)",-0.2996446700718197,0.017617639468426205,-0.20266796918513372,0.3761199434021396
"K-Means (1, 1)",-0.11722078051674555,0.21859688313906245,-0.08406050910621346,0.5121041418245319
"K-Means (1, 1)",-0.19332343484495226,0.18680294729365385,-0.12661725611669622,0.34676875633174153
"K-Means (1, 1)",-0.4790475259165116,0.005535536150975966,-0.04968245154937007,0.45562585665567795
"K-Means (1, 1)",-0.2930182653695227,0.06822976550716774,-0.02232358112995203,0.39969369958561135
"K-Means (1, 1)",-0.05772665027291711,0.2108751236614867,-0.16964682791869548,0.7626512020445925
"K-Means (1, 1)",-0.2880176388583404,0.28922471668053074,-0.042951460877279184,0.44290889073670137
"K-Means (1, 1)",-0.20762482826728018,0.04177393111362759,-0.08402769244640716,0.3227852010964108
"K-Means (1, 1)",-0.21860865644821745,0.0114016559932536,-0.19042550132951594,0.3886661235952922
"K-Means (1, 1)",-0.45951241578138424,0.26175243425823264,-0.005235400680632718,0.6104177313634687
"K-Means (1, 1)",-0.24915841314367126,0.26076199573276954,-0.13595845978934035,0.330679995478497
"K-Means (1, 1)",-0.13637155278522428,0.19965144082486114,-0.1400291294031293,0.7693919470728483
"K-Means (1, 1)",-0.15891191990650352,0.08793230792326126,-0.22651763997780597,0.27306845416788283
"K-Means (1, 1)",-0.5306298464626175,0.23123914608816978,-0.030361492215359213,0.6215412258887109
"K-Means (1, 1)",-0.15594025346597848,0.1502794114796758,-0.12273820337192305,0.4948527450890766
"K-Means (1, 1)",-0.5594731074404402,0.05559570048069141,-0.07239922405004304,0.5101276037407277
"K-Means (1, 1)",-0.2359106456251206,0.08133760824198163,-0.1909112108849738,0.46135441253623444
"K-Means (1, 1)",-0.3165275021729457,0.06757954338068145,-0.08686171636584407,0.3928502355510929
"K-Means (1, 1)",-0.450369352307216,0.10789474407986226,-0.016625693861242997,0.5606849959487613
"K-Means (1, 1)",-0.24445455557618728,0.16022086337053862,-0.14063602600931777,0.39970041443734616
"K-Means (1, 1)",-0.20021947769031376,0.04149617319215103,-0.21816766390432038,0.45433082486865184
"K-Means (1, 1)",-0.5091013006785252,0.07826952832408902,0.020798102489212357,0.5419847934111601
"K-Means (1, 1)",-0.3597298284978318,0.12565613143422605,0.002422260562310123,0.5189250332080839
"K-Means (1, 1)",-0.12418442577464106,0.2950702107245383,-0.006946965709356659,0.4147059157440844
"K-Means (1, 1)",-0.25060939457910325,0.2529435158594585,-0.05065385171000343,0.49966753695739613
"K-Means (1, 1)",-0.31027533695421783,0.13310893928108417,-0.06576077020123752,0.5048508858123711
