Method,Density,Moran,Local Balance
Local Pivotal,-0.047949096694490836,-0.2449673060379253,0.2955456365091304
Local Pivotal,0.16405198411883581,-0.31344171775952717,0.34088916896670013
Local Pivotal,0.4064026151181067,-0.21894708233575796,0.6046361776382071
Local Pivotal,-0.09616071039547124,-0.3152986839482346,0.2400733658199915
Local Pivotal,0.12381876548928623,-0.3027448068066164,0.3424665864695693
Local Pivotal,0.08760019539330702,-0.16761975208664678,0.2998863950483636
Local Pivotal,0.2755252567772733,-0.1627686729398955,0.3032302862839767
Local Pivotal,0.04719021404534035,-0.274732169342566,0.3208396865592971
Local Pivotal,-0.1434246427164809,-0.13442655023721203,0.45511797987754005
Local Pivotal,0.1706872855766418,-0.2737356043326239,0.45491833091115214
Local Pivotal,0.04711545716536725,-0.3064913258910154,0.31229531329039134
Local Pivotal,0.09821352453016521,-0.11658488069505624,0.3784426381349705
Local Pivotal,0.16481373467532562,-0.12600407919863854,0.3799514103210559
Local Pivotal,0.08594015580069916,-0.29585743559385114,0.40428910516255784
Local Pivotal,-0.019031791718878418,-0.1296579285874322,0.2775998254193899
Local Pivotal,0.14659002303831825,-0.26339416174382846,0.27781053766754665
Local Pivotal,-0.05670312976055506,-0.24119758553859794,0.3700064509254932
Local Pivotal,0.08746097406918035,-0.24998491238468906,0.31868505659167556
Local Pivotal,0.3855478218779198,-0.24286599071897083,0.6532416580089099
Local Pivotal,0.3312080728921935,-0.1323222142082829,0.47700392013331455
Local Pivotal,-0.09973614746799808,-0.1946191113154043,0.2578265360580543
Local Pivotal,-0.056559006966139844,-0.23765967744539895,0.3328651480717658
Local Pivotal,-0.07167421529314684,-0.2404047816811764,0.3165377156904342
Local Pivotal,0.46387291493120253,-0.2671959005480131,0.6888899939042724
Local Pivotal,0.1824151560814566,-0.11682003072149207,0.2968627528823806
Local Pivotal,0.09290141491253791,-0.16151408525035216,0.2798067887541128
Local Pivotal,-0.017344043894803166,-0.27465802132501177,0.38384170160742276
Local Pivotal,0.08151378198694505,-0.07957107457503709,0.27885790348090567
Local Pivotal,0.07624156068074078,-0.2997762327201861,0.2756385690198066
Local Pivotal,0.3506861434214218,-0.20803346405846923,0.2968625113162894
Local Pivotal,-0.13633149302554054,-0.24337065330367286,0.3412243651050963
Local Pivotal,-0.03309517285463139,-0.17632185963160105,0.246920930880308
Local Pivotal,0.10281124484884746,-0.09913449495415082,0.485158729532632
Local Pivotal,-0.06284867882604167,-0.1812882971851883,0.3008150856742835
Local Pivotal,0.13750931468125333,-0.03148843318151238,0.3369568700150745
Local Pivotal,-0.0799001998585253,-0.18507358691107104,0.36876620764168755
Local Pivotal,0.28208442929826766,-0.15092445623980047,0.6561900389306613
Local Pivotal,-0.2968598999669788,-0.2884036211713885,0.2921677222355634
Local Pivotal,-0.16542603029598962,-0.24816899198329123,0.24878509345886798
Local Pivotal,-0.10820078360410149,-0.1925715525765407,0.2942055729205263
Local Pivotal,0.2363418298266067,-0.2434142951854348,0.288533383195684
Local Pivotal,-0.06249375199512737,-0.22688105551126564,0.27742427449676904
Local Pivotal,-0.037244302834029186,-0.1951643263574361,0.2756647395710195
Local Pivotal,0.09368188044988418,-0.2902603693841489,0.21022795681469308
Local Pivotal,-0.04273478519798659,-0.1875544764887898,0.34906575933185285
Local Pivotal,-0.10203325385061043,-0.25601011679866964,0.3378445318053086
Local Pivotal,-0.1337534327302246,-0.25059192661253915,0.32876959207883094
Local Pivotal,-0.025347425026438008,-0.21185254289759245,0.2035228199853264
Local Pivotal,-0.1244388555934769,-0.20685461282929443,0.3969142754230309
Local Pivotal,0.10576457501003406,-0.15246745577616339,0.33385875182424296
Local Pivotal,0.06742285805695548,-0.2847001162823393,0.234287395315227
Local Pivotal,0.0922116905797575,-0.21790163399704743,0.23869823137778745
Local Pivotal,-0.15523155727425525,-0.22235731937276196,0.2291771307981323
Local Pivotal,0.21398370425795307,-0.12484716722372215,0.3013142981761938
Local Pivotal,0.11864479560751277,-0.1973294146638223,0.5005932980902406
Local Pivotal,0.155855578917475,-0.2569404092859242,0.32157721954276575
Local Pivotal,0.23563880803942844,-0.17100358221032097,0.3354214096532104
Local Pivotal,0.1969884728094548,-0.2730792332129018,0.3730472325271075
Local Pivotal,0.02489495285719731,-0.39494674062986046,0.40153305490064406
Local Pivotal,0.30284400674340717,-0.15844156086395103,0.3002773063964496
Local Pivotal,0.04628403236046917,-0.13687543050453008,0.3433147625665711
Local Pivotal,-0.14818283999147022,-0.10871930521369408,0.27780444640486945
Local Pivotal,-0.056954326122806855,-0.14995767679446428,0.41404281288002737
Local Pivotal,0.24492306534935665,-0.171605236224611,0.37756358795146194
Local Pivotal,0.15672029795236797,-0.22819496284126772,0.26044796829135763
Local Pivotal,0.07220047605873403,-0.15607254638535484,0.38399936932001505
Local Pivotal,0.3270357135742688,-0.22705210028015665,0.32103281539381645
Local Pivotal,0.04198788536671335,-0.03381171839347133,0.35702080147003684
Local Pivotal,0.12642780750923213,-0.1315751292053491,0.3153655263195179
Local Pivotal,0.15663451012377758,-0.17003523905637521,0.272625827738349
Local Pivotal,0.27546555095547665,-0.11978594556594024,0.2851195069099651
Local Pivotal,0.11022577035814733,-0.26905599609570374,0.28138759707555017
Local Pivotal,0.1502757920215272,-0.07277933090712606,0.41763629213632814
Local Pivotal,-0.074398299026735,-0.13672247005176247,0.17075179895525797
Local Pivotal,0.16998185958449497,-0.15059866913856898,0.22352665825213827
Local Pivotal,-0.09305427635565242,-0.21050702939467486,0.2639103552455126
Local Pivotal,0.21593520584649795,-0.20568491358560778,0.34111203424023767
Local Pivotal,0.06896878256511361,-0.14882822854618996,0.287335887481917
Local Pivotal,-0.18332230969847407,-0.03568835166806627,0.31854294022152857
Local Pivotal,0.06419593346343165,-0.2056672951968306,0.27641073675908767
Local Pivotal,0.20717810129917283,-0.27443808743882864,0.3088416332997805
Local Pivotal,0.1333771132829236,-0.2327288975450763,0.3467497031347518
Local Pivotal,0.06527470402451828,-0.19777335560003834,0.3468565547656765
Local Pivotal,-0.09689835043500153,-0.18247732034173597,0.42880671038298046
Local Pivotal,0.1401871998729076,-0.30115883538617116,0.3895674860652504
Local Pivotal,0.10797749470363802,-0.22017547249430036,0.2132226513765169
Local Pivotal,-0.03873898626440258,-0.15664441403808818,0.2922067910859414
Local Pivotal,0.06255647603073368,-0.2969090848801311,0.368363902499399
Local Pivotal,0.08250411196122419,-0.05805183142285827,0.31680125001669374
Local Pivotal,0.09659275338014746,-0.08223820408888605,0.24633684021031915
Local Pivotal,-0.06687866696570803,-0.31531416254645567,0.3824919022549125
Local Pivotal,0.11918781289266067,-0.2648780131565805,0.2840451762936222
Local Pivotal,0.4094799784158804,-0.123276175215218,0.6192256067255574
Local Pivotal,-0.04916387682209837,-0.1137355760826038,0.2897457129559596
Local Pivotal,-0.15840082692629068,-0.26821101145665327,0.28415734711982954
Local Pivotal,0.15254951280255555,-0.22786399267016713,0.3705909643879796
Local Pivotal,0.18140956054500268,-0.3186506631466065,0.3689781274897119
Local Pivotal,-0.024311659335423945,-0.34135558815438505,0.29190102652888256
Local Pivotal,0.02813099110936721,-0.19561355727909976,0.27735459368913
Local Pivotal,0.049778479537905256,0.011957859401866798,0.2626363539314109
Local Pivotal,0.11042504675611081,-0.13652660083154938,0.29352627916576973
Local Pivotal,-0.052198915038457354,-0.31544866256639625,0.29083376925738397
Local Pivotal,0.09162919860582477,-0.30187258789758964,0.30841010416069975
Local Pivotal,-0.06424126163143488,-0.25057463002067004,0.31431428705612574
Local Pivotal,-0.06365535436329128,-0.2495028565310384,0.3902529315645419
Local Pivotal,-0.082811009027775,-0.23613615871769505,0.21545693150470407
Local Pivotal,0.06535459452677869,-0.13621008193388884,0.329487578257179
Local Pivotal,-0.02643285306011236,-0.15331606872754183,0.27958972443860697
Local Pivotal,0.22227342708373432,-0.3458561214399582,0.22265783639315642
