"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
9,17,19,21,25,26,31,33,57,58,62,75,78,83,90,98
8,9,20,23,24,25,40,47,51,56,62,66,67,73,79,97
2,3,10,18,21,28,29,42,56,60,69,75,78,82,88,94
1,2,4,5,6,19,31,38,40,42,53,57,68,88,93,97
7,22,35,36,38,39,44,74,77,78,79,80,85,88,94,97
1,2,7,8,17,34,45,49,51,58,68,79,82,86,90,98
2,12,23,31,32,33,52,55,57,58,76,77,79,84,85,90
1,4,5,11,12,19,23,42,47,49,61,63,68,76,96,99
6,8,13,17,32,34,44,48,54,59,66,76,78,80,86,96
1,5,10,12,22,27,29,30,61,67,69,89,91,97,98,100
5,9,30,35,42,43,45,51,61,71,73,76,77,84,90,92
14,15,24,36,37,47,48,50,51,58,65,69,75,78,91,99
2,10,22,23,31,33,40,41,47,48,53,67,70,72,89,98
1,13,15,16,23,29,31,33,40,44,47,52,53,55,73,91
1,12,31,32,34,41,43,46,49,53,60,71,79,80,92,94
4,5,8,25,28,37,47,50,52,54,57,62,67,70,75,94
12,13,18,33,35,45,47,53,55,75,77,83,85,87,90,93
3,19,22,28,36,37,41,42,49,51,55,81,87,88,89,98
6,10,12,18,21,25,29,31,37,39,56,61,62,64,88,89
5,8,19,22,38,42,43,46,47,51,55,58,59,90,93,98
3,4,5,19,25,26,39,42,56,61,67,69,80,92,93,95
3,6,16,19,20,24,25,31,41,42,51,56,68,73,74,89
4,7,9,14,25,28,36,38,39,45,51,60,63,67,83,86
8,11,17,28,32,46,58,59,60,61,68,71,75,86,98,100
2,6,9,14,24,25,26,30,36,58,62,69,70,75,76,82
4,9,19,25,26,32,36,40,48,56,64,75,87,91,98,100
1,6,10,16,27,29,31,32,39,41,43,45,56,72,87,88
1,3,22,26,35,48,49,50,51,53,56,64,67,89,93,96
17,19,26,29,33,46,52,59,65,66,68,73,84,94,99,100
8,12,16,21,22,25,28,35,56,61,66,69,78,85,95,97
2,14,22,30,46,51,55,58,70,72,73,75,80,84,85,94
3,12,14,18,29,36,43,53,72,74,79,88,92,93,96,98
1,11,21,26,28,38,39,42,58,69,72,74,75,78,80,91
5,14,24,30,48,49,50,53,57,64,66,69,75,76,77,100
2,4,9,23,30,45,48,52,68,73,74,78,85,90,92,100
3,5,9,14,29,36,41,47,48,50,54,55,57,68,75,78
4,5,11,13,21,22,25,28,30,53,72,76,82,87,95,99
5,8,14,22,26,27,29,30,40,45,52,72,75,77,91,98
12,17,19,27,32,36,39,49,52,53,55,75,78,79,90,99
22,24,28,29,31,32,35,36,46,48,52,57,59,68,81,97
1,8,14,17,29,43,45,46,50,52,64,83,84,92,93,94
8,10,13,17,21,22,24,36,40,68,85,87,91,92,94,97
4,6,7,8,12,18,20,24,26,34,56,57,62,67,74,84
11,15,19,23,29,39,46,58,70,75,78,81,82,93,98,99
7,9,14,16,21,27,33,41,46,52,59,72,73,81,86,93
3,12,31,34,37,40,43,45,48,66,74,78,83,86,87,94
7,26,32,34,49,54,56,74,76,79,86,87,90,91,93,97
11,22,23,25,26,30,45,63,74,75,78,79,88,95,97,100
13,16,20,21,29,30,31,34,39,42,44,48,76,80,87,91
4,29,31,36,41,42,45,51,57,66,72,82,91,95,97,100
7,13,17,18,22,38,40,53,58,59,62,70,77,93,96,97
1,2,15,19,27,30,43,49,60,62,63,64,72,83,95,98
1,16,21,35,41,48,52,59,61,62,64,70,78,86,89,99
6,11,14,15,18,46,53,59,62,73,74,75,86,91,92,96
1,16,17,18,29,30,50,57,58,66,67,72,79,81,82,84
4,7,18,24,27,36,45,60,63,64,70,80,86,88,92,93
11,19,27,29,33,34,36,37,51,52,56,68,73,74,83,95
13,19,32,33,41,42,45,53,55,59,73,83,92,93,94,96
3,5,23,28,33,34,55,60,66,67,81,85,86,91,92,96
1,5,9,13,22,23,27,29,41,51,56,58,59,63,69,74
11,15,19,23,29,30,38,44,47,54,67,72,79,82,94,97
1,4,6,20,26,31,32,46,52,62,65,73,76,88,89,99
5,8,11,26,27,28,38,44,47,51,52,59,64,70,75,78
1,7,11,25,26,30,31,49,57,65,68,77,78,80,89,100
3,6,12,18,19,38,55,57,64,65,71,77,78,87,93,98
3,7,13,16,33,35,37,46,48,50,59,63,66,81,88,96
3,4,6,7,9,13,43,45,52,58,63,65,85,86,87,90
18,23,28,29,32,39,41,46,50,57,58,62,85,87,90,92
7,10,17,20,27,28,41,42,45,52,56,64,68,76,77,78
6,8,12,28,39,48,52,57,66,68,76,78,79,81,85,93
4,9,17,21,28,31,41,45,46,54,57,61,74,75,80,92
18,20,25,50,59,61,69,70,74,82,83,84,86,90,92,96
4,8,20,25,27,33,38,55,67,71,80,83,95,96,97,100
6,7,15,26,38,43,44,56,64,67,70,78,82,86,88,92
2,5,7,11,24,40,46,47,70,73,78,87,89,91,92,93
13,14,18,23,33,43,47,50,63,70,84,90,92,93,94,96
3,7,15,18,27,29,34,46,49,55,56,57,61,73,75,94
5,12,29,35,42,43,44,62,63,74,79,84,89,91,93,97
1,9,10,13,22,26,32,49,50,57,59,86,87,89,91,95
8,14,16,24,25,28,31,35,40,42,45,52,57,78,80,97
2,5,13,14,21,32,42,61,64,67,69,70,84,86,90,99
10,14,22,25,31,43,48,62,66,69,70,72,81,88,89,99
8,17,22,28,31,41,44,52,53,59,60,64,70,74,77,87
7,21,23,26,28,29,30,32,44,45,50,55,57,66,78,96
2,3,12,19,20,26,30,36,42,51,65,77,89,91,98,100
1,18,24,27,33,48,52,56,65,70,72,73,75,88,97,99
3,22,23,32,39,44,47,50,69,70,72,73,76,77,87,98
13,18,30,39,42,43,50,51,52,62,70,76,78,80,85,98
2,7,12,23,28,31,42,43,57,61,69,72,74,77,88,93
1,16,32,35,38,44,45,50,51,56,57,67,74,86,88,100
2,6,13,20,25,30,32,40,55,58,60,62,75,84,85,87
5,15,19,26,41,44,46,47,61,71,76,77,79,86,87,97
8,11,12,20,21,25,31,36,38,45,50,57,64,71,91,98
12,13,19,26,49,55,58,60,61,64,69,71,74,77,92,99
2,5,11,12,25,31,49,52,64,70,75,76,77,78,86,87
4,6,17,24,30,31,35,50,58,60,62,66,70,82,95,100
6,12,16,21,22,30,31,33,42,57,69,82,83,90,96,97
9,11,27,28,38,40,43,48,49,51,56,61,62,71,74,92
17,21,29,34,42,43,48,50,56,58,60,70,76,77,87,95
1,4,7,16,20,21,24,28,36,46,60,66,80,89,98,100
18,24,30,35,36,55,56,57,59,61,64,70,79,95,98,99
4,22,26,28,31,32,33,39,60,64,65,74,79,84,88,99
8,13,23,29,32,34,48,53,63,66,68,71,85,88,94,95
13,15,16,17,18,24,40,43,49,62,64,86,90,95,98,99
2,11,25,27,32,35,36,38,48,50,71,80,88,92,93,97
13,17,20,42,58,59,60,64,65,72,76,83,89,92,94,99
1,5,6,10,11,13,14,15,17,20,51,53,71,87,94,96
2,3,4,6,14,20,23,27,34,45,58,71,88,92,97,98
11,17,18,22,29,41,45,46,56,57,62,68,78,82,84,90
