"V1","V2","V3","V4"
51,54,62,84
4,38,78,86
38,46,58,87
23,40,58,75
22,35,60,83
7,18,44,96
18,47,94,99
8,21,23,34
20,34,37,87
15,36,68,78
4,11,71,82
30,59,81,97
6,51,60,80
11,22,40,63
30,32,73,80
31,38,59,95
10,12,47,50
15,25,59,82
11,48,55,70
61,70,98,100
2,16,30,51
1,12,18,67
2,45,59,69
10,36,51,65
9,20,47,53
17,20,67,93
22,27,59,85
27,30,66,67
13,36,81,90
6,9,11,33
12,24,63,100
25,41,54,97
2,16,29,79
9,47,78,82
5,41,69,97
28,50,76,85
2,42,66,96
39,57,60,77
10,23,53,74
4,61,68,95
63,67,71,87
64,73,75,88
14,17,46,52
51,72,83,93
6,72,76,84
3,52,58,90
12,60,61,71
12,42,64,69
38,48,66,87
25,36,51,81
2,73,89,97
24,35,61,65
5,24,56,83
1,2,4,17
1,23,87,100
17,36,77,81
66,69,81,88
1,6,59,85
59,60,74,76
38,53,71,90
33,51,52,86
24,46,59,62
8,68,69,71
19,39,68,69
9,23,47,97
1,20,32,58
46,65,86,96
16,63,64,80
3,19,20,37
36,45,61,96
32,40,77,88
15,17,44,87
38,42,72,74
24,67,89,90
18,47,62,74
30,50,75,99
55,74,95,98
6,25,62,99
2,8,85,97
16,23,69,97
20,29,74,89
6,71,74,97
15,41,74,88
4,37,68,77
57,65,79,96
20,36,48,57
19,43,51,72
26,51,68,95
4,8,64,83
26,45,61,73
17,28,29,36
1,31,33,48
13,14,72,98
5,14,27,31
16,25,63,65
3,89,93,96
16,29,51,64
53,56,71,98
16,20,24,49
33,39,44,55
21,35,62,91
6,12,26,59
67,76,93,94
42,73,78,82
1,10,46,87
7,66,76,85
30,38,53,87
1,32,67,98
16,29,34,38
60,73,83,99
18,20,90,92
1,15,59,69
4,23,24,90
3,50,83,97
57,59,68,94
7,8,28,85
3,20,50,89
2,27,28,87
51,72,82,94
42,43,51,66
11,20,21,42
24,73,87,93
5,31,67,83
1,10,18,99
5,26,51,86
9,57,61,90
4,35,36,97
46,68,73,89
12,35,71,88
1,40,57,97
48,58,61,97
18,38,80,92
15,70,75,79
7,32,71,73
15,31,38,87
14,62,92,93
44,47,55,64
19,23,39,90
27,39,69,89
2,25,28,55
34,39,76,87
45,64,68,74
26,31,76,95
44,53,62,97
52,56,66,92
7,67,70,77
12,17,79,87
3,5,20,39
7,64,73,78
24,37,46,96
29,32,59,93
12,17,20,65
7,10,42,48
23,42,81,83
15,38,43,57
9,73,89,98
8,47,80,84
37,49,88,95
7,12,37,57
6,9,11,53
20,40,55,80
9,44,87,98
7,17,21,73
37,58,62,94
34,49,58,94
4,6,12,53
12,28,61,79
24,55,63,67
3,20,71,86
16,40,71,78
18,34,63,66
3,5,52,77
14,45,51,78
37,61,64,95
21,52,83,86
41,55,62,92
4,35,56,89
47,74,90,97
2,13,65,68
48,58,81,83
19,49,69,82
1,31,32,48
27,43,74,83
15,31,67,96
2,25,67,99
10,11,48,73
2,45,66,76
5,38,42,90
46,60,63,81
3,57,84,90
32,37,91,100
21,46,54,63
18,34,85,98
4,19,77,80
40,60,76,85
5,9,11,14
35,45,50,82
11,27,63,98
4,14,37,63
41,50,80,94
22,27,72,76
12,63,74,91
7,11,50,62
2,56,64,72
3,13,64,84
23,36,94,96
3,34,37,83
34,65,80,94
31,55,79,85
4,5,32,42
16,20,38,63
10,26,59,93
6,12,15,46
48,62,76,91
1,12,74,91
