"V1","V2","V3","V4","V5","V6","V7","V8"
6,53,56,62,76,86,98,99
16,21,28,31,41,64,80,99
17,46,48,49,55,67,81,91
32,36,55,58,76,84,85,95
21,36,39,45,61,66,68,93
6,10,12,22,45,55,59,67
28,29,37,43,61,65,72,94
2,7,30,33,41,42,60,99
2,24,34,56,62,66,99,100
26,50,60,66,73,76,91,93
2,21,32,74,86,90,95,96
10,27,32,39,46,56,97,98
11,14,15,38,71,75,76,93
3,16,24,27,36,42,64,68
28,50,60,62,67,76,86,98
7,28,36,43,49,71,94,96
5,54,56,60,61,63,73,80
11,20,38,41,43,70,76,81
9,18,38,49,63,67,82,100
5,8,26,34,43,45,91,99
4,9,21,64,78,81,84,95
1,13,28,52,54,57,65,100
23,28,47,56,61,64,67,92
1,3,12,31,32,59,96,100
10,11,14,26,70,72,73,74
3,22,32,35,58,59,73,85
3,6,29,42,52,55,82,86
13,50,54,58,69,88,89,99
3,4,19,55,70,81,82,97
4,19,36,47,55,75,76,85
25,39,46,47,53,54,67,72
10,38,50,54,75,78,88,93
14,22,23,36,42,43,68,89
1,21,30,40,51,69,71,86
1,7,14,49,52,73,74,82
38,39,40,46,58,59,71,97
21,46,54,81,85,92,95,98
16,20,22,52,71,73,75,94
4,5,23,41,56,73,84,94
2,30,32,42,51,53,72,78
24,26,35,61,63,70,76,80
7,25,26,68,89,90,93,97
28,39,48,56,58,59,80,96
3,5,20,31,32,38,90,98
21,40,48,49,53,77,80,97
20,21,27,29,47,71,74,78
17,34,35,47,72,79,92,98
33,37,54,59,77,78,87,99
22,33,47,55,63,82,83,89
2,19,22,30,33,36,60,95
12,18,23,38,43,70,80,97
10,17,26,27,31,41,59,89
9,20,26,35,42,70,81,89
19,20,23,38,57,71,79,100
27,42,43,46,70,72,78,100
7,13,25,45,46,73,82,87
4,12,23,29,39,42,55,64
24,36,38,44,48,64,77,96
3,8,19,43,60,70,75,87
3,11,33,40,41,45,75,82
4,13,14,57,64,76,77,88
20,29,46,80,87,92,93,97
13,15,30,38,50,66,69,80
4,20,23,31,32,34,55,65
20,24,26,46,70,85,89,97
1,3,10,37,73,83,93,95
4,11,31,41,45,50,86,89
34,61,68,69,79,93,96,97
3,5,16,19,24,39,60,71
5,17,20,24,31,67,83,88
1,2,13,16,17,29,61,79
16,34,41,65,68,71,81,96
12,15,23,36,70,72,94,99
1,40,57,60,70,72,87,94
4,10,35,46,62,63,67,85
8,12,23,33,35,50,85,99
28,33,55,64,73,75,86,89
1,16,21,26,38,64,68,83
5,15,44,54,59,64,69,81
8,20,33,35,49,68,81,97
7,38,40,41,47,55,75,100
28,29,54,56,57,75,90,91
9,16,27,29,31,84,88,89
1,5,26,49,56,64,67,80
2,3,9,14,21,67,73,100
2,13,15,37,40,49,56,88
18,22,54,59,61,64,68,85
1,19,38,53,71,76,77,82
3,16,40,52,59,71,80,84
4,22,36,43,57,76,96,97
21,26,32,52,65,85,87,90
22,42,49,84,86,87,90,96
11,19,28,34,42,57,68,78
17,18,32,46,53,67,80,92
2,20,28,36,76,89,94,97
1,6,11,25,42,59,84,86
28,30,32,38,48,61,69,83
6,32,52,72,73,76,97,99
14,17,36,38,52,72,84,98
2,10,16,43,53,65,70,84
3,12,17,64,70,84,99,100
1,30,43,53,54,75,85,98
4,9,11,35,37,43,45,50
14,28,30,62,64,90,93,100
13,36,39,52,60,67,84,93
6,30,36,65,72,79,80,92
13,37,39,44,66,92,93,97
26,43,49,53,65,73,87,100
28,40,41,68,84,87,89,98
15,16,17,25,37,44,52,55
3,21,60,65,69,80,89,99
3,6,14,20,32,48,91,96
16,28,33,49,70,71,77,82
19,26,35,48,51,61,67,73
9,17,21,31,69,75,83,97
3,5,8,36,37,68,77,96
5,19,21,32,49,52,57,70
5,34,42,57,64,75,89,95
8,24,43,48,55,65,69,71
38,55,60,65,72,73,80,95
23,32,37,60,88,91,94,98
5,12,41,50,52,58,76,82
15,30,31,41,56,84,87,92
26,34,46,60,64,91,92,97
41,48,53,62,70,83,88,99
11,14,22,30,35,48,86,88
13,25,33,40,65,76,78,81
22,24,27,36,44,52,66,89
6,9,35,39,54,56,61,63
2,10,40,44,56,69,79,91
17,22,36,38,55,72,91,99
6,28,56,64,76,82,87,92
29,32,53,54,65,84,97,98
1,5,30,47,60,61,70,99
18,25,32,42,53,57,75,83
18,25,41,57,70,82,90,97
4,18,38,73,76,77,83,98
8,13,36,42,58,74,91,95
7,17,18,43,46,69,83,87
4,23,24,35,36,77,81,98
1,6,23,31,32,35,53,98
28,34,54,58,59,66,82,99
17,36,37,51,70,81,84,89
10,17,43,44,57,72,92,93
47,53,55,65,67,73,88,92
3,22,29,38,41,45,63,72
38,55,56,57,62,71,80,89
4,35,44,47,58,63,82,90
3,10,43,44,55,58,60,68
20,30,37,44,50,67,70,83
20,29,46,60,70,72,80,84
2,43,53,55,63,97,98,100
19,38,40,50,70,73,78,84
16,18,29,54,63,73,86,98
30,32,36,48,51,77,82,86
39,43,45,47,49,54,94,99
40,43,52,63,64,72,83,88
3,14,45,47,59,63,71,78
19,22,34,46,61,79,86,93
45,55,58,60,63,68,71,78
2,21,24,35,38,48,71,76
3,10,20,31,74,88,90,100
4,18,21,29,40,43,73,81
4,28,43,51,63,71,75,83
1,27,50,63,82,84,97,99
9,17,18,32,40,41,94,96
13,15,29,66,79,87,94,96
2,3,37,43,48,56,61,71
5,47,57,68,85,87,97,98
25,29,48,55,61,79,82,91
5,44,45,66,74,84,91,93
2,15,17,20,53,57,86,88
3,9,14,33,54,71,81,99
39,41,50,58,64,66,82,83
22,31,32,51,58,60,68,70
7,16,18,19,29,53,64,83
22,42,47,49,53,72,77,97
10,11,21,29,44,90,99,100
24,28,54,66,71,88,92,97
5,12,14,34,40,54,68,92
42,51,52,57,65,67,68,96
5,27,40,56,65,68,87,90
29,42,51,64,69,76,88,100
1,6,34,41,58,67,78,96
3,13,27,74,81,85,93,99
18,37,38,46,68,72,79,97
63,65,83,87,89,93,96,100
1,5,16,57,60,69,75,96
4,11,23,29,57,61,91,100
5,9,32,39,52,62,72,97
47,50,62,79,83,90,94,96
16,28,35,59,70,73,79,90
2,19,21,26,36,84,89,90
23,33,35,42,47,63,75,80
1,9,10,31,33,60,85,97
5,23,28,36,37,39,45,58
23,27,48,51,53,85,98,99
4,22,32,43,47,50,57,77
2,8,26,28,38,41,54,78
7,17,27,41,47,68,69,97
3,8,23,34,62,68,77,91
2,13,20,24,37,57,59,78
6,20,28,37,43,71,89,94
23,28,32,39,45,51,66,81
9,23,33,63,67,77,79,98
10,25,48,57,72,76,79,82
12,24,27,45,47,49,51,52
10,24,30,32,54,67,70,87
29,33,36,56,60,67,76,89
25,29,31,47,66,71,89,98
20,31,35,41,45,67,87,93
1,3,14,31,56,63,64,71
7,41,50,61,66,71,79,80
3,5,26,46,56,67,89,98
8,20,30,43,49,51,55,84
24,32,33,39,52,71,88,93
10,14,16,30,59,67,84,100
3,10,25,27,28,33,48,52
2,7,17,29,42,46,54,89
7,9,61,62,64,93,98,99
2,6,16,28,49,67,76,85
27,32,48,50,58,68,72,94
3,24,28,59,73,80,89,99
3,17,22,24,31,64,67,100
16,18,22,23,34,46,86,92
1,22,57,59,64,87,92,93
1,28,35,43,67,77,82,94
14,22,33,41,59,73,75,92
7,10,30,65,69,84,97,98
2,17,31,58,74,77,92,96
2,7,15,39,48,60,73,89
3,12,25,29,33,43,49,79
5,7,8,51,68,70,71,92
16,18,24,39,65,80,94,98
14,18,36,37,46,56,62,78
27,30,37,39,40,48,51,99
11,36,43,44,46,65,87,96
10,27,41,45,72,80,91,92
1,30,40,61,68,73,86,93
15,18,27,33,39,48,53,62
18,23,25,26,38,56,64,70
16,18,31,45,50,70,78,86
15,51,52,84,87,90,94,97
5,16,25,33,51,60,71,81
1,32,33,37,43,49,58,69
11,12,29,30,32,69,82,86
10,26,30,45,49,81,82,90
2,5,9,49,57,75,77,83
7,17,28,34,36,50,73,86
34,46,57,63,65,68,76,100
10,36,38,41,45,66,70,86
4,12,19,21,26,32,40,73
7,19,20,55,57,87,89,98
30,53,75,77,86,88,91,100
9,19,36,48,80,85,90,97
6,7,40,43,78,85,86,90
25,34,37,41,59,79,80,94
23,27,33,45,47,48,61,81
10,26,40,66,68,69,76,79
16,29,37,61,70,76,95,96
23,32,52,69,76,77,85,95
5,14,17,39,53,56,57,75
2,3,5,21,29,65,71,92
4,11,13,22,32,47,68,81
11,16,63,67,79,82,87,98
10,17,34,35,45,82,88,95
2,8,17,32,42,61,71,86
19,32,34,41,45,47,57,63
8,9,11,15,16,25,26,41
10,45,47,49,52,57,75,77
3,7,24,26,37,64,88,99
7,13,19,29,30,36,67,70
22,31,40,51,53,60,86,98
14,17,19,32,41,71,86,94
11,12,21,31,37,58,98,99
11,28,41,47,69,72,98,99
7,13,32,50,71,74,76,100
30,36,50,57,71,82,84,87
18,29,34,49,59,77,89,99
4,8,32,37,38,48,86,91
9,11,14,25,63,71,72,81
1,19,31,40,44,66,92,93
1,10,22,38,55,60,85,86
15,37,41,49,54,60,62,76
17,19,22,39,70,89,94,96
11,23,26,49,62,73,97,99
3,12,15,25,34,71,86,90
12,34,40,44,48,86,94,99
6,29,48,65,70,73,76,92
10,27,32,41,48,52,56,59
11,23,40,45,60,73,81,88
6,29,32,58,63,65,83,95
24,40,46,49,52,56,89,95
1,14,29,38,50,52,68,84
4,6,12,19,21,33,55,82
4,20,23,41,54,57,77,97
3,24,27,56,88,89,91,99
2,50,78,80,84,91,92,99
14,56,57,72,82,83,95,97
8,18,43,52,56,69,96,98
13,57,63,65,69,87,89,98
5,6,14,33,34,41,90,97
20,34,35,39,62,86,87,94
24,31,32,49,50,65,74,82
5,23,33,39,42,55,69,89
6,10,16,28,34,58,68,96
4,31,37,47,50,53,66,77
6,32,71,77,86,90,96,97
4,20,24,28,43,50,54,97
28,29,31,42,43,45,74,96
5,11,13,28,48,66,72,78
13,36,42,62,67,73,78,79
20,29,37,48,57,67,68,90
34,38,43,52,72,73,84,86
6,9,24,38,74,82,89,91
25,26,31,32,33,35,77,78
8,40,53,61,64,75,87,94
25,55,61,67,69,80,95,97
11,24,25,38,76,83,91,99
15,16,19,20,21,32,42,64
15,29,41,43,50,65,76,77
7,10,29,32,57,58,86,95
10,49,52,56,59,62,69,96
8,15,16,69,73,87,97,99
25,33,38,41,84,89,92,95
15,17,35,37,44,45,47,91
16,42,50,57,63,67,71,80
20,26,33,43,46,59,91,97
6,44,50,66,70,79,81,83
18,39,41,53,58,67,85,99
10,53,57,60,65,68,72,98
2,23,27,55,63,74,88,89
10,32,33,35,44,47,87,90
10,12,13,22,76,80,83,88
4,16,42,50,71,79,91,94
3,6,12,45,49,58,61,89
11,14,35,68,69,81,87,92
12,17,28,42,54,75,80,99
6,8,43,60,67,93,94,100
24,49,51,56,59,69,81,93
3,6,11,13,43,68,73,74
1,8,10,17,55,60,74,84
7,35,48,62,76,88,89,94
33,35,41,47,54,91,94,100
1,10,36,37,45,68,73,89
13,31,37,56,62,65,66,74
13,43,61,64,74,84,86,96
7,37,46,48,49,66,86,92
11,32,41,47,54,70,81,89
27,29,31,37,72,73,88,100
24,29,33,43,50,78,82,84
2,5,10,25,32,35,58,93
4,10,18,22,34,71,91,99
5,6,33,36,43,62,67,73
1,32,48,70,81,86,91,95
6,12,25,28,38,41,46,96
3,54,59,71,79,84,91,94
3,11,20,64,66,67,76,84
2,10,22,27,31,44,47,99
7,10,11,29,41,60,65,84
25,28,63,72,75,92,96,99
30,44,46,59,67,71,87,96
11,16,19,25,41,44,55,83
8,10,18,40,43,48,72,100
2,4,5,11,28,60,61,68
14,19,37,52,76,77,86,89
6,9,12,33,77,87,97,98
15,19,39,41,42,43,46,92
16,18,19,43,74,78,89,98
35,45,57,59,63,67,83,86
6,8,21,29,30,59,87,93
2,14,18,35,51,59,71,91
15,16,22,28,78,79,83,85
14,21,24,36,39,52,69,88
7,8,14,26,31,55,71,94
6,29,42,49,52,57,76,91
2,15,29,35,48,71,72,97
17,18,19,21,44,50,72,79
3,14,28,32,40,68,85,91
18,24,53,54,57,64,79,83
8,14,20,23,86,88,90,91
3,28,37,45,47,56,84,88
4,21,36,39,68,76,79,83
13,14,42,55,62,64,68,73
4,9,22,25,41,46,78,83
28,34,39,49,74,81,83,87
1,28,32,35,47,49,63,91
8,31,39,45,53,54,64,93
19,56,71,73,78,79,84,94
12,21,33,46,67,79,90,92
4,9,39,46,61,75,77,92
11,27,45,71,72,81,83,100
7,11,15,27,29,42,54,82
8,16,31,39,47,49,82,94
21,23,39,45,58,75,79,97
12,13,16,40,59,69,84,86
3,8,18,24,26,68,76,81
4,5,10,14,45,48,88,100
11,22,28,44,68,82,85,88
16,25,26,32,57,60,73,84
6,25,34,36,43,78,83,85
26,29,35,55,72,78,88,98
6,17,21,26,48,62,65,94
3,15,23,29,35,40,74,100
11,23,36,52,65,74,75,80
4,26,50,68,75,78,80,90
23,31,46,66,69,74,75,76
11,26,30,45,48,63,76,85
1,21,25,40,41,57,74,88
9,24,27,48,69,73,76,77
