"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
14,20,21,29,36,38,39,40,42,52,60,67,85,87,95,98
14,15,23,25,29,32,34,37,51,57,62,64,70,77,83,85
7,14,25,32,33,34,38,40,64,66,68,69,83,85,89,90
9,14,23,29,39,50,58,59,61,69,81,82,83,86,89,99
12,28,34,37,38,40,42,56,64,67,71,74,77,81,84,89
2,4,7,24,25,32,40,42,48,50,61,66,68,83,98,99
2,12,20,25,30,34,40,56,58,62,64,81,83,87,89,98
5,7,9,11,12,19,29,34,60,61,64,71,77,90,92,95
2,12,14,20,25,32,42,52,56,62,77,82,84,89,98,99
2,7,17,20,24,34,40,48,55,60,81,82,87,90,95,99
2,5,12,25,35,37,49,60,67,70,79,83,87,90,97,98
2,8,16,38,42,44,48,61,66,67,69,76,78,81,86,94
5,14,21,22,24,25,35,37,48,60,63,66,74,83,89,96
1,15,24,25,26,27,28,30,32,35,38,47,60,64,69,81
2,15,17,22,23,29,32,43,52,61,66,77,87,90,92,98
5,7,21,24,26,32,34,38,42,47,50,56,64,89,90,92
2,14,21,25,32,38,55,60,67,69,82,83,85,89,94,98
2,9,17,28,32,38,39,44,46,55,64,66,74,82,87,99
7,8,21,30,34,42,47,60,61,66,74,81,83,87,90,98
3,5,9,11,15,21,43,46,47,48,55,60,84,89,90,97
7,22,28,29,35,37,38,39,50,53,62,67,68,86,90,99
5,8,14,29,32,38,52,56,60,73,74,81,82,85,95,99
9,11,12,14,20,25,60,64,66,72,74,83,85,87,89,99
2,17,25,31,32,42,46,61,66,69,70,76,81,85,87,98
10,15,23,28,29,30,37,42,55,59,61,70,76,77,89,98
5,21,22,23,25,38,40,47,52,54,66,77,81,87,89,98
3,5,10,14,16,24,30,32,34,37,42,47,64,67,83,93
12,15,16,20,34,38,40,42,43,55,61,67,69,78,99,100
4,5,17,23,35,45,52,56,58,61,64,74,75,79,83,92
2,5,7,12,34,51,54,59,60,61,62,67,70,79,85,95
2,9,12,16,30,32,38,48,59,60,77,86,89,91,95,98
8,17,20,21,24,39,40,42,53,60,67,69,77,81,85,89
2,7,19,32,38,55,61,66,70,72,83,85,90,93,98,99
15,19,24,34,37,42,48,53,62,66,68,69,83,85,89,94
2,5,8,12,19,30,34,38,45,47,71,74,76,78,90,93
8,14,18,22,24,30,38,39,44,53,58,76,81,90,98,99
5,7,21,22,25,29,32,38,47,55,67,74,75,76,82,98
7,17,34,35,44,64,66,67,70,75,79,87,89,91,93,98
2,5,14,20,28,34,48,58,61,68,73,74,82,83,87,94
12,19,23,28,34,40,42,48,61,66,69,71,76,83,87,89
2,6,15,16,38,42,62,64,68,69,81,83,85,88,93,95
7,9,20,23,25,26,29,42,58,62,70,71,75,83,86,92
2,5,7,10,15,21,25,34,47,53,67,68,69,81,86,89
11,25,30,32,35,38,42,47,56,61,62,64,76,82,89,94
5,7,14,21,23,40,45,46,47,49,65,67,74,87,89,92
3,5,7,15,17,25,42,44,50,65,66,67,79,83,87,97
3,8,11,25,32,35,37,46,48,61,64,69,75,82,85,90
11,12,15,32,42,48,55,61,71,76,82,86,87,89,96,99
9,11,14,24,32,34,35,44,46,47,60,61,67,93,94,98
2,13,16,20,33,42,44,55,66,67,70,74,81,87,89,95
2,5,20,29,30,47,55,62,64,70,82,83,89,91,93,98
2,6,15,20,25,38,39,54,59,60,79,83,86,93,94,96
3,14,20,25,31,42,44,45,52,58,59,60,67,75,83,90
5,7,9,24,34,43,61,64,66,75,77,78,81,87,92,98
7,11,12,14,17,20,23,25,28,42,61,63,64,81,89,98
3,5,6,8,21,22,35,38,47,62,64,66,76,82,83,98
2,9,15,16,24,32,33,39,40,42,48,62,66,67,76,93
1,14,17,37,44,52,56,60,62,67,81,85,87,90,92,98
2,4,17,21,24,30,34,35,42,47,48,55,69,74,89,98
21,24,25,28,32,34,38,46,58,67,77,81,82,83,92,93
1,3,11,20,24,30,32,44,52,56,58,68,85,86,89,91
4,5,28,34,36,37,47,48,53,67,70,75,77,81,85,95
1,3,5,23,25,38,60,68,71,75,82,86,87,94,96,98
5,10,12,14,15,28,56,66,67,69,70,71,81,93,98,99
11,14,21,25,38,47,58,66,69,76,79,82,85,89,90,98
7,14,16,20,24,32,42,44,47,48,55,60,64,75,89,95
2,14,21,32,37,42,44,47,52,53,55,66,71,76,89,92
14,15,17,19,20,28,35,42,52,55,73,84,85,87,92,94
5,9,12,21,23,38,47,61,64,66,71,81,87,88,98,99
2,5,7,24,32,38,40,44,50,60,61,66,74,77,92,98
11,12,16,20,24,34,35,62,64,69,78,82,87,92,95,98
