"V1","V2","V3","V4"
20,52,58,76
7,16,31,42
2,21,30,95
2,25,34,37
20,42,83,85
7,52,77,98
34,37,60,83
11,47,71,77
2,51,54,61
2,28,81,96
6,14,47,85
14,47,48,61
12,35,56,76
34,35,76,96
8,15,42,68
2,69,70,95
5,28,55,96
9,32,65,96
37,47,61,74
34,42,64,89
16,28,95,97
33,47,48,84
1,7,20,56
16,17,37,86
12,20,30,86
38,42,59,81
30,48,69,81
17,20,67,95
14,67,76,98
12,56,64,82
25,42,48,57
14,19,65,98
14,46,60,71
22,49,56,79
29,50,64,67
21,34,35,92
23,55,77,86
7,32,44,75
15,77,81,91
56,74,93,96
8,35,70,74
40,64,74,76
2,61,81,83
15,28,73,81
3,29,55,74
23,35,42,77
2,7,25,46
5,42,64,74
24,71,82,98
8,52,60,66
14,21,44,55
2,12,44,68
2,24,61,89
2,7,30,37
11,38,85,95
24,95,99,100
5,22,61,81
12,24,61,91
15,17,35,87
15,37,69,98
1,9,47,83
12,74,98,99
9,14,15,53
23,90,96,98
29,85,97,98
39,47,56,83
9,11,14,42
57,69,70,95
20,23,35,69
64,87,89,99
1,9,34,64
9,20,21,48
42,65,69,76
12,23,66,87
34,60,79,98
9,21,23,82
25,50,79,97
15,39,56,61
37,42,69,97
24,68,81,99
7,20,64,82
5,55,86,89
52,60,76,98
16,50,56,74
14,21,39,89
17,19,82,85
14,32,65,70
4,12,15,38
28,47,56,90
25,29,64,86
35,47,68,83
24,37,64,67
32,40,67,90
11,34,49,66
4,14,25,30
6,21,94,99
52,74,81,83
22,62,86,87
28,37,77,89
55,61,62,65
14,70,81,89
5,21,61,83
7,35,47,55
14,16,44,68
9,69,77,81
25,55,61,96
25,32,81,88
4,66,85,95
8,26,34,71
25,29,32,98
16,19,65,70
5,22,34,76
23,37,58,95
25,56,64,93
27,42,54,61
17,61,76,83
7,38,61,98
38,47,50,98
16,34,42,99
9,30,69,89
22,32,55,60
7,52,65,87
33,58,83,92
14,16,42,45
28,38,48,85
6,66,70,93
22,37,47,67
14,20,25,99
1,28,53,81
37,47,66,83
28,71,82,89
30,52,63,85
7,29,55,61
14,35,37,42
27,35,61,90
10,34,45,85
15,23,39,52
6,38,43,66
2,16,39,68
9,19,83,85
26,69,81,90
3,5,69,93
7,34,69,87
14,20,62,81
16,45,82,98
28,32,77,93
1,7,11,81
35,42,81,89
35,47,48,86
11,29,87,98
11,34,45,96
26,48,79,84
32,83,95,98
59,61,74,83
12,14,34,82
9,24,58,89
7,21,24,71
30,56,70,71
20,37,69,89
3,47,67,83
16,25,76,83
16,58,59,61
5,7,70,71
30,38,67,75
5,55,67,90
34,35,67,81
10,35,59,86
11,21,37,47
46,50,71,83
69,79,95,98
1,5,32,64
12,40,66,96
8,33,64,78
21,22,28,43
42,50,93,98
34,38,70,74
32,33,70,98
8,27,73,87
32,64,65,87
32,60,81,89
2,63,76,90
35,50,58,94
33,65,69,93
15,34,55,71
30,34,47,90
2,19,47,100
3,8,47,61
16,32,34,58
62,65,66,69
22,28,34,68
40,48,66,85
40,42,83,85
11,37,66,67
14,34,48,82
5,25,56,66
23,60,69,83
9,14,20,29
8,20,71,74
38,50,52,92
3,38,64,99
62,64,69,93
5,17,67,75
5,34,66,85
7,25,81,99
7,53,59,69
22,28,86,89
12,43,52,71
3,38,39,56
1,14,21,94
7,29,79,89
1,32,66,92
32,38,70,99
36,40,75,94
34,36,90,91
35,48,74,90
47,48,87,89
47,48,69,92
42,92,93,95
3,32,34,86
4,56,64,68
26,80,86,90
2,7,87,98
14,34,39,68
40,58,62,71
8,15,34,98
3,35,58,81
20,40,73,74
33,42,61,98
35,40,42,90
21,72,89,96
35,90,92,99
6,14,24,82
52,77,85,91
2,34,70,86
32,76,93,98
3,15,58,76
17,32,70,95
44,65,71,82
19,42,69,96
26,34,62,83
12,14,38,48
34,48,64,82
15,69,71,96
3,5,20,27
7,12,17,90
62,83,89,96
28,55,96,99
32,56,65,70
11,20,35,55
20,30,44,61
9,25,28,49
2,52,82,96
2,27,32,46
17,28,35,83
23,34,59,66
2,20,33,60
34,81,85,98
46,70,81,87
7,25,38,89
50,55,60,93
9,16,25,60
3,28,85,96
8,30,47,95
35,37,66,97
25,33,34,64
20,58,62,85
32,42,56,95
2,10,21,76
20,24,32,81
34,37,76,81
32,69,76,96
64,67,68,90
15,48,62,68
11,20,87,93
40,52,61,99
28,35,67,90
9,22,44,93
32,34,60,93
20,37,67,89
3,7,44,95
16,21,34,55
32,39,55,94
2,7,21,63
34,58,82,97
11,55,74,87
1,34,47,98
12,20,58,89
34,61,83,85
42,58,59,86
7,17,74,98
53,66,70,76
48,52,66,70
35,37,56,83
5,22,37,66
9,24,54,58
47,58,70,76
56,64,67,85
66,81,85,87
21,24,34,87
20,46,82,83
10,34,69,90
53,73,74,96
29,64,70,83
12,28,70,89
7,64,83,98
5,60,65,81
20,67,74,98
14,15,47,92
14,28,48,55
2,56,76,90
9,15,20,98
25,58,72,87
10,45,61,85
34,61,77,87
35,40,55,61
14,52,74,77
15,20,82,86
21,50,83,85
8,32,55,94
11,27,61,66
16,69,85,89
2,22,76,98
7,14,68,83
34,48,61,69
14,71,78,84
71,76,83,84
15,55,70,73
5,9,30,93
5,19,25,38
12,29,34,73
11,52,61,94
7,40,76,85
25,35,56,63
21,25,28,90
50,52,56,61
14,29,68,90
11,47,55,74
31,72,81,82
23,40,56,81
7,76,87,93
15,55,67,100
39,56,64,74
9,28,30,67
12,48,98,99
15,16,66,89
20,32,34,56
23,44,71,74
1,7,56,95
28,65,81,89
23,25,52,53
7,16,46,66
35,38,55,67
1,9,34,85
8,74,76,92
17,32,43,50
26,76,85,94
47,60,82,97
24,35,67,97
64,69,76,84
19,23,79,83
64,69,81,87
19,48,64,92
7,47,61,93
7,35,43,82
2,20,42,66
15,33,61,63
45,69,95,96
34,35,37,98
20,21,70,87
37,40,42,74
16,45,74,76
44,61,69,87
38,42,62,82
16,85,89,95
5,22,61,70
9,38,60,81
10,11,42,95
37,38,55,95
29,55,92,93
2,11,46,81
12,21,38,95
25,30,34,40
5,7,83,95
39,56,81,92
9,56,67,90
3,42,63,66
21,44,67,75
69,89,90,98
25,47,81,90
15,21,86,89
28,61,64,67
11,16,38,73
7,22,32,85
15,25,37,53
14,32,73,81
14,77,83,90
3,17,34,70
25,34,89,99
40,56,81,86
35,37,87,95
29,71,85,86
14,35,38,77
1,34,50,70
25,32,40,48
7,35,40,98
11,16,47,84
8,37,71,83
32,35,38,67
16,47,85,90
20,28,55,71
11,44,58,61
16,19,55,82
5,8,64,92
15,73,74,98
21,30,53,99
32,64,81,82
19,26,62,90
27,32,62,67
28,75,81,98
71,74,95,98
1,30,66,69
25,42,71,86
63,74,81,87
6,14,17,81
11,90,94,99
5,38,61,85
16,27,82,94
42,56,77,84
32,55,64,83
20,71,91,92
16,37,48,92
