"V1","V2","V3","V4","V5","V6","V7","V8"
1,2,8,28,38,66,84,94
5,25,66,86,89,94,98,99
3,24,48,50,61,66,89,99
16,17,21,35,44,56,70,89
7,47,53,59,61,81,89,90
5,8,21,34,42,76,87,94
25,56,74,76,81,87,89,90
20,31,43,44,58,66,71,90
4,8,14,35,44,46,74,94
3,5,14,26,30,32,47,77
2,16,21,35,42,53,77,98
32,37,40,44,71,93,96,99
14,30,37,45,55,58,66,95
9,15,32,37,53,62,69,90
25,35,39,68,76,89,90,95
24,38,42,66,77,81,87,94
33,35,55,56,62,71,81,86
5,7,28,67,74,83,85,99
5,20,28,30,37,72,78,82
14,24,32,42,52,55,69,86
16,25,32,48,62,64,76,87
3,16,35,42,58,60,74,98
2,20,39,52,53,69,75,93
2,5,7,38,48,55,63,98
9,12,15,29,34,55,66,86
3,16,24,52,56,61,64,81
6,7,21,44,56,60,76,79
21,35,37,46,60,83,93,98
7,25,34,37,47,52,64,84
3,17,20,42,43,58,86,93
2,3,5,14,35,38,40,74
3,7,42,46,65,81,86,89
9,25,33,42,47,70,81,83
9,10,33,52,77,81,90,95
7,17,21,37,47,77,91,92
25,26,35,45,50,61,76,89
3,35,38,64,76,81,82,90
20,25,30,37,59,83,85,98
17,21,38,42,60,64,70,76
5,6,20,35,42,68,83,99
1,23,34,44,60,64,87,95
1,11,15,17,64,67,69,70
5,9,27,39,61,69,81,90
21,22,25,28,34,56,77,81
32,38,45,62,81,86,87,93
21,34,66,77,90,94,96,98
16,17,25,50,81,90,94,98
3,5,22,29,39,55,64,75
11,25,30,52,66,70,94,95
16,32,48,58,67,77,79,97
14,34,50,56,60,67,95,98
10,23,37,53,66,87,94,98
1,5,31,42,59,62,91,94
7,12,38,39,52,71,74,83
11,21,25,32,37,42,67,74
15,17,20,23,35,66,85,93
12,32,37,38,39,59,61,83
28,32,35,62,75,77,86,89
6,9,46,47,66,76,83,84
14,16,20,25,35,52,55,64
30,37,52,59,76,77,86,87
39,50,56,60,69,76,81,86
2,9,12,38,44,52,64,76
5,14,25,45,47,69,83,87
7,19,24,32,40,75,82,87
7,20,66,67,74,86,90,95
7,15,33,34,40,74,76,96
28,32,34,48,57,60,71,74
8,24,32,47,67,78,90,98
2,9,12,26,27,42,58,69
7,9,11,19,32,35,47,99
2,20,30,32,35,61,81,90
8,16,21,29,32,55,61,76
8,12,52,69,70,79,83,90
16,21,69,71,75,81,86,92
21,25,32,40,58,61,68,70
16,21,29,55,64,65,78,89
22,32,34,62,68,87,90,95
2,17,25,37,42,64,79,98
2,16,28,29,35,38,67,83
15,64,70,71,76,79,89,98
23,25,29,40,69,70,82,93
8,38,39,47,48,53,55,91
3,12,24,32,56,61,82,87
16,40,42,48,67,87,95,97
9,12,34,38,42,44,66,71
29,32,66,74,77,85,87,96
24,25,42,48,52,82,89,97
30,32,48,61,62,64,86,90
6,19,34,37,60,64,72,83
12,20,35,49,60,67,83,86
32,34,46,53,58,62,83,95
1,2,14,67,69,91,94,99
9,14,20,21,32,64,90,93
7,11,14,34,40,56,60,93
2,30,32,83,86,87,98,100
1,15,17,24,43,79,86,91
2,20,21,24,25,69,72,89
5,7,25,48,71,82,84,96
14,37,44,66,72,87,89,98
16,20,31,34,52,66,89,100
15,38,39,47,58,59,82,85
12,29,37,38,47,60,69,86
2,4,30,39,53,55,60,64
8,38,60,63,64,76,83,90
1,40,56,64,67,70,79,81
3,20,30,38,48,67,74,75
23,28,55,64,66,87,89,99
14,26,30,52,64,69,90,97
12,16,38,71,82,87,89,100
17,35,59,67,76,81,82,97
2,15,20,50,61,85,91,94
21,23,30,37,52,55,77,83
17,21,25,32,35,38,87,93
21,29,47,59,73,76,77,83
8,20,25,44,62,64,71,83
14,34,55,66,69,74,76,83
21,24,55,56,68,69,82,99
2,25,42,50,60,62,71,81
6,12,16,21,24,47,81,85
1,27,59,66,71,76,85,88
17,32,67,69,82,83,86,92
3,14,28,43,47,83,86,98
7,8,21,58,62,69,93,96
6,17,24,29,33,39,48,81
35,50,54,66,68,81,83,89
7,48,58,61,66,69,95,96
37,60,64,65,71,76,82,92
15,25,29,32,44,86,90,99
7,15,28,32,71,75,95,98
2,17,24,48,58,62,69,95
2,5,24,30,37,50,94,98
12,15,28,37,38,69,86,89
6,7,9,28,35,42,71,99
15,35,41,55,62,64,74,81
2,16,25,61,66,76,83,98
5,20,55,61,76,81,87,92
7,17,33,37,39,61,73,86
1,9,16,27,28,67,71,98
3,7,9,12,55,67,70,71
15,30,38,48,73,86,95,98
9,14,24,28,30,71,87,89
11,25,30,37,47,68,89,90
35,46,67,70,71,79,86,95
6,15,32,47,50,67,76,99
16,25,35,42,60,66,71,88
5,20,25,47,62,69,71,74
9,21,45,47,59,66,81,92
2,3,20,29,31,67,72,77
12,16,23,33,42,44,59,66
7,9,17,31,55,65,69,86
3,7,23,32,35,66,69,90
1,7,16,21,25,32,55,67
7,32,38,43,69,74,76,99
8,28,32,38,53,55,61,71
12,14,37,74,83,84,90,99
15,21,30,47,48,53,62,70
11,16,50,58,65,81,87,98
42,44,48,55,61,66,70,83
10,30,32,57,61,62,69,98
29,30,32,52,66,69,81,91
7,28,34,44,65,67,70,81
1,2,25,35,44,62,82,91
14,19,27,28,55,76,83,89
23,32,42,61,62,65,75,79
2,20,30,55,71,85,89,92
6,7,28,42,60,71,86,89
29,55,59,61,67,69,81,89
7,25,37,55,66,69,90,98
12,16,32,34,50,90,91,95
23,32,35,40,61,64,70,97
7,12,56,65,67,74,85,98
2,7,16,43,44,47,50,56
5,9,59,69,71,76,88,89
14,21,30,43,55,61,71,99
16,37,42,44,51,59,68,95
2,12,24,37,39,76,89,98
5,7,8,25,35,60,61,99
14,21,39,40,61,64,75,93
9,11,12,29,35,62,71,87
16,26,28,58,76,77,81,82
2,11,16,21,42,44,81,98
11,14,16,34,38,55,67,89
51,60,61,76,81,86,88,91
13,16,20,24,29,35,53,87
2,7,20,30,32,64,83,89
7,11,37,47,61,67,91,98
2,20,25,32,47,55,73,81
40,42,47,74,76,79,98,100
15,19,32,34,35,52,92,99
12,40,66,67,70,87,95,96
12,16,28,35,63,66,86,89
5,7,12,22,34,56,60,98
17,31,47,48,77,81,86,89
12,16,24,25,28,40,61,93
7,9,25,30,34,67,86,87
2,12,34,48,62,68,85,89
8,11,20,62,68,74,81,90
9,24,37,60,61,66,67,91
3,21,39,63,64,67,79,88
9,14,28,32,44,59,87,90
7,30,32,64,71,72,85,96
2,24,38,42,45,47,52,83
21,32,39,45,58,74,90,92
2,15,20,25,58,71,86,98
16,21,24,27,32,64,67,74
3,21,22,34,42,85,86,87
25,35,40,47,50,55,81,89
4,7,54,62,85,89,93,98
34,46,66,79,82,89,93,96
24,61,71,79,81,82,90,93
14,18,19,25,34,48,75,87
2,21,34,60,62,65,74,76
7,25,53,63,71,82,83,98
2,15,25,40,45,73,75,83
9,19,61,67,71,82,83,99
17,44,69,74,81,85,90,98
1,12,42,52,58,69,71,85
3,24,44,61,62,69,73,79
22,34,38,47,74,77,89,95
20,47,52,58,67,68,83,94
29,35,37,38,46,47,58,81
14,21,35,47,48,67,70,87
14,20,40,50,62,66,92,98
11,38,47,57,67,82,87,94
16,19,21,62,68,69,71,95
2,20,37,55,61,76,83,98
7,12,21,26,46,61,64,66
3,14,17,30,40,47,76,85
24,56,61,66,67,81,89,100
23,25,39,47,56,57,64,85
2,7,15,25,35,56,67,68
23,26,32,35,68,83,95,98
9,21,61,67,68,70,81,90
11,29,30,32,35,46,69,98
9,38,42,64,76,81,89,98
66,69,74,76,77,89,94,96
5,7,25,46,50,59,67,77
7,16,21,59,76,89,90,99
21,38,42,47,58,74,77,95
11,29,34,62,64,66,69,93
2,7,12,14,15,38,50,96
5,16,19,47,64,67,76,87
2,9,33,36,45,61,89,100
23,30,31,38,60,82,89,94
1,35,42,56,64,75,77,87
20,21,32,38,58,76,81,92
32,44,64,73,81,86,87,95
25,28,37,44,49,62,69,77
8,14,25,28,37,48,90,98
4,20,25,50,64,65,66,81
1,3,8,16,47,63,66,83
7,21,33,40,52,56,81,87
1,7,9,22,32,76,81,85
16,20,27,52,66,74,83,94
2,5,8,9,11,77,90,95
1,29,52,60,61,64,67,81
15,16,34,59,61,71,95,99
34,66,67,69,82,95,96,98
21,22,26,28,42,50,61,64
16,32,55,60,76,87,90,93
2,6,7,21,29,38,69,79
29,32,39,50,69,76,81,85
37,54,65,68,74,76,88,89
16,21,24,28,32,62,74,86
7,34,38,44,62,81,90,93
7,28,42,44,49,76,83,89
28,35,69,76,81,85,89,98
2,3,5,7,28,47,52,60
9,16,36,37,46,56,60,95
5,7,42,79,84,86,90,97
3,8,15,30,37,53,56,70
2,19,21,24,60,67,82,85
29,37,48,62,64,69,82,83
2,5,15,35,50,62,70,93
7,15,39,50,56,62,75,85
8,11,28,42,66,69,91,93
3,8,22,40,54,77,79,96
9,39,62,69,74,79,90,98
28,37,56,61,71,86,87,98
27,28,47,55,56,70,86,90
17,34,37,42,61,67,84,96
7,13,30,61,67,70,84,90
10,21,53,55,60,79,91,98
25,47,62,67,68,76,87,98
9,28,33,53,67,77,95,99
7,15,35,49,67,70,78,83
6,24,34,61,66,67,77,92
28,29,35,64,71,74,82,84
5,11,38,63,66,83,98,99
1,24,28,32,34,55,66,74
3,29,34,64,70,83,85,90
8,15,23,35,42,46,47,86
24,25,32,46,67,81,89,98
15,16,21,25,55,77,78,84
7,32,48,50,64,69,77,83
5,12,39,64,66,69,95,98
30,33,37,42,55,65,86,89
2,3,25,29,39,47,48,52
3,17,29,42,64,83,89,95
5,16,21,55,64,66,89,95
4,6,29,32,60,75,78,85
2,16,24,38,52,56,77,83
3,8,14,42,60,69,77,82
15,28,34,42,66,76,89,99
8,23,29,35,70,71,81,85
5,32,37,47,65,66,72,100
7,25,30,46,76,81,87,100
12,28,48,56,61,73,76,99
3,24,29,33,50,61,89,92
2,3,5,16,30,38,69,82
7,21,30,35,38,42,53,92
5,8,11,16,21,30,61,90
19,21,28,30,38,68,70,75
9,10,11,14,20,32,35,54
3,7,24,40,52,55,81,87
15,42,50,61,67,70,74,81
34,37,40,75,83,91,94,99
3,5,7,16,17,74,84,91
7,16,20,24,38,48,61,83
5,20,24,33,48,56,90,98
16,20,29,65,83,90,94,98
9,16,20,35,59,74,87,90
16,20,35,42,52,58,79,87
3,7,12,14,15,16,26,87
10,12,30,34,38,55,69,82
12,32,38,40,44,50,52,69
16,46,60,61,71,90,97,100
19,34,55,56,59,64,69,95
9,15,55,67,70,77,87,95
15,26,35,38,71,95,96,99
25,33,34,47,59,64,67,74
2,22,29,35,47,58,62,77
1,7,45,55,61,64,74,83
14,23,35,55,56,58,62,87
21,32,56,67,68,83,89,98
2,17,28,50,51,67,75,83
2,17,20,42,66,68,82,98
20,37,48,64,75,90,96,99
24,37,38,47,60,69,76,87
31,35,54,55,59,69,74,90
33,35,38,42,52,71,81,83
12,34,40,71,73,74,85,93
3,16,21,35,58,61,81,97
7,9,38,42,47,60,81,98
3,22,35,58,60,74,84,87
16,22,25,29,42,64,69,81
2,16,21,30,37,58,64,87
12,15,54,62,71,72,86,95
12,14,16,28,30,38,48,92
7,8,23,32,47,52,56,66
4,25,32,34,58,71,89,96
5,34,55,56,61,64,70,90
15,16,20,44,45,52,66,99
3,16,35,37,69,74,86,87
7,32,37,61,65,68,89,93
24,25,61,71,83,85,86,98
25,30,34,38,45,60,87,89
9,33,44,48,51,70,74,77
12,25,34,42,52,75,94,97
2,3,5,16,19,76,81,90
1,7,12,19,35,37,95,98
2,3,7,8,19,35,60,74
14,20,22,44,73,84,87,90
25,34,35,43,44,59,66,69
10,11,21,58,59,66,71,82
15,22,34,44,63,81,83,90
14,34,35,43,60,76,94,99
21,28,44,59,67,76,82,83
11,15,16,50,61,67,69,89
29,36,38,64,74,77,82,98
5,25,30,44,46,48,70,77
7,25,34,56,68,69,81,95
19,20,38,55,63,90,98,99
8,9,15,44,55,66,71,86
5,7,38,40,54,61,93,98
34,38,40,42,46,47,81,98
3,38,48,62,70,85,90,99
7,12,26,38,77,81,93,98
21,48,58,67,74,76,82,83
16,20,34,48,66,79,84,94
9,35,37,52,64,65,77,87
2,11,12,24,26,39,62,86
