"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
2,4,6,8,21,22,29,36,47,50,58,59,60,66,67,70
5,13,17,21,22,24,48,50,53,56,57,68,73,76,92,99
24,26,29,34,35,40,41,55,59,61,68,70,77,84,95,99
6,12,17,29,31,34,36,42,44,49,52,82,84,94,98,100
24,26,44,45,51,52,53,54,58,63,67,78,90,94,96,99
4,5,11,30,32,33,40,48,53,61,62,72,75,79,91,93
30,39,40,41,48,52,62,67,68,74,75,87,89,92,93,95
12,21,30,32,37,49,54,71,73,74,81,88,91,92,95,96
3,24,36,40,42,44,48,62,65,76,78,79,82,85,90,91
7,18,21,29,35,41,44,45,53,56,61,68,74,81,88,90
4,10,21,22,31,33,37,46,56,59,66,68,70,83,98,100
9,10,17,21,27,28,29,43,45,67,69,79,81,83,92,94
4,13,24,35,51,56,59,69,74,81,83,84,86,87,91,93
25,28,30,38,41,52,64,75,77,78,80,82,86,87,88,99
6,11,14,18,21,27,28,33,34,51,60,64,69,82,87,94
1,8,13,17,20,26,35,61,63,66,75,87,89,94,97,100
1,7,8,9,12,13,16,20,32,58,69,73,82,83,94,99
1,5,9,20,22,25,27,37,41,45,47,58,67,89,92,97
9,23,26,44,48,52,55,61,71,73,75,80,83,86,91,92
33,34,42,43,44,45,61,63,69,70,81,86,87,92,96,99
1,7,9,10,15,25,29,30,32,38,46,63,67,78,79,80
1,11,21,22,27,28,29,30,35,40,41,53,55,62,73,85
5,8,26,30,32,37,39,45,50,59,61,67,76,91,97,99
2,3,23,27,33,42,47,58,60,63,77,80,81,83,92,99
5,14,24,28,33,35,37,39,42,51,52,76,82,86,94,98
1,4,6,9,29,41,49,51,55,65,73,78,84,85,88,100
4,12,23,25,29,33,44,45,47,51,55,57,71,92,95,100
6,18,25,38,67,68,70,80,83,85,91,92,93,95,97,99
5,8,9,10,12,13,24,28,30,36,37,42,47,53,56,87
1,2,10,15,16,21,27,39,42,54,60,66,69,73,99,100
9,17,21,29,34,38,44,48,49,56,57,62,76,79,81,94
7,9,10,11,19,22,46,55,60,61,67,75,77,81,83,91
22,24,26,29,38,46,52,54,55,59,62,69,75,77,90,100
1,17,21,31,32,34,39,46,63,65,71,72,79,93,94,96
14,21,23,38,40,41,50,54,59,61,64,67,71,78,79,88
5,10,19,31,44,45,63,64,67,69,72,74,78,85,99,100
4,10,13,14,16,19,22,25,32,40,46,50,55,84,85,86
1,14,17,23,29,47,49,53,59,78,81,86,87,89,90,98
8,27,29,34,38,40,41,60,68,72,73,79,82,83,85,93
7,9,32,41,42,55,57,58,60,63,64,68,69,77,79,84
1,4,6,19,37,38,42,51,53,64,82,86,92,93,94,100
7,8,9,11,13,14,19,30,49,54,58,62,69,85,92,97
1,5,14,19,21,38,39,40,45,51,54,65,72,73,82,88
2,14,19,23,30,31,45,50,52,53,54,56,58,67,79,92
15,21,23,34,42,47,55,60,61,62,70,76,78,86,89,99
13,24,25,29,31,40,45,48,52,56,72,73,90,93,97,100
7,14,21,26,27,36,37,49,52,60,64,66,73,88,91,93
2,14,25,45,49,54,60,63,66,72,80,81,88,89,96,100
4,15,25,37,41,52,54,55,63,76,84,85,92,95,97,98
14,15,24,27,28,30,37,38,41,44,54,56,57,64,81,97
1,5,11,25,26,27,29,42,48,49,51,73,78,97,99,100
31,32,42,47,49,50,51,55,59,62,65,73,80,82,85,93
4,10,16,17,32,38,56,69,70,74,82,85,92,93,94,96
9,15,17,23,37,38,48,55,64,67,70,80,87,90,94,97
4,7,8,39,40,43,44,60,63,64,73,75,86,88,91,97
2,11,14,23,26,29,33,38,44,47,54,63,75,80,83,99
1,8,24,27,31,40,46,48,50,51,58,65,70,74,76,79
19,23,27,34,36,40,43,45,66,80,82,83,84,93,94,95
2,3,11,23,24,26,60,63,77,78,86,92,94,96,97,100
7,15,27,29,33,37,60,61,64,65,69,86,88,89,96,99
1,8,10,19,34,37,41,42,46,61,62,63,85,88,90,100
1,4,13,45,56,58,59,60,64,65,69,81,82,84,88,93
9,12,13,17,21,31,52,54,56,62,64,70,72,92,96,97
2,12,25,28,30,35,36,41,49,51,52,56,59,70,75,84
4,9,10,13,17,24,27,39,43,50,53,56,60,73,74,84
4,20,30,34,35,41,42,44,52,57,59,63,72,80,83,97
4,7,17,19,21,42,50,54,61,65,67,69,70,88,91,94
6,11,18,21,25,33,38,44,51,52,69,75,78,79,80,83
9,21,25,32,39,41,56,66,70,73,74,87,89,92,95,98
10,13,24,28,34,43,48,54,55,70,77,84,85,92,94,99
2,14,18,20,26,41,47,50,51,59,63,67,77,79,94,99
6,17,21,46,49,53,58,76,77,78,81,91,92,94,96,97
11,13,14,19,27,31,34,35,55,60,63,70,72,75,90,95
2,9,14,20,25,45,49,53,66,68,69,75,79,83,99,100
9,13,28,31,38,46,47,49,56,63,64,66,68,74,85,95
11,12,17,18,24,26,31,37,45,66,68,70,80,81,85,91
3,13,17,18,29,32,39,46,50,51,59,74,76,77,81,92
3,6,10,11,15,29,32,36,37,38,58,61,69,82,90,98
3,16,34,37,39,40,46,47,49,50,52,72,80,86,92,96
5,8,10,31,32,36,42,45,52,54,59,61,63,67,70,80
1,14,17,18,21,26,32,37,40,48,66,73,80,88,89,95
6,9,18,19,20,21,25,44,56,68,70,72,82,84,94,95
2,3,27,28,34,36,39,44,47,49,58,63,64,80,81,86
7,8,10,18,19,23,24,33,41,43,54,55,62,68,70,88
5,8,10,14,15,17,25,28,34,39,43,54,61,62,72,76
6,9,17,21,22,30,31,33,52,57,63,66,67,69,84,94
4,7,10,29,36,37,39,45,49,54,55,58,63,64,70,95
2,5,6,27,30,41,52,53,55,62,78,80,85,96,97,100
9,11,13,16,23,27,36,45,66,67,73,78,79,80,86,93
