"V1","V2","V3","V4"
11,23,25,72
1,11,44,88
33,47,53,96
15,29,32,33
22,76,90,96
17,29,45,83
9,69,76,83
36,55,76,84
20,52,57,88
21,50,89,96
6,48,61,95
9,44,54,58
5,45,58,93
12,62,78,84
50,68,81,91
21,78,84,89
28,32,40,80
5,12,30,88
66,75,80,91
16,49,57,70
44,64,65,99
29,40,52,92
6,18,56,89
4,13,52,91
3,26,51,71
4,23,92,96
13,48,57,91
9,49,53,60
22,55,61,69
28,48,63,79
10,20,34,50
45,51,61,87
7,17,23,24
25,37,67,94
27,50,65,85
5,21,31,73
14,24,36,74
43,82,87,88
10,26,39,42
36,68,70,91
31,32,45,55
6,23,37,69
15,57,66,88
13,30,45,67
31,42,64,88
36,64,75,88
39,61,83,94
48,52,55,72
1,45,73,86
1,36,87,98
2,24,52,55
50,93,96,98
15,51,69,84
6,28,36,92
4,8,55,59
4,69,77,78
26,34,55,86
7,38,54,65
5,7,24,71
51,53,95,96
37,46,73,74
20,29,49,54
14,22,61,77
8,42,57,99
3,39,68,95
7,10,17,81
46,59,86,92
36,53,63,66
33,54,77,99
33,76,79,92
1,36,91,94
34,48,57,100
26,49,51,69
17,60,61,77
13,43,71,99
3,76,82,88
17,19,29,93
9,54,67,86
16,25,81,84
2,22,54,70
11,19,86,97
39,47,65,92
40,46,66,71
3,30,58,92
11,32,65,72
14,56,83,97
33,48,93,97
9,15,40,64
16,24,44,52
10,17,69,100
9,43,56,79
33,40,45,87
25,44,71,97
12,18,77,98
21,30,52,81
10,67,76,100
67,70,76,83
22,72,77,95
62,65,77,95
30,43,61,95
43,49,74,77
12,24,38,51
19,27,53,98
46,65,90,99
1,38,58,73
14,34,56,64
18,44,67,92
29,42,46,84
33,35,74,79
2,17,36,87
8,36,63,95
81,85,95,98
43,51,53,59
6,25,50,98
6,11,26,98
5,7,13,39
1,5,40,75
7,34,46,56
32,54,76,78
12,55,93,94
14,17,47,51
10,45,48,70
25,38,75,78
4,16,47,86
5,26,46,99
51,82,91,95
18,39,72,96
32,78,88,92
6,9,66,74
4,12,43,95
4,10,57,77
3,51,63,90
13,44,47,79
35,47,71,82
5,30,54,57
11,64,85,89
23,32,40,100
9,62,74,94
28,29,35,60
22,34,44,51
15,76,84,98
20,34,42,88
18,57,68,87
53,61,77,90
16,41,87,99
14,42,58,64
1,19,60,91
12,31,69,91
4,18,54,61
66,68,80,97
11,57,65,82
19,62,71,73
1,36,45,49
46,57,61,75
21,49,57,84
24,81,83,92
12,30,45,67
40,82,87,95
25,42,47,95
7,55,66,74
3,37,72,91
18,36,50,74
3,19,59,83
18,22,65,99
25,50,68,88
20,22,56,86
7,13,27,99
4,25,48,88
5,8,31,84
21,61,80,96
10,30,39,68
16,49,86,99
22,31,47,99
1,10,36,94
2,8,55,87
37,54,72,84
35,66,82,100
16,62,77,88
60,62,73,78
11,25,48,69
2,8,32,35
30,69,96,97
4,11,36,38
59,72,89,92
9,45,80,84
8,20,45,52
13,32,42,70
2,45,98,99
14,26,67,78
38,49,50,73
3,7,82,100
4,21,22,62
2,52,92,96
37,49,52,77
10,51,83,95
4,49,63,76
58,84,90,96
2,62,89,95
8,12,14,15
30,34,35,95
18,24,51,81
54,61,65,93
27,31,88,89
30,41,77,87
15,38,72,95
5,76,79,93
11,43,46,87
48,52,53,57
19,26,32,98
20,26,40,94
4,5,22,57
7,31,34,81
46,47,88,90
13,35,68,83
12,69,70,74
2,35,51,94
7,26,70,74
49,51,81,91
32,54,83,95
16,18,33,36
10,60,78,81
41,47,53,60
2,51,71,72
44,78,81,86
17,21,24,81
21,71,88,97
6,23,32,88
11,21,64,84
8,10,49,53
46,47,71,81
