"V1","V2","V3","V4","V5","V6","V7","V8"
5,21,37,39,45,49,73,83
2,8,28,29,46,61,63,71
25,48,64,69,77,83,86,98
8,19,31,42,59,66,67,70
46,47,51,64,72,85,97,100
2,3,12,17,62,63,82,93
28,41,53,66,68,85,86,88
9,10,14,19,22,38,70,86
1,25,41,48,68,86,87,98
6,54,68,73,76,84,92,94
9,10,11,39,79,80,92,95
40,44,57,59,65,70,84,85
8,19,22,48,69,70,78,79
7,14,23,29,53,85,93,98
13,22,26,35,60,63,81,99
2,3,28,36,80,82,92,99
17,20,21,24,37,40,46,54
13,37,59,76,77,86,88,97
2,20,32,66,68,74,92,100
1,2,9,43,44,46,91,99
8,41,55,63,64,67,75,76
13,15,25,33,41,44,66,99
10,45,62,79,86,91,98,99
34,39,43,48,76,88,91,95
3,14,31,58,61,84,86,91
21,33,34,50,81,86,92,93
2,21,29,45,60,74,88,89
3,14,16,42,58,77,91,99
8,19,21,46,50,88,92,98
1,12,27,41,47,61,88,94
29,35,36,47,53,64,71,97
1,4,10,12,18,38,58,68
3,5,20,24,57,63,71,81
8,29,30,54,59,69,75,89
48,52,61,68,75,83,99,100
8,19,26,45,56,62,87,99
10,22,23,36,54,63,64,90
6,50,53,55,66,84,85,98
7,31,56,61,76,85,89,95
31,33,35,50,58,64,87,96
24,40,49,52,73,82,84,95
6,9,16,36,40,42,53,70
1,7,11,19,20,25,79,91
22,38,47,62,70,79,84,96
1,12,14,49,55,67,88,95
31,34,47,71,79,83,91,100
2,7,23,25,44,69,82,87
20,39,40,43,52,66,83,88
7,8,23,43,53,73,86,99
7,14,17,24,48,59,70,76
12,28,48,52,64,69,77,99
3,4,13,24,25,30,70,95
10,14,20,40,42,64,67,80
27,31,55,67,75,87,88,93
2,4,15,31,32,47,53,72
19,31,53,55,68,76,77,82
1,19,26,36,44,50,68,95
22,25,36,45,51,62,70,97
15,20,28,32,37,57,71,81
3,30,38,45,56,93,94,96
10,14,24,35,37,40,42,50
32,36,49,61,79,90,91,92
16,24,34,37,47,60,64,98
11,27,36,67,81,83,90,96
16,35,43,51,53,62,75,83
8,14,16,26,37,49,56,74
6,16,35,47,55,68,69,85
2,3,32,49,54,83,89,95
2,38,42,43,46,54,65,66
18,28,42,54,61,74,93,94
5,33,51,54,56,75,76,87
10,28,30,40,69,77,87,90
35,46,52,73,85,87,96,97
33,35,47,57,60,70,77,96
12,21,36,47,59,60,89,97
7,21,22,30,32,53,65,83
16,31,39,45,53,76,79,91
8,17,34,39,64,67,78,98
7,10,11,22,24,36,41,83
1,22,30,31,33,71,87,92
5,13,14,28,53,60,63,97
8,22,31,59,65,68,70,97
7,16,20,27,53,75,89,97
14,18,25,35,42,52,82,88
30,48,52,53,57,85,88,100
7,20,23,34,65,73,84,91
20,22,23,38,50,60,79,87
6,23,26,55,61,80,86,88
11,21,25,43,62,65,85,88
19,38,41,48,54,58,74,77
3,7,13,29,33,51,85,98
17,56,57,83,86,87,92,98
27,28,37,54,59,63,68,77
15,28,42,61,62,69,82,88
3,17,29,30,46,52,70,87
8,33,46,65,73,76,85,89
9,14,18,29,36,56,97,100
12,28,56,64,69,86,87,93
23,34,48,51,73,82,83,95
17,19,26,35,49,70,87,99
28,31,34,38,45,51,73,87
10,18,21,37,39,54,78,85
2,24,36,43,44,51,54,92
8,17,22,31,37,40,44,75
12,23,27,44,59,60,76,84
4,6,11,22,43,65,83,92
1,5,30,50,56,58,68,91
25,27,28,31,38,54,81,88
2,7,14,16,34,42,62,80
17,30,44,50,57,73,88,92
23,36,40,41,44,62,70,77
2,10,14,17,29,45,53,76
6,11,20,40,52,56,58,95
12,17,26,30,36,40,41,51
17,30,36,49,74,76,95,96
2,4,8,11,25,42,85,98
4,17,37,41,53,65,70,95
27,28,36,45,58,70,90,97
32,37,47,48,50,52,54,81
16,21,23,27,38,40,76,80
10,36,65,68,70,74,76,98
5,9,10,25,28,35,59,84
3,5,24,29,30,37,50,70
2,36,64,72,77,80,81,97
3,4,12,24,37,67,76,79
1,24,63,67,77,83,91,92
29,37,42,45,47,55,68,76
1,7,9,10,13,39,40,42
24,36,54,56,88,93,95,99
1,23,37,40,72,93,99,100
13,22,34,35,37,56,83,89
14,17,20,49,58,70,82,86
16,18,32,37,73,81,89,99
14,29,34,47,55,69,85,91
10,32,36,41,57,78,92,99
5,11,35,52,74,77,88,94
21,27,49,54,66,78,83,100
16,19,23,48,49,65,67,71
5,17,23,25,56,72,73,99
1,7,14,35,47,50,70,92
7,8,32,37,40,50,58,100
1,4,16,21,55,56,66,96
3,15,22,37,52,59,87,100
1,2,45,53,63,68,77,81
11,20,25,64,69,75,76,97
28,30,32,37,38,41,59,76
4,9,10,11,30,42,58,75
5,19,39,66,75,78,82,86
24,38,40,42,65,70,82,98
21,23,24,31,43,63,66,99
5,29,30,47,52,55,73,92
17,32,35,55,66,67,88,94
5,35,37,45,76,79,96,98
15,29,30,47,56,64,71,77
19,20,23,33,35,51,53,60
6,31,33,48,55,80,93,94
9,24,57,64,65,67,68,85
10,35,37,40,41,59,61,80
15,16,45,49,51,72,86,94
4,21,23,56,74,81,83,88
9,19,25,37,54,56,70,72
1,3,6,33,58,75,79,80
5,7,32,51,63,64,77,89
1,21,32,51,53,77,82,87
7,26,29,74,77,86,87,91
18,22,27,39,61,69,81,98
4,21,32,41,46,49,54,93
5,37,41,51,54,57,63,84
7,8,19,70,71,79,81,98
10,17,38,53,66,72,84,89
2,16,34,43,48,64,83,85
16,27,31,59,68,69,82,86
7,10,22,32,34,52,56,77
4,15,16,29,34,48,49,65
22,25,39,45,69,77,79,92
12,21,22,30,59,77,90,92
3,16,17,23,31,66,87,97
3,4,8,20,47,53,79,91
27,28,43,46,52,71,83,88
42,50,59,67,73,78,87,91
34,40,42,49,52,74,87,93
5,16,24,29,34,49,73,98
8,35,48,50,62,64,82,86
10,11,35,51,57,77,86,95
7,9,15,49,65,69,86,96
4,25,29,32,33,62,72,96
5,17,19,24,41,49,61,78
13,16,21,66,68,76,85,87
42,50,61,70,73,77,82,90
9,27,36,48,54,55,70,82
15,17,20,33,50,61,72,90
26,44,47,65,80,81,83,93
8,23,32,37,44,72,78,94
4,24,41,53,59,76,82,100
15,50,56,59,74,76,80,81
1,23,44,50,60,68,74,80
24,32,44,53,66,75,80,89
25,45,46,61,62,74,77,80
35,38,50,54,56,63,90,98
1,11,31,32,51,79,88,89
9,21,24,41,46,73,76,99
1,25,27,30,50,52,72,100
12,19,21,27,39,46,86,88
5,35,39,41,44,73,86,92
28,49,50,52,64,70,83,97
7,31,38,40,48,68,90,93
16,25,48,58,76,77,78,99
7,13,25,35,69,81,84,90
29,48,51,66,73,84,94,99
8,10,18,20,37,42,46,97
5,14,23,29,62,80,88,100
9,25,38,61,76,81,88,94
13,35,37,40,57,82,93,96
17,37,43,54,62,71,98,99
3,15,34,63,67,89,92,94
2,34,43,50,53,61,64,66
6,8,10,17,18,34,49,60
16,18,34,48,54,66,70,91
2,7,9,48,52,63,65,73
3,5,18,23,42,48,62,96
35,46,51,53,58,84,97,99
23,26,28,35,52,73,81,86
21,24,32,54,66,67,88,94
5,7,56,73,77,82,90,98
1,6,9,11,27,46,52,96
14,26,58,59,63,72,90,98
19,21,23,31,36,46,72,86
9,28,48,66,82,89,90,100
22,23,35,36,37,82,88,94
28,38,54,60,64,83,84,93
3,7,13,24,30,54,88,91
54,58,59,65,72,73,77,96
7,18,19,21,67,74,89,92
7,17,26,31,45,51,62,94
7,12,15,34,65,71,81,86
7,43,50,60,65,71,84,88
17,32,39,49,58,64,81,91
12,18,26,37,54,71,95,96
1,20,32,43,49,58,69,89
14,16,44,54,62,67,78,82
25,26,51,59,63,64,72,73
7,21,24,45,57,63,67,99
24,28,43,61,64,77,93,100
3,14,21,31,45,52,64,95
14,18,23,26,40,52,72,76
9,13,22,38,48,52,53,86
40,59,72,73,77,85,87,89
3,19,34,41,46,60,76,77
6,28,32,35,53,77,78,83
15,26,39,43,44,71,86,90
1,12,54,59,82,87,88,97
12,25,33,34,37,67,90,97
8,17,19,20,27,37,78,85
2,28,31,40,44,53,66,96
1,25,33,34,36,61,71,99
14,23,63,65,69,76,87,92
2,4,14,17,32,39,57,82
8,14,22,29,35,50,52,61
7,15,20,24,28,36,71,81
20,24,43,67,69,72,76,92
35,54,60,69,82,87,89,100
2,16,18,41,43,51,83,99
9,12,51,70,72,84,94,98
3,11,40,50,57,58,76,79
3,12,19,43,48,78,90,99
5,20,24,27,31,65,96,97
6,22,24,50,57,60,87,92
20,22,46,47,71,84,94,98
17,25,26,30,32,35,66,67
3,19,39,46,50,57,60,71
14,27,30,40,43,65,82,89
10,32,52,59,68,82,83,91
1,18,20,42,55,59,62,69
17,20,39,40,52,69,78,80
16,19,29,37,51,67,71,97
17,44,52,59,67,74,88,91
10,13,26,30,33,38,41,85
33,40,42,43,64,66,67,94
8,20,26,36,39,72,75,90
3,7,15,34,63,67,72,83
14,15,17,42,63,66,73,97
16,46,64,71,86,91,96,100
5,8,19,21,52,62,90,95
39,41,43,54,62,63,68,93
2,21,29,45,47,66,83,100
7,22,51,70,76,81,85,100
16,29,30,58,66,70,75,96
13,15,27,67,82,89,91,94
4,19,29,45,50,81,84,89
27,29,35,51,52,83,95,97
12,28,47,62,68,72,83,94
14,27,28,45,60,74,89,95
4,40,47,63,64,72,75,91
3,24,32,70,73,75,84,85
1,7,57,78,88,96,97,100
1,11,17,27,43,52,94,95
23,25,27,42,46,62,68,100
13,25,60,68,69,87,89,100
11,12,13,41,45,83,95,99
13,20,22,45,48,74,83,96
19,21,22,39,40,75,94,100
1,6,11,28,41,79,90,99
16,20,30,39,61,62,80,89
1,8,10,19,63,76,83,97
19,29,52,53,59,68,73,79
13,16,28,44,51,58,63,87
5,10,18,60,77,85,86,96
28,41,44,69,79,91,97,99
1,8,10,16,19,31,63,86
11,29,37,40,44,67,81,91
21,25,39,41,42,43,53,58
2,25,32,52,54,55,79,98
3,30,32,50,79,87,94,95
12,54,55,69,70,80,93,100
1,6,17,21,25,47,52,86
15,17,25,41,43,59,76,94
32,36,41,49,69,72,81,83
17,20,42,61,67,73,74,95
1,17,21,24,28,42,62,68
18,26,33,50,57,75,78,99
13,15,31,33,57,62,80,88
26,35,38,46,49,59,76,79
10,11,13,14,20,29,50,76
2,15,17,47,57,60,72,88
47,48,52,56,79,81,86,93
11,15,22,27,41,52,62,79
12,28,34,37,53,64,82,97
14,21,59,62,70,76,93,94
4,7,13,14,16,41,53,81
