"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
20,21,23,36,43,46,56,57,75,78,79,80,87,95,96,97
50,59,64,65,66,73,74,75,81,86,92,93,94,96,99,100
36,38,46,53,61,63,65,68,72,84,86,88,89,94,95,100
32,37,38,47,48,53,54,55,59,76,80,88,91,93,95,97
44,50,53,63,68,74,76,80,82,83,88,89,91,96,98,99
34,47,48,52,57,60,66,69,72,73,77,78,85,89,91,96
37,42,43,47,61,62,69,70,75,76,80,89,91,92,94,98
44,47,53,54,57,59,62,76,77,78,80,86,95,96,97,98
53,59,62,63,71,74,75,78,88,89,90,91,93,95,97,100
30,46,54,58,64,73,74,79,80,81,85,87,88,89,94,96
29,38,58,65,67,71,72,78,83,86,87,88,91,92,94,98
26,27,42,58,60,64,65,66,68,69,71,85,86,91,94,96
26,51,53,57,59,62,70,72,74,75,78,82,83,86,92,93
30,36,42,55,67,69,71,77,78,88,91,92,94,95,98,99
18,21,35,48,51,67,68,72,76,77,88,92,93,94,95,100
30,38,40,42,53,56,61,62,64,65,66,71,81,91,94,100
32,33,36,39,41,46,55,56,58,59,60,73,82,91,92,97
32,37,42,53,54,63,64,65,72,76,77,79,83,86,87,92
39,53,62,63,64,67,71,78,79,80,82,83,84,90,92,93
38,42,46,48,61,62,74,77,80,81,87,89,91,92,96,100
9,12,42,56,58,60,69,74,81,82,84,85,86,87,95,99
41,48,51,52,55,64,66,81,84,86,87,89,90,95,97,99
36,37,39,46,48,51,55,57,59,74,83,84,91,95,98,99
40,45,53,58,61,63,69,73,75,76,82,83,88,90,97,98
28,31,37,39,50,51,55,57,65,72,76,85,86,91,98,100
38,57,60,62,66,67,70,72,74,75,76,79,81,82,95,96
8,29,43,53,61,63,67,75,76,89,90,92,93,95,96,100
25,32,53,59,63,69,70,73,78,80,83,86,89,95,98,99
7,14,33,34,50,53,60,65,66,74,83,91,92,97,99,100
12,15,25,35,45,56,63,70,76,84,87,89,94,95,97,99
30,38,42,45,49,55,56,62,63,64,67,71,95,96,97,99
36,41,53,54,58,60,64,65,72,73,76,83,86,91,96,98
29,48,57,67,70,75,83,86,87,91,92,93,95,96,98,99
31,41,43,50,53,56,61,62,76,77,80,82,83,84,92,100
38,42,44,47,56,58,59,60,75,77,78,86,87,91,94,99
15,25,28,42,48,58,66,67,68,69,84,86,92,94,96,99
33,44,47,52,59,60,63,76,79,81,84,89,90,91,92,96
21,28,39,50,63,65,66,69,70,72,75,78,89,91,92,94
41,50,55,57,59,65,67,72,75,77,80,86,91,94,97,99
18,19,26,37,64,66,68,69,71,73,74,80,89,93,98,99
23,27,28,45,48,53,54,55,57,59,66,76,79,80,88,93
40,55,58,62,69,70,77,80,83,86,89,90,92,94,95,98
16,37,39,42,48,50,58,66,70,75,77,78,79,82,86,91
18,31,39,55,58,62,65,73,74,75,77,79,80,88,92,97
21,35,38,43,53,54,55,57,71,72,82,89,93,95,97,99
21,52,64,73,74,75,76,82,83,85,86,88,90,91,93,98
12,29,48,51,54,56,58,59,61,66,67,71,74,78,82,87
37,50,55,57,59,61,65,72,73,74,75,76,77,79,89,90
27,35,44,46,49,54,65,69,70,71,75,85,92,95,96,98
21,47,49,52,57,61,63,64,66,72,81,86,88,91,93,98
16,31,35,49,52,58,68,69,79,83,85,86,88,96,98,99
14,18,23,37,48,49,51,56,63,72,73,79,95,98,99,100
41,49,50,51,57,58,62,64,68,73,77,79,88,90,95,96
15,34,37,40,43,46,63,74,80,82,83,91,94,95,97,99
