"V1","V2","V3","V4"
43,48,72,88
27,35,63,78
21,59,80,81
43,73,77,80
40,50,89,98
43,57,86,94
25,44,74,95
52,77,86,93
34,74,80,100
54,62,96,98
57,76,77,78
58,64,83,85
50,51,87,94
40,55,85,95
40,58,89,95
50,65,89,95
51,71,87,92
23,52,71,88
32,67,89,98
67,92,98,99
39,55,60,67
30,55,57,74
62,73,78,89
12,71,93,98
21,58,75,86
32,39,78,94
23,76,89,96
30,43,55,95
67,69,71,97
49,76,77,81
46,71,76,96
39,53,88,91
74,87,94,95
24,60,87,90
23,42,59,61
91,95,96,98
58,59,70,83
45,51,72,81
57,74,98,99
45,65,69,96
61,82,94,97
48,67,72,86
31,69,87,90
55,74,80,99
46,61,75,85
23,69,70,88
44,70,81,83
27,83,84,86
22,49,77,85
45,51,61,79
24,57,84,100
24,29,64,73
42,51,63,89
54,68,85,86
49,54,72,93
44,58,88,97
31,80,89,91
58,92,96,99
28,62,67,83
58,86,89,95
39,83,87,99
33,67,77,94
58,73,80,83
54,56,62,87
30,56,93,95
21,40,46,63
44,87,89,95
36,47,50,97
35,62,77,98
30,51,57,58
47,55,63,100
40,52,65,89
34,55,92,93
32,34,45,100
49,62,77,96
51,79,92,100
42,47,52,53
39,78,82,89
26,52,85,93
36,45,67,76
16,72,85,96
34,48,63,88
41,61,70,73
52,56,62,86
33,70,90,93
23,46,93,99
26,29,36,98
33,55,82,97
39,78,88,99
59,71,88,99
30,46,98,100
56,63,86,98
36,49,73,78
53,87,94,95
24,84,87,88
51,55,90,96
35,40,57,58
39,56,72,80
40,45,75,97
65,71,79,81
28,45,56,96
43,72,84,99
69,80,92,95
10,75,82,91
28,79,80,93
79,83,91,92
53,57,81,85
35,62,86,88
54,69,76,85
37,50,56,83
52,62,68,87
33,45,70,80
11,62,63,87
81,86,88,97
37,45,78,90
54,60,77,90
16,56,77,98
50,60,62,89
23,78,99,100
42,91,96,99
26,54,62,78
32,87,89,96
77,91,93,96
66,84,87,89
38,64,84,85
61,66,70,83
6,27,67,89
18,84,94,97
14,78,86,87
55,75,95,96
38,58,59,71
41,79,80,94
18,42,56,100
44,51,61,62
31,63,92,97
30,37,69,94
28,54,58,75
46,72,83,94
23,61,66,90
31,38,49,63
83,88,93,98
32,49,65,100
82,94,95,96
39,40,86,97
60,72,77,85
24,84,99,100
15,42,47,81
40,52,76,87
59,80,89,98
31,75,76,88
67,69,87,90
34,74,80,100
82,88,93,97
48,62,87,94
41,56,73,88
41,54,75,98
43,51,75,98
59,84,90,93
36,55,91,92
49,59,71,98
48,74,82,87
43,55,74,99
58,61,81,88
58,70,76,80
38,45,74,92
36,51,66,71
49,62,80,100
68,75,88,95
33,56,69,83
46,56,73,98
8,60,80,97
34,45,54,90
43,70,84,92
49,54,73,97
45,61,89,98
18,23,47,99
53,85,86,99
70,81,85,93
33,58,66,68
64,80,93,97
35,55,85,91
46,59,60,76
18,30,46,82
60,70,76,79
54,78,84,99
50,61,64,81
21,68,77,96
50,64,65,87
73,90,93,99
59,73,84,97
51,59,74,95
67,81,85,98
18,71,72,92
45,63,87,94
57,60,67,97
34,62,69,100
55,59,72,77
45,56,62,64
46,64,71,80
15,55,63,76
41,46,56,64
38,52,61,85
38,43,89,94
48,61,63,99
64,69,84,85
61,64,79,100
32,59,62,93
50,64,72,90
27,83,88,92
25,38,55,97
34,59,81,98
61,82,83,93
47,81,87,100
43,59,98,100
57,62,67,69
68,73,84,97
6,20,77,94
43,49,74,84
27,65,77,89
27,81,84,91
54,61,91,98
13,46,77,92
37,61,63,79
49,52,66,73
63,83,93,95
17,50,57,86
49,57,65,97
47,57,58,80
13,45,73,80
43,82,93,98
21,76,81,90
68,77,95,97
33,39,45,88
7,50,90,91
35,70,80,97
16,31,57,74
25,41,62,67
12,19,58,59
41,58,77,90
46,75,79,93
43,51,58,98
41,63,83,94
62,71,82,96
53,87,90,96
27,45,72,94
33,37,64,66
76,78,91,93
52,63,87,96
50,77,83,99
48,58,62,71
23,57,82,91
17,36,61,74
81,86,90,91
37,42,70,92
30,67,68,80
58,59,90,98
24,46,99,100
24,44,90,100
36,92,93,95
28,60,73,92
47,81,90,97
73,80,92,95
11,76,79,80
42,74,81,92
61,70,83,99
56,62,77,92
52,77,88,91
51,64,80,93
40,64,72,98
30,57,63,70
31,55,80,97
42,67,70,94
29,52,54,96
43,66,77,89
42,69,96,99
39,46,61,86
32,53,71,88
64,90,93,99
28,63,88,93
36,38,81,86
37,53,64,89
50,87,91,94
55,65,81,97
53,61,62,77
78,80,86,97
65,71,73,93
35,44,55,99
48,66,75,78
85,86,94,97
37,67,69,78
31,48,87,94
46,63,91,96
32,47,90,92
27,55,72,83
37,69,73,97
50,75,84,87
54,75,84,85
53,63,68,99
39,42,56,95
39,82,84,88
18,53,82,97
