"V1","V2","V3","V4","V5","V6","V7","V8"
64,67,79,87,93,94,97,98
43,57,65,76,85,87,88,93
10,35,43,47,48,64,92,94
53,57,62,64,73,74,87,94
28,29,70,78,87,88,96,97
36,42,58,59,67,72,79,94
31,53,55,71,72,77,84,97
25,27,39,69,76,77,86,100
58,62,72,74,76,85,91,93
16,52,64,70,75,76,90,94
13,21,30,65,82,84,94,100
40,43,50,62,63,66,76,79
26,46,61,65,85,87,90,97
36,39,43,46,65,72,74,85
38,48,54,59,64,79,91,93
28,33,35,60,61,67,70,81
43,47,53,73,76,85,92,97
11,33,53,54,69,71,78,95
13,49,53,67,71,78,82,96
43,44,64,68,81,86,90,96
19,51,64,69,76,79,86,98
9,34,48,62,63,65,75,77
32,36,61,62,85,90,95,96
61,63,66,79,83,86,93,94
19,22,33,37,49,66,89,93
22,45,81,84,91,93,95,98
59,62,68,70,80,88,92,96
46,70,75,82,83,90,91,99
19,46,68,73,74,81,95,99
40,45,61,62,63,81,85,99
45,50,62,64,67,74,77,85
41,59,60,76,77,83,86,93
37,39,42,51,76,78,88,89
21,26,45,68,70,73,93,98
46,50,58,61,68,81,83,92
26,60,68,73,78,82,84,96
43,68,71,73,89,96,98,99
31,33,71,83,84,87,91,98
38,55,65,67,73,76,78,86
9,38,46,53,72,73,87,93
10,53,84,85,87,95,96,98
41,54,57,58,66,74,88,97
20,33,37,56,61,70,72,73
31,36,57,64,68,89,97,99
45,78,79,81,82,84,95,99
14,19,39,72,83,89,90,99
41,55,60,64,69,72,92,93
24,40,53,61,63,71,89,94
23,26,52,54,55,73,79,86
18,39,54,68,69,73,86,87
11,30,45,53,81,82,84,95
20,43,68,69,89,91,98,100
27,63,67,77,85,94,96,98
24,29,37,63,64,73,79,84
26,32,33,51,61,74,87,88
15,38,52,69,70,83,92,98
37,40,42,52,65,70,81,92
71,78,81,87,88,94,96,98
54,63,75,87,92,93,99,100
39,45,57,65,72,83,87,96
19,23,45,49,54,57,58,86
41,43,54,62,79,90,91,93
12,31,49,53,61,74,80,91
17,36,71,75,88,95,96,100
24,51,58,61,72,76,82,97
45,49,53,61,63,74,75,98
43,51,52,59,60,61,69,90
35,37,54,80,81,86,94,100
44,57,68,70,76,82,91,94
32,41,60,77,87,90,92,100
48,63,65,70,72,79,85,88
33,38,50,72,78,82,86,88
49,71,86,89,92,94,96,97
25,59,60,61,64,79,86,97
31,36,44,64,68,74,75,99
44,64,74,77,85,89,93,95
13,22,38,41,64,75,89,92
46,62,64,81,82,95,98,100
13,43,53,59,69,82,89,100
51,58,63,73,79,95,99,100
13,42,44,71,72,80,81,86
18,58,62,65,68,69,75,85
8,67,68,73,74,77,79,86
44,48,64,67,85,89,91,93
60,73,78,83,87,92,95,97
37,63,68,80,89,91,93,95
30,51,53,57,72,79,80,94
44,67,74,79,84,85,94,98
46,53,56,69,83,88,93,94
52,54,59,73,79,93,94,100
52,58,61,70,82,95,96,99
65,67,69,74,76,82,85,86
19,42,64,65,80,81,89,99
49,69,70,81,89,90,94,96
12,37,57,66,71,93,94,96
17,64,74,79,82,87,94,98
22,26,39,48,51,68,79,98
34,50,70,75,83,84,92,96
13,66,70,75,78,88,97,99
