"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
6,15,22,23,33,35,37,38,43,53,55,61,62,70,75,76
15,17,20,31,36,39,40,41,45,56,67,70,80,83,91,100
4,12,21,23,34,37,44,47,53,54,65,67,74,86,90,99
4,5,17,24,26,31,32,36,39,47,48,51,54,60,79,86
2,16,18,22,25,27,28,30,35,55,60,67,70,75,86,90
1,12,17,21,23,46,53,56,65,67,68,73,81,87,90,98
10,19,22,29,32,36,40,57,59,60,70,86,89,90,91,96
1,9,14,17,18,32,34,40,42,52,54,58,67,75,76,86
2,4,7,11,12,17,29,35,38,55,70,78,79,81,90,95
3,12,14,21,29,35,36,40,42,43,50,58,64,66,84,91
3,8,10,13,15,22,26,33,45,50,56,59,69,77,93,97
1,2,11,22,36,45,47,48,51,53,61,71,75,77,90,96
6,31,37,38,39,40,44,49,61,68,72,82,84,88,90,95
10,11,21,24,33,37,40,49,50,53,64,68,72,74,84,98
1,2,10,15,18,42,47,53,59,71,82,89,90,94,95,97
10,11,12,18,21,23,33,52,62,64,65,70,72,75,88,99
10,14,15,20,41,43,49,50,51,52,60,62,68,75,83,85
2,11,17,28,30,33,38,46,48,55,65,75,76,81,92,99
13,27,44,51,53,55,59,65,66,72,84,88,90,95,97,99
1,3,4,6,12,13,14,16,23,26,42,46,77,78,98,99
5,36,37,39,40,45,51,66,73,74,75,80,83,85,96,97
15,23,24,41,50,60,64,65,68,75,80,84,85,89,94,95
1,7,9,20,29,30,35,41,45,52,63,69,73,77,81,97
13,16,25,26,31,42,45,46,55,56,76,77,78,81,83,98
2,21,22,28,45,51,52,58,59,64,66,68,78,86,94,100
8,21,22,29,35,37,43,46,50,53,56,67,69,79,85,93
1,3,4,8,11,25,29,39,61,62,66,82,87,91,96,100
9,22,24,25,26,31,33,49,51,58,59,69,76,79,84,98
5,13,24,26,35,44,50,51,57,60,70,75,86,88,95,99
2,17,27,29,32,34,35,45,47,48,49,50,60,84,86,100
9,11,14,25,28,32,34,46,47,50,63,67,71,82,88,95
10,16,25,28,34,42,44,54,57,60,64,70,77,82,83,99
1,9,12,22,26,36,39,40,62,67,71,74,79,89,92,94
1,18,20,28,33,36,51,58,60,65,67,76,78,85,92,98
4,18,20,25,26,49,55,56,58,59,60,61,73,74,94,97
22,30,37,40,44,49,56,59,64,70,71,79,81,83,91,92
6,7,15,26,29,47,49,58,63,76,78,81,83,85,94,96
5,8,13,15,22,23,24,38,43,50,69,71,73,76,84,97
8,9,16,19,23,24,34,42,48,53,54,63,71,72,84,86
2,3,15,21,23,27,33,54,65,66,69,76,82,89,92,96
9,10,19,22,25,33,39,46,48,54,62,70,81,85,92,100
9,13,21,22,23,25,29,39,48,65,78,84,85,86,90,95
3,10,19,20,29,34,50,65,66,68,79,80,85,86,93,99
1,12,18,20,27,32,38,52,56,63,71,78,83,88,94,95
1,6,8,15,24,45,49,50,55,57,64,70,73,87,90,95
4,5,9,18,21,22,27,28,40,54,67,79,82,87,92,96
1,3,7,12,16,20,23,27,35,44,51,60,63,66,69,71
3,14,24,27,42,47,49,54,56,68,71,75,80,86,88,89
6,13,17,18,19,21,25,32,67,68,73,74,80,81,86,93
3,27,29,36,41,43,45,48,60,72,74,76,80,83,84,88
5,6,12,18,21,44,53,66,70,76,79,83,90,93,98,100
3,15,17,18,20,30,37,38,39,42,44,52,76,89,93,100
2,7,17,22,24,27,36,45,49,51,57,61,75,76,90,95
1,4,12,16,26,30,37,49,52,53,55,59,71,75,89,94
1,2,3,8,13,32,55,66,71,72,74,75,76,88,95,96
6,11,14,25,30,33,34,38,46,48,54,58,62,68,76,97
1,2,7,19,27,39,46,48,54,58,62,70,86,94,98,99
5,6,11,18,25,27,31,32,53,56,63,64,71,83,84,97
5,22,28,52,57,65,68,75,76,86,88,90,92,93,97,98
1,3,33,43,44,49,52,54,69,70,77,79,82,85,86,91
5,6,11,12,23,31,33,36,37,39,42,48,53,65,70,95
29,34,41,43,50,53,64,65,71,73,74,80,88,89,90,94
5,6,20,23,27,37,38,58,66,68,74,79,84,86,90,97
1,7,24,28,29,34,43,47,54,56,58,77,82,83,87,90
3,10,16,23,28,40,43,48,56,57,58,73,80,82,83,90
4,9,15,18,27,32,49,51,52,58,59,62,78,85,96,100
3,9,10,12,15,16,27,32,33,40,49,60,67,83,84,100
10,18,29,32,34,44,50,54,60,61,70,80,81,85,90,96
5,18,19,20,24,25,26,33,49,50,64,91,92,93,94,99
6,16,23,24,34,37,38,69,72,75,80,82,87,90,91,92
2,14,20,23,26,32,38,40,45,65,67,74,77,81,90,97
1,14,22,24,35,42,46,47,51,53,61,71,84,88,90,99
1,6,13,14,20,22,35,36,45,54,57,58,61,69,93,100
23,28,38,43,49,52,54,67,71,72,79,84,87,89,93,96
9,34,37,46,52,54,61,65,67,70,71,83,88,89,97,98
