"V1","V2","V3","V4"
10,36,46,74
25,31,42,51
57,76,81,94
25,57,78,86
2,35,85,98
16,59,75,79
21,26,45,64
7,21,29,69
7,42,62,64
7,60,65,87
17,69,70,84
6,30,56,66
52,82,90,100
3,12,77,98
6,10,67,96
31,52,71,100
31,67,78,79
5,11,63,74
45,52,73,98
24,37,38,54
12,77,89,95
20,38,57,81
1,44,83,94
37,42,77,92
7,12,36,86
23,28,31,50
4,7,28,66
8,24,31,47
10,43,75,81
19,40,64,85
4,24,53,72
21,71,80,86
16,21,37,61
4,5,35,78
23,43,76,81
12,32,38,53
32,66,74,85
2,8,11,50
19,36,38,40
31,44,47,87
66,77,80,81
36,39,91,96
11,42,73,95
35,40,83,99
45,46,84,86
9,11,36,98
18,55,64,65
17,25,33,79
9,22,41,78
45,50,60,97
13,45,62,86
10,47,53,93
37,46,68,73
20,32,78,83
3,42,87,89
73,74,90,97
23,50,64,72
26,48,49,72
15,31,61,89
3,12,37,56
13,25,50,67
36,39,69,74
44,54,64,87
14,53,82,92
26,76,89,96
13,61,70,75
3,5,44,53
11,21,23,45
7,20,24,75
9,54,76,92
11,20,47,59
11,38,47,76
11,28,32,82
5,16,53,56
7,23,29,80
41,69,82,92
6,16,36,83
28,54,62,91
34,37,59,64
1,7,11,87
47,74,84,100
22,42,46,99
10,30,68,98
30,49,66,99
4,16,66,85
25,28,41,61
8,44,62,75
6,39,50,82
14,59,65,93
26,51,72,89
40,74,81,85
10,13,14,45
23,61,77,97
60,70,79,98
7,23,35,65
4,13,61,69
6,31,69,82
61,70,74,90
23,27,82,98
5,19,22,46
1,19,20,47
61,65,81,93
10,24,49,63
11,16,33,88
11,29,36,52
57,60,64,68
5,27,39,63
20,50,58,77
6,65,66,87
9,20,23,80
25,58,99,100
13,24,45,97
17,39,42,52
4,15,24,99
4,8,47,48
13,41,47,49
2,51,81,85
2,47,86,96
16,38,67,77
18,36,39,98
27,51,69,79
4,17,28,84
78,80,89,93
16,28,50,60
18,38,45,74
58,70,71,100
50,60,67,69
12,22,29,96
7,62,77,98
2,34,54,71
31,65,84,93
41,46,81,91
36,42,96,99
24,28,31,58
4,18,79,85
30,39,72,85
7,45,68,99
7,17,60,91
5,65,79,81
27,60,65,73
6,31,40,93
6,29,37,64
18,50,52,67
13,36,54,77
15,34,70,88
10,53,73,93
2,18,85,96
56,81,92,96
9,56,58,82
7,45,54,74
4,23,48,55
29,49,66,90
16,31,48,63
53,71,72,81
17,25,41,95
8,20,46,87
19,20,35,51
27,38,61,71
7,71,72,74
3,42,46,59
15,27,47,98
15,37,39,82
39,40,81,95
11,51,78,81
32,49,50,98
2,35,66,99
15,82,85,98
25,54,63,83
52,60,64,79
51,71,77,79
25,38,58,93
12,31,75,87
39,53,56,84
24,76,82,94
6,38,43,74
1,37,39,53
31,32,69,76
33,72,80,93
6,17,72,89
13,39,44,53
3,11,13,34
31,57,71,80
18,24,29,34
16,21,41,68
3,34,49,85
3,34,53,74
34,41,47,76
6,46,55,84
16,61,77,98
28,66,75,85
27,59,64,93
28,67,88,92
10,38,53,58
2,10,17,46
9,52,74,97
2,33,51,69
5,61,81,100
22,63,84,95
27,33,34,71
17,40,74,84
30,44,54,87
6,41,45,78
7,14,35,95
32,38,66,68
24,46,53,80
23,25,66,83
5,45,86,88
28,43,52,66
31,38,66,71
3,40,64,76
17,18,24,40
3,30,41,49
3,25,74,95
23,33,66,76
4,45,82,91
36,70,74,75
5,7,52,57
6,37,44,76
25,43,59,84
14,75,93,96
5,11,21,91
46,56,58,78
7,46,58,91
6,17,68,81
1,33,53,61
17,24,38,99
11,25,54,66
34,38,55,86
24,32,57,98
10,12,42,80
14,32,84,87
17,27,88,95
13,43,63,86
21,52,61,67
80,88,97,99
2,41,44,60
60,63,71,78
14,33,72,87
36,66,68,98
8,81,87,90
39,73,90,93
12,19,36,54
13,58,59,84
7,21,23,47
1,15,88,96
33,34,44,70
17,22,43,63
23,44,45,58
11,14,56,91
11,16,40,61
38,55,66,71
18,49,84,90
20,70,81,96
12,36,43,62
9,44,76,89
19,27,51,72
3,24,43,81
3,26,33,87
27,55,86,96
31,64,77,79
30,43,54,71
9,29,38,45
56,78,79,83
2,7,13,46
56,66,89,94
5,43,58,96
25,44,75,84
23,60,90,99
2,10,69,91
14,21,72,91
60,63,75,96
10,20,44,49
20,53,75,94
22,39,43,45
5,22,70,95
39,74,91,100
16,46,63,84
21,30,38,93
10,21,68,76
24,41,54,76
17,74,78,82
9,50,68,92
3,20,42,91
8,11,33,70
53,72,91,95
26,56,68,78
6,13,52,55
10,26,73,92
29,64,87,90
71,81,85,91
1,16,50,56
41,49,87,95
16,43,87,98
29,57,62,86
1,9,52,91
9,12,27,73
10,62,73,83
10,30,82,95
26,31,34,94
25,27,82,90
4,31,40,84
7,33,73,84
7,40,55,97
42,58,60,74
9,51,61,88
20,34,48,83
19,77,79,91
8,25,38,68
37,59,81,90
3,45,63,84
1,21,44,66
3,19,29,36
11,32,36,60
18,45,56,66
35,56,76,87
15,72,79,97
30,69,84,91
78,81,82,84
2,27,31,60
23,42,78,96
13,24,83,99
46,67,75,81
30,34,54,77
40,51,72,97
5,34,62,74
2,48,55,83
14,63,83,86
13,27,45,87
3,21,39,65
28,47,67,74
6,9,52,56
23,35,41,91
32,43,67,100
16,69,70,96
8,22,34,71
29,35,44,93
17,55,89,100
11,58,82,99
38,40,50,86
42,46,59,79
4,29,48,98
1,23,63,67
50,71,84,99
24,62,71,96
8,16,65,95
37,43,45,50
32,38,58,80
22,50,71,79
21,22,72,91
21,74,91,94
35,42,46,81
1,9,51,67
8,16,19,80
28,46,47,63
6,31,70,92
10,46,72,83
15,20,67,72
18,68,85,97
3,38,70,85
15,65,87,99
24,63,93,99
40,42,52,78
16,22,24,45
32,48,54,65
19,34,75,92
27,63,82,85
20,23,29,87
11,25,70,89
4,17,87,100
19,44,67,68
7,16,74,88
8,14,53,94
29,66,84,100
28,41,65,100
1,25,31,32
9,24,74,90
14,47,82,97
8,18,20,81
9,13,80,92
11,21,49,75
25,32,51,67
5,54,73,83
15,21,38,60
41,52,74,83
17,82,90,97
36,49,57,60
40,52,82,85
14,33,45,62
30,87,88,92
4,56,75,96
29,62,65,92
43,68,82,97
26,53,80,85
50,51,53,69
12,54,88,98
20,21,80,94
17,89,96,97
6,88,97,98
5,7,60,91
