"V1","V2","V3","V4","V5","V6","V7","V8"
2,11,14,23,48,60,74,89
2,8,25,27,45,48,64,78
12,33,48,56,81,92,95,98
32,42,75,79,81,95,99,100
4,8,36,50,53,58,63,69
6,14,24,39,43,51,56,100
1,3,6,9,52,58,59,68
9,22,35,36,57,61,74,88
5,7,21,31,47,53,73,95
3,13,19,22,63,64,71,93
9,14,25,43,48,70,90,93
18,27,31,33,50,67,78,81
1,2,3,13,33,45,70,98
7,12,32,37,47,58,85,87
2,3,29,32,54,67,84,89
15,57,70,78,83,84,89,90
13,31,48,51,53,73,78,85
19,24,30,33,49,58,86,99
1,13,15,30,49,56,61,72
13,16,22,51,53,54,71,73
3,15,29,43,50,69,73,76
7,24,50,52,58,62,68,71
24,32,36,39,42,43,74,95
11,13,30,32,35,50,72,90
18,20,47,57,65,78,83,91
5,32,42,45,63,73,82,96
2,3,28,35,37,55,69,70
6,16,34,35,63,84,86,95
2,10,11,22,38,54,58,82
6,21,38,63,65,74,82,100
46,50,61,69,75,78,87,95
15,18,51,71,78,82,87,100
6,12,18,30,54,55,57,84
27,36,42,44,58,77,93,94
6,24,42,48,73,79,91,97
2,20,24,27,44,91,94,96
2,27,28,35,46,57,76,97
23,34,45,63,68,83,95,98
2,9,21,42,61,66,73,74
8,11,24,25,37,56,63,75
1,7,9,18,28,49,58,65
23,27,30,40,74,78,87,92
13,29,42,44,46,62,64,94
16,27,40,55,76,78,82,90
10,36,41,43,45,49,73,98
31,32,45,49,61,73,91,95
17,27,28,74,79,81,87,91
14,17,33,41,53,80,90,99
5,7,9,22,35,72,88,99
3,7,13,16,38,44,56,79
4,10,22,25,51,67,78,98
16,29,33,46,51,70,83,89
4,24,41,46,63,72,73,81
22,23,46,56,59,66,85,97
18,35,37,41,65,68,72,89
16,17,21,45,46,65,81,82
5,13,58,59,71,89,97,98
4,5,11,25,47,53,73,92
4,24,47,48,54,80,97,98
4,7,10,15,35,87,89,99
8,11,21,24,44,61,64,79
5,38,49,67,75,88,93,97
3,6,34,46,52,67,73,99
6,14,53,64,86,89,92,96
4,17,45,54,63,81,94,95
14,36,37,65,69,87,91,93
2,3,4,15,57,78,86,97
2,8,19,47,49,82,95,98
1,7,23,34,70,71,72,74
12,29,56,59,61,63,73,92
13,24,41,43,57,70,82,85
7,10,29,39,51,57,96,100
24,33,45,58,59,64,72,87
27,32,36,38,39,70,82,90
4,9,14,29,31,55,60,91
18,33,38,42,53,60,62,87
14,44,51,59,79,85,91,95
2,6,7,27,53,70,79,94
7,23,58,59,72,78,84,91
3,29,33,39,53,63,70,99
4,9,34,56,67,69,79,91
21,24,30,36,58,81,85,97
5,30,34,42,58,59,83,98
15,22,32,40,68,70,87,91
3,17,20,26,31,32,50,53
15,23,40,41,58,67,81,97
1,8,16,17,63,73,82,95
44,57,64,67,69,76,87,88
14,45,51,53,58,63,72,96
2,8,18,29,50,55,57,76
31,42,51,65,69,86,95,100
19,39,44,49,69,81,85,89
2,20,23,41,56,84,86,90
5,26,27,30,34,62,74,78
3,11,13,27,32,43,60,93
1,3,8,25,33,68,76,80
3,9,14,21,24,27,48,78
11,14,18,41,44,55,57,64
7,22,48,51,59,67,71,98
4,6,28,34,59,79,95,99
25,28,63,66,72,83,87,91
4,35,46,54,55,65,69,98
35,46,50,55,60,80,81,88
4,6,13,14,51,71,78,91
28,47,50,65,74,84,89,99
24,34,36,67,88,92,93,95
4,13,29,30,58,66,71,100
45,62,64,70,84,85,86,90
8,12,35,41,49,56,71,91
1,11,14,23,79,81,84,87
9,14,19,20,42,60,96,98
7,26,31,42,57,64,85,88
1,6,12,15,34,41,68,73
1,8,17,19,81,93,94,97
1,8,70,71,75,94,98,100
2,20,22,36,43,51,57,99
36,49,55,61,68,78,86,97
13,19,38,41,78,80,91,95
3,32,41,52,57,58,69,80
5,7,20,23,27,39,49,89
2,23,26,29,38,70,82,85
9,12,24,46,58,88,97,100
16,17,31,33,42,49,51,63
30,34,44,49,56,72,86,94
21,22,28,53,55,80,92,93
6,8,37,47,48,54,55,81
2,11,18,36,49,60,74,88
3,14,26,61,88,91,97,98
3,16,28,33,55,73,86,88
28,44,52,57,66,67,98,100
20,23,32,42,56,59,80,99
8,23,29,33,40,45,83,86
7,44,61,68,69,89,99,100
19,32,42,47,73,74,77,98
5,17,25,35,70,85,93,96
4,12,15,47,54,76,85,86
6,19,24,49,59,62,65,97
9,22,23,50,52,62,65,96
14,19,48,56,62,82,89,100
7,14,42,55,66,74,81,94
11,13,15,25,55,75,77,81
1,2,3,12,41,65,81,82
28,33,43,60,88,92,93,98
9,15,27,40,48,89,91,92
13,26,34,51,56,58,98,100
7,22,30,35,50,55,81,91
35,38,41,46,51,81,86,91
4,23,27,32,81,83,86,90
7,14,15,40,79,89,91,94
20,24,26,31,51,70,84,95
9,16,20,42,47,91,96,100
21,38,42,48,71,77,80,100
8,12,20,54,58,67,89,100
11,25,42,49,73,75,77,85
1,33,37,57,59,73,77,98
10,43,59,66,74,82,92,99
7,8,19,27,35,45,48,83
14,26,34,51,75,81,85,99
3,7,21,26,37,45,49,56
11,21,25,35,48,67,83,99
5,18,19,22,24,40,64,67
53,60,70,73,82,85,90,91
24,36,64,67,71,80,92,93
7,8,13,15,18,39,68,84
3,7,30,37,41,56,64,74
26,37,47,64,84,89,91,95
22,23,37,40,43,45,87,89
8,19,29,37,42,69,75,79
9,33,38,40,53,67,80,89
33,38,40,54,63,72,80,99
2,8,16,24,27,48,70,86
50,58,62,70,71,81,88,93
8,72,75,81,83,84,86,90
9,31,38,45,48,56,69,76
12,38,41,56,57,67,75,76
10,24,30,32,60,83,90,92
11,38,39,58,67,70,72,83
3,12,34,38,54,77,78,85
33,36,44,59,65,75,96,100
8,11,28,46,59,61,73,84
3,30,41,43,44,59,67,87
16,24,28,67,71,88,95,99
7,13,37,49,62,75,77,89
5,6,42,65,69,71,83,96
3,17,18,37,61,88,90,94
1,8,38,47,52,56,76,94
5,7,12,28,59,77,84,92
6,22,40,51,64,74,91,95
14,16,20,42,53,73,77,81
17,47,63,76,79,83,90,92
5,17,27,54,66,72,85,94
4,25,35,54,60,85,88,94
3,11,16,47,54,59,81,84
2,24,69,70,73,75,84,91
11,14,19,57,62,76,91,96
16,22,25,33,44,50,64,78
1,2,5,64,69,72,81,87
10,12,21,41,45,65,67,76
35,39,41,52,68,74,94,97
33,35,47,54,55,70,82,100
8,12,25,55,68,87,91,99
23,44,51,53,73,77,90,100
14,20,22,68,79,82,88,98
11,30,45,48,72,78,82,84
30,38,62,67,69,71,86,91
8,10,20,22,30,51,58,88
1,3,19,38,43,61,62,67
15,24,42,43,60,65,73,100
5,13,20,41,61,87,94,96
8,13,20,35,39,65,81,95
5,15,25,45,56,70,81,97
2,11,13,52,54,82,84,85
2,25,33,62,66,71,73,93
9,21,55,59,66,85,86,96
13,21,52,54,56,59,71,77
8,11,16,24,31,46,52,85
11,15,20,24,43,49,55,60
4,5,8,19,28,41,51,91
30,38,41,50,51,59,82,84
1,3,33,39,65,67,91,100
14,38,44,45,62,68,78,84
4,17,19,24,25,28,37,49
26,30,35,52,74,85,90,93
6,11,13,62,71,74,78,81
7,17,19,56,57,67,78,99
9,23,29,40,42,64,96,100
2,43,46,58,70,80,96,97
44,47,50,51,65,69,92,98
3,10,16,34,36,39,55,97
12,14,25,47,52,61,78,88
10,17,19,78,84,86,88,95
1,14,15,38,48,59,67,85
2,14,24,30,70,77,81,94
7,8,25,26,37,63,73,84
29,31,53,57,61,80,84,85
5,12,14,25,47,64,87,100
35,39,45,51,74,87,89,92
18,28,47,49,58,65,88,99
2,66,70,76,77,90,93,96
8,11,30,42,48,91,94,96
12,43,65,72,80,81,85,87
9,30,36,59,61,69,80,100
12,35,41,50,67,74,77,92
8,9,25,70,84,85,86,88
6,20,21,27,31,37,43,98
20,24,40,47,59,74,83,94
1,7,10,36,52,74,81,96
3,22,44,54,77,83,84,96
8,16,29,40,57,59,73,89
4,16,27,36,41,56,85,89
5,15,28,51,52,77,96,99
3,5,26,29,61,81,82,92
22,36,52,55,76,85,87,93
5,21,23,40,41,43,47,51
10,25,43,51,56,66,76,94
16,24,25,61,74,78,97,100
4,14,18,29,32,42,62,96
13,25,36,49,66,78,81,99
18,21,22,45,46,83,96,98
18,23,35,64,69,80,84,93
10,51,69,73,77,82,83,88
7,15,32,35,40,67,91,92
35,42,58,66,73,77,84,98
6,22,40,45,58,63,74,82
1,11,38,71,72,77,81,95
2,5,6,30,67,72,79,81
32,44,83,86,91,94,97,99
14,17,43,55,60,61,72,73
9,14,25,44,66,82,83,91
5,6,10,24,26,30,40,51
32,51,53,55,61,76,84,90
14,22,31,37,49,62,71,88
17,27,33,51,53,57,58,97
21,28,31,33,49,54,55,96
16,25,54,62,69,73,80,89
7,17,23,38,48,54,75,95
4,25,26,33,34,54,55,62
13,33,47,56,74,80,84,99
5,9,15,19,30,45,58,78
5,19,21,37,44,78,81,88
7,15,37,42,49,57,64,88
42,53,58,71,80,85,88,94
22,44,46,49,57,58,59,94
3,6,20,43,76,78,83,85
15,45,48,72,86,93,94,98
11,17,31,37,45,63,65,66
24,30,31,57,69,70,77,86
17,20,40,44,55,62,77,98
1,4,14,24,57,72,90,94
22,23,30,35,66,76,91,95
15,18,32,60,74,76,89,95
9,27,53,67,70,74,81,93
11,12,45,61,64,70,72,80
4,6,29,41,64,71,80,96
2,16,26,39,41,63,74,87
19,21,28,38,39,46,49,83
35,44,46,81,86,88,92,98
12,38,46,76,83,88,96,98
13,23,27,36,69,72,81,92
14,48,49,51,53,68,70,76
13,23,27,45,52,56,70,99
16,35,56,64,68,71,78,91
15,21,39,44,79,80,81,85
6,15,21,24,32,35,44,61
17,21,54,57,63,68,81,86
6,7,15,39,55,72,73,90
1,18,43,72,84,86,87,92
14,38,52,67,76,81,87,98
3,42,43,54,62,77,82,100
7,8,12,32,57,72,77,88
15,30,33,46,63,72,80,87
1,3,4,7,9,16,28,37
3,9,39,61,62,64,86,99
2,5,13,27,36,58,68,81
13,45,53,55,56,62,78,90
8,11,16,21,34,40,77,92
16,21,24,35,56,63,67,75
8,24,38,48,50,61,83,88
2,6,19,21,48,53,59,65
9,10,12,44,45,53,63,86
12,30,38,66,80,82,95,100
13,27,33,36,57,85,86,87
6,17,33,35,38,64,65,78
14,24,28,64,84,96,98,99
23,46,57,72,75,77,79,98
5,51,58,68,69,74,82,85
26,41,49,50,56,62,71,77
3,24,42,45,70,78,84,99
40,62,69,83,84,93,96,97
14,25,26,31,40,43,46,64
6,21,41,51,54,59,68,90
1,24,36,41,66,67,70,99
3,24,55,60,69,71,89,95
10,26,39,48,54,80,81,99
3,7,14,31,39,51,81,97
4,7,27,36,37,49,72,94
21,22,26,48,51,69,92,95
8,16,28,32,50,61,79,84
7,25,26,34,42,48,75,85
4,11,28,35,60,72,82,97
11,37,42,56,65,86,98,100
13,23,39,60,69,92,95,96
6,12,15,36,42,59,62,86
8,21,42,50,55,81,83,87
4,6,9,23,27,39,42,89
9,16,36,50,56,64,87,89
21,45,47,54,72,77,81,98
6,7,38,46,67,69,96,98
2,13,28,34,65,66,68,90
23,26,38,59,66,72,86,97
11,40,70,76,78,81,83,94
32,58,70,75,93,94,95,100
11,19,30,33,36,57,66,91
14,17,20,44,61,67,83,94
10,18,29,39,43,45,49,84
