"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
2,6,16,21,22,24,37,62,70,71,73,74,78,89,90,91
8,10,14,17,33,36,39,51,79,81,88,89,91,94,95,97
1,29,39,49,51,52,62,64,68,73,75,78,86,89,91,94
8,16,24,29,35,39,40,42,48,49,62,67,79,81,90,91
5,15,16,21,35,37,53,56,65,70,81,83,85,89,91,92
6,8,17,23,27,39,45,46,51,56,61,62,64,74,84,87
4,5,12,13,25,29,36,37,47,51,62,68,85,86,90,93
13,14,19,23,31,35,38,43,47,51,62,69,91,92,93,97
27,29,34,40,52,53,54,56,59,62,66,73,74,90,91,98
9,10,14,16,23,24,34,40,65,66,72,80,83,89,90,91
14,16,21,23,24,42,51,52,55,61,62,66,75,82,85,89
7,10,22,32,42,48,51,61,66,67,75,78,88,89,92,97
9,10,20,25,44,47,52,59,66,68,70,73,83,86,92,100
1,5,8,11,17,24,34,42,52,64,77,83,91,92,94,97
1,4,16,22,29,45,53,62,66,69,73,79,85,88,89,92
4,7,11,24,25,37,40,42,64,66,75,76,78,79,90,93
6,14,17,38,48,51,65,76,82,83,84,87,89,91,96,98
2,8,9,10,14,24,25,34,44,49,56,77,80,88,90,94
5,21,22,25,29,36,40,49,53,64,75,79,80,86,87,100
1,2,16,22,29,30,33,46,53,57,64,66,70,78,82,97
4,16,17,29,31,43,48,55,56,64,73,75,78,80,87,91
4,8,9,23,25,30,46,48,52,55,56,89,91,93,94,95
5,16,17,20,21,24,27,36,37,40,42,47,62,85,88,92
13,14,15,23,33,39,43,47,49,56,62,66,82,83,90,92
8,10,13,18,49,53,55,62,64,79,86,87,89,92,94,97
4,5,9,21,25,29,30,48,56,59,64,70,74,80,90,97
2,14,15,18,22,27,36,47,51,59,66,68,71,85,90,97
4,9,19,22,24,37,39,49,53,60,62,64,72,82,86,91
8,10,12,25,29,36,42,47,48,49,53,56,75,82,95,97
8,9,13,30,51,60,61,62,68,78,79,82,83,85,90,97
4,7,9,13,16,17,30,33,39,42,55,70,78,81,85,92
10,30,37,52,55,60,66,67,73,74,75,82,86,94,96,97
8,9,18,21,23,30,34,35,40,42,56,61,67,91,96,100
5,7,16,22,25,30,37,51,52,66,67,69,78,88,91,98
7,8,14,22,25,29,40,42,55,73,80,82,83,91,92,97
8,10,17,21,24,29,33,38,40,51,55,65,68,74,89,96
7,8,15,16,22,23,47,51,66,67,69,74,75,76,89,94
2,5,25,33,36,37,51,54,62,66,76,80,81,82,84,90
4,10,18,22,29,36,37,61,62,70,76,78,87,89,91,97
1,4,5,24,25,30,31,34,62,64,70,83,86,88,89,92
5,8,17,20,29,34,36,37,47,51,58,68,70,75,76,91
2,9,15,27,33,42,43,52,53,56,70,75,83,88,90,91
1,4,14,21,25,30,42,47,53,60,61,65,66,70,87,88
7,9,21,25,37,47,52,53,56,64,66,74,84,90,93,100
10,30,38,45,51,58,62,68,70,74,78,80,81,89,91,92
7,15,22,25,30,32,34,43,48,56,62,75,82,83,88,93
1,8,23,25,34,47,51,54,62,67,73,75,76,80,83,94
1,12,21,27,29,39,42,73,74,75,80,83,92,94,96,97
8,10,14,25,36,37,52,71,72,76,78,81,82,85,88,90
7,16,21,35,47,56,59,61,65,67,73,76,81,82,86,93
1,2,5,10,17,27,40,46,51,55,68,74,80,85,88,89
2,10,12,30,33,42,43,47,48,55,56,61,66,71,85,90
8,34,43,55,62,67,78,80,82,88,89,90,91,94,97,98
2,7,15,18,23,35,47,48,49,53,60,68,75,89,92,94
4,13,14,16,24,27,37,47,69,71,85,89,91,93,97,98
22,23,36,37,40,55,66,74,76,78,83,86,88,89,90,92
5,10,12,14,17,32,34,53,54,55,78,85,86,89,90,91
4,8,9,29,35,47,56,62,69,71,75,76,88,89,91,97
8,21,25,36,37,42,52,59,64,66,70,71,74,76,80,95
1,2,3,5,8,13,21,22,37,38,48,49,53,86,88,91
2,10,23,27,30,33,42,49,50,58,59,67,80,83,85,97
5,10,19,21,27,34,37,42,46,53,59,66,67,75,83,88
17,21,22,36,42,49,51,53,65,80,86,87,88,90,93,98
10,18,19,23,24,25,30,37,38,48,62,64,74,89,90,98
8,33,34,42,48,55,59,74,75,79,83,86,87,88,97,98
6,8,9,17,22,30,36,37,42,48,51,52,57,64,88,98
6,23,26,30,33,39,47,51,52,61,66,69,74,87,91,96
1,7,9,10,14,18,26,27,34,42,50,59,61,66,88,90
5,13,23,34,38,43,47,49,56,59,64,76,83,89,92,97
16,22,35,37,44,47,53,65,66,76,80,85,90,91,92,94
7,10,13,17,23,25,27,59,66,70,75,78,83,85,89,90
9,10,24,44,47,49,62,64,75,76,81,87,88,90,91,94
5,7,8,9,10,14,15,42,53,64,74,75,76,91,97,98
1,8,17,23,24,29,37,45,49,59,61,74,76,83,89,96
2,16,19,23,42,47,48,51,55,58,61,64,70,82,91,96
10,15,17,21,22,23,27,29,47,61,66,85,87,91,93,94
5,8,16,21,29,36,48,70,74,78,81,83,92,93,94,97
9,14,17,18,21,27,33,39,52,56,62,67,90,92,96,98
22,23,24,25,37,47,53,64,70,73,75,83,87,88,89,90
13,23,25,30,34,36,38,40,42,47,53,66,73,75,80,90
5,6,16,21,23,26,29,39,42,47,61,79,82,84,90,94
8,9,10,25,42,51,56,61,66,70,73,74,84,89,91,94
1,7,17,39,42,43,47,52,59,73,74,75,80,85,87,94
1,19,22,39,48,53,62,64,73,76,80,83,85,89,94,99
10,17,22,24,27,34,40,53,54,57,74,76,79,83,88,90
5,30,32,42,43,53,61,65,67,71,75,83,90,93,98,100
6,8,35,37,40,42,53,62,65,69,74,76,82,84,86,88
4,8,21,23,29,33,35,44,56,61,62,64,76,88,89,97
7,18,30,33,45,48,56,66,67,70,78,85,86,91,97,98
16,23,34,38,39,40,42,51,62,66,67,74,75,81,96,97
5,9,13,43,62,68,69,73,80,82,86,87,91,95,96,97
9,16,17,18,25,38,40,55,56,59,62,64,67,76,81,88
9,11,18,22,23,25,34,36,58,59,66,73,85,89,94,98
14,24,33,36,37,51,56,59,61,67,74,76,82,83,84,93
4,9,13,17,24,30,36,49,55,62,64,70,75,76,85,90
2,5,13,22,25,36,52,64,73,74,75,81,91,92,94,98
9,10,16,26,28,33,48,51,53,65,71,80,86,87,97,99
5,16,17,21,25,31,39,47,64,73,74,80,83,93,97,98
2,10,18,27,37,40,48,51,62,67,68,74,81,83,88,91
5,21,25,37,64,65,76,78,80,82,83,89,90,91,94,96
5,9,18,25,29,30,33,48,62,73,76,85,86,90,91,98
7,18,22,25,29,33,37,66,71,76,80,82,84,86,94,96
2,5,10,23,29,35,41,55,66,70,80,85,86,90,94,97
4,9,21,23,25,35,37,43,49,53,64,73,83,90,92,97
4,8,14,17,29,30,37,60,61,66,80,81,82,83,92,97
9,13,24,29,38,52,61,64,66,69,71,81,83,84,89,93
9,11,13,22,25,30,33,34,37,62,76,79,83,86,93,97
9,10,13,14,18,21,22,24,25,30,42,73,81,83,84,89
21,23,28,29,36,37,43,44,49,51,56,73,75,78,81,88
7,25,27,34,36,43,47,53,55,58,66,83,86,88,91,97
11,23,27,33,35,36,37,46,64,65,66,81,83,86,88,92
6,13,16,21,25,29,30,35,47,48,53,56,66,88,93,98
