"V1","V2","V3","V4"
12,57,66,74
13,26,29,79
7,18,29,36
29,69,74,97
64,68,75,76
11,16,68,96
34,48,62,82
14,26,43,64
23,36,48,88
34,42,47,76
9,56,68,88
10,44,75,91
13,40,54,94
9,11,88,91
26,73,74,88
13,16,29,59
28,59,66,74
18,52,66,83
43,48,74,89
23,24,48,65
21,44,56,95
24,34,64,81
89,90,93,98
9,54,59,92
8,14,34,85
23,27,52,83
7,19,44,98
24,51,61,80
17,38,97,98
7,22,87,88
37,52,82,88
28,43,47,92
9,49,59,61
13,14,21,64
18,23,69,82
47,85,89,90
18,70,73,94
15,25,42,93
2,9,21,76
56,78,82,88
15,37,73,84
23,47,52,75
28,53,70,78
15,30,64,83
9,70,74,87
34,51,55,67
42,47,81,87
16,22,74,78
12,37,85,93
15,19,23,94
16,49,53,67
24,25,29,34
17,42,62,81
13,26,36,92
73,85,88,90
13,27,37,61
52,75,85,88
14,19,71,88
10,14,25,59
8,56,72,80
9,10,49,83
14,34,40,94
37,52,74,95
42,46,48,87
5,21,67,75
29,65,66,98
2,42,54,76
42,49,74,89
9,24,74,76
23,47,70,83
25,42,85,92
23,53,78,83
33,38,56,93
8,13,92,94
22,35,36,68
5,29,62,86
14,16,80,82
27,28,61,75
36,40,49,91
8,47,56,80
16,34,40,95
35,36,47,69
70,82,86,90
39,42,80,85
21,25,27,51
5,10,30,75
25,26,86,98
21,49,64,97
10,21,34,82
51,64,80,94
25,46,65,86
9,42,56,66
9,47,73,85
21,64,76,78
23,43,61,90
21,24,34,42
29,55,62,66
24,26,55,83
26,52,70,97
17,51,82,96
22,47,70,80
8,69,79,91
18,53,73,82
22,65,85,97
40,43,76,92
2,23,65,85
1,34,42,83
2,37,65,75
21,60,74,76
40,80,89,94
7,38,67,82
62,67,80,84
16,51,91,92
35,47,56,65
2,33,65,88
22,27,47,71
10,26,69,94
7,55,69,73
8,47,62,79
9,53,59,64
69,74,80,90
14,22,25,84
49,66,76,82
16,47,73,94
10,46,86,90
1,9,10,57
1,9,33,48
21,68,81,84
22,53,64,73
17,29,42,76
35,47,64,81
21,48,62,91
1,46,55,97
2,68,80,94
16,73,80,88
16,56,61,76
23,43,87,91
9,10,13,64
37,61,65,74
23,32,36,53
9,13,76,92
25,26,29,74
29,34,56,91
1,36,66,73
1,2,9,83
24,33,59,95
21,68,82,83
15,36,48,78
2,36,42,52
56,60,86,94
30,39,56,74
30,66,75,97
10,17,23,80
16,62,84,91
24,36,70,76
1,6,10,34
10,53,64,68
8,37,59,94
20,75,76,93
8,78,88,93
2,10,15,90
1,14,33,74
5,22,56,75
14,23,30,36
21,25,34,88
26,42,76,93
13,16,40,48
22,27,55,67
22,70,82,98
42,66,68,83
21,42,89,90
42,51,73,89
15,86,92,97
16,61,75,97
37,39,59,74
15,36,51,83
34,46,50,76
35,75,80,85
25,71,86,88
15,29,32,79
8,46,62,92
61,90,95,97
22,52,64,97
23,47,53,82
14,15,23,79
13,51,79,81
9,13,48,56
17,48,68,93
26,49,76,97
39,53,62,90
22,38,55,83
1,7,48,51
51,59,81,86
21,48,49,86
44,47,48,89
12,22,36,91
10,25,47,66
4,24,81,89
1,13,15,76
27,52,56,70
8,28,29,69
21,54,56,75
30,50,62,93
16,38,60,94
9,85,89,94
34,49,91,92
9,13,22,51
11,65,78,81
13,18,19,53
9,21,61,70
9,23,70,85
47,51,55,99
7,36,78,88
15,49,94,98
15,59,64,70
14,76,80,89
24,30,43,56
1,79,91,93
2,19,55,89
5,30,90,92
48,70,78,80
21,76,80,93
6,33,34,85
1,14,18,91
7,13,18,66
13,14,19,96
8,24,70,88
1,4,71,93
2,7,34,52
13,17,52,85
23,45,75,91
4,16,76,91
27,75,92,93
33,38,56,62
8,9,75,89
23,24,70,81
59,80,92,98
22,83,85,91
25,52,55,89
15,24,60,81
1,69,91,94
49,66,90,96
24,73,80,89
5,7,10,52
15,70,85,90
13,54,55,90
7,30,34,43
13,87,89,98
24,37,51,89
25,33,94,98
17,77,78,81
8,62,90,91
42,62,69,81
48,70,83,89
52,55,61,85
23,27,51,97
20,81,87,94
18,51,87,88
2,67,73,85
49,86,87,90
78,80,82,97
25,62,64,86
2,23,34,92
22,26,40,92
21,37,62,67
62,90,94,96
8,38,74,83
27,59,66,76
10,48,68,83
55,73,89,98
14,66,71,80
16,69,73,89
8,85,89,98
18,62,75,84
8,22,82,88
18,88,94,98
5,70,78,79
8,35,60,69
25,33,53,97
39,56,76,86
16,48,49,73
