"V1","V2","V3","V4","V5","V6","V7","V8"
7,13,25,51,66,76,96,97
9,39,47,56,68,71,74,94
24,27,30,35,78,85,87,88
1,14,21,42,55,75,78,80
47,62,70,76,88,89,91,94
34,38,42,59,68,80,88,89
2,13,15,37,52,59,80,82
14,25,29,33,52,59,62,82
5,16,37,49,55,88,89,93
25,37,42,54,56,74,91,96
8,23,33,40,48,55,85,91
13,21,53,66,67,70,74,86
2,10,21,49,62,83,94,97
17,43,51,71,76,89,93,98
29,34,46,49,52,59,62,90
16,34,47,60,70,78,82,100
8,27,53,56,75,76,81,94
21,51,55,64,69,75,78,84
2,12,16,52,59,61,68,80
11,13,29,37,46,64,67,88
16,18,26,42,64,72,76,94
21,22,25,44,46,79,80,89
5,6,7,8,9,13,49,88
29,34,62,71,74,75,88,98
5,24,66,67,73,76,91,99
34,37,59,70,76,88,96,99
2,30,37,49,74,87,90,97
21,37,42,53,80,88,90,97
21,33,35,42,47,48,83,96
8,15,40,56,83,84,92,97
14,18,40,56,66,70,72,90
2,42,48,52,62,64,70,87
29,33,71,79,80,83,88,92
2,21,23,33,42,70,74,78
18,37,40,76,83,88,92,99
16,29,34,44,73,75,76,94
5,22,34,35,62,89,94,97
4,5,24,56,74,85,89,98
14,21,25,73,82,83,93,95
10,23,29,42,51,78,80,89
1,14,24,34,59,86,91,92
5,8,10,17,25,33,47,80
28,37,59,74,78,87,88,96
5,30,38,59,70,89,90,91
14,17,33,36,37,50,81,91
9,30,37,64,69,84,91,98
2,4,14,25,62,65,84,88
10,12,23,25,28,56,83,86
2,10,14,48,51,76,83,88
33,46,61,62,64,75,84,99
13,40,47,51,66,86,92,93
14,23,27,29,31,62,70,87
10,15,17,30,33,55,64,65
25,47,48,70,74,88,90,95
5,59,61,73,79,87,88,89
13,24,39,56,62,68,70,74
7,8,24,25,62,68,75,90
1,21,22,42,48,53,76,83
10,21,33,74,82,83,85,89
26,28,37,55,56,75,80,97
7,17,46,70,71,78,86,91
5,8,14,21,30,53,71,80
5,13,24,51,88,91,92,97
4,14,28,29,40,52,61,75
13,29,33,51,56,61,85,94
7,34,42,43,48,56,81,83
1,24,31,39,83,90,91,94
7,8,27,45,48,61,65,93
30,34,38,51,64,66,87,90
2,34,50,51,75,78,87,89
9,27,38,62,66,94,96,98
34,42,56,65,66,82,85,92
1,4,18,24,25,46,51,70
9,17,53,62,64,76,82,85
29,34,42,48,51,52,56,64
5,18,22,30,56,64,76,80
5,15,22,42,49,58,72,81
24,34,38,42,45,66,73,98
26,32,34,56,82,87,90,91
11,22,26,43,47,62,66,88
7,10,25,30,66,67,90,93
1,23,25,28,37,62,76,81
15,19,22,36,53,55,80,89
17,30,38,56,75,76,79,82
5,58,66,67,78,83,84,98
10,18,21,37,51,78,80,90
8,9,17,24,27,73,80,90
14,18,37,52,53,81,92,97
13,24,26,48,62,88,92,96
5,15,30,36,60,68,96,98
1,14,19,23,25,33,39,76
23,27,34,75,78,81,89,94
24,30,40,47,66,86,90,92
9,23,25,47,64,82,86,90
10,14,24,55,61,62,76,92
5,22,24,46,73,76,88,90
22,27,29,33,37,51,65,98
5,24,31,39,62,76,88,90
13,14,24,25,47,51,73,76
18,38,42,47,81,91,92,97
18,23,27,37,51,52,66,76
1,19,24,30,32,56,69,93
2,8,21,48,64,69,85,97
