population,ptype,n,method,exp_mu,exp_me,exp_sd,exp_min,exp_max,var_mu,var_me,var_sd,var_min,var_max,min_mu,min_me,min_sd,min_min,min_max,med_mu,med_me,med_sd,med_min,med_max,max_mu,max_me,max_sd,max_min,max_max
clust_eq,default,4,lexico,-0.08,-0.08,0.01,-0.09,-0.08,0.08,0.08,0.02,0.06,0.09,-0.56,-0.56,0.07,-0.61,-0.51,0.08,0.08,0.04,0.05,0.10,0.20,0.20,0.03,0.18,0.22
clust_eq,default,8,lexico,-0.00,-0.00,0.02,-0.02,0.01,0.01,0.01,0.00,0.01,0.01,-0.16,-0.16,0.01,-0.17,-0.16,0.01,0.01,0.06,-0.03,0.05,0.12,0.12,0.03,0.10,0.14
clust_eq,default,16,lexico,0.02,0.02,0.02,0.01,0.04,0.00,0.00,0.01,0.00,0.01,-0.14,-0.14,0.05,-0.18,-0.11,0.06,0.06,0.00,0.06,0.06,0.16,0.16,0.01,0.16,0.17
clust_uneq,default,4,lexico,-0.24,-0.24,0.03,-0.26,-0.22,0.17,0.17,0.03,0.15,0.19,-0.88,-0.88,0.01,-0.89,-0.88,0.09,0.09,0.00,0.09,0.09,0.28,0.28,0.01,0.27,0.29
clust_uneq,default,8,lexico,-0.08,-0.08,0.08,-0.13,-0.02,0.02,0.02,0.01,0.01,0.02,-0.36,-0.36,0.01,-0.36,-0.35,-0.09,-0.09,0.04,-0.12,-0.06,0.26,0.26,0.01,0.25,0.26
clust_uneq,default,16,lexico,-0.06,-0.06,0.01,-0.06,-0.05,0.02,0.02,0.00,0.02,0.02,-0.33,-0.33,0.04,-0.36,-0.30,0.00,0.00,0.06,-0.04,0.04,0.20,0.20,0.01,0.20,0.21
grid_eq,default,4,lexico,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
grid_eq,default,8,lexico,0.04,0.04,0.04,0.01,0.07,0.00,0.00,0.01,0.00,0.01,-0.13,-0.13,0.01,-0.14,-0.12,0.05,0.05,0.04,0.02,0.07,0.16,0.16,0.11,0.08,0.23
grid_eq,default,16,lexico,0.08,0.08,0.01,0.07,0.09,0.00,0.00,0.00,0.00,0.00,-0.07,-0.07,0.01,-0.08,-0.06,0.08,0.08,0.01,0.08,0.09,0.18,0.18,0.01,0.17,0.19
grid_uneq,default,4,lexico,-0.15,-0.15,0.03,-0.17,-0.13,0.02,0.02,0.00,0.02,0.02,-0.40,-0.40,0.02,-0.41,-0.38,-0.10,-0.10,0.02,-0.11,-0.08,0.36,0.36,0.01,0.35,0.36
grid_uneq,default,8,lexico,-0.14,-0.14,0.01,-0.15,-0.13,0.02,0.02,0.00,0.02,0.02,-0.49,-0.49,0.11,-0.57,-0.41,-0.11,-0.11,0.03,-0.13,-0.09,0.30,0.30,0.02,0.29,0.32
grid_uneq,default,16,lexico,-0.11,-0.11,0.00,-0.11,-0.11,0.02,0.02,0.01,0.01,0.02,-0.35,-0.35,0.01,-0.36,-0.34,-0.08,-0.08,0.00,-0.08,-0.08,0.27,0.27,0.00,0.27,0.27
