Method,Density,Moran,Local Balance
Local Pivotal,0.09517126948896844,-0.07780728327786454,0.3238307399765192
Local Pivotal,0.24759414067333416,-0.18505575968227703,0.4711212205750049
Local Pivotal,0.22967237161079398,-0.0942519948724163,0.46492486007218464
Local Pivotal,-0.21897536696961858,-0.19948423829035022,0.5085182354233582
Local Pivotal,-0.16440570941213206,-0.18702145180078825,0.28479574970294513
Local Pivotal,0.3384584790618348,-0.09454219162883652,0.3790608770208877
Local Pivotal,0.3579094193174801,-0.2098117345503048,0.5290969708833906
Local Pivotal,0.3831668303213822,-0.10526232752988304,0.4547541698409207
Local Pivotal,0.09936123045858848,-0.19000904343839517,0.4608245947359406
Local Pivotal,0.16018045073443798,-0.14588019149293116,0.47948990719314816
Local Pivotal,0.1706555048074011,-0.1659035026036862,0.5036084789662902
Local Pivotal,0.08010703040729272,-0.30745777912074435,0.30044508489342303
Local Pivotal,-0.19552034324315687,-0.07816881101104199,0.6393814226835424
Local Pivotal,0.0404469685765364,-0.26668704401856674,0.5860195667077372
Local Pivotal,0.18985725396467654,-0.13852090341809065,0.2488378069849331
Local Pivotal,0.12855941581379687,-0.23373729286851763,0.4549336107798458
Local Pivotal,0.5428638956573384,-0.08299446593156334,0.5359476602357125
Local Pivotal,0.24686815470040752,-0.1782714769969952,0.6407537683483816
Local Pivotal,0.14343658836510262,-0.23425017699044373,0.38918769677544884
Local Pivotal,0.29453490643105606,-0.16480693795247287,1.2629960468911416
Local Pivotal,-0.08686372554877907,-0.00594368664431781,0.44092730431891963
Local Pivotal,0.0332683690101932,-0.270070494702678,0.24903159937614405
Local Pivotal,-0.04457325734404381,-0.11107703016977556,0.47329930294365463
Local Pivotal,0.07521655023460566,-0.2501866490850362,0.26478254414689123
Local Pivotal,0.5704867026642442,-0.1598316921695573,1.212503439125664
Local Pivotal,0.26521364489003374,-0.15518691609214638,0.6167484411131764
Local Pivotal,0.11359883658888408,-0.1907265605958876,0.7314719531927311
Local Pivotal,-0.11738954847203333,-0.19681520124510446,0.49810571145656224
Local Pivotal,-0.28458180705053804,-0.06660729372994917,0.6509279366881012
Local Pivotal,-0.21949265899283804,-0.11688549354982064,0.3927431687454709
Local Pivotal,0.09066835116647107,-0.2794846763408405,0.4393157877206161
Local Pivotal,0.35472010309470836,-0.26004477312967333,0.44473904100125367
Local Pivotal,0.04938737084508815,-0.22889358423055509,0.43350636846544216
Local Pivotal,0.1747360752115732,-0.17153535284724525,0.501614831928947
Local Pivotal,0.0291586270221019,-0.2584307549012064,0.3846652384791088
Local Pivotal,0.1712227072073964,-0.24742062487970792,0.6811617988683369
Local Pivotal,0.08874667778993331,-0.24961385213616238,0.3132856455462963
Local Pivotal,0.09976864946466378,-0.18285325465806665,0.6588929148160265
Local Pivotal,0.19749723005630523,-0.059281354380500306,0.5065184316217173
Local Pivotal,0.1178119522626645,-0.07959693150701336,0.36239037229608534
Local Pivotal,0.40070405477998766,-0.2532388953700687,0.3058959253516179
Local Pivotal,0.07039416483105769,-0.30197982282751895,0.4425010091563567
Local Pivotal,-0.3249589922229868,-0.23657688026611437,0.4628459411854295
Local Pivotal,0.17859761840511118,-0.2831643455771648,0.6804379979629215
Local Pivotal,0.4487988719494066,-0.18666607378476557,0.7914327328122226
Local Pivotal,0.27145877016195513,-0.17104496929207,0.7020208310923484
Local Pivotal,-0.2507079778048038,-0.2149261640885772,0.47830759375735155
Local Pivotal,0.2760171407592155,-0.1889015331946249,0.4732972513672834
Local Pivotal,0.19642253576244864,-0.17828905902291617,0.36239024441193746
Local Pivotal,0.19711584639102347,-0.17847307779020186,0.5655733532072288
Local Pivotal,0.07691560093370844,-0.21727851274501261,0.5275099938629202
Local Pivotal,0.19419607915119103,-0.25905391608758765,0.631449362839246
Local Pivotal,0.10999773660378595,-0.10546730855416145,0.443659966435783
Local Pivotal,-0.07372867193330282,-0.3097924941977454,0.4948768225436545
Local Pivotal,0.41378565453799965,-0.21411764783228115,0.3529788234407198
Local Pivotal,-0.12730078389156171,-0.21007497945109196,0.5477659126692261
Local Pivotal,-0.10692681848059099,-0.174483137961689,0.5331828198276011
Local Pivotal,0.11436545435843068,-0.2267256654404076,0.368434545705934
Local Pivotal,-0.10752336794778157,-0.21480180577449703,0.7025072449457395
Local Pivotal,-0.18475983378586763,-0.1821917066906699,0.6746179090059635
Local Pivotal,0.08421609333086283,-0.1110489443669335,0.4562643873160993
Local Pivotal,0.17302568472337893,-0.039047363706875275,0.4468992387357905
Local Pivotal,0.10364460917083723,-0.02532171436620257,0.6856579758640329
Local Pivotal,-0.0810536302876652,-0.0745499415224838,0.4087186185892143
Local Pivotal,0.09297379353554358,-0.2083638975602521,0.4950453340925205
