Method,Density,Moran,Local Balance
K-Means (45_random_),0.03547610269811719,-0.3095103817997786,0.17872755393009404
K-Means (45_random_),-0.11022672653649529,-0.18507829946641083,0.4691615611798604
K-Means (45_random_),-0.0008069582408608541,-0.14727457506293934,0.5469384844999206
K-Means (45_random_),-0.03476008870921896,-0.29489164483149066,0.1871268216168419
K-Means (45_random_),0.027377048998249477,-0.2929339762065442,0.1898760478149756
K-Means (45_random_),-0.07044751884804276,-0.23790194488452004,0.3728531277691242
K-Means (45_random_),-0.0036550816995324408,-0.14959622305878165,0.5658318822627141
K-Means (45_random_),0.0955657281319553,-0.156195407336593,0.566158320932321
K-Means (45_random_),0.0955657281319553,-0.156195407336593,0.566158320932321
K-Means (45_random_),0.03269476721889533,-0.17919107773697443,0.5194939293862592
K-Means (45_random_),0.06113105627897504,-0.295835853747235,0.20385321316770405
K-Means (45_random_),-0.00012952809558527178,-0.29257587051018713,0.1816527480239754
K-Means (45_random_),0.026269235949571174,-0.20317477992874042,0.46966310814282414
K-Means (45_random_),-0.07123763694022318,-0.1362103081368693,0.5831969675911576
K-Means (45_random_),0.057709859521784986,-0.17457893930919668,0.5008874877414509
K-Means (45_random_),-0.07173621302423946,-0.2803943747147717,0.29588114707681074
K-Means (45_random_),-0.03559751998216256,-0.15145807717061727,0.5559433027090718
K-Means (45_random_),0.03269476721889533,-0.17919107773697443,0.5194939293862592
K-Means (45_random_),0.06113105627897504,-0.295835853747235,0.20385321316770405
K-Means (45_random_),0.06483040068453545,-0.21370068399327016,0.47741639034959693
K-Means (45_random_),-0.03553534490880781,-0.2594185013179911,0.2954547994767306
K-Means (45_random_),-0.06822541146031508,-0.18503075040029235,0.47108055977401064
K-Means (45_random_),0.033947398143639916,-0.11259592447687468,0.6027240598260833
K-Means (45_random_),-0.003655081699532463,-0.16721600205857573,0.48238386833368885
K-Means (45_random_),-0.03615872306561019,-0.19777071961963047,0.4759176928586944
K-Means (45_random_),-0.00013544156315244414,-0.1340231698722705,0.6224528547536599
K-Means (45_random_),-0.003655081699532463,-0.16721600205857573,0.48238386833368885
K-Means (45_random_),-0.03553534490880781,-0.2594185013179911,0.2954547994767306
K-Means (45_random_),0.12412530892559939,-0.21515531660362874,0.43298318222562404
K-Means (45_random_),-0.034760088709219,-0.2209526896885476,0.4031752496804444
K-Means (45_random_),-0.11022672653649529,-0.18507829946641083,0.4691615611798604
K-Means (45_random_),-0.038427896204136856,-0.16667463998409812,0.4981629551534513
K-Means (45_random_),-0.03476008870921896,-0.29489164483149066,0.1871268216168419
K-Means (45_random_),0.04066536097052079,-0.22775655757037094,0.47541342811450105
K-Means (45_random_),0.03269476721889534,-0.19045103755926213,0.5382189194585797
K-Means (45_random_),-0.031396629085526005,-0.09296598841135593,0.6392143946229907
K-Means (45_random_),-0.0022337489715420177,-0.28926946066045395,0.21757846869025044
K-Means (45_random_),-0.0026264954439958487,-0.29722999925951654,0.17721450618673337
K-Means (45_random_),-0.03476008870921896,-0.29489164483149066,0.1871268216168419
K-Means (45_random_),0.127618812529629,-0.21263697756011912,0.48378498202671477
K-Means (45_random_),0.06443363804192122,-0.26753613489611905,0.26545539144953273
K-Means (45_random_),-0.073882674200126,-0.2105973731487453,0.5267409150059977
K-Means (45_random_),-0.11022672653649529,-0.18507829946641083,0.4691615611798604
K-Means (45_random_),-0.034760088709219,-0.18438138079467645,0.471102929225465
K-Means (45_random_),-0.11022672653649529,-0.18507829946641083,0.4691615611798604
K-Means (45_random_),0.029481926107515658,-0.19440833716019507,0.48928233561755596
K-Means (45_random_),-0.10635194414831264,-0.1729689245526582,0.44843587818338904
K-Means (45_random_),-0.0762895081657518,-0.2564583463909474,0.2213526428150413
K-Means (45_random_),0.031148004676208357,-0.26072525725018814,0.3401535201835104
K-Means (45_random_),0.06443363804192122,-0.29182586354018736,0.16709312607631394
K-Means (45_random_),0.1243932122169018,-0.1844661896708712,0.503758780404459
K-Means (45_random_),-0.07123763694022318,-0.1362103081368693,0.5831969675911576
K-Means (45_random_),0.026893589341370622,-0.22714074025148248,0.3780334700939574
K-Means (45_random_),-0.07044751884804276,-0.23790194488452004,0.3728531277691242
K-Means (45_random_),-0.06856692089166322,-0.24940377967015454,0.36991959601891594
K-Means (45_random_),0.06443363804192122,-0.26753613489611905,0.26545539144953273
K-Means (45_random_),-0.10619539731492544,-0.20848807142937115,0.3701167325002925
K-Means (45_random_),0.030562227412996534,-0.13554982698492402,0.5111729334160258
K-Means (45_random_),0.03547610269811719,-0.3095103817997786,0.17872755393009404
K-Means (45_random_),-0.07159106105473731,-0.21397530596404654,0.47449971180577294
K-Means (45_random_),0.09126103276804301,-0.20700903300900297,0.46446417911849014
K-Means (45_random_),0.03269476721889537,-0.2786831067301111,0.21197698425686928
K-Means (45_random_),-0.038910283877774426,-0.20511237627195378,0.40869988598544094
K-Means (45_random_),-0.07173621302423946,-0.2188238733941985,0.35327864862092884
K-Means (45_random_),0.06443363804192122,-0.29182586354018736,0.16709312607631394
