Method,Density,Moran,Local Balance
K-Means (45_random_),-0.19715602289651735,-0.08089543867239789,0.5136459788214432
K-Means (45_random_),-0.11892593334760751,-0.09626025018220512,0.5908677754157307
K-Means (45_random_),-0.18602279948410316,-0.21928338553562887,0.33787879788547176
K-Means (45_random_),-0.26627030011034475,-0.08513102427887036,0.5545559129669803
K-Means (45_random_),-0.1962698155289679,-0.1030829779034587,0.5483169510522476
K-Means (45_random_),-0.03552934635650745,-0.20803707274144734,0.4360748789003107
K-Means (45_random_),-0.256864518943336,-0.18187607848425957,0.4844305677602775
K-Means (45_random_),-0.28241109578670587,-0.08220223932549331,0.577821016417595
K-Means (45_random_),-0.31110908227122536,-0.14423221441358172,0.5543839605174358
K-Means (45_random_),-0.42287807240677694,0.05496939403279434,0.6506214108953017
K-Means (45_random_),-0.2888994954960268,-0.06377014811920305,0.5973569697072482
K-Means (45_random_),-0.28584737605197696,-0.0694201053831658,0.5452794509029459
K-Means (45_random_),-0.06582014858066948,-0.10322338406708433,0.7068776997504358
K-Means (45_random_),-0.17937714432486065,-0.21041120126337007,0.4307713375673372
K-Means (45_random_),-0.23773177047625182,-0.18408350174671406,0.2737730132141127
K-Means (45_random_),-0.15347104664511044,-0.1217477444171234,0.391513872205078
K-Means (45_random_),-0.03552934635650745,-0.20803707274144734,0.4360748789003107
K-Means (45_random_),-0.26905111337101306,-0.15027801743360644,0.49749068734472474
K-Means (45_random_),-0.16334782753327898,-0.06604518973065832,0.4748264598421594
K-Means (45_random_),-0.23848448893262486,-0.1842929088642838,0.47980997192045655
K-Means (45_random_),-0.2639251256995122,-0.1599915836744525,0.493601645911046
K-Means (45_random_),-0.3237866045645728,-0.11239880937634052,0.528565265507979
K-Means (45_random_),-0.18602279948410316,-0.21928338553562887,0.33787879788547176
K-Means (45_random_),-0.19715602289651735,-0.08089543867239789,0.5136459788214432
K-Means (45_random_),-0.29012806769633853,-0.009455745600868988,0.6490594716981556
K-Means (45_random_),-0.256864518943336,-0.18187607848425957,0.4844305677602775
K-Means (45_random_),-0.3413203303331893,-0.06712135335043619,0.6143143994414937
K-Means (45_random_),-0.18602279948410316,-0.21928338553562887,0.33787879788547176
K-Means (45_random_),-0.1861736336892551,-0.15254353688753167,0.5412791124895386
K-Means (45_random_),-0.3259129823826087,-0.027227948284819222,0.5955795467297681
K-Means (45_random_),-0.15347104664511044,-0.1217477444171234,0.391513872205078
K-Means (45_random_),-0.42287807240677694,0.05496939403279434,0.6506214108953017
K-Means (45_random_),-0.24092443802376526,-0.2152168632720381,0.3117119219674526
K-Means (45_random_),-0.2888994954960268,-0.06377014811920305,0.5973569697072482
K-Means (45_random_),-0.08674045777157743,-0.18637047281641664,0.3096867173725484
K-Means (45_random_),-0.34305464368971395,-0.11432108971975878,0.5494220063956646
K-Means (45_random_),-0.3331970275433484,-0.219934631694411,0.44278687450714793
K-Means (45_random_),-0.11892593334760751,-0.09626025018220512,0.5908677754157307
K-Means (45_random_),-0.19774386323012397,-0.17893615785511144,0.4773774879097408
K-Means (45_random_),-0.1331289700561741,-0.21937423910708376,0.32918495221404026
K-Means (45_random_),-0.1918065381033113,-0.21880822469395925,0.26139261799226865
K-Means (45_random_),-0.23310738479549456,-0.19337193402320765,0.48995326007638607
