Method,Density,Moran,Voronoi
K-Means (33_lexico),-0.0800838170556452,-0.4347850403589222,0.4100352118976658
K-Means (33_random),0.1369798583236086,-0.2665877969364872,0.3425560463325327
K-Means (33_projection),0.0754682699650293,-0.2307965455862488,0.663535450505614
K-Means (33_distance_0),0.1485733999360096,-0.2675822543601265,0.4789157622118137
K-Means (33_angel_0),0.1089542744517039,-0.2587047306328635,0.58508538728428
K-Means (22_lexico),0.0390317430928942,-0.3179809272060012,0.6189912489748287
K-Means (22_random),0.1360616329313732,-0.1178511301977581,0.4910395271550631
K-Means (22_projection),0.2343558899351974,-0.4443021174659191,0.4621194175145322
K-Means (22_distance_0),-0.1380567851475656,-0.5291067161269918,0.2232428270587987
K-Means (22_angel_0),0.2962175362562502,-0.2836111973883395,0.560787585446178
K-Means (33_lexico),-0.1481721682487535,-0.3857583749052298,0.4118862908554716
K-Means (33_random),0.1959349534097497,-0.2707456431753733,0.5330265349584353
K-Means (33_projection),-0.2077989315798768,-0.2849284082310098,0.40353525014961
K-Means (33_distance_0),0.0117591020921121,-0.2676888273718232,0.4595709538644367
K-Means (33_angel_0),0.1485733999360096,-0.2675822543601265,0.4789157622118138
K-Means (22_lexico),0.0752465773984922,-0.3926161054593283,0.4972748383416918
K-Means (22_random),0.1171752749730955,-0.4003203845127175,0.4577795673108366
K-Means (22_projection),0.0377646159078758,-0.3149703941743558,0.3826204056869319
K-Means (22_distance_0),0.5217902217801812,-0.3891847108726056,0.6007374579634276
K-Means (22_angel_0),0.2962175362562502,-0.2836111973883395,0.560787585446178
K-Means (33_lexico),-0.0562141995544104,-0.4377674937097252,0.2514151019502674
K-Means (33_random),0.4361849118198201,-0.2859958054256147,0.6528887871132317
K-Means (33_projection),-0.2716569839687087,-0.3889807697994913,0.4181846510082319
K-Means (33_distance_0),0.1664478941922131,-0.3353468100238886,0.3261634942417478
K-Means (33_angel_0),-0.0165263620046142,-0.2924155335257236,0.3428773230126249
K-Means (22_lexico),-0.1641873054415192,-0.552964757147978,0.2858921360520466
K-Means (22_random),-0.3356964946881446,-0.2487436204485168,0.4657562652723293
K-Means (22_projection),-0.1566806692852021,-0.3781877902948926,0.4781159113063628
K-Means (22_distance_0),0.039244506779309,-0.2525309857799184,0.5171068791911062
K-Means (22_angel_0),-0.1556133773245189,-0.2898821439062432,0.482242571290366
K-Means (33_lexico),0.2525798920595174,-0.3943275499050142,0.3279478808394636
K-Means (33_random),-0.3272828671660016,-0.3703437031021985,0.4017386540012838
K-Means (33_projection),0.29974825583658,-0.2442199594739188,0.7171320650796232
K-Means (33_distance_0),-0.2077989315798768,-0.2849284082310098,0.40353525014961
K-Means (33_angel_0),-0.0165263620046142,-0.2924155335257236,0.3428773230126249
K-Means (22_lexico),-0.3306976398278933,-0.1512311996372376,0.3399017715184593
K-Means (22_random),0.3284191066993802,-0.2383015619097,0.5839219175013646
K-Means (22_projection),0.0364552862781119,-0.5001716401492329,0.5098902691931
K-Means (22_distance_0),0.2781170038568859,-0.4063325206691059,0.2866799734325945
K-Means (22_angel_0),0.3775180177681908,-0.2798631628746835,0.6067141693620796
K-Means (22_lexico),-0.0812003107770723,-0.223946367873853,0.4590165034413343
K-Means (22_random),-0.1851462303765005,-0.4410860821566698,0.328592140461321
K-Means (22_projection),0.2337365248794135,-0.2249190188099323,0.6298910232439112
K-Means (22_distance_0),-0.1036789676605608,-0.5076623402260334,0.2182268416314942
K-Means (22_angel_0),0.1172611347529628,-0.4542567625794969,0.3524671247698199
K-Means (33_lexico),0.2537912943079606,-0.4410860821566695,0.5071672419774546
K-Means (33_random),0.2676070310389916,-0.3069249070224253,0.61573012049205
K-Means (33_projection),-0.2765558033256759,-0.365468163036326,0.4330882794313105
K-Means (33_distance_0),0.0117591020921121,-0.2676888273718232,0.4595709538644367
K-Means (33_angel_0),0.1572649331754224,-0.466030437565482,0.329414943384776
K-Means (22_lexico),0.3577569096810181,-0.3214029504033489,0.5983472533033987
K-Means (22_random),-0.2215902208459398,-0.3367542902409459,0.3846877356431466
K-Means (22_projection),0.2337365248794135,-0.2249190188099323,0.6298910232439112
K-Means (22_distance_0),0.1172611347529628,-0.4542567625794969,0.3524671247698199
K-Means (22_angel_0),0.3092537237380551,-0.2959160748351102,0.5445463395302983
K-Means (33_lexico),-0.0800838170556452,-0.4347850403589222,0.4100352118976658
K-Means (33_random),-0.3330384423019967,-0.4023398993836115,0.4297400962840188
K-Means (33_projection),-0.2716569839687087,-0.3889807697994913,0.4181846510082319
K-Means (33_distance_0),0.1939472610866873,-0.2423901763725557,0.6416634897265916
K-Means (33_angel_0),-0.0932419862399085,-0.5026090374675876,0.4751455872623081
K-Means (22_lexico),-0.3973007830377374,-0.180352104840586,0.4212620132762548
K-Means (22_random),0.0670636141051839,-0.3496998325703478,0.6009719024829314
K-Means (22_projection),-0.2049541980585528,-0.4720274865224118,0.3983951303789518
K-Means (22_distance_0),-0.1380567851475656,-0.5291067161269918,0.2232428270587987
K-Means (22_angel_0),0.078189344860456,-0.2694722554858926,0.5930011460773825
K-Means (33_lexico),-0.1726349063875139,-0.4461610842140741,0.3364075568631458
K-Means (33_random),-0.1525005706121834,-0.29591607483511,0.4504711890756857
K-Means (33_projection),0.3579633581070528,-0.3178137832358194,0.6335176332509577
K-Means (33_distance_0),-0.2765558033256759,-0.365468163036326,0.4330882794313105
K-Means (33_angel_0),-0.2292961666505867,-0.3432706038958454,0.4195043557861156
K-Means (22_lexico),-0.3306976398278933,-0.1512311996372376,0.3399017715184593
K-Means (22_random),0.1387979798964273,-0.2377358630456357,0.4665032262312726
K-Means (22_projection),0.1055349015570338,-0.2907533026784079,0.4695948414428773
K-Means (22_distance_0),0.1055349015570338,-0.2907533026784079,0.4695948414428773
K-Means (22_angel_0),-0.3460873103933817,-0.3422820797334118,0.3819277086517485
K-Means (33_lexico),-0.058211253243975,-0.277425128574725,0.5483702162536461
K-Means (33_random),-0.1034634820655607,-0.3361227822436791,0.4008993554028288
K-Means (33_projection),-0.2765558033256759,-0.365468163036326,0.4330882794313105
K-Means (33_distance_0),-0.2400945342834156,-0.3865103412619619,0.4634358849063145
K-Means (33_angel_0),-0.0165263620046142,-0.2924155335257236,0.3428773230126249
K-Means (22_lexico),0.0752465773984922,-0.3926161054593283,0.4972748383416918
K-Means (22_random),-0.1674619949326601,-0.2945520388416376,0.354532916436389
K-Means (22_projection),-0.1798886943469036,-0.4412392302899192,0.4347294544399566
K-Means (22_distance_0),-0.3005534484051371,-0.2497562164217841,0.3750748771938495
K-Means (22_angel_0),0.1022675699579919,-0.3174208848856191,0.3990170705700642
K-Means (33_lexico),0.095480380134815,-0.2030638700807158,0.4646764126234644
K-Means (33_random),0.199942255611611,-0.3703437031021986,0.2787405992710408
K-Means (33_projection),0.1214819970859349,-0.3195523742829633,0.3003376395051521
K-Means (33_distance_0),0.1939472610866873,-0.2423901763725557,0.6416634897265916
K-Means (33_angel_0),0.1933601313374627,-0.400320384512718,0.2845732170946646
K-Means (22_lexico),0.107118834725495,-0.359024561106317,0.5903278508386158
K-Means (22_random),0.2861068569255854,-0.2550961726115087,0.5962737976855416
K-Means (22_projection),0.2343558899351974,-0.4443021174659191,0.4621194175145322
K-Means (22_distance_0),-0.2009412081777688,-0.3125289766579474,0.4840231208880242
K-Means (22_angel_0),-0.3102883667701691,-0.1403856429649477,0.4049793377795765
K-Means (33_lexico),-0.058211253243975,-0.277425128574725,0.5483702162536461
K-Means (33_random),0.1133876110131325,-0.2419105745735198,0.5606764128045556
K-Means (33_projection),0.2337365248794135,-0.2249190188099323,0.6298910232439112
K-Means (33_distance_0),-0.1337853077859778,-0.4651270704016858,0.4974667691310538
K-Means (33_angel_0),0.1664478941922131,-0.3353468100238886,0.3261634942417478
K-Means (22_lexico),-0.0812003107770723,-0.223946367873853,0.4590165034413343
K-Means (22_random),0.0185267682375968,-0.3886228291113672,0.4245841119007882
K-Means (22_projection),-0.2961926934948112,-0.34727944810394,0.4386018296397685
K-Means (22_distance_0),0.2043733484568095,-0.4065624678853683,0.2298414785882353
K-Means (22_angel_0),-0.1365498664855549,-0.3717968253746109,0.387594806302372
K-Means (33_lexico),-0.1897036968064907,-0.4450169043095576,0.3836817934611482
K-Means (33_random),0.1253087125143506,-0.3889807697994914,0.2395380819855929
