Method,Density,Moran,Voronoi
K-Means (22_lexico),0.2414580335663447,-0.3816278298323509,0.312109927806982
K-Means (22_random),0.0765872261536328,-0.3596060939614021,0.1957406287748699
K-Means (22_projection),0.0518296499547882,-0.3508373879635699,0.1985485666510761
K-Means (22_distance_0),-0.0348551843616233,-0.3310159526412032,0.2373687865582152
K-Means (22_angel_0),-0.1297907641815731,-0.4196919359804573,0.3069806180613819
Local Pivotal,0.3342064457290089,-0.2161101829630348,0.2730123264256068
Wave,-0.3572908867245216,-0.4147164032052762,0.2454754680745832
K-Means (22_lexico),-0.0889361852651457,-0.3233194952035877,0.2544850704211003
K-Means (22_random),-0.3159316204494062,-0.3869628202134005,0.2682041697147885
K-Means (22_projection),-0.198388231929286,-0.4626637007479066,0.1939671678732598
K-Means (22_distance_0),0.111896298680409,-0.374633724512496,0.3478173134472462
K-Means (22_angel_0),0.0849869677898566,-0.4043762253072052,0.2393232541283603
Local Pivotal,0.0799146021422644,-0.2806342975548703,0.2434723589349019
Wave,0.1914557492263618,-0.5044654750526424,0.2757728705592284
K-Means (22_lexico),-0.043569680520436,-0.2690353043256795,0.3738783192392215
K-Means (22_random),0.0703199629640459,-0.4990780003218994,0.2410928569656215
K-Means (22_projection),0.1152485610562897,-0.5279307926266698,0.217816038254511
K-Means (22_distance_0),0.0546614528620726,-0.405279172582885,0.1766994073457651
K-Means (22_angel_0),-0.1587141584185245,-0.3058212349670156,0.2504919469561274
Local Pivotal,0.377490929799131,-0.1972447197746188,0.291266588169122
Wave,0.2598317564839899,-0.5213008652599036,0.2214094569811365
K-Means (22_lexico),0.0537903316209348,-0.4515409907243721,0.2427732347611816
K-Means (22_random),0.1423808195536388,-0.3674109914038311,0.3052114488209803
K-Means (22_projection),0.1824668769345824,-0.4517577350103229,0.3450095462234729
K-Means (22_distance_0),0.0815916151191383,-0.4536365819598603,0.1505070178068436
K-Means (22_angel_0),0.1460332008843084,-0.2717399259062418,0.3599489490026873
Local Pivotal,0.2151208113988248,-0.2801060176117239,0.1984040549483368
Wave,0.1238759552574002,-0.261998573230071,0.2845466137027462
K-Means (22_lexico),0.0743907340034856,-0.4579581460673362,0.1245005440048246
K-Means (22_random),-0.3156791825961147,-0.4256282653793751,0.3168597920866483
K-Means (22_projection),-0.2664606739382577,-0.5365532458925161,0.188000625954572
K-Means (22_distance_0),-0.2636064451587118,-0.4497122835478229,0.2588241980126144
