Method,Density,Moran,Voronoi
K-Means (11_lexico),0.6220697911663605,-0.2587931243641972,0.638910588213155
K-Means (11_random),0.7274168194868749,-0.1939911153995408,0.6224648508303545
K-Means (11_projection),0.6603382215804524,-0.0589631388622945,1.766422810648138
K-Means (11_distance_0),-0.1085270394792646,-0.2725959359242752,0.5254411067088148
K-Means (11_angel_0),-0.1418130065243898,-0.2181033865831205,0.5853949292995082
Local Pivotal,-0.0236142792295635,-0.1354472753894025,0.3849967970962001
Wave,-0.1307909035160515,-0.1473519688419609,0.4631995323616817
K-Means (11_lexico),0.6220697911663605,-0.2587931243641972,0.638910588213155
K-Means (11_random),0.5478968551302987,-0.172977326087383,0.4252026359121241
K-Means (11_projection),-0.0740586750175895,-0.1114997624920864,0.7174798504028443
K-Means (11_distance_0),-0.1301486144366909,-0.2081676764299844,0.5101803591317773
K-Means (11_angel_0),-0.1085270394792646,-0.2725959359242752,0.5254411067088148
Local Pivotal,0.1798903520404302,0.0267213974435139,0.2882941139363902
Wave,0.3827073883451086,-0.158747803078102,0.5459899712638819
K-Means (11_lexico),0.1586464383712938,-0.1740345474422807,0.5006955659107681
K-Means (11_random),0.2019492551248418,-0.0464036262659694,0.536800689549367
K-Means (11_projection),0.6630606389287086,-0.1660855951104414,1.9366669479988168
K-Means (11_distance_0),-0.1274065519281846,-0.3026465930859811,0.5839473942935491
K-Means (11_angel_0),-0.0745254302759073,-0.2078835766955155,2.541500964835879
Local Pivotal,0.0937444601346706,-0.2551347466346338,0.6282952051497891
Wave,-0.1753501667166507,-0.1229705470524034,0.583964140021053
K-Means (11_lexico),-0.0524281893438138,-0.0726480445102691,0.711317805220676
K-Means (11_random),0.4345997562910756,-0.1696425284220596,0.5984262263459311
K-Means (11_projection),0.7630020478791535,-0.096048547486514,1.8949611725685505
K-Means (11_distance_0),0.0450904200513305,-0.1736204885461104,0.9491135605243874
K-Means (11_angel_0),-0.1418130065243898,-0.2181033865831205,0.5853949292995082
Local Pivotal,-0.1741935025655014,-0.2708815223557623,0.493735821027539
Wave,0.6194801971720227,-0.159156901583358,10.09237618789899
K-Means (11_lexico),-0.0387521879252795,-0.2880646306915193,0.5459906534827023
K-Means (11_random),0.2020239348445903,-0.1424019984978274,0.612046690383114
K-Means (11_projection),-0.0889763295874591,-0.0947635173297784,2.063893175116541
K-Means (11_distance_0),-0.0791700115637656,-0.1353407370855109,4.3975754944595415
K-Means (11_angel_0),0.520545202280423,-0.2137623503717015,0.6249957427120382
Local Pivotal,-0.2652466733120897,-0.2601022199638304,0.698807922377897
Wave,0.3420121399525523,0.027832943264474,0.4545264074542066
K-Means (11_lexico),-0.2892374143715223,-0.2170061255352735,0.5680235968745235
K-Means (11_random),0.181202571773312,-0.2012883946916335,1.757056076203328
K-Means (11_projection),-0.1741935025655014,-0.2708815223557623,0.493735821027539
K-Means (11_distance_0),-0.1274065519281846,-0.3026465930859811,0.5839473942935491
K-Means (11_angel_0),0.5921932447458154,-0.1686145288944712,2.068973754304212
Local Pivotal,-0.1384848542669082,-0.0498398655432594,1.1425848255957956
Wave,0.1508025491223119,-0.2608600125614123,0.5819618043522234
K-Means (11_lexico),0.4694826160220845,-0.1836916558607581,2.2675596769203814
K-Means (11_random),-0.064785563519778,-0.3200565006142972,0.5451336280801127
K-Means (11_projection),-0.1418130065243898,-0.2181033865831205,0.5853949292995082
K-Means (11_distance_0),-0.0840219590291529,-0.0586561557145817,0.4638354396226841
K-Means (11_angel_0),0.5524459695866837,-0.1157980031730754,3.4782038212072783
Local Pivotal,0.0241556146688019,-0.3068777690488219,0.537732648165126
Wave,-0.0851479160401745,-0.2045720040462327,0.5220991090316217
K-Means (11_lexico),0.4081798097258699,-0.1325630061967552,0.5964001550544901
K-Means (11_random),0.6380669115867726,-0.2766894445746441,0.6397753608542168
K-Means (11_projection),-0.1496592780075445,-0.1395339755587273,1.16457870923751
K-Means (11_distance_0),-0.1085270394792646,-0.2725959359242752,0.5254411067088148
K-Means (11_angel_0),0.373166842413634,-0.1740701771962477,0.2854355542493255
Local Pivotal,0.3059635127205136,-0.0926776398179318,4.19517553309525
Wave,0.3543125418321358,-0.3501263525538555,0.5648733640003919
K-Means (11_lexico),0.140310268595571,-0.0319335214446745,2.311406787100537
K-Means (11_random),0.0408404058815922,-0.2201015395057458,0.5241774048876232
K-Means (11_projection),-0.1418130065243898,-0.2181033865831205,0.5853949292995082
K-Means (11_distance_0),0.520545202280423,-0.2137623503717015,0.6249957427120382
K-Means (11_angel_0),0.1149802714318443,-0.1987915662877217,0.4234857928408205
Local Pivotal,-0.3863429878172475,-0.1967471426544818,0.6215322314562273
Wave,0.2961515785819121,-0.1211990129686475,0.4429438996785703
K-Means (11_lexico),0.4694826160220845,-0.1836916558607581,2.267559676920381
K-Means (11_random),-0.1153890394247436,-0.0283570345101999,0.5409204755425646
K-Means (11_projection),0.4673916841660734,-0.3232869256109037,0.5884360999600119
K-Means (11_distance_0),-0.1472613544138545,-0.1389716354040351,1.1641483174124658
K-Means (11_angel_0),0.5346475625707786,-0.1961920204849342,0.5826407316071569
Local Pivotal,0.8032034956740777,-0.1892495732023624,0.5204513232415858
Wave,0.144118217543229,-0.2442406914613973,2.887786465721604
K-Means (11_lexico),-0.0524281893438138,-0.0726480445102691,0.711317805220676
K-Means (11_random),0.6220697911663605,-0.2587931243641972,0.638910588213155
K-Means (11_projection),-0.1085270394792646,-0.2725959359242752,0.5254411067088148
K-Means (11_distance_0),0.0516061731912317,-0.1584814698656171,2.480548608373422
K-Means (11_angel_0),-0.1418130065243898,-0.2181033865831205,0.5853949292995082
Local Pivotal,0.0829581951173512,-0.2953581191802724,0.5527645575916548
Wave,0.212106400809807,-0.2954922328578307,0.3936323224386557
K-Means (11_lexico),0.1542422179353807,-0.1477421460459507,0.556051935532127
K-Means (11_random),0.1772254540597617,-0.0570936784324058,2.320473841950979
K-Means (11_projection),-0.1418130065243898,-0.2181033865831205,0.5853949292995082
K-Means (11_distance_0),0.5346475625707786,-0.1961920204849342,0.5826407316071569
K-Means (11_angel_0),-0.1418130065243898,-0.2181033865831205,0.5853949292995082
Local Pivotal,0.2528512886388514,-0.0606380878817648,0.5436222831483273
Wave,0.3006960752376545,-0.2461952722289359,0.5260767874194295
K-Means (11_lexico),-0.2135033888682067,-0.1777670823836935,0.4489513423928823
K-Means (11_random),0.0887428979040144,-0.1252023060318239,1.7763865450637355
K-Means (11_projection),-0.1085270394792646,-0.2725959359242752,0.5254411067088148
K-Means (11_distance_0),-0.1805888720189501,-0.1056717151960222,2.014364681587225
K-Means (11_angel_0),0.0450904200513305,-0.1736204885461104,0.9491135605243874
Local Pivotal,0.2591740027969737,-0.1904574891981068,0.6072766451677528
Wave,0.3643097862649357,-0.168586716318511,1.7493956643909143
K-Means (11_lexico),-0.2892374143715223,-0.2170061255352735,0.5680235968745235
K-Means (11_random),-0.1493383646555997,-0.1911542748766594,0.8309932098007714
K-Means (11_projection),0.0506542454738195,-0.2837274858064907,0.5236239525048867
K-Means (11_distance_0),-0.1741935025655014,-0.2708815223557623,0.4937358210275389
K-Means (11_angel_0),0.0688064503691691,-0.238884822392758,0.4218330762818161
Local Pivotal,0.1122448806095331,-0.2300142391897834,0.4681680940482948
Wave,-0.1586559480964441,-0.1844962201247332,2.9092755357229287
K-Means (11_lexico),-0.0739610309888622,-0.1195947783209315,2.207866983555445
K-Means (11_random),0.718760890102394,-0.1960508208101374,0.4845012553936792
K-Means (11_projection),0.1528703319943292,-0.1124316633976601,0.3171849395188966
K-Means (11_distance_0),-0.0840219590291529,-0.0586561557145817,0.4638354396226841
K-Means (11_angel_0),-0.0678995077979862,-0.2624912586257534,0.7312769527626077
Local Pivotal,0.1064814156736514,-0.1493131509599352,0.8312806892472381
Wave,-0.0306374087584666,-0.1880720157327682,1.644187878244876
K-Means (11_lexico),-0.0524281893438138,-0.0726480445102691,0.711317805220676
K-Means (11_random),0.6662194106030445,-0.0617906564715437,0.5892806795765417
K-Means (11_projection),-0.1741935025655014,-0.2708815223557623,0.493735821027539
K-Means (11_distance_0),0.1077366667875804,0.0369324190014474,0.5859238951903872
K-Means (11_angel_0),0.6102472346577421,-0.1226306299812754,8.70233069738731
Local Pivotal,0.4474278108093223,-0.0361286287930238,0.7153513549538154
Wave,0.6654759162384649,-0.1868416970595193,0.883448883391731
K-Means (11_lexico),-0.0807015789808487,-0.187516200442708,0.3314399170050375
K-Means (11_random),-0.0688815329811981,-0.2691929270481584,0.4497465339900435
K-Means (11_projection),0.6630606389287086,-0.1660855951104414,1.9366669479988168
K-Means (11_distance_0),-0.1399389500587652,-0.1707357667973497,0.7719324877653169
K-Means (11_angel_0),-0.0840219590291529,-0.0586561557145817,0.4638354396226841
Local Pivotal,0.1208218271017708,-0.1998016573704628,0.5221134346430822
Wave,-0.0240070484607844,-0.2502547039966119,0.6665330317026708
K-Means (11_lexico),0.1542422179353807,-0.1477421460459507,0.556051935532127
K-Means (11_random),-0.1244891695697906,-0.155896799271869,0.534568557034455
K-Means (11_projection),0.0633651376432774,-0.0911878109727559,2.337399364545792
K-Means (11_distance_0),0.0853637130757612,-0.0566296664835916,9.050707633343414
