"V1","V2","V3","V4"
9,22,32,52
18,52,55,92
12,31,39,61
10,64,68,93
1,31,40,90
4,55,63,71
2,23,35,49
32,54,58,59
3,28,79,83
19,24,70,91
7,9,11,41
42,45,52,63
27,29,69,76
12,49,82,89
6,28,64,68
23,35,69,100
19,35,42,57
12,26,36,90
38,43,83,84
7,36,56,68
7,15,53,100
5,11,46,81
47,86,91,100
26,37,47,93
52,72,74,87
44,86,98,100
5,22,46,93
5,56,79,81
28,55,73,91
28,56,69,88
20,30,65,80
9,31,44,59
6,62,71,84
4,55,76,78
40,49,65,66
30,70,97,98
13,55,68,94
21,35,46,57
29,79,82,87
18,55,64,75
23,25,27,74
43,48,83,84
31,64,68,93
19,49,82,89
32,64,80,96
40,64,73,96
8,63,69,95
25,35,39,57
6,34,62,73
16,45,48,94
10,31,44,47
1,27,50,83
1,60,67,73
42,54,56,78
1,17,27,61
21,35,37,78
6,24,50,78
7,39,74,100
9,17,42,65
16,22,30,100
1,48,80,98
4,12,21,59
14,21,36,68
9,21,73,75
22,36,40,85
19,47,92,99
49,52,74,97
22,45,52,61
11,26,29,61
31,35,69,91
5,32,33,75
54,59,71,94
21,70,75,82
29,43,74,83
5,6,51,83
10,38,51,52
9,25,77,88
24,47,58,73
57,68,74,93
6,25,45,60
9,11,20,27
28,55,72,91
6,76,80,90
10,20,39,40
1,25,45,85
46,86,87,93
40,46,71,86
3,21,71,73
13,22,62,74
4,6,7,71
16,28,33,84
32,65,86,88
1,15,73,98
14,33,41,98
5,19,42,80
2,72,79,82
17,33,41,90
2,18,53,70
6,51,89,94
6,7,23,73
45,70,74,89
11,38,67,73
26,50,68,98
4,12,53,90
4,10,30,61
13,23,63,89
34,36,56,85
5,32,53,72
31,62,64,97
27,53,58,81
14,62,82,88
6,38,46,55
14,32,65,93
6,37,72,77
14,25,49,94
4,11,60,77
27,29,30,81
63,76,83,94
30,34,52,88
2,51,59,64
2,9,26,97
40,51,64,68
30,34,54,65
22,41,50,69
29,73,86,96
13,26,67,76
1,7,88,95
33,40,87,95
31,32,63,68
18,53,82,90
34,39,85,88
34,46,51,52
25,40,57,91
30,58,65,84
2,8,48,97
36,46,67,70
9,12,81,91
13,60,75,94
9,18,20,79
38,78,84,90
11,27,40,47
1,21,36,60
22,31,66,77
34,43,45,86
2,40,43,45
46,56,64,92
7,82,88,92
4,52,53,64
18,28,59,67
48,49,50,84
2,19,96,99
56,66,69,72
8,30,75,80
32,41,44,78
30,31,53,98
22,40,66,80
5,46,56,84
5,6,21,51
9,10,17,67
20,37,53,70
3,20,41,88
24,29,46,51
10,50,55,86
19,61,64,91
5,22,62,81
7,35,39,88
39,40,42,95
45,64,69,84
15,36,47,79
31,35,44,63
60,69,77,84
8,72,90,97
35,51,81,91
21,36,43,89
8,41,53,95
38,71,72,92
8,84,86,92
20,53,60,93
