"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
3,21,29,43,46,47,54,60,67,69,71,74,76,81,83,99
4,5,6,7,12,15,17,20,21,38,39,48,62,66,83,90
2,16,22,24,25,27,32,44,48,58,66,76,82,87,94,98
6,21,24,26,28,30,32,55,59,61,62,71,83,85,89,93
4,7,17,26,28,42,43,47,64,67,68,74,77,81,90,95
14,30,47,52,55,59,60,69,70,74,81,83,88,89,94,99
3,20,21,22,25,35,38,47,48,49,58,61,71,83,86,96
5,13,20,25,28,38,42,44,52,61,75,83,87,90,94,95
2,9,20,21,25,29,30,34,56,61,65,66,73,85,94,95
2,9,24,25,30,32,39,42,50,60,61,62,70,75,98,99
3,16,20,22,24,32,34,47,48,55,58,60,63,64,70,73
4,12,16,20,29,35,48,53,55,59,60,61,83,89,90,99
2,6,14,17,19,24,30,32,48,52,55,56,65,67,89,98
15,17,19,20,25,32,37,48,59,61,62,70,74,76,83,87
7,9,20,21,26,47,50,52,64,68,70,71,74,98,99,100
9,11,14,16,25,26,34,38,49,58,61,62,74,82,90,95
1,2,7,10,17,18,21,24,28,32,42,44,56,66,76,83
8,9,11,12,14,22,29,34,42,47,55,76,81,85,90,99
3,5,7,15,16,30,43,48,66,67,77,81,83,87,89,91
7,11,14,17,25,42,48,52,68,74,76,78,83,86,87,95
7,12,21,26,37,42,62,64,68,69,71,74,85,94,98,99
5,7,20,23,27,29,30,37,39,42,47,66,77,81,83,85
5,7,14,31,34,52,56,67,68,79,81,82,87,90,92,95
3,11,20,27,32,34,42,48,61,68,76,77,82,89,90,95
3,20,23,32,42,60,61,68,74,76,77,83,87,91,92,99
4,15,21,30,43,47,55,66,68,69,70,74,76,81,83,94
1,16,23,34,48,55,56,62,63,64,66,69,74,81,82,87
2,21,26,35,37,48,50,52,61,64,65,70,71,83,89,99
2,3,6,7,16,28,38,42,45,50,64,74,79,87,98,99
1,14,42,44,58,67,69,74,81,82,85,88,90,92,94,98
7,8,16,21,32,33,34,35,56,60,62,64,66,81,82,96
15,32,34,35,37,43,47,52,55,61,70,76,79,86,87,94
1,14,17,24,42,52,55,69,76,83,84,85,86,87,90,97
3,12,20,24,37,38,40,46,47,48,55,59,69,71,81,83
9,12,14,25,34,37,38,42,50,52,53,61,74,88,89,90
