"V1","V2","V3","V4"
1,19,79,85
20,34,70,73
30,33,47,82
7,37,42,72
20,55,83,86
28,32,84,87
6,37,55,96
55,60,74,100
7,73,89,96
33,50,66,81
2,53,57,83
9,35,74,99
15,38,41,93
27,57,72,85
13,37,68,99
12,44,49,88
42,64,68,90
5,38,55,95
22,68,80,81
26,49,52,87
20,44,77,94
12,36,39,63
14,62,77,84
10,21,48,53
7,37,68,85
6,48,51,95
36,62,76,88
25,57,64,97
24,28,52,99
18,43,56,60
14,40,45,99
27,43,88,94
5,19,55,62
3,28,61,88
8,31,50,81
16,72,75,99
12,49,66,81
23,50,61,76
5,54,59,72
4,32,57,96
3,38,82,96
24,53,59,94
10,48,72,77
38,43,86,89
26,52,70,93
4,37,44,85
19,34,89,93
6,34,60,93
21,25,40,85
13,28,43,85
34,67,71,94
9,12,36,93
13,38,52,86
25,50,52,64
32,57,87,91
20,35,53,66
5,9,31,40
13,17,60,91
22,27,67,80
16,50,65,89
5,54,67,94
12,17,43,66
30,31,75,99
14,33,58,94
11,28,34,67
24,30,46,71
14,50,63,99
6,55,73,98
14,60,63,92
11,27,60,84
35,52,70,77
16,33,50,64
3,27,79,86
23,47,73,90
4,40,73,96
1,31,48,81
20,23,47,85
1,26,42,47
42,45,48,83
7,12,51,76
21,26,68,92
40,44,48,96
28,56,81,89
9,46,54,82
18,23,57,80
10,47,51,86
13,40,43,87
9,23,68,72
22,48,62,90
9,31,84,90
1,58,92,100
11,36,51,80
2,16,30,73
7,45,53,87
40,44,69,75
6,41,46,75
4,45,50,93
29,32,35,98
1,7,56,68
8,22,63,99
14,41,54,78
26,49,64,97
4,10,44,65
7,43,46,73
27,67,92,100
13,34,60,92
1,24,56,61
24,39,53,86
1,43,59,77
21,40,45,72
17,36,77,82
6,28,57,61
31,44,87,91
21,26,71,78
4,8,83,96
16,31,68,93
1,25,56,88
3,46,61,89
27,31,46,85
21,53,56,60
22,26,52,67
19,41,47,94
12,27,54,88
12,49,54,67
49,63,78,92
13,28,59,84
9,26,58,95
4,45,61,68
31,60,74,100
9,42,69,86
21,25,61,94
21,44,48,97
5,18,67,84
32,46,58,80
27,31,71,78
16,31,71,95
25,37,76,99
38,41,66,96
29,41,46,96
3,29,77,100
4,43,70,74
32,48,91,98
19,24,56,95
22,37,59,92
31,37,69,96
29,32,62,75
20,33,62,96
22,38,64,100
2,19,70,95
2,50,71,97
17,23,71,77
16,39,62,69
20,33,57,95
28,31,47,75
2,17,68,72
10,13,66,91
6,24,80,83
19,24,67,71
27,54,58,91
3,49,65,89
23,37,86,99
1,45,64,100
36,86,89,92
13,38,43,67
4,28,53,59
38,41,78,82
8,43,68,97
12,30,44,76
43,60,71,86
2,8,76,98
12,24,66,69
5,39,81,85
24,27,32,67
5,48,55,87
9,36,44,66
14,41,56,60
30,32,53,80
