"V1","V2","V3","V4","V5","V6","V7","V8"
9,21,28,35,55,62,68,94
13,25,29,55,57,63,70,99
10,15,36,54,60,68,72,88
11,17,36,42,48,65,91,96
8,12,24,37,49,52,74,77
4,9,23,41,45,58,80,84
22,24,27,47,66,73,89,95
3,29,33,36,62,80,93,97
14,16,31,39,53,57,75,82
4,6,28,41,58,85,92,98
29,33,36,55,59,62,74,89
4,20,21,46,62,68,83,86
5,20,41,49,65,68,72,99
1,17,41,43,58,64,92,100
6,30,42,46,59,63,80,95
15,20,23,36,53,67,82,84
8,15,29,43,63,84,89,97
7,10,28,33,52,77,88,94
1,14,27,41,46,63,67,97
6,28,31,35,52,69,77,94
4,27,32,35,53,69,75,78
4,20,23,27,54,59,76,84
6,14,41,45,50,76,88,95
18,25,30,31,62,75,89,93
5,11,34,59,72,80,87,95
15,17,23,40,44,68,93,97
1,37,40,51,54,58,80,96
1,13,15,40,64,73,85,89
6,27,33,46,61,64,80,93
7,10,26,41,50,68,72,96
7,22,26,45,47,51,69,95
1,14,33,39,54,57,79,85
6,24,30,43,51,57,74,78
1,23,27,40,54,58,81,96
1,10,16,47,51,56,63,69
4,23,36,39,72,79,85,98
3,21,24,29,49,75,82,89
1,18,34,36,50,52,75,83
24,28,50,55,61,69,87,93
2,15,27,39,54,66,88,93
2,16,20,46,52,55,70,78
6,22,43,50,58,62,84,88
3,15,19,45,69,74,90,96
3,20,21,43,50,66,90,93
7,19,21,34,60,82,85,97
4,7,33,58,65,83,96,99
4,20,44,47,67,70,72,94
9,12,15,46,64,77,80,81
13,16,31,49,56,77,81,84
10,17,22,25,60,78,82,90
13,33,45,49,51,76,81,89
13,16,20,37,54,60,88,94
8,16,29,33,62,68,94,97
7,21,34,49,57,65,91,96
3,16,20,38,42,55,88,95
1,17,30,51,57,60,71,96
5,13,31,35,63,69,84,89
4,10,21,45,49,64,87,99
1,5,22,39,45,67,84,89
12,18,24,30,53,66,83,100
27,35,50,63,67,71,80,85
11,15,39,57,65,71,89,91
21,30,45,47,62,93,96,100
4,28,32,36,58,86,91,99
6,22,26,39,56,69,81,88
12,36,38,42,59,72,74,88
28,35,42,49,63,87,91,99
1,5,26,30,55,68,73,100
16,30,37,45,51,69,81,89
11,18,43,46,61,82,87,89
3,15,17,38,60,71,85,92
9,22,35,39,52,64,77,98
2,27,36,42,69,73,84,90
4,18,21,48,53,66,74,88
4,20,27,33,45,66,83,96
28,31,49,53,56,76,81,97
9,15,23,59,63,65,82,89
6,9,23,39,41,53,74,89
4,9,32,40,62,67,84,90
2,19,26,42,44,83,86,88
4,28,42,46,59,75,77,93
4,23,37,44,51,80,85,99
13,29,31,47,67,73,90,92
6,27,34,64,67,69,85,100
8,12,32,49,54,66,93,100
12,36,48,54,62,81,89,96
23,31,40,44,66,75,82,88
11,15,30,41,73,78,86,91
16,35,37,61,67,80,81,97
12,15,39,44,47,81,84,100
1,27,30,34,47,74,76,81
3,17,33,47,64,79,81,95
26,37,42,58,84,87,91,100
2,16,36,43,60,66,82,89
1,31,39,46,54,73,93,99
5,11,41,46,58,76,82,98
1,23,27,39,64,67,71,99
16,24,31,46,69,71,75,90
10,23,26,57,62,85,89,97
2,17,35,39,66,70,71,96
2,9,33,52,56,59,78,84
4,9,21,45,49,56,89,95
3,16,30,67,70,84,96,99
14,29,34,37,55,57,85,92
2,16,37,41,45,67,85,100
13,29,41,46,55,62,69,86
16,29,31,55,58,70,81,95
3,17,42,47,60,66,84,88
7,21,23,53,61,79,85,98
15,30,34,42,59,72,78,95
14,16,52,57,65,91,95,98
22,24,46,49,75,77,80,94
12,26,39,45,52,77,84,90
2,6,21,45,49,56,77,85
5,36,39,51,54,60,85,97
4,7,43,64,69,83,85,100
8,23,30,41,47,70,73,86
3,18,25,43,56,71,90,97
24,27,39,42,57,73,86,91
3,8,43,47,50,66,68,91
14,30,37,59,63,83,86,98
5,38,44,52,65,87,94,100
8,13,25,27,50,53,76,93
6,12,51,55,59,73,79,86
4,8,20,53,57,82,96,99
3,26,43,49,63,77,82,89
18,21,25,49,52,54,80,99
2,7,19,39,43,56,88,93
4,20,39,42,58,81,84,97
13,35,38,40,53,69,86,93
4,7,11,19,52,55,87,91
1,7,30,45,47,60,74,90
16,22,37,40,56,85,90,93
18,31,46,49,54,75,79,96
10,14,39,51,73,79,87,95
1,7,32,36,56,60,92,95
2,5,37,44,59,71,87,90
6,10,25,27,33,71,79,86
9,11,25,46,63,69,86,89
2,26,38,42,59,62,76,97
6,13,28,36,60,61,64,87
6,37,52,57,73,76,79,91
7,36,41,57,73,80,81,96
4,24,30,37,59,62,94,97
3,15,20,38,69,74,76,83
3,23,26,44,50,55,80,93
6,21,30,37,54,68,71,84
9,13,28,43,52,68,87,90
27,29,33,47,53,61,90,97
4,16,27,45,58,61,95,100
17,23,37,50,54,73,88,93
25,29,43,46,73,82,87,90
14,28,45,53,59,67,74,80
17,23,41,50,68,82,85,100
4,10,22,39,43,70,78,96
16,20,21,28,42,49,78,81
5,25,37,40,42,65,83,88
4,18,39,43,55,69,82,88
8,16,23,38,46,77,84,92
7,21,33,36,52,55,68,85
9,16,35,42,57,70,71,99
23,30,45,47,53,59,66,87
13,19,32,47,66,71,80,88
13,26,31,38,45,83,89,97
6,20,38,46,51,81,90,94
