"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
36,39,44,52,59,64,66,72,77,80,81,84,92,94,96,99
28,41,43,56,59,68,71,73,75,76,82,89,91,94,96,98
27,31,45,60,61,63,65,67,73,79,81,85,87,90,94,99
29,33,38,45,50,59,61,65,67,72,81,84,87,88,95,98
24,36,48,50,53,55,58,67,73,80,85,86,91,96,98,100
15,29,37,41,49,54,57,63,67,73,74,87,90,91,95,98
13,28,36,53,55,58,66,71,74,79,85,87,90,91,95,100
34,39,45,51,53,56,68,79,81,84,86,88,91,94,96,100
27,41,46,50,54,63,68,72,75,76,77,80,88,91,94,97
14,27,33,46,50,55,59,62,76,79,80,83,87,91,94,98
33,38,51,55,57,59,70,72,75,77,83,86,89,91,97,99
43,46,48,61,63,65,66,69,70,74,82,86,91,93,97,99
22,27,41,55,57,64,66,69,71,80,83,87,89,91,94,100
24,35,39,57,61,65,69,71,73,77,80,85,87,92,97,99
35,40,43,46,51,60,67,72,75,76,82,88,90,91,95,98
17,43,47,51,68,72,75,76,79,80,82,87,93,95,97,100
24,26,40,52,65,66,70,72,78,83,84,86,88,92,98,100
27,30,33,49,51,55,63,74,76,77,79,81,90,93,95,98
20,37,43,45,59,62,65,70,71,75,83,88,91,95,97,100
31,36,50,57,64,66,69,71,73,82,86,88,90,91,95,98
20,24,28,52,55,56,72,76,78,79,81,84,87,90,91,95
6,46,50,53,58,62,64,70,75,78,81,86,93,94,97,99
10,23,25,46,49,54,61,69,73,81,85,86,89,90,93,99
20,27,49,53,57,61,64,68,70,74,83,85,88,92,97,99
7,38,41,53,54,60,65,66,68,72,84,87,89,90,92,96
16,30,34,39,41,61,67,73,76,79,81,84,90,93,95,99
21,34,38,57,65,68,70,71,74,79,82,86,88,93,94,100
26,36,40,42,58,61,64,66,72,76,80,81,83,88,92,96
25,36,41,48,56,64,67,69,73,75,78,79,82,90,94,98
28,41,45,52,56,65,68,70,73,75,79,87,91,94,97,100
21,43,46,49,57,61,65,67,80,84,86,88,89,91,93,95
5,30,38,45,51,62,66,69,70,74,78,82,86,89,93,95
18,23,39,45,53,61,65,66,68,71,80,85,88,92,96,100
21,29,34,37,58,61,69,72,74,77,82,86,92,94,97,99
16,33,38,42,53,59,70,73,74,77,79,81,86,93,95,100
23,25,39,45,58,63,72,78,80,83,84,87,89,91,95,98
9,25,33,59,62,65,66,70,73,77,79,82,85,92,95,98
13,26,31,47,52,58,60,65,72,79,83,85,86,91,98,100
23,29,42,46,57,59,62,64,71,74,78,87,89,92,95,98
