"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
10,18,20,25,27,29,41,45,47,52,56,59,66,79,84,92
2,16,20,23,25,43,44,45,47,50,67,70,76,81,84,91
2,4,11,14,15,16,42,45,51,55,62,65,69,91,93,100
6,14,22,32,36,38,44,57,60,80,82,86,91,93,94,96
12,13,21,26,27,37,39,43,44,50,63,73,75,81,83,97
2,4,6,14,15,23,34,41,48,49,65,76,80,82,91,96
6,8,12,14,19,34,38,41,42,48,68,79,82,84,88,97
2,3,6,11,17,25,29,34,36,39,44,47,54,67,83,85
9,18,26,28,30,54,55,66,70,78,82,83,86,90,98,100
11,16,17,23,28,29,30,33,41,45,73,81,91,92,93,100
5,8,12,24,27,35,36,44,47,58,62,67,71,77,85,93
23,31,45,46,47,55,58,59,62,66,70,78,83,86,87,96
2,6,10,12,13,14,23,31,33,37,39,43,62,65,97,99
6,10,15,19,25,26,48,54,61,68,70,76,82,87,94,98
2,16,21,25,31,39,43,49,54,63,71,78,80,83,97,99
2,5,8,13,19,26,30,31,38,43,51,53,68,69,84,100
11,14,22,32,34,37,38,39,44,53,60,73,76,89,94,96
4,7,15,25,32,35,36,44,52,60,83,85,89,92,94,95
2,13,20,22,39,43,44,45,48,51,52,54,68,73,79,85
7,12,14,18,23,28,39,66,69,77,85,89,90,92,94,100
9,10,11,13,16,19,27,39,49,54,55,58,64,67,78,90
3,8,13,15,18,22,27,38,43,47,49,63,65,73,74,100
1,2,7,8,13,14,22,33,38,41,59,60,77,79,88,92
4,7,10,11,19,34,37,38,44,45,56,58,61,69,73,91
16,22,31,36,38,40,42,56,60,67,69,72,76,86,88,99
7,9,11,33,40,45,48,50,56,69,85,86,87,90,92,100
2,4,16,30,39,54,57,60,64,66,68,72,78,81,88,96
1,12,14,28,39,42,43,49,51,58,62,78,79,81,92,97
14,19,35,39,41,61,62,64,65,68,71,74,80,84,91,95
19,22,23,27,34,37,48,54,56,59,65,71,91,97,99,100
7,8,9,11,14,18,20,21,34,55,60,69,74,80,81,90
6,9,15,17,22,37,38,41,57,63,66,70,73,78,93,98
6,10,11,12,15,21,24,70,73,75,78,82,86,87,96,99
27,28,30,32,33,35,58,62,65,67,74,76,78,88,92,99
5,8,9,22,27,28,39,46,50,63,67,70,71,74,80,95
4,5,10,36,40,52,54,56,63,69,73,83,84,86,89,96
3,11,15,27,36,49,54,56,65,66,71,72,80,82,90,96
1,12,14,16,19,21,34,57,63,64,68,79,81,86,88,93
12,16,20,27,30,41,42,50,51,77,83,84,87,91,92,93
1,5,12,13,16,31,56,60,72,75,76,86,88,92,96,98
21,32,37,43,51,52,55,61,62,68,75,79,80,84,95,99
1,6,7,10,20,24,37,49,51,60,65,84,86,90,91,97
1,8,22,54,59,60,67,71,72,74,84,86,91,92,93,94
9,27,32,37,40,45,58,64,67,68,71,85,88,91,95,97
4,5,8,25,26,27,38,45,52,69,72,82,85,87,90,99
7,11,14,16,17,18,21,29,34,38,41,60,66,72,80,100
5,20,24,28,31,40,43,44,54,60,61,62,70,80,87,89
