"V1","V2","V3","V4"
57,61,71,82
53,57,59,76
19,48,76,92
40,47,56,72
26,56,57,62
4,28,48,86
15,18,32,89
14,35,74,79
10,11,43,87
33,51,58,60
49,63,82,99
70,72,87,92
7,49,73,82
5,30,98,99
24,27,50,70
8,15,33,91
1,8,24,91
37,40,41,70
8,17,36,71
10,35,49,58
39,48,70,100
27,33,83,85
18,35,46,72
9,10,44,67
21,45,52,65
56,68,98,99
5,29,43,65
48,57,95,97
3,11,18,29
9,13,58,96
40,53,76,100
24,25,58,68
8,46,72,91
14,34,67,77
2,41,53,95
40,62,64,87
15,31,52,88
45,62,82,87
7,47,51,68
5,31,34,69
9,57,66,82
18,58,89,93
43,51,75,87
9,17,66,84
21,23,49,59
12,25,31,92
12,59,68,80
37,61,66,84
11,38,56,63
11,21,76,98
14,50,91,98
45,66,69,88
8,26,46,86
14,18,53,67
15,42,60,65
4,34,44,97
5,17,81,96
39,56,68,100
2,28,53,77
19,70,72,92
14,44,60,92
35,44,90,96
1,51,70,99
14,23,26,50
38,42,46,97
5,26,61,81
21,38,70,86
28,72,78,94
3,56,87,90
1,12,22,24
7,11,83,91
19,24,36,77
31,49,59,91
37,45,73,86
4,13,20,70
8,37,59,69
47,65,73,86
4,8,49,55
36,43,94,100
14,20,24,28
17,25,57,100
35,49,74,97
47,50,55,61
31,39,46,85
4,85,90,96
23,58,64,98
3,21,32,75
11,12,38,66
21,31,32,59
29,50,71,76
35,53,60,100
38,50,53,56
25,40,49,99
22,32,36,40
1,17,22,57
54,81,89,94
40,47,65,85
3,49,78,80
3,8,21,71
15,18,32,56
18,53,56,61
35,56,58,84
3,20,24,66
32,35,53,72
2,4,5,62
8,19,36,66
55,61,75,77
2,20,32,84
14,26,60,78
46,72,81,94
11,55,83,85
23,28,63,66
7,16,58,90
34,37,45,84
7,54,77,94
26,28,37,66
15,21,33,60
7,21,69,81
34,39,49,73
50,80,94,95
23,47,75,95
29,35,66,77
42,46,58,92
1,5,30,75
22,32,57,82
7,29,58,85
3,33,51,95
24,44,64,86
28,42,87,98
20,67,68,75
19,23,49,100
11,12,47,97
9,32,37,39
57,58,83,86
11,19,53,61
21,33,46,79
13,19,74,100
35,43,47,90
9,56,79,91
13,61,82,100
33,34,52,65
26,53,62,98
3,6,10,67
42,46,62,77
16,27,57,87
32,47,80,86
69,71,84,90
27,60,79,91
14,50,65,90
17,28,29,68
55,86,90,95
13,26,56,60
63,79,88,94
7,26,76,89
10,28,35,55
47,54,55,79
8,11,17,33
25,60,68,100
14,29,33,47
6,14,46,66
8,35,54,74
63,64,68,85
36,42,44,93
19,68,80,94
19,26,34,80
3,7,18,100
40,57,69,74
17,29,38,91
14,23,28,78
58,70,82,93
27,48,52,65
10,65,93,99
13,72,76,93
4,70,80,95
20,23,61,84
24,54,58,73
6,10,57,86
14,25,54,71
8,60,77,82
26,36,49,80
1,5,25,61
4,7,25,47
6,41,73,92
10,19,40,62
25,40,46,70
20,45,71,90
29,35,78,84
5,22,66,77
16,41,44,64
10,20,57,94
1,11,30,74
24,27,65,84
39,44,61,76
9,33,49,99
90,91,93,98
34,54,56,65
4,42,52,83
34,43,62,71
34,67,89,95
6,50,56,74
2,12,15,91
14,82,95,99
36,42,45,67
11,29,38,74
21,25,27,41
37,56,60,87
65,74,81,97
28,30,62,91
26,29,33,47
26,37,58,93
2,12,68,83
3,5,67,83
47,54,72,86
37,42,76,98
28,41,92,94
14,55,67,80
19,40,58,85
7,34,41,68
1,5,12,23
28,33,85,90
57,61,65,81
41,53,70,73
2,42,55,77
2,28,31,92
21,38,41,95
22,32,48,86
13,33,40,93
25,26,41,78
16,31,32,52
1,59,89,99
32,38,80,99
12,15,55,63
11,48,70,85
5,19,26,62
4,14,53,92
4,18,25,28
38,61,63,88
40,53,70,72
31,38,52,90
18,40,85,91
17,53,55,64
2,25,39,74
34,45,74,95
26,61,66,84
46,47,58,68
37,39,44,69
10,61,92,95
10,52,76,100
25,29,49,66
4,36,61,83
39,74,75,93
6,24,79,97
22,50,67,80
6,64,89,98
14,38,60,89
42,58,70,84
30,51,59,60
12,34,65,89
