"V1","V2","V3","V4"
10,12,48,75
34,49,59,91
9,33,39,76
47,51,75,92
9,70,79,82
10,56,68,90
4,61,80,82
10,37,73,97
43,62,71,91
7,8,78,88
2,59,87,88
46,61,62,92
13,64,79,90
27,55,62,91
6,78,85,97
9,10,19,44
9,11,30,53
11,17,29,78
30,40,58,80
59,64,66,73
1,43,73,83
13,51,54,78
31,55,83,89
25,47,61,81
3,16,47,90
29,53,70,71
4,23,61,91
17,53,75,86
13,40,75,76
17,25,53,64
16,62,64,67
21,22,30,37
8,62,89,98
47,67,75,80
34,82,87,90
46,66,74,94
46,52,62,92
1,25,49,74
17,23,42,81
29,37,59,64
60,71,75,82
8,23,67,82
10,35,75,88
48,75,80,81
4,66,73,76
38,52,73,89
29,55,80,89
61,64,78,87
2,42,82,83
37,43,44,53
14,59,68,90
70,73,78,95
17,30,53,92
2,22,44,59
9,10,36,64
35,71,75,80
23,27,55,65
68,80,92,97
53,58,79,88
85,89,96,97
8,9,24,27
21,62,70,95
29,42,69,82
23,48,56,86
14,47,53,98
76,82,91,94
40,49,53,75
9,14,38,89
2,22,33,80
18,24,46,73
30,71,75,85
10,14,15,90
62,66,86,87
47,56,59,62
5,15,70,86
17,21,51,86
18,32,61,66
10,18,56,62
18,25,69,81
58,73,85,86
13,49,65,73
51,66,76,92
48,69,83,86
13,29,36,62
5,34,54,56
4,25,68,75
36,42,56,94
25,55,70,100
45,55,82,83
13,35,84,85
38,50,80,83
53,60,70,83
10,29,49,81
29,55,67,89
17,33,42,88
51,54,76,87
46,47,51,68
1,27,56,80
22,45,71,85
21,27,55,64
5,9,12,24
24,42,49,73
6,48,73,85
23,43,89,97
9,54,74,91
9,49,71,85
21,34,62,95
21,33,64,85
9,18,61,80
30,34,79,80
4,8,16,34
15,56,62,78
8,34,87,98
1,29,80,83
42,76,87,97
16,62,96,97
6,29,48,73
11,38,51,62
35,42,54,82
13,15,74,88
40,73,80,92
37,69,89,94
13,56,81,85
25,65,91,96
1,14,21,51
51,56,74,81
48,49,71,73
48,65,75,88
15,21,25,34
17,25,53,67
22,33,37,40
22,33,47,98
22,85,94,95
22,48,56,81
21,40,75,82
4,14,37,90
14,36,38,85
39,62,91,92
9,13,35,100
13,22,24,36
25,87,89,97
31,34,47,76
13,17,73,82
36,52,84,88
10,13,29,49
23,36,59,64
52,73,82,86
5,49,76,88
14,51,74,92
25,44,78,93
1,37,66,86
16,22,26,89
8,10,86,91
22,34,47,65
10,17,33,97
29,56,59,91
33,56,90,91
10,34,89,98
23,35,42,75
9,25,61,82
29,37,59,85
53,60,73,100
66,79,85,97
29,53,65,90
23,33,45,56
25,33,67,83
66,74,81,83
5,23,67,75
10,34,67,70
23,36,42,93
23,29,32,87
2,42,44,48
9,66,69,96
82,87,90,91
1,9,48,76
25,34,65,69
18,54,91,94
33,62,66,98
8,16,36,61
10,15,21,25
5,8,13,51
6,37,54,83
18,64,66,74
25,46,53,64
55,66,86,90
10,27,68,83
25,68,74,97
21,49,80,90
44,92,93,97
17,61,80,92
