"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
3,4,7,17,19,20,22,24,25,33,51,59,66,68,86,87
8,9,11,15,20,25,26,35,38,39,40,41,45,49,90,100
23,28,29,36,42,53,67,73,77,78,79,84,86,87,89,92
8,30,35,36,43,45,48,61,73,75,81,83,90,91,93,99
3,7,16,22,23,30,35,38,45,51,53,57,71,75,81,95
26,28,30,43,45,54,57,59,62,69,75,76,77,87,89,93
2,4,7,9,13,19,20,23,30,35,39,42,50,53,70,79
2,8,28,30,33,34,49,52,66,67,70,74,80,88,96,97
3,5,10,22,23,36,38,39,54,56,61,68,69,90,97,98
4,7,14,15,29,33,34,43,46,47,50,60,76,84,88,97
5,34,44,57,58,59,61,66,72,73,78,79,86,90,94,99
9,33,34,35,38,41,50,52,56,57,61,65,75,90,95,100
10,14,15,23,39,42,49,65,74,77,81,84,86,87,88,93
1,2,3,17,21,30,34,36,41,74,76,78,91,92,99,100
3,7,14,21,30,31,33,35,39,56,60,72,80,90,92,99
10,32,35,36,42,45,52,54,60,68,82,89,90,92,94,100
1,4,6,8,16,19,23,28,38,41,62,66,78,87,96,98
12,14,18,19,32,33,42,45,46,48,58,82,83,86,93,97
2,3,13,25,29,30,54,56,67,69,71,72,75,78,85,96
19,22,24,29,38,39,42,43,48,56,57,61,67,94,95,100
1,12,15,21,24,26,27,29,31,32,38,53,88,92,94,98
2,5,9,18,20,36,53,56,61,79,93,94,96,98,99,100
15,17,33,35,41,44,47,52,54,60,61,68,88,89,92,97
3,9,15,16,17,21,22,36,38,41,59,77,83,88,91,97
7,16,28,40,41,46,54,64,71,78,86,91,93,94,96,98
6,23,24,27,47,57,65,71,75,77,78,81,82,83,86,93
3,11,16,18,27,56,68,69,71,74,76,88,89,94,97,100
3,6,7,11,12,13,15,18,35,38,61,78,79,82,84,89
15,18,26,28,42,52,59,67,73,77,78,85,90,91,94,98
2,5,7,10,13,20,22,28,39,50,52,56,73,85,87,100
10,19,23,37,44,47,55,57,58,60,71,74,75,83,88,92
3,8,18,24,38,42,47,65,67,72,73,75,78,85,92,98
5,7,8,11,13,14,15,45,51,60,67,73,75,78,90,93
15,48,53,54,55,57,58,64,70,75,80,82,86,87,97,98
5,6,10,15,19,21,22,37,40,50,51,67,70,72,81,89
8,9,20,21,26,51,52,54,65,72,76,83,92,94,95,100
5,10,13,15,18,28,40,61,70,73,87,89,91,93,96,98
4,10,22,34,40,46,47,48,49,50,63,74,77,81,89,95
2,3,4,5,17,20,35,37,43,49,56,61,63,75,78,98
3,11,17,20,22,26,32,37,40,41,42,60,85,88,95,100
7,17,24,28,40,41,52,54,59,61,66,68,78,87,92,100
3,9,10,15,20,34,35,41,42,53,57,70,71,72,75,92
16,17,34,38,49,51,56,59,62,63,67,84,87,91,95,99
3,6,15,16,30,35,45,54,67,70,71,82,83,91,96,100
2,4,10,15,22,23,27,37,43,55,56,69,74,80,89,93
11,14,17,19,22,27,29,30,43,61,62,80,82,88,95,98
3,4,11,16,17,20,30,35,37,38,39,41,54,77,78,81
5,13,16,20,22,30,33,34,40,50,52,54,66,73,90,92
10,11,15,22,23,44,47,53,54,57,66,67,69,70,72,85
10,16,17,20,22,29,32,35,51,56,60,63,73,86,87,100
4,8,9,20,21,35,36,40,48,52,53,59,71,80,81,91
3,15,16,20,26,30,31,36,50,53,73,74,76,78,87,96
3,9,11,13,26,29,34,38,43,59,66,69,84,87,99,100
1,4,5,8,9,10,14,16,23,24,41,46,53,62,85,98
1,3,23,31,49,59,61,63,64,65,71,80,81,85,93,95
10,17,19,22,25,44,48,49,53,61,64,71,86,96,98,100
5,9,10,21,43,51,53,62,66,70,72,73,74,89,94,98
3,14,25,34,37,45,51,53,55,58,62,68,79,85,95,100
6,15,36,37,42,49,58,62,71,73,75,76,80,83,92,94
3,8,13,27,31,33,53,59,61,76,81,82,86,87,95,98
2,8,12,13,26,31,43,59,60,67,74,75,83,86,88,94
1,2,6,25,26,38,41,48,52,70,71,83,86,92,94,100
1,5,6,13,27,37,44,56,64,65,69,83,87,93,99,100
11,16,24,26,27,48,50,53,55,57,66,67,68,82,84,93
3,6,9,13,22,31,32,35,38,39,42,70,78,88,94,95
4,12,13,18,33,34,39,42,52,54,60,66,68,69,77,82
7,8,21,27,29,30,35,36,54,73,83,85,91,96,97,99
1,14,25,28,31,33,36,37,40,43,71,83,84,85,92,94
4,5,9,10,12,15,17,30,54,68,69,87,88,96,97,98
16,23,29,30,35,42,43,44,45,55,57,64,65,79,84,99
14,16,22,28,38,39,55,67,72,77,80,88,91,94,95,100
4,6,7,12,13,17,19,21,35,37,38,39,40,42,48,96
3,14,27,30,31,40,41,47,55,74,75,82,88,94,96,98
4,5,8,10,12,28,34,37,39,42,44,46,54,64,65,87
1,3,10,20,24,28,30,31,34,40,43,50,63,73,81,87
5,7,10,14,22,29,39,43,48,72,73,80,81,90,93,99
18,27,29,30,36,37,56,59,61,63,66,67,74,88,93,98
4,9,17,19,22,33,34,42,53,56,69,74,80,87,93,99
3,4,7,15,20,36,39,47,60,77,78,79,80,82,89,92
2,10,18,21,22,24,40,57,58,60,67,68,89,94,96,98
39,46,47,50,53,55,57,60,62,70,71,72,81,82,84,89
15,17,18,22,39,47,58,63,64,67,69,78,85,86,88,100
14,18,21,28,49,55,63,70,79,83,85,88,93,95,96,97
5,8,12,14,36,37,39,49,54,60,61,65,67,78,90,93
5,11,13,15,26,34,38,47,51,54,61,63,91,93,94,99
8,20,23,26,37,47,49,55,57,60,62,66,96,97,99,100
5,24,30,34,36,39,50,51,52,61,65,70,78,88,89,99
5,18,20,23,27,34,44,58,68,81,86,87,91,95,97,100
1,10,15,16,43,51,52,69,72,73,74,76,77,81,90,91
26,31,35,42,43,49,58,60,62,67,77,79,80,82,86,95
6,14,46,50,58,61,62,65,72,76,84,85,87,91,95,100
6,8,16,41,46,52,56,65,66,68,72,83,85,87,92,99
1,10,40,43,47,49,55,57,58,74,77,82,83,84,86,95
1,19,23,25,26,36,37,38,47,52,63,69,72,85,89,92
3,4,7,9,12,15,25,33,40,42,65,66,76,84,96,100
6,13,24,31,40,42,45,53,56,69,75,76,83,86,93,96
10,19,23,30,38,42,49,51,53,56,62,68,69,95,96,98
7,11,12,18,20,23,38,42,47,52,63,71,72,75,82,88
4,9,15,18,25,35,42,45,47,53,62,67,75,77,78,94
18,34,37,46,55,62,66,70,71,73,84,87,91,96,97,99
2,6,11,17,24,27,29,46,57,64,67,68,71,77,86,98
12,32,36,39,40,43,44,45,46,55,65,76,86,90,95,99
14,22,26,27,29,34,38,46,47,53,55,57,62,82,85,93
1,10,25,30,37,43,52,57,65,69,77,84,87,89,94,95
3,5,6,16,22,23,28,45,54,56,61,71,73,75,78,87
14,36,39,40,45,46,47,53,58,61,68,70,74,80,82,98
7,9,10,17,36,45,53,62,67,73,74,79,87,90,93,96
2,7,14,26,27,28,29,40,55,57,59,63,70,75,85,95
9,13,17,21,26,35,42,45,57,65,75,77,81,92,93,95
1,9,15,32,33,36,38,40,46,61,64,65,77,80,84,87
4,21,44,49,54,55,58,59,65,74,77,78,79,83,86,99
2,11,12,17,34,39,48,49,51,60,66,69,77,79,91,99
1,5,10,11,17,20,29,32,44,46,48,49,55,63,71,84
5,20,21,26,28,56,57,59,62,64,69,73,79,91,93,99
11,34,36,40,44,51,60,63,71,76,79,87,90,94,99,100
5,7,9,10,14,34,36,39,40,51,53,54,58,77,79,86
1,5,10,21,41,42,43,51,52,56,60,66,67,73,79,93
4,21,37,41,48,54,59,63,66,71,76,78,91,93,94,98
1,10,37,41,45,47,56,61,62,63,64,74,83,94,99,100
2,3,5,13,27,32,39,40,48,53,56,67,73,79,86,95
5,8,10,19,20,21,24,29,37,41,51,62,65,81,96,97
7,11,12,24,36,37,38,41,42,44,46,51,89,90,91,94
2,5,18,20,22,28,33,42,45,46,56,69,71,94,96,100
4,5,6,10,13,15,16,25,29,32,54,66,75,77,82,93
6,7,11,20,22,25,26,28,37,50,55,70,72,80,86,100
5,12,14,16,17,31,33,34,59,62,78,84,86,90,95,96
4,11,18,19,23,35,38,42,46,61,62,63,77,82,83,95
3,5,9,16,20,22,23,28,29,31,59,69,72,90,91,97
10,16,23,25,28,29,30,44,64,68,80,83,91,95,97,100
1,8,14,18,34,37,41,62,72,76,81,88,89,91,94,97
1,2,10,17,25,32,38,39,41,50,51,62,74,84,92,95
2,3,14,29,30,39,41,50,53,61,72,75,76,87,97,100
15,17,19,20,26,34,37,39,40,47,56,68,74,78,99,100
3,5,10,12,32,34,41,42,45,51,53,57,59,86,95,99
2,13,14,19,23,31,37,42,44,58,59,83,86,91,92,95
17,20,31,32,33,36,41,42,48,60,62,66,77,79,90,96
3,5,8,11,15,18,19,20,22,23,25,26,27,42,60,63
5,20,21,22,23,44,54,55,66,68,69,72,78,80,97,99
17,18,20,37,39,40,42,45,48,55,63,70,76,83,84,91
15,17,40,42,46,47,57,59,69,76,78,79,80,82,85,89
5,9,16,18,26,43,45,56,67,73,75,81,87,91,93,95
8,11,25,27,31,34,35,36,38,46,48,52,56,63,80,87
