"V1","V2","V3","V4","V5","V6","V7","V8"
13,22,32,38,58,62,63,88
4,9,12,32,46,71,84,97
4,11,21,22,30,37,67,93
2,10,13,23,29,31,38,99
7,14,23,26,38,47,78,84
18,22,23,29,34,85,89,92
1,18,21,28,32,56,57,85
1,18,37,42,43,64,70,94
12,25,38,49,78,82,90,96
5,22,54,56,79,80,89,90
1,4,12,47,64,65,82,93
27,43,61,64,65,74,79,93
5,20,22,36,45,53,61,77
4,45,58,66,68,89,90,97
4,21,46,55,58,83,86,91
15,18,33,34,49,50,61,68
4,12,22,32,51,89,90,93
15,26,29,42,43,74,79,100
15,28,30,49,54,58,67,75
20,27,28,47,52,54,63,91
4,37,46,58,72,83,87,94
12,22,24,33,42,43,72,89
5,11,26,28,31,32,44,56
11,12,18,37,46,55,66,85
3,6,13,31,64,67,79,99
4,10,44,61,64,79,97,99
3,7,17,46,59,78,82,85
41,56,59,65,69,71,82,88
24,38,44,65,78,81,84,98
10,11,15,30,41,57,93,98
4,6,19,20,23,44,81,82
6,14,31,32,44,46,60,75
12,14,26,50,72,85,97,98
1,4,15,21,35,58,81,92
11,14,29,36,38,87,88,94
4,11,20,24,47,62,79,80
5,13,44,45,47,55,58,75
23,31,34,37,47,54,65,66
5,27,31,58,61,65,66,82
2,10,20,51,52,65,73,82
7,17,44,49,64,68,74,100
18,21,22,26,35,58,61,86
16,31,34,36,58,60,75,97
10,41,52,55,60,73,83,96
13,33,34,48,50,66,75,90
25,29,72,74,78,86,90,96
14,16,30,43,54,55,58,78
3,28,38,39,61,77,91,100
6,7,13,23,28,70,76,88
6,7,25,28,35,46,58,100
34,48,54,59,70,72,77,86
4,5,7,33,62,89,92,94
3,27,48,64,68,82,84,90
22,23,33,45,60,62,69,95
7,8,9,45,57,63,67,75
33,37,38,61,90,92,94,100
10,11,35,46,51,55,67,77
4,5,17,21,25,54,65,71
10,25,30,39,51,52,82,89
29,37,45,55,64,78,80,95
4,33,40,60,71,77,80,81
5,15,29,47,53,67,75,88
1,36,38,42,44,89,92,93
10,12,22,28,31,57,74,81
15,19,37,41,50,70,87,91
13,19,22,35,52,55,59,86
1,17,52,60,71,72,81,92
5,7,10,11,12,84,99,100
18,37,53,62,71,83,90,91
10,11,15,18,54,69,74,94
2,22,26,31,35,52,60,83
2,3,11,15,54,57,81,97
27,32,39,40,48,58,73,87
4,13,15,30,43,61,87,94
14,16,24,36,44,77,78,92
14,16,41,46,58,74,78,92
6,14,21,50,52,73,75,85
1,7,24,57,63,90,93,100
7,25,28,33,43,62,71,72
8,20,35,36,42,45,53,90
38,53,56,66,67,73,78,90
3,27,68,69,74,80,94,99
3,31,33,34,42,51,60,95
2,3,41,63,71,88,89,99
4,8,27,48,55,64,74,96
15,41,58,61,64,75,84,87
8,14,29,46,69,76,80,92
4,21,23,25,30,43,45,68
8,13,24,33,45,67,82,92
4,12,26,28,53,66,84,98
5,10,13,22,29,34,81,92
13,20,28,69,70,79,88,92
31,34,50,59,60,61,70,97
5,10,18,42,77,81,92,99
6,18,28,38,52,58,73,89
29,49,55,59,79,94,95,98
5,6,36,40,51,61,71,78
3,6,22,28,42,45,51,76
3,9,11,21,33,35,84,98
2,40,73,74,80,91,98,99
1,3,9,27,31,32,78,95
20,27,32,44,49,53,60,82
7,10,23,28,36,95,96,99
13,27,29,40,43,55,60,71
25,26,32,41,44,77,82,96
12,17,18,32,38,45,46,95
5,23,39,42,51,79,88,95
8,10,12,39,45,54,76,95
13,30,37,40,62,88,92,98
1,6,21,45,71,76,84,93
20,42,53,54,56,57,75,82
1,20,23,26,43,60,81,100
9,18,22,35,52,54,55,88
5,20,29,57,63,75,81,88
26,30,40,67,74,90,92,100
31,42,62,80,85,96,98,99
13,23,38,39,47,79,84,99
6,20,33,40,61,76,82,84
17,35,36,55,56,87,88,96
18,25,37,45,59,71,74,94
20,35,56,72,84,91,97,99
9,14,33,58,67,68,74,100
28,35,38,46,50,58,63,73
37,52,55,75,78,80,90,91
2,17,36,51,53,56,76,83
21,25,38,44,48,68,80,88
