"V1","V2","V3","V4"
1,24,44,69
9,21,70,98
40,61,86,98
21,44,76,91
12,25,60,88
42,46,48,71
39,47,62,66
16,24,44,83
5,22,23,67
59,66,89,90
21,55,77,86
14,45,60,69
47,77,79,98
60,75,83,93
14,21,63,81
5,42,58,65
67,68,76,82
3,25,59,69
34,38,40,61
3,32,89,96
12,24,33,34
7,20,53,56
34,37,38,70
16,53,58,83
17,47,76,89
5,75,81,90
37,47,70,74
1,56,64,69
9,32,39,42
14,22,28,81
37,71,81,83
4,66,87,94
16,70,86,90
2,56,65,74
8,28,64,81
1,14,32,83
2,35,70,98
34,38,42,56
19,38,42,47
25,70,74,86
34,42,67,99
7,78,98,99
34,62,74,89
20,37,47,99
7,25,48,50
28,66,79,98
12,32,86,89
22,44,69,83
11,23,55,85
7,17,43,71
21,53,85,94
22,38,81,99
58,63,82,83
14,34,42,62
74,84,89,90
16,37,85,98
24,25,64,86
2,38,48,69
24,42,89,93
14,46,69,87
58,67,68,81
11,32,37,42
15,81,86,89
71,75,81,89
3,9,34,81
17,38,61,98
16,33,52,60
40,42,66,91
21,48,61,80
25,52,65,86
19,40,66,87
4,21,35,56
3,37,60,98
43,47,67,85
40,67,86,87
17,35,69,83
12,37,69,89
28,55,71,86
5,22,61,93
29,42,60,64
22,71,89,95
7,14,43,76
19,32,48,70
3,7,66,92
42,71,76,91
20,24,68,77
27,40,74,98
2,37,55,95
2,61,67,85
34,47,50,95
6,62,87,99
38,62,67,69
3,20,55,74
20,55,59,70
28,37,67,87
24,81,83,92
38,39,50,67
16,48,75,90
23,42,85,95
14,77,91,98
35,47,83,91
12,35,45,55
14,58,69,96
6,21,30,95
17,25,38,69
14,38,40,75
9,69,71,91
10,12,21,83
29,30,34,85
46,56,67,82
7,26,30,42
2,9,55,57
28,40,87,96
15,61,63,86
1,2,86,98
10,15,42,89
17,32,86,98
7,9,53,89
8,69,81,85
14,42,85,91
5,23,68,71
19,24,55,62
11,51,56,67
56,66,67,71
20,55,74,75
47,48,61,79
1,23,30,42
7,24,30,87
28,61,77,100
15,55,83,92
3,16,83,92
15,33,89,98
8,47,81,85
3,22,34,48
6,9,34,44
3,15,42,86
17,71,81,92
20,32,48,65
5,14,61,73
61,71,92,94
40,61,64,84
2,25,74,77
5,7,11,60
25,37,56,71
16,45,67,99
6,25,70,71
9,55,62,89
7,22,37,67
5,61,66,93
2,12,34,99
21,24,73,89
3,66,68,87
9,15,25,62
25,48,62,64
20,24,40,73
20,21,24,26
21,25,38,62
11,16,40,95
30,56,61,99
66,77,89,90
2,24,30,71
29,34,74,79
5,17,61,67
21,62,74,75
8,66,83,92
64,82,96,98
2,5,33,98
35,54,55,90
17,51,69,76
12,53,60,81
7,22,70,76
23,33,55,85
14,16,46,82
38,61,87,100
12,20,21,86
25,34,79,82
28,59,67,87
12,24,59,83
38,47,50,83
16,39,47,76
5,67,77,86
17,34,42,95
25,28,71,91
3,6,81,83
5,70,75,89
11,37,50,67
44,61,75,99
16,29,71,76
