"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
5,8,10,12,23,24,28,31,50,62,64,68,70,72,77,100
4,6,9,12,28,36,42,44,50,58,72,75,77,80,92,96
3,7,10,24,27,36,42,49,51,55,57,69,81,84,86,89
1,6,9,25,27,36,41,49,53,56,67,72,80,83,95,97
2,18,20,25,27,32,36,49,53,54,56,68,75,86,89,92
4,10,15,23,30,38,44,49,57,62,65,77,84,92,96,100
2,12,25,29,30,34,42,48,51,67,69,81,85,90,95,98
2,7,18,21,25,28,37,44,52,59,66,71,75,88,93,97
7,11,19,22,30,37,43,46,48,51,54,76,80,81,83,85
1,14,17,19,23,34,40,41,48,59,66,72,77,83,90,96
2,4,6,28,39,42,45,54,62,66,68,79,83,87,89,94
9,11,17,24,28,42,44,47,51,56,60,68,71,83,86,96
4,9,17,23,35,37,48,50,51,62,65,76,80,88,94,96
9,12,22,24,33,36,38,40,56,61,64,78,80,85,91,97
4,13,17,19,31,35,43,46,50,67,71,76,83,85,97,99
3,10,12,17,23,32,40,46,52,57,60,73,75,78,92,97
4,8,11,15,29,32,40,43,47,52,59,71,74,80,94,97
1,10,15,29,36,40,44,51,53,67,68,70,80,83,85,97
2,15,18,21,33,39,40,44,47,64,70,83,84,89,92,97
15,16,21,23,28,38,43,45,50,62,64,77,80,85,93,98
2,10,11,14,16,18,36,38,43,62,65,68,79,84,97,100
4,11,18,25,30,31,38,47,52,60,65,71,76,83,89,95
6,12,13,25,29,38,44,53,64,67,69,72,80,87,93,98
1,14,16,18,24,32,37,49,53,55,57,72,83,88,90,96
1,12,16,19,24,27,31,50,55,59,61,68,73,79,86,95
10,13,15,18,21,31,36,48,50,53,70,73,77,86,92,100
2,9,24,27,33,36,39,42,56,69,77,78,83,90,91,94
2,15,19,22,30,42,46,47,54,70,71,73,76,78,92,97
4,6,11,18,31,43,49,50,53,56,77,81,86,89,93,100
3,10,18,25,33,34,41,47,51,56,58,69,75,81,89,97
10,11,14,29,32,43,45,47,59,66,71,73,76,83,87,98
6,9,12,15,32,37,42,49,55,57,60,81,83,87,89,95
7,12,24,30,39,43,46,48,52,54,69,83,85,90,91,98
5,12,17,25,29,34,42,53,57,66,70,78,81,84,89,96
1,5,8,16,21,38,44,56,58,61,63,75,79,83,93,97
5,12,13,18,32,35,37,39,63,66,70,81,82,86,90,95
9,11,25,27,38,42,45,49,53,57,72,74,76,78,92,98
7,11,15,20,23,29,42,45,47,54,59,63,78,92,94,96
2,8,13,14,20,28,36,39,42,55,61,68,75,80,82,89
3,12,19,27,31,36,45,49,52,71,74,76,79,80,83,87
5,13,30,32,34,37,41,46,49,57,60,63,75,84,87,90
10,11,15,18,25,32,34,39,56,58,61,63,80,83,88,93
6,10,11,14,32,38,46,52,55,58,76,79,83,87,93,95
13,15,17,20,31,34,40,48,63,66,68,74,81,85,88,100
4,7,11,20,28,33,45,51,56,64,68,70,72,81,86,99
2,6,17,19,24,39,41,52,54,56,72,74,77,78,90,97
2,8,10,15,29,35,41,53,57,60,65,72,85,89,90,93
5,9,11,18,33,35,39,47,52,59,65,73,77,83,96,98
11,13,16,20,32,35,37,49,54,59,61,66,74,82,87,99
2,19,25,27,34,36,43,48,55,61,63,78,79,90,93,97
3,14,17,30,34,36,43,55,69,70,72,77,85,88,92,95
4,11,20,26,35,37,42,49,51,56,58,73,75,79,95,99
1,3,16,18,32,34,36,38,53,59,65,68,72,87,89,92
3,6,23,25,28,30,34,38,45,58,70,74,77,82,89,93
11,13,15,18,26,30,47,49,51,55,63,68,75,87,92,97
1,3,6,10,23,30,34,37,50,53,58,65,82,86,88,100
5,7,10,11,26,32,39,43,45,50,56,64,78,91,93,95
11,16,18,20,23,32,46,48,55,60,61,86,88,93,95,98
10,14,23,26,27,31,47,50,51,57,74,76,78,83,90,91
5,12,17,19,23,30,33,47,52,55,68,74,82,95,98,100
1,20,23,25,36,39,41,45,59,61,72,76,79,87,93,99
6,13,18,20,26,32,34,43,45,58,62,85,86,88,90,93
9,15,21,25,35,38,42,50,54,56,68,84,86,91,95,98
5,20,21,26,27,30,43,44,48,64,71,77,83,86,98,100
11,14,19,22,25,28,32,44,47,58,70,72,74,76,85,99
4,7,19,22,25,38,43,45,49,62,76,79,80,82,87,94
1,6,9,14,32,37,49,52,54,60,69,73,75,76,92,100
1,4,8,20,25,38,43,45,59,72,76,78,80,92,94,97
1,8,24,27,30,32,41,44,47,63,68,76,82,89,92,96
7,9,11,27,32,39,41,46,54,60,62,65,71,77,79,96
9,21,24,26,31,34,37,40,53,60,65,78,81,84,94,97
13,16,18,25,29,36,42,50,51,58,63,65,88,90,92,97
3,14,19,38,41,44,46,52,58,64,70,79,86,92,95,99
4,15,17,20,21,30,34,37,42,56,59,74,76,80,81,83
6,8,11,24,27,43,44,49,56,58,62,73,79,89,92,95
7,10,11,23,25,30,31,47,56,61,64,68,91,93,97,100
5,7,18,23,32,39,45,48,50,53,64,76,78,93,96,99
4,19,22,24,27,47,50,52,54,61,68,74,80,94,97,99
13,16,24,27,30,34,42,47,54,56,70,71,77,89,93,95
3,7,16,20,34,36,37,42,54,62,66,70,84,87,91,96
4,6,19,27,31,38,42,44,61,65,67,70,79,83,85,99
1,3,7,19,24,30,33,37,54,58,60,61,72,85,88,95
5,11,17,25,29,39,43,54,58,63,67,75,80,81,86,89
4,9,11,20,24,32,45,47,49,62,66,68,72,85,95,100
3,7,21,26,29,33,35,46,59,61,67,69,73,93,95,98
4,7,10,23,28,32,45,49,57,71,74,76,78,79,94,99
3,8,12,25,28,38,52,54,60,63,67,69,81,83,87,99
9,17,21,25,35,41,50,55,58,61,66,70,82,84,90,91
3,7,12,17,20,29,43,45,50,63,67,73,75,89,92,99
13,18,25,30,33,34,36,40,64,66,70,73,81,87,90,93
4,11,19,20,32,36,38,43,49,64,68,84,86,90,93,96
3,16,19,22,31,34,36,49,55,62,66,69,73,90,95,99
2,8,16,21,29,39,46,51,54,64,69,71,80,89,92,94
9,13,17,21,26,30,51,54,62,65,66,70,78,87,91,93
13,14,16,18,20,37,39,46,53,58,70,73,74,76,81,89
3,6,8,20,22,36,41,44,55,60,61,66,67,86,92,99
3,17,20,21,26,28,33,44,54,59,62,70,71,77,89,93
7,10,23,24,32,34,36,40,51,57,64,68,73,79,93,96
4,6,9,23,29,32,36,38,45,61,70,75,85,88,91,94
2,6,19,23,31,36,40,47,55,68,72,75,80,81,94,98
4,7,13,20,22,46,48,56,60,63,72,77,84,89,91,98
1,4,16,23,29,37,40,53,54,59,67,72,74,86,91,95
1,6,10,21,23,36,40,42,65,69,76,81,83,88,89,100
3,10,11,15,30,45,47,53,58,60,62,65,84,89,91,96
1,6,9,10,22,31,44,49,52,57,59,60,63,84,86,93
3,10,18,25,32,34,39,41,58,61,70,74,76,83,89,96
2,7,10,21,32,34,47,49,50,52,55,66,72,86,88,97
8,12,20,21,25,27,34,49,53,54,57,70,72,76,87,93
5,8,21,25,30,33,46,49,54,62,74,78,87,90,94,98
3,8,10,11,16,40,44,46,51,66,68,71,74,89,93,97
1,5,8,17,19,25,37,42,45,61,70,73,78,85,89,95
9,11,15,23,28,35,40,42,44,68,72,87,89,92,94,98
3,27,28,29,32,41,45,46,49,67,71,74,80,89,95,98
2,4,7,9,16,34,37,41,43,55,58,69,75,81,90,97
5,16,18,20,22,37,43,53,55,59,66,70,72,75,89,91
5,8,11,20,24,38,40,41,43,52,65,67,79,81,95,98
2,5,10,17,28,33,36,45,62,65,67,78,84,89,92,96
1,12,15,19,27,35,38,41,60,61,67,78,82,84,87,97
12,15,17,29,32,35,37,48,51,60,63,80,81,83,88,95
3,7,15,20,21,32,46,48,52,54,68,78,80,81,84,98
2,8,21,25,29,32,36,49,55,60,63,78,79,82,95,97
3,8,20,24,28,32,37,41,52,57,64,70,89,91,94,97
3,16,18,19,22,36,45,51,57,63,64,70,75,79,82,94
3,10,12,21,28,33,49,53,57,65,70,71,77,85,89,91
1,15,17,20,21,29,37,44,58,62,64,70,85,89,93,95
1,8,10,23,24,32,35,39,46,58,61,74,78,83,86,100
7,10,13,21,27,33,44,50,51,56,58,73,77,89,93,95
2,10,16,25,27,44,47,50,51,52,58,72,77,87,94,99
1,16,23,27,29,34,41,46,53,55,78,83,86,90,92,96
3,8,12,16,20,41,43,48,56,65,68,75,80,83,89,92
6,10,25,27,32,39,41,47,54,66,69,71,75,88,94,100
3,6,10,11,14,27,32,39,52,57,58,70,75,77,84,91
2,10,11,15,28,31,45,47,49,65,69,82,87,92,99,100
1,5,10,12,24,27,36,49,52,54,56,75,79,91,94,97
3,8,14,19,26,43,51,54,57,59,65,71,77,80,93,98
1,8,14,29,31,33,40,46,52,59,65,68,79,86,91,96
5,14,21,22,28,42,48,53,55,59,60,74,77,82,88,92
3,14,18,29,31,34,46,50,52,54,59,72,85,86,93,97
2,7,10,22,28,33,35,38,54,57,61,69,83,85,89,97
4,13,21,25,27,33,40,49,55,58,62,71,76,80,85,99
3,10,13,24,27,37,42,44,50,57,61,63,68,75,88,92
5,6,12,19,21,32,39,45,52,58,65,67,88,91,94,98
2,18,21,23,26,35,40,42,48,64,66,71,73,86,88,90
1,9,17,18,25,31,34,51,53,59,67,75,80,87,94,100
5,8,13,20,25,41,42,48,54,60,68,71,76,85,91,100
5,13,19,30,32,37,41,53,57,69,71,76,81,84,90,97
2,14,18,20,22,26,36,43,51,58,60,76,82,85,87,99
6,13,22,29,40,41,43,57,59,65,72,76,79,91,94,100
17,21,25,30,33,35,38,49,52,62,65,66,68,82,89,95
5,8,13,26,31,38,40,44,56,63,68,69,74,82,95,99
9,16,23,25,31,33,37,51,59,60,64,67,72,75,88,95
