"V1","V2","V3","V4"
47,61,86,89
46,50,83,89
23,66,94,98
30,31,61,77
65,68,92,100
52,59,77,92
20,82,85,90
71,78,86,94
45,57,94,100
26,66,94,99
34,59,86,93
34,70,87,92
65,70,73,78
54,79,92,95
16,67,72,87
26,79,84,91
13,66,80,81
54,68,71,99
40,59,73,94
22,76,92,98
51,57,81,89
59,93,96,100
53,58,86,90
39,66,68,90
48,71,86,89
20,43,70,74
11,51,58,76
26,76,82,90
27,75,79,91
38,65,72,99
31,67,83,96
68,72,90,97
39,61,85,89
29,36,72,89
47,61,78,84
47,53,83,96
46,75,80,87
20,51,85,99
54,67,82,96
50,56,78,82
6,79,83,86
32,49,75,99
46,72,84,98
44,64,77,90
20,65,79,82
34,71,85,100
23,38,51,85
59,61,92,97
32,63,90,93
32,38,73,96
46,62,78,92
23,36,84,99
32,62,70,95
20,52,75,87
34,67,95,99
46,64,81,89
32,57,72,86
16,53,83,98
58,73,84,100
50,65,67,92
35,50,79,85
9,46,72,88
42,65,67,89
37,81,97,99
31,69,92,97
46,69,84,96
41,69,72,97
54,72,77,90
40,66,71,90
58,71,75,88
46,74,80,86
59,86,94,99
32,58,72,98
48,63,77,93
48,60,92,94
52,65,90,91
7,52,79,82
50,62,67,92
49,75,90,92
35,49,87,91
46,60,64,81
38,79,86,93
27,79,92,97
23,50,73,77
32,38,73,78
18,61,69,74
14,36,75,81
33,50,96,100
31,57,65,66
25,59,71,85
46,75,78,93
13,44,70,92
50,65,82,89
49,75,78,83
22,78,87,94
47,63,85,88
32,78,91,98
49,61,67,83
25,55,94,97
10,55,72,88
53,68,72,85
22,55,95,98
26,65,69,83
30,74,76,99
67,75,80,81
32,65,69,94
54,77,80,83
45,66,83,85
66,71,88,94
51,76,89,92
48,66,72,97
56,63,69,87
19,61,81,89
40,81,86,99
66,81,84,100
55,70,92,100
52,73,79,96
37,62,69,95
22,60,71,98
17,79,91,96
20,23,39,86
38,63,77,96
48,53,75,76
42,45,94,99
45,50,71,86
56,79,92,97
13,59,64,79
18,75,78,82
43,45,70,88
24,57,74,82
36,68,71,96
57,64,81,90
20,34,87,94
28,77,79,81
31,54,94,98
44,71,74,90
42,50,65,73
39,53,78,97
71,88,94,97
39,66,70,83
40,44,65,77
51,60,93,99
45,50,69,72
14,74,80,98
25,57,84,86
54,70,88,92
45,59,64,95
21,58,66,92
33,76,81,88
48,81,90,98
35,64,85,89
45,52,68,86
13,71,75,87
9,32,89,92
66,70,71,86
69,72,74,98
23,51,79,92
38,63,90,96
37,60,71,96
25,60,83,88
44,76,80,91
32,57,81,96
56,63,93,97
42,73,89,94
29,55,87,95
38,72,76,90
63,70,97,99
23,54,69,89
27,57,71,99
39,58,63,84
37,41,83,95
49,78,81,97
59,63,85,87
44,79,85,97
69,73,85,99
21,63,66,80
27,51,68,96
25,82,87,89
52,56,70,77
23,47,92,97
51,55,64,80
18,57,79,97
28,53,87,94
13,66,69,82
60,83,88,92
24,59,71,96
43,58,82,99
59,61,64,98
48,74,87,91
14,66,72,88
18,74,92,97
43,67,81,86
41,59,76,99
21,57,74,90
36,54,61,66
46,69,88,93
34,66,79,92
26,77,95,99
49,70,73,94
54,69,75,81
22,44,83,87
35,69,75,97
20,66,96,98
60,73,76,98
38,44,71,89
29,45,63,70
39,72,79,83
33,65,71,88
67,81,93,96
13,64,94,97
43,68,86,94
22,69,84,87
46,60,89,91
47,77,86,99
46,74,78,92
41,78,81,83
35,62,81,96
31,38,58,92
43,68,76,91
38,68,80,81
32,57,76,100
22,68,70,86
73,80,86,95
20,58,64,94
12,49,71,98
43,46,81,88
29,43,73,78
59,79,82,93
34,58,83,98
73,81,87,90
61,68,95,99
29,55,71,86
46,63,86,90
23,59,85,97
50,71,79,97
51,58,78,93
42,55,60,92
44,89,92,97
35,57,61,99
46,53,75,90
52,65,78,93
13,70,87,95
69,74,93,100
11,50,56,95
8,46,95,98
56,60,74,78
52,59,89,92
60,67,85,92
54,77,85,98
33,87,90,95
40,79,83,91
24,72,76,80
62,69,86,91
17,40,46,84
