"V1","V2","V3","V4","V5","V6","V7","V8"
11,56,71,75,87,91,95,99
50,54,57,61,63,69,84,88
17,41,55,58,73,81,88,100
32,50,54,79,81,83,86,100
22,37,43,67,73,85,89,100
21,28,55,68,75,89,91,95
29,54,60,73,85,90,92,97
35,49,61,66,78,85,91,99
40,57,61,70,73,75,84,87
11,26,40,57,72,84,93,100
34,37,52,72,76,79,93,100
18,34,54,61,80,86,92,99
12,40,56,62,65,87,95,98
25,51,60,67,83,85,89,98
40,41,58,66,74,78,84,94
44,58,60,65,72,79,92,99
37,55,76,79,83,85,91,96
37,43,67,72,77,92,97,99
22,48,51,56,69,84,87,98
55,57,68,71,74,78,92,98
21,39,53,56,58,62,92,99
41,59,61,64,76,78,82,99
11,26,64,73,78,84,86,88
31,47,52,70,73,82,85,86
23,38,59,75,81,83,86,95
28,52,67,73,79,80,88,94
36,60,64,67,82,94,98,100
33,53,68,70,72,77,86,91
25,41,54,71,80,86,94,98
36,48,50,62,78,79,81,94
37,55,62,71,86,90,95,99
43,48,69,71,78,82,94,100
29,56,58,64,71,77,94,99
47,61,64,73,80,92,96,100
50,62,64,69,78,86,95,99
23,37,53,70,74,76,93,98
24,31,46,71,83,85,89,97
30,33,56,70,78,81,89,95
38,41,54,56,79,81,96,98
6,42,45,58,63,76,81,90
48,52,55,66,74,79,88,93
33,51,57,65,82,94,97,100
11,44,59,62,77,78,84,95
18,38,45,61,75,80,91,97
33,54,68,72,77,84,88,100
35,42,61,69,74,87,91,97
29,37,41,52,81,86,97,99
28,43,66,79,83,93,96,99
22,48,56,82,85,90,92,98
15,45,67,80,82,84,86,89
33,37,49,51,66,88,91,95
19,25,52,68,71,85,90,92
19,54,56,69,72,87,92,94
38,42,62,77,79,85,90,93
31,39,60,67,73,91,94,97
30,46,53,61,78,90,91,97
22,35,51,66,74,88,89,92
18,55,57,71,87,91,95,99
21,33,47,56,71,74,79,90
40,53,67,70,73,83,87,100
26,33,40,57,63,86,91,100
17,42,57,71,79,84,88,100
43,48,78,81,83,87,95,98
24,48,54,57,71,80,82,87
