"V1","V2","V3","V4","V5","V6","V7","V8"
17,21,37,43,51,60,77,86
2,12,14,18,23,78,84,95
1,3,62,64,70,89,96,100
13,28,33,35,41,70,72,83
4,22,28,49,58,74,86,91
2,16,20,54,55,70,84,90
23,48,55,56,58,81,93,99
16,22,27,41,47,49,77,79
4,7,22,37,44,56,60,85
3,10,24,29,58,87,89,96
24,25,36,44,50,64,67,71
6,7,8,25,30,45,65,92
4,8,12,35,43,51,72,74
9,11,12,13,16,18,67,97
12,35,49,55,58,79,80,94
25,39,53,60,68,77,94,97
38,51,57,66,67,90,99,100
6,11,19,52,66,83,86,94
60,63,69,75,78,80,81,97
23,29,30,40,60,63,65,78
1,24,38,39,54,60,73,93
4,16,42,54,64,70,87,98
8,34,42,46,57,67,78,87
7,15,54,65,68,73,82,100
4,17,24,73,74,76,81,100
5,26,44,46,52,57,81,94
4,5,19,21,24,85,93,100
18,31,48,51,54,61,67,70
11,19,21,49,62,71,82,98
15,18,35,37,49,83,85,95
8,15,21,32,71,73,79,96
14,22,40,44,51,78,96,99
15,29,37,60,62,70,71,84
12,13,20,25,38,52,57,89
23,48,54,55,58,59,75,86
9,13,60,61,70,74,77,79
7,10,14,18,28,40,75,91
18,32,58,70,80,83,89,99
9,16,21,50,67,68,70,72
7,13,22,48,56,79,99,100
6,31,55,61,83,88,91,98
34,39,50,55,63,66,82,97
13,20,37,50,64,79,94,98
3,8,13,37,39,48,62,95
12,16,18,42,43,64,79,81
9,12,26,40,48,52,55,88
11,16,29,34,43,58,78,98
22,26,50,66,70,74,77,81
2,14,33,54,66,72,77,79
9,20,30,34,38,39,66,69
26,27,28,40,46,51,55,83
19,26,29,37,62,86,91,96
4,25,50,52,66,72,78,93
18,44,61,66,73,77,89,98
3,5,9,29,30,46,92,100
11,20,46,52,65,74,81,97
3,9,15,42,44,69,70,85
44,61,70,73,89,92,98,99
8,34,36,42,46,67,73,87
6,9,10,16,26,43,64,78
6,9,19,21,33,59,61,80
8,10,36,57,60,86,96,100
15,26,46,47,55,64,73,86
49,50,51,53,61,71,75,95
15,41,44,52,64,74,79,88
7,18,47,58,60,64,73,77
9,27,38,48,50,54,65,83
6,8,38,46,47,66,79,86
8,21,44,46,51,52,57,98
11,19,21,25,27,68,69,97
3,5,17,34,76,77,80,100
12,30,33,63,64,81,85,92
12,18,21,25,29,30,34,63
10,15,17,18,38,73,77,97
8,18,28,47,69,79,85,97
13,31,33,41,51,61,82,97
10,24,33,43,47,63,83,97
14,26,29,31,39,41,62,66
15,17,29,34,38,48,63,77
2,28,38,41,58,68,75,89
28,33,34,38,39,49,73,91
18,22,32,42,85,86,88,99
18,21,32,39,56,86,88,96
2,13,23,26,38,44,67,83
3,30,37,73,81,83,87,89
4,6,21,37,60,83,88,98
30,31,67,68,80,88,92,93
9,16,18,28,39,46,56,68
10,13,40,44,50,52,61,79
2,19,37,43,44,74,75,79
22,30,31,43,55,57,59,89
12,29,38,44,65,85,89,96
12,16,44,62,79,81,89,94
15,30,33,51,69,81,91,97
6,35,38,49,74,75,77,84
11,22,27,36,37,40,43,58
14,20,22,27,28,53,66,68
5,8,16,46,63,79,86,93
1,24,36,52,57,67,85,90
51,55,56,60,80,81,89,95
11,15,22,35,46,48,63,94
16,18,32,59,64,80,93,99
1,32,41,56,58,83,91,94
6,14,18,36,50,59,88,92
27,30,33,48,54,83,85,95
11,18,19,55,61,66,83,94
10,26,27,31,32,68,76,99
3,7,22,24,31,42,51,87
5,25,28,54,69,71,72,76
6,9,14,33,60,61,81,91
34,46,54,55,56,75,77,91
3,8,16,25,49,63,66,98
5,18,30,47,62,95,98,99
16,32,44,51,57,59,78,97
3,6,23,33,46,66,76,98
4,9,24,36,45,63,64,70
15,17,29,31,41,71,89,92
9,10,21,50,52,90,92,100
1,6,9,16,20,53,76,93
19,22,36,57,61,69,85,92
19,22,26,33,35,63,91,93
9,37,40,43,50,70,71,80
21,28,29,34,39,90,93,95
29,36,60,66,69,80,93,95
25,33,44,51,79,93,97,99
8,16,28,30,31,85,94,98
3,9,13,24,25,63,87,93
7,23,53,63,84,87,90,97
14,31,35,44,47,83,96,99
1,2,11,13,25,37,41,70
15,28,32,52,58,75,89,92
31,48,49,50,56,82,87,98
24,29,48,52,58,71,84,96
9,36,45,58,64,69,80,96
13,14,18,35,54,76,93,100
4,17,47,73,74,86,95,96
6,40,43,45,47,69,71,90
4,7,13,49,55,58,76,88
19,44,69,74,78,84,86,97
28,45,48,55,62,63,66,76
16,27,29,32,36,38,44,73
1,23,30,33,40,45,66,96
5,19,65,67,70,73,91,97
1,5,45,52,57,75,85,98
8,18,44,47,74,84,93,94
1,15,24,25,29,41,48,49
11,17,18,27,47,80,84,94
5,38,46,49,57,66,94,97
12,38,53,64,77,88,93,94
27,44,47,49,60,62,82,95
5,7,20,30,60,69,80,83
27,28,29,33,60,65,70,74
4,11,12,20,21,55,62,64
30,35,43,48,66,71,77,83
7,13,24,28,47,51,52,95
10,24,39,48,69,72,96,97
5,17,20,30,35,51,84,98
17,28,36,72,73,74,93,98
3,5,7,23,58,62,66,71
32,49,50,65,72,75,89,92
9,16,18,25,26,43,76,84
15,26,36,42,51,74,96,97
8,26,37,43,58,87,90,91
21,43,56,57,68,73,79,81
15,24,38,41,53,56,97,100
15,31,45,53,56,66,87,94
2,25,38,39,53,58,93,99
3,4,13,17,20,23,24,75
6,13,37,39,41,51,71,76
3,4,10,14,34,47,75,96
27,48,58,69,79,81,83,99
24,31,73,74,84,87,97,100
23,38,50,72,86,89,90,98
2,23,26,50,56,68,92,93
5,34,47,54,61,63,77,90
1,45,57,58,73,86,91,92
7,23,35,41,75,77,89,95
3,4,9,53,63,85,96,97
6,11,14,19,29,41,73,92
1,35,42,49,65,82,90,99
8,16,34,41,44,61,72,74
9,19,33,40,52,53,83,97
4,28,45,56,75,78,81,94
11,56,69,73,85,89,92,98
6,19,24,32,36,53,55,97
9,14,15,36,45,65,81,85
3,22,28,35,49,63,78,80
9,21,26,35,37,41,58,70
6,32,33,56,67,73,91,99
10,15,25,38,57,69,76,78
3,5,7,29,31,49,66,90
1,13,14,19,41,51,59,86
6,7,8,12,13,18,37,94
35,41,63,69,71,73,91,98
3,13,30,40,51,55,90,95
17,24,28,31,36,40,58,74
4,17,22,41,78,82,88,96
55,57,59,60,73,78,93,95
6,14,15,34,36,43,44,85
23,35,48,53,64,70,95,96
2,4,17,21,76,77,80,92
7,12,30,47,65,80,82,100
29,38,44,45,48,52,62,84
10,43,54,56,62,87,92,100
6,12,31,50,66,74,93,94
12,38,67,76,78,85,87,90
3,5,16,27,46,59,76,95
2,28,45,47,70,87,88,96
11,15,29,45,47,61,71,88
5,9,20,56,60,81,87,93
2,23,28,33,41,44,47,75
11,48,49,59,60,68,73,93
35,39,44,45,49,63,76,89
8,13,22,43,44,78,79,99
6,21,54,68,69,75,98,99
12,26,27,29,37,39,79,90
28,34,39,62,71,77,78,93
20,25,40,45,55,66,76,99
9,10,37,45,67,86,87,100
13,26,58,59,70,76,80,99
12,21,27,28,29,68,92,98
26,48,49,57,59,60,73,85
6,30,46,51,59,74,78,83
3,25,26,52,72,89,96,97
7,8,13,14,65,85,92,99
19,20,33,48,59,70,85,86
24,29,30,57,60,72,82,96
6,33,37,52,54,61,73,98
26,30,43,44,60,75,78,92
1,8,39,61,74,75,96,99
5,6,31,74,85,90,97,99
32,38,44,50,56,74,90,98
16,29,35,53,57,60,62,65
15,21,34,44,49,54,73,83
25,32,34,42,64,68,92,100
1,45,79,80,81,83,89,96
2,16,31,32,38,54,75,96
3,31,40,51,52,53,80,87
7,12,22,24,52,86,87,95
16,25,40,44,47,50,56,86
4,14,48,71,77,82,94,99
6,9,17,26,34,37,67,76
16,18,27,57,79,90,95,97
10,28,29,39,65,70,72,91
14,32,33,35,57,58,66,90
5,13,40,49,57,60,75,80
12,21,31,55,69,82,90,93
8,10,15,17,20,30,48,71
8,12,14,18,32,53,59,63
13,22,24,39,52,55,57,63
2,15,34,45,64,68,91,93
4,5,23,24,30,41,93,95
3,17,37,53,67,87,88,97
6,30,36,46,62,82,84,85
2,17,19,21,24,31,71,75
1,8,10,13,19,20,59,88
1,10,35,41,43,47,52,59
4,25,55,57,64,66,69,98
23,28,33,41,44,47,61,79
3,12,30,37,47,51,63,96
4,16,17,33,50,63,75,88
6,29,35,46,67,74,87,90
12,31,52,53,62,63,71,98
21,24,27,43,59,80,95,98
2,16,22,36,46,50,63,98
3,32,33,76,91,92,94,95
14,31,37,47,50,73,81,86
14,19,40,64,74,78,87,88
1,9,13,14,39,41,48,84
1,9,38,42,46,61,84,95
26,28,33,41,42,52,75,89
33,35,45,47,49,72,80,97
6,17,18,28,29,34,40,89
19,20,32,67,76,80,87,90
5,35,41,47,49,56,67,95
5,35,41,52,62,72,79,80
13,23,32,55,61,68,72,99
4,19,37,61,62,70,77,89
1,15,25,32,50,61,66,95
8,11,33,43,44,50,81,94
10,22,24,38,45,70,93,100
19,37,54,83,87,89,94,95
12,38,48,52,81,90,94,95
1,7,19,37,40,48,93,97
7,34,41,47,56,73,87,100
3,17,23,35,42,47,64,95
14,23,36,37,38,46,90,100
10,11,13,29,44,90,93,99
8,28,31,32,35,62,71,74
11,14,37,44,51,74,86,99
8,18,34,39,52,53,75,95
18,31,39,70,74,83,84,91
12,15,16,25,61,78,97,100
3,30,38,42,67,86,88,95
9,42,55,65,74,86,93,99
4,12,17,18,53,67,73,86
15,23,45,51,77,78,81,94
11,12,25,30,64,71,74,91
9,15,20,23,48,50,56,92
14,27,32,36,42,59,89,94
26,55,62,70,84,89,94,98
10,29,31,40,54,64,74,100
15,31,41,48,67,82,88,97
4,20,30,46,68,74,90,98
41,52,53,59,65,94,97,99
9,14,16,21,60,71,95,96
3,6,14,21,25,34,38,69
2,12,35,63,64,68,80,99
15,21,40,50,61,62,82,87
9,15,17,24,61,63,66,71
12,18,22,64,66,79,82,96
24,32,43,52,58,76,88,94
1,5,6,9,15,41,49,90
31,46,61,65,68,74,83,88
1,5,27,56,62,67,80,84
1,3,11,48,59,64,70,82
3,7,28,34,36,42,65,90
1,11,17,33,39,41,75,88
11,13,34,56,87,88,96,99
6,48,54,55,59,60,83,94
12,22,28,31,39,55,82,97
3,18,23,39,74,75,93,100
4,11,33,50,62,67,78,88
17,19,22,34,42,59,68,95
6,19,25,41,64,71,81,93
4,25,60,67,69,74,91,100
22,56,63,80,84,88,98,99
21,35,57,62,67,69,94,95
20,50,51,67,69,71,76,91
30,38,39,60,66,90,92,95
5,13,17,29,35,50,58,71
4,41,48,57,58,61,73,81
2,17,20,68,75,84,85,98
