"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
25,32,42,43,47,51,52,56,59,64,71,78,80,86,90,92
2,5,8,10,12,13,18,21,24,56,59,69,73,85,94,100
2,16,21,22,30,34,49,54,73,75,76,78,79,80,81,95
5,13,14,15,22,34,38,53,56,69,76,80,82,87,88,98
2,5,8,10,13,25,30,34,44,49,50,53,64,75,79,92
2,5,13,16,18,19,23,36,49,53,73,90,94,97,98,100
2,8,9,14,34,55,66,68,73,78,80,82,89,90,93,95
21,25,28,37,42,51,68,74,75,76,81,85,86,93,94,97
4,5,7,14,21,29,34,50,64,66,68,76,80,86,88,92
2,5,14,16,27,33,47,54,66,67,71,75,83,88,92,97
10,16,23,25,29,39,47,50,64,66,70,75,78,81,92,93
2,8,17,22,33,34,39,48,51,53,55,65,66,88,96,97
6,13,16,21,22,30,39,42,55,61,62,68,69,73,81,97
6,10,16,18,21,29,37,48,51,52,62,67,69,76,86,88
5,13,21,22,25,27,35,38,40,49,50,51,56,76,80,87
16,22,26,32,48,52,61,66,68,73,81,85,90,92,97,98
2,27,38,39,48,51,62,68,69,70,74,75,76,78,80,84
2,4,6,8,14,17,34,37,40,47,53,68,75,83,85,90
18,28,37,48,51,52,55,56,73,74,76,79,80,83,93,94
5,14,22,26,29,42,48,51,53,57,64,73,91,92,93,96
2,10,13,14,16,19,21,25,30,34,68,76,78,79,83,90
14,16,19,21,27,36,37,42,59,73,76,80,84,87,90,94
5,8,9,39,48,69,70,71,76,80,82,86,88,91,92,96
4,9,10,13,18,23,35,36,42,56,57,62,70,82,92,97
14,16,22,23,29,39,47,49,64,66,68,73,82,91,93,94
4,14,15,18,21,22,24,30,37,47,53,73,80,81,90,97
5,16,21,23,26,33,34,35,49,54,56,66,74,75,83,90
2,13,22,25,38,40,44,48,62,64,67,74,78,80,93,97
16,27,29,34,36,39,48,53,55,56,62,66,70,85,88,96
33,37,38,47,53,56,66,73,75,83,84,86,90,91,94,96
8,10,12,17,37,42,47,51,52,53,61,62,65,67,75,92
13,16,17,30,42,56,68,74,79,81,83,88,89,90,94,96
1,7,11,22,23,25,38,42,47,49,65,75,78,80,83,86
7,25,30,35,42,47,51,59,68,70,72,75,76,82,90,91
2,4,6,8,21,23,24,35,42,47,67,69,73,74,75,90
10,14,16,25,30,33,34,45,47,56,62,69,87,91,94,98
8,9,18,22,40,47,50,52,53,55,66,73,78,82,86,94
9,22,25,27,40,43,48,51,52,55,66,78,80,82,83,100
1,2,15,17,21,26,35,36,42,51,53,60,62,70,83,91
4,8,9,10,16,17,18,34,36,42,46,47,65,86,88,90
2,8,10,21,22,25,40,47,49,55,65,66,67,85,92,97
2,10,16,23,48,49,53,56,59,62,70,78,83,84,87,97
