"V1","V2","V3","V4","V5","V6","V7","V8"
27,42,48,56,59,62,85,94
29,38,53,61,73,77,78,89
8,22,33,39,47,61,66,88
13,14,16,24,38,64,88,95
4,21,24,42,75,84,86,88
4,5,8,10,30,36,69,90
13,14,23,48,74,76,79,86
18,40,53,73,83,86,91,97
15,16,21,27,42,73,95,97
5,16,29,40,50,61,73,91
12,22,35,37,64,70,73,74
22,52,67,71,82,83,86,89
25,70,76,81,82,91,96,97
5,9,10,17,21,24,39,97
8,10,30,34,47,65,66,73
13,16,23,27,29,46,47,52
5,30,42,45,47,64,73,81
2,22,37,40,46,48,71,88
4,5,22,29,66,69,85,86
13,19,51,52,61,78,85,90
17,33,42,47,59,73,83,96
5,21,23,40,76,80,82,93
8,10,45,51,69,74,75,98
1,9,34,43,52,55,74,75
9,14,25,64,74,84,87,92
10,25,29,34,37,48,76,93
44,46,59,61,62,64,85,89
13,37,51,52,61,64,81,98
7,9,13,39,48,56,76,80
10,23,35,38,46,76,91,93
26,34,55,62,66,82,93,97
6,13,18,25,74,83,93,97
29,38,48,51,52,56,60,80
10,21,62,66,70,71,76,94
27,45,64,66,69,73,78,92
16,35,36,42,61,62,70,76
15,22,47,69,73,85,86,87
2,16,38,70,73,75,78,91
5,9,23,40,66,68,83,97
16,30,70,78,83,90,91,94
17,33,53,64,81,88,89,94
17,26,27,56,73,78,80,82
5,8,14,53,75,81,92,93
5,17,21,42,59,73,94,98
7,34,53,73,76,78,80,92
30,47,56,59,76,80,91,96
22,26,38,47,52,85,88,93
5,8,43,53,55,86,88,94
5,10,31,52,62,66,76,94
36,51,60,61,62,76,82,91
8,25,36,51,53,57,65,75
16,22,25,28,47,59,93,97
14,18,25,29,34,46,53,78
9,16,43,53,70,78,86,89
29,34,66,78,85,90,92,96
10,59,61,73,75,89,93,99
25,37,48,62,71,83,97,98
2,4,10,33,51,76,82,96
22,25,33,52,74,83,86,92
15,34,48,49,53,73,75,98
7,10,14,35,53,55,62,78
13,43,48,57,86,90,92,97
29,51,55,76,78,80,91,93
13,76,80,89,90,92,94,96
40,49,62,71,76,80,86,91
24,46,48,51,59,83,86,91
16,32,33,35,62,64,65,91
17,42,47,51,71,73,76,84
15,22,38,61,66,70,87,88
9,11,23,35,47,70,73,92
9,10,25,42,67,76,78,81
13,32,62,68,80,92,97,98
5,25,27,47,64,70,74,87
10,13,19,33,73,75,86,97
4,25,49,74,75,78,86,97
22,23,25,52,68,81,82,89
7,8,9,42,48,71,92,97
14,24,27,66,73,76,89,96
27,34,39,52,66,75,78,89
18,21,30,42,50,88,94,97
9,18,23,52,70,71,76,89
5,21,24,39,52,62,80,83
14,42,69,82,90,92,94,95
2,14,33,47,59,73,74,90
14,22,37,39,48,61,88,91
9,25,33,43,53,70,81,86
18,29,47,50,76,80,81,86
64,70,72,80,86,89,90,92
8,37,51,65,68,75,86,89
9,13,14,25,40,44,55,76
8,29,32,38,49,51,74,80
13,14,16,31,40,64,80,94
8,33,52,66,88,90,91,98
22,34,53,62,64,70,71,74
9,38,47,49,62,65,70,80
7,25,48,53,56,71,83,94
25,43,58,66,68,76,85,94
5,16,19,21,49,56,73,94
48,51,64,66,69,77,94,98
13,14,29,35,43,68,82,88
10,25,26,32,39,47,83,94
16,21,39,64,69,73,75,87
16,18,30,47,56,69,85,88
1,25,27,39,42,43,74,97
5,23,39,66,69,83,90,95
2,10,17,25,40,47,64,91
21,33,35,57,64,65,73,85
22,30,37,38,51,53,80,91
9,10,14,18,34,47,61,64
40,46,61,62,64,78,80,82
16,29,38,53,62,67,83,91
29,32,48,66,76,85,92,98
33,34,40,47,56,74,88,90
17,23,38,66,68,91,97,98
1,21,37,49,56,80,84,94
13,39,43,48,51,74,76,80
10,29,37,40,51,70,89,90
7,8,13,21,22,33,39,88
10,16,18,36,61,75,76,81
17,21,22,37,62,81,88,94
4,18,27,37,52,66,74,75
18,24,47,52,53,75,80,84
1,10,62,81,83,86,91,93
4,13,16,30,49,68,76,90
10,14,43,55,59,73,90,91
1,29,37,56,62,80,89,98
13,25,42,54,76,79,92,97
9,13,27,28,48,68,74,75
8,23,26,42,43,61,73,74
35,52,56,67,80,87,89,90
16,38,46,62,70,80,91,97
1,9,24,25,43,49,64,89
2,36,38,66,67,82,83,88
2,36,40,53,56,88,92,96
24,49,51,53,58,62,76,87
30,33,34,62,74,80,89,93
1,2,8,9,25,47,55,85
2,5,12,13,70,73,82,83
9,10,13,35,68,87,96,97
5,9,14,15,23,38,42,83
2,23,49,64,68,74,75,79
9,24,40,48,52,64,85,91
2,37,49,67,70,71,75,80
1,7,17,21,37,73,80,81
15,33,34,53,69,76,89,90
9,38,61,62,64,66,69,74
7,9,21,37,54,61,62,85
22,42,43,53,71,88,97,99
5,9,17,23,28,62,89,98
13,18,23,27,34,36,43,97
14,18,23,28,42,48,64,90
8,10,22,44,66,81,84,93
25,26,27,36,64,66,81,85
9,16,24,40,42,49,68,90
13,15,16,25,26,29,70,90
23,40,47,64,70,73,86,87
9,16,19,22,27,76,78,80
2,5,23,55,69,83,89,90
14,16,19,25,76,81,86,89
22,23,26,36,53,70,73,91
11,21,24,29,54,61,80,81
10,13,17,30,40,48,51,82
9,24,42,47,52,62,71,84
29,38,40,42,51,69,74,90
10,38,56,67,75,78,91,92
2,13,24,33,70,73,75,98
1,14,23,66,67,73,82,86
13,22,37,45,56,65,67,88
8,30,40,51,66,82,91,96
21,28,33,69,76,81,85,90
14,21,24,33,61,66,73,83
7,9,13,20,55,74,80,90
7,34,48,62,65,66,83,86
15,22,24,56,62,80,87,91
2,13,48,52,71,73,76,96
15,47,52,74,80,83,87,94
33,37,53,69,73,76,81,86
7,11,22,33,61,69,74,89
9,13,18,34,48,52,80,83
12,16,48,64,68,73,81,93
5,25,30,46,53,71,75,76
4,9,23,37,68,69,90,91
12,13,17,25,34,56,71,85
12,42,56,78,83,86,87,88
4,14,33,34,49,80,86,91
2,42,46,48,56,62,83,92
10,18,25,30,46,76,78,91
36,47,76,81,82,88,93,94
29,35,48,49,57,66,76,80
12,13,23,29,36,67,90,92
5,14,24,38,64,84,85,89
2,10,18,21,30,46,73,83
9,23,40,56,66,74,78,96
1,10,25,49,66,75,84,92
9,10,15,23,36,49,76,91
9,21,51,65,83,86,88,92
17,23,33,59,62,80,89,97
18,19,51,56,61,66,75,85
21,27,54,58,62,68,80,83
1,13,25,32,33,61,76,85
8,16,33,47,49,51,90,98
12,30,36,38,51,74,90,93
20,21,22,34,53,61,87,97
14,38,47,64,88,90,91,94
25,29,36,47,52,60,82,94
6,18,22,46,52,80,89,94
32,47,53,67,68,88,94,97
8,12,22,44,51,61,81,91
15,16,30,36,80,83,86,88
7,42,55,62,69,83,87,97
22,30,31,43,68,85,91,98
4,16,47,64,66,75,81,100
27,56,68,75,80,81,87,89
2,21,23,39,48,73,87,97
5,10,27,30,42,71,76,90
13,26,49,83,88,92,95,96
14,16,35,53,80,87,90,98
44,48,56,66,69,75,85,88
1,9,33,34,60,66,88,97
