Method,Density,Moran,Local Balance
K-Means (45_random_),-0.0309249861268605,-0.1892598148343038,0.3211707926718221
K-Means (45_random_),-0.031288852582032,-0.8932971498777823,0.2646832180410428
K-Means (45_random_),-0.0254188027089139,-0.5802588531856645,0.2170814226611506
K-Means (45_random_),0.040880718552793,-0.2211654779916534,0.2438561503069879
K-Means (45_random_),-0.0167749700331473,-0.1107092049079828,0.3195258835541386
K-Means (45_random_),-0.0321174032004757,-0.7075580713220536,0.2508210481743889
K-Means (45_random_),-0.0168581471793884,-0.3216354340451207,0.3265884743847326
K-Means (45_random_),-0.0243733243639646,-0.2369904675222357,0.3138063451858331
K-Means (45_random_),-0.1843470572246838,-0.0575395645609128,0.6425834025257209
K-Means (45_random_),-0.0402077898146034,-0.639139584519226,0.2758976747785477
K-Means (45_random_),-0.0224525036775978,-0.8932971498777776,0.2767946728205305
K-Means (45_random_),0.149356558056499,-0.6717935843431251,0.2735309505699044
K-Means (45_random_),0.1947690436189834,-0.1995550756759315,0.3825312619596904
K-Means (45_random_),-0.252254412354525,-0.076015730393446,0.5699968436485927
K-Means (45_random_),-0.2637631042862359,-0.0800261788085196,0.525001864022552
K-Means (45_random_),-0.0193999571209525,-0.2028955122483469,0.2827342105686299
K-Means (45_random_),0.0099128322453831,-0.1683712624890108,0.3307048081766671
K-Means (45_random_),-0.0357728380433595,-0.193369203573987,0.3005818291120044
K-Means (45_random_),-0.0168976070948558,-0.1074374070796551,0.3538229623673063
K-Means (45_random_),-0.2086997585508721,-0.0301334729253414,0.5896682832278217
K-Means (45_random_),-0.0350676299130219,-0.7536123459256415,0.2565740870856158
K-Means (45_random_),0.1442259876578007,-0.2347910493603978,0.2898047993869126
K-Means (45_random_),-0.0301037957506118,-0.1949334194001445,0.3097589791879995
K-Means (45_random_),-0.0245672511848484,-0.4402640970707747,0.3114819976245724
K-Means (45_random_),-0.0274645756639119,-0.13185399736924,0.3102503405635956
K-Means (45_random_),0.1323709092574248,-0.3649324991288444,0.2784462645101146
K-Means (45_random_),-0.2351253558749634,-0.0901323651009708,0.5135743508810962
K-Means (45_random_),0.124490182931829,-0.3487371616823521,0.373585548731019
K-Means (45_random_),0.0100739474091385,-0.1683712624890108,0.3307048081766671
K-Means (45_random_),0.112651619696113,-0.226772720104359,0.3181864229438501
K-Means (45_random_),0.0701601021677275,-0.2227273603049229,0.2769510820462051
K-Means (45_random_),0.0699511342980993,-0.2227273603049229,0.2769510820462051
K-Means (45_random_),-0.0455502184221209,-0.6391395845192265,0.2258908515436168
K-Means (45_random_),-0.0377325497388368,-0.6717935843431261,0.247558947996002
K-Means (45_random_),-0.2086997585508721,-0.0301334729253414,0.5896682832278217
K-Means (45_random_),-0.031288852582032,-0.8932971498777823,0.2646832180410428
K-Means (45_random_),-0.035610815643527,-0.2266724040397033,0.270299624568743
K-Means (45_random_),-0.0408547382768428,-0.6391395845192265,0.2258908515436168
K-Means (45_random_),0.2127627745854874,-0.2048826838146895,0.3272345402524743
K-Means (45_random_),0.0624403643938532,-0.3780367578501542,0.2694529007608919
K-Means (45_random_),-0.0408887309547022,-0.639139584519226,0.2758976747785477
K-Means (45_random_),-0.0050270670372604,-0.1155035307332386,0.2483907549759225
K-Means (45_random_),-0.0324402375905856,-0.7536123459256415,0.2565740870856158
K-Means (45_random_),0.1295992489189101,-0.3649324991288444,0.2784462645101146
K-Means (45_random_),-0.0320733092039268,-0.7106690545186959,0.2765344070107753
K-Means (45_random_),-0.0136714683403219,-0.1881404842003134,0.3523719970478959
K-Means (45_random_),-0.0090942750987922,-0.5834032828165236,0.1862183359970136
K-Means (45_random_),-0.0066910655859579,-0.1155035307332386,0.2483907549759225
K-Means (45_random_),-0.0459313681441243,-0.5870406595126882,0.2345686408246664
K-Means (45_random_),-0.0274645756639119,-0.13185399736924,0.3102503405635956
K-Means (45_random_),-0.0198695346293503,-0.2028955122483469,0.2827342105686299
K-Means (45_random_),-0.0349780410828552,-0.7579731979005396,0.2537292606476
K-Means (45_random_),0.0706282651714094,-0.2227273603049229,0.2769510820462051
K-Means (45_random_),-0.0193999571209525,-0.2028955122483469,0.2827342105686299
K-Means (45_random_),-0.0341031373372017,-0.4981167541368997,0.2620292194652633
K-Means (45_random_),0.0388342532325539,-0.3725275988415785,0.2488504074690575
K-Means (45_random_),-0.0390623701959701,-0.1374772558330443,0.2801510805757957
K-Means (45_random_),0.0101489465330895,-0.2222628174294841,0.2673916418875528
K-Means (45_random_),0.0701601021677275,-0.2227273603049229,0.2769510820462051
K-Means (45_random_),-0.0304106279585979,-0.3455536702455313,0.2369608904804365
K-Means (45_random_),0.0599996417435603,-0.3780367578501542,0.2694529007608919
K-Means (45_random_),-0.0287528082703483,-0.2518362003228124,0.2572388424486603
K-Means (45_random_),-0.0322816478189573,-0.13185399736924,0.3102503405635956
K-Means (45_random_),-0.0327177051998831,-0.7075580713220536,0.2508210481743889
K-Means (45_random_),-0.0467009711131776,-0.436781799499692,0.3062558062728593
K-Means (45_random_),-0.0417204075745729,-0.5658251521157444,0.2188299344608651
K-Means (45_random_),-0.0174104541798508,-0.1074374070796551,0.3522539556150896
K-Means (45_random_),-0.0390623701959701,-0.1374772558330443,0.2801510805757957
K-Means (45_random_),-0.0396987428337525,-0.1374772558330443,0.2801510805757957
K-Means (45_random_),-0.0417608724717862,-0.8171881642823903,0.2345833013734866
K-Means (45_random_),-0.048092968238745,-0.7106690545186961,0.2860127533704373
K-Means (45_random_),-0.0417204075745729,-0.5658251521157444,0.2188299344608651
K-Means (45_random_),-0.0431506384662443,-0.7106690545186957,0.2703201383990185
K-Means (45_random_),-0.0417608724717862,-0.8171881642823903,0.2345833013734866
K-Means (45_random_),-0.0024851732884739,-0.1662657868307843,0.2592903790738327
K-Means (45_random_),0.0945102968896882,-0.3152509574148689,0.3751314180185866
K-Means (45_random_),-0.0243733243639646,-0.2369904675222357,0.3138063451858331
K-Means (45_random_),-0.040141148269745,-0.6112315037274617,0.2239354827831906
K-Means (45_random_),-0.0349780410828552,-0.7579731979005396,0.2537292606476
K-Means (45_random_),-0.2649992600969858,-0.0800261788085196,0.525001864022552
K-Means (45_random_),-0.0168879913931484,-0.1074374070796551,0.3522539556150896
K-Means (45_random_),0.106655075612052,-0.3247175211685931,0.2987634151634328
K-Means (45_random_),-0.0243733243639646,-0.2369904675222357,0.3138063451858331
K-Means (45_random_),0.1404916425714741,-0.2347910493603978,0.2898047993869126
K-Means (45_random_),0.0099128322453831,-0.1683712624890108,0.3307048081766671
K-Means (45_random_),-0.1997927143014377,-0.059530716510515,0.6564531860408616
K-Means (45_random_),0.0099128322453831,-0.1683712624890108,0.3307048081766671
K-Means (45_random_),-0.0184498054932494,-0.1906492916175959,0.3209814688432085
K-Means (45_random_),-0.0174403566459073,-0.7106690545186936,0.3427107586190362
K-Means (45_random_),0.0288328002910714,-0.143345491769063,0.3596256352318131
K-Means (45_random_),-0.017028788337412,-0.1775805755231937,0.3049562384161897
K-Means (45_random_),-0.0427175644624072,-0.1374772558330443,0.2801510805757957
K-Means (45_random_),-0.0428986951075942,-0.7106690545186957,0.2703201383990185
K-Means (45_random_),-0.0333446842991401,-0.7106690545187,0.3054447639847207
K-Means (45_random_),-0.0278397518124202,-0.1949334194001445,0.3097589791879995
K-Means (45_random_),0.1495557017717709,-0.8171881642823973,0.2961729736223574
K-Means (45_random_),-0.037174038545273,-0.6717935843431261,0.247558947996002
K-Means (45_random_),-0.0320733092039268,-0.7106690545186959,0.2765344070107753
K-Means (45_random_),-0.0052834417346268,-0.2240614375912603,0.2808725200385291
K-Means (45_random_),-0.0459313681441243,-0.5870406595126882,0.2345686408246664
K-Means (45_random_),-0.0276620968796807,-0.9999999999999784,0.2006349793013415
K-Means (45_random_),-0.1997239188942108,-0.0406669647896949,0.5598795796552953
K-Means (45_random_),0.0099128322453831,-0.1683712624890108,0.3307048081766671
K-Means (45_random_),-0.1991408504784654,-0.059530716510515,0.6564531860408616
K-Means (45_random_),-0.048092968238745,-0.7106690545186961,0.2860127533704373
K-Means (45_random_),-0.2914625452606698,-0.1417151537030316,0.4851116782975162
K-Means (45_random_),-0.0365115674435158,-0.2266724040397033,0.270299624568743
K-Means (45_random_),-0.0436328436480286,-0.7106690545186961,0.2860127533704373
K-Means (45_random_),0.0474358061051833,-0.2992636619140698,0.1978097237205021
K-Means (45_random_),-0.0382093073264205,-0.2232593434456907,0.3202149308309214
K-Means (45_random_),0.0043433955189743,-0.2369285160314944,0.2749912182189084
K-Means (45_random_),-0.0274645756639119,-0.13185399736924,0.3102503405635956
K-Means (45_random_),-0.0346266151074069,-0.4981167541368997,0.2620292194652633
K-Means (45_random_),-0.0428986951075942,-0.7106690545186957,0.2703201383990185
K-Means (45_random_),-0.040141148269745,-0.6112315037274617,0.2239354827831906
K-Means (45_random_),-0.2620019621576479,-0.076015730393446,0.5699968436485927
K-Means (45_random_),-0.0167749700331473,-0.1107092049079828,0.3195258835541386
K-Means (45_random_),-0.0052834417346268,-0.2240614375912603,0.2808725200385291
K-Means (45_random_),-0.017028788337412,-0.1775805755231937,0.3049562384161897
K-Means (45_random_),0.1295992489189101,-0.3649324991288444,0.2784462645101146
K-Means (45_random_),-0.2612668189721218,-0.0800261788085196,0.525001864022552
K-Means (45_random_),-0.0058129825901238,-0.1155035307332386,0.2483907549759225
K-Means (45_random_),-0.039349300207073,-0.7579731979005396,0.2537292606476
K-Means (45_random_),0.0043433955189743,-0.2369285160314944,0.2749912182189084
K-Means (45_random_),-0.0426618215881425,-0.1765284570718706,0.2580009343617879
K-Means (45_random_),-0.0320733092039268,-0.7106690545186959,0.2765344070107753
K-Means (45_random_),0.1662369013297157,-0.5870406595126825,0.2842446216540284
K-Means (45_random_),-0.0090484517758422,-0.1556065487492185,0.2857741683402169
K-Means (45_random_),-0.0460648743443698,-0.5658251521157444,0.2188299344608651
K-Means (45_random_),-0.0254188027089139,-0.5802588531856645,0.2170814226611506
K-Means (45_random_),-0.0334758282460721,-0.2261448159568105,0.2349260495158759
K-Means (45_random_),0.1748279967804552,-0.191508628163763,0.3554010106254918
K-Means (45_random_),-0.1672150460625353,-0.1098391069963561,0.5451919528975251
K-Means (45_random_),-0.0357728380433595,-0.193369203573987,0.3005818291120044
K-Means (45_random_),-0.2637631042862359,-0.0800261788085196,0.525001864022552
K-Means (45_random_),0.0361053522223697,-0.3725275988415785,0.2488504074690575
K-Means (45_random_),-0.039349300207073,-0.7579731979005396,0.2537292606476
