Method,Density,Voronoi,Moran,Local Balance
"K-Means (1, 1)",0.1787738077015012,0.1234003964418093,-0.0831625940958811,0.2321049198710128
"K-Means (1, 1)",-0.1350845132282425,0.0187119229384971,-0.1181819173529678,0.1027941815924032
"K-Means (1, 1)",-0.1172949627475189,0.016058829094001,-0.1206475862583595,0.0906918499599931
"K-Means (1, 1)",-0.1090408480862273,0.0311075253267164,-0.1924968809542449,0.1012581173811413
"K-Means (1, 1)",-0.1417881554567807,0.035891792915152,-0.1616898070395389,0.1130089474464396
"K-Means (1, 1)",0.1552237694054771,0.0859091358851599,-0.1333556047475957,0.2030482925536701
"K-Means (1, 1)",-0.0630640973227493,0.052745462828959,-0.1669027367485245,0.1439458576147534
"K-Means (1, 1)",0.1787844635504009,0.1234003964418093,-0.0831625940958811,0.2321049198710128
"K-Means (1, 1)",-0.248578102882313,0.3453904125452177,-0.0959294809930865,0.3415379168344477
"K-Means (1, 1)",-0.0528588994915648,0.2241744691909472,-0.1124072109755024,0.239912416390447
"K-Means (1, 1)",-0.0735417040416783,0.1431246269086776,-0.1479713065004813,0.2445234549682448
"K-Means (1, 1)",-0.1417785653553576,0.035891792915152,-0.1616898070395389,0.1130089474464396
"K-Means (1, 1)",-0.2945718658046792,0.2064291857720225,-0.1170789922383895,0.279095264072451
"K-Means (1, 1)",-0.1204435980236431,0.2906540419993427,-0.0741011601413991,0.311833294960577
"K-Means (1, 1)",0.2866081094370268,0.3533714407495633,-0.110271663767374,0.3468408034322455
"K-Means (1, 1)",0.258290416828312,0.3683983903114217,-0.0956409029121482,0.3225623512340401
"K-Means (1, 1)",-0.1432163853660903,0.035891792915152,-0.1616898070395389,0.1130089474464396
"K-Means (1, 1)",-0.1879276277889364,0.1088736203096503,-0.1184857960939752,0.192708471267251
"K-Means (1, 1)",-0.1274225999266779,0.0334561657792211,-0.1240015294121602,0.1081339744823742
"K-Means (1, 1)",0.5585127591335631,0.3195988609093794,-0.0928378216645919,0.3927245450972272
"K-Means (1, 1)",0.0666085931727298,0.0427637409058139,-0.1637038288456506,0.1020367301929121
"K-Means (1, 1)",0.1017802881018939,0.0990658717533577,-0.2289288662502933,0.1988831022244588
"K-Means (1, 1)",-0.2931096556140614,0.2064291857720225,-0.1170789922383895,0.279095264072451
"K-Means (1, 1)",0.1568687930763757,0.0859091358851599,-0.1336928796997461,0.2032849551966119
"K-Means (1, 1)",-0.1366255903998565,0.0187119229384971,-0.1181819173529678,0.1027941815924032
"K-Means (1, 1)",0.1781226904710811,0.1175722886522606,-0.1071923391031125,0.2267487286023653
"K-Means (1, 1)",-0.1384193556453726,0.0237788972480674,-0.1454265023694299,0.1030232455576643
"K-Means (1, 1)",0.4131567494210106,0.4369656435220455,-0.0602926354010344,0.3998368110986704
"K-Means (1, 1)",0.1094332834201756,0.0354133661563084,-0.0987632689628731,0.1454357328747919
"K-Means (1, 1)",-0.1364352150810717,0.0187119229384971,-0.1181819173529678,0.1027941815924032
"K-Means (1, 1)",-0.0991362342871183,0.0329342456786645,-0.123024143334887,0.1231149953890815
"K-Means (1, 1)",0.2423292313564878,0.2200643483990638,-0.1614309377112572,0.3049851380168707
"K-Means (1, 1)",0.0752594676260771,0.142015546694995,-0.1048789919332638,0.1849042596144977
"K-Means (1, 1)",-0.0674523817181558,0.0513536758941414,-0.1658699517851289,0.1433225746467144
"K-Means (1, 1)",0.110100684418241,0.2641883435669516,-0.0492580014374727,0.3130302026659596
"K-Means (1, 1)",-0.1216823249938077,0.0553333166608855,-0.1445470689636263,0.1240021247223158
"K-Means (1, 1)",-0.2479376777895709,0.2272624964525735,-0.0769863682197513,0.2783852440031671
