Method,Density,Moran,Local Balance
K-Means (11_lexico),0.4774009391024053,-0.2306279628292588,0.3440284338662722
K-Means (11_lexico),0.1033533172991602,-0.2636711434914957,0.1519214467037839
K-Means (11_lexico),-0.036691189789122,-0.1536132337793801,0.2964872109716991
K-Means (11_lexico),-0.3435791974861049,-0.1557206566619131,0.215568623776718
K-Means (11_lexico),0.1386228448858012,-0.1349333253027848,0.1564175985152359
K-Means (11_lexico),-0.0493334382308643,-0.168944215458142,0.1367006103224724
K-Means (11_lexico),-0.0824601570144858,-0.2665222183716021,0.2276591362280624
K-Means (11_lexico),0.2632564561945942,-0.2281094824443555,0.2954090449960364
K-Means (11_lexico),-0.1285057755701439,-0.3254309910215378,0.1616023037545799
K-Means (11_lexico),-0.2272577168580881,-0.1948529411764711,0.2397642136239479
K-Means (11_random),-0.0377972636004971,-0.1572045305133696,0.1552259367869988
K-Means (11_random),0.1991508111068864,-0.2481605804375642,0.1322427342255866
K-Means (11_random),0.2983583315679318,-0.1062676981683625,0.2573114731411191
K-Means (11_random),0.2657098076375858,-0.2275611792489704,0.2214704416850763
K-Means (11_random),0.1567989198666705,-0.1974364094665969,0.1867201682525046
K-Means (11_random),0.2443634296069117,-0.2731338287401815,0.2271981062302409
K-Means (11_random),0.1489976318136966,-0.1973299469836175,0.21723247492963
K-Means (11_random),0.5082283381280298,-0.2748393950241604,0.3213115864192618
K-Means (11_random),0.1657677958742181,-0.1144939286268438,0.2472069222097241
K-Means (11_random),0.1172850066330638,-0.1974364094665969,0.1867201682525046
K-Means (22_lexico),-0.0839532671828218,-0.2939368847447281,0.2824162365431799
K-Means (22_lexico),-0.127426683029372,-0.3355235683357028,0.2641745098983021
K-Means (22_lexico),0.0582411707486045,-0.3674958506890509,0.2144425177108622
K-Means (22_lexico),-0.0865818201138779,-0.2253613277084908,0.2663776387499132
K-Means (22_lexico),0.1690222667791421,-0.1758290226826295,0.3447583260646415
K-Means (22_lexico),0.1138887805118591,-0.2755627748398168,0.2780748881779167
K-Means (22_lexico),0.0536572798139328,-0.3737518637347931,0.1430102260936703
K-Means (22_lexico),0.0847572873987434,-0.4356105372509468,0.1191065322396518
K-Means (22_lexico),0.0762614232226846,-0.294424710506704,0.1742254232924889
K-Means (22_lexico),0.2023352599661735,-0.3704064411039103,0.2691589160292192
K-Means (22_random),0.1119169143647068,-0.3360690265087267,0.1849640188830392
K-Means (22_random),0.094985340220686,-0.3243094464016601,0.1888291053645541
K-Means (22_random),0.1042396529947536,-0.201166512097594,0.3291071516017539
K-Means (22_random),-0.0575621335591314,-0.4183195568792509,0.083432677527042
K-Means (22_random),0.1633042037458926,-0.2805103617209334,0.277346986019659
K-Means (22_random),0.1121393743858112,-0.2111726699340155,0.2711968325076533
K-Means (22_random),0.2837495340461008,-0.1015349278617967,0.3656687963271507
K-Means (22_random),0.1420639480833609,-0.275664437359199,0.2753502046827474
K-Means (22_random),-0.0378407661691659,-0.4183195568792509,0.083432677527042
K-Means (22_random),0.0634906339511775,-0.2316728650148354,0.1865649293322372
Local Pivotal,0.3992984848809572,-0.1793600175088417,0.2427099544445722
Local Pivotal,-0.1886676475313466,-0.2617995998698365,0.1567726815052312
Local Pivotal,0.1049642725022794,-0.1382193489890694,0.1436537772541893
Local Pivotal,-0.0921384349660619,-0.133980780037044,0.228073514847374
Local Pivotal,0.2299410128121697,-0.1416269779107571,0.1495323442830611
Local Pivotal,0.1756443519683485,-0.317464887721534,0.1404928601396268
Local Pivotal,-0.329257463254116,-0.1768790490314748,0.1800641699096974
Local Pivotal,0.1196854053731417,-0.1306518845402263,0.1460504658201905
Local Pivotal,0.1477962609146084,-0.2324055629261319,0.2667980432828725
Local Pivotal,0.0701300584837606,-0.2427097978595267,0.1622599431978121
Random,0.0706416041564935,-0.1608150146630385,0.2990433010350902
Random,0.1725813133362631,-0.1503167449832341,0.2018811016681024
Random,-0.084764691345632,-0.1693645534625546,0.1962283205131994
Random,0.4219063296746298,0.0498186796446816,0.5013274776758019
Random,-0.2664155572777587,0.0640020480983105,0.4810565626585388
Random,-0.4242893036211129,0.0017325897267895,0.4824481042394299
Random,-0.6064960277892193,-0.0350404391015026,0.3243221462234039
Random,0.3375344247024229,0.0193010874217302,0.4206048348934201
Random,0.21680134871415,0.0417251941057413,0.2956974695529452
Random,-0.3766832663452788,0.0236707714670243,0.3168054690000775
UPmaxentropy,-0.4280325329200814,-0.150269729910804,0.2854185902642516
UPmaxentropy,0.369949667514614,0.000943322348598,0.3552001000627452
UPmaxentropy,-0.327282433775533,0.0829811364062406,0.3683684360931312
UPmaxentropy,-0.3308692227616551,-0.0482659780691695,0.2859138893544737
UPmaxentropy,0.342856529273614,-0.0638371597692003,0.2963612993895143
UPmaxentropy,0.1859620858941248,-0.2015280360160005,0.3159477075999379
UPmaxentropy,0.1371871375633222,-0.0771891909934682,0.2207405494773812
UPmaxentropy,-0.6021537871197173,0.1164276173827504,0.4342590800191281
UPmaxentropy,-0.545216264227569,0.0609567901234568,0.2914134105416828
UPmaxentropy,-0.4616457659999784,-0.1916986933289499,0.2382805556314355
Wave,0.1253314687611584,-0.3690974698688486,0.1591966365074248
Wave,0.4863565822316779,-0.2936170574998647,0.3217322248243939
Wave,0.1338164580069486,-0.3676656255310421,0.2205326330793305
Wave,-0.1197021686208844,-0.3185539768653062,0.1923662030289155
Wave,0.2514119613071836,-0.3714533761457405,0.2245871819066166
Wave,0.3045828741236034,-0.3419820832106585,0.2112509316257031
Wave,0.3231657951556084,-0.3830885683182808,0.2621011894123174
Wave,0.0900552828018282,-0.3525439993924593,0.1762514928490365
Wave,-0.2469619460839538,-0.3985844860663283,0.215856751777303
Wave,0.1196583664569263,-0.3798680656352624,0.2370830062946215
K-Means (11_lexico),0.4774009391024053,-0.2306279628292588,0.3440284338662722
K-Means (11_lexico),0.1033533172991602,-0.2636711434914957,0.1519214467037839
K-Means (11_lexico),-0.036691189789122,-0.1536132337793801,0.2964872109716991
K-Means (11_lexico),-0.3435791974861049,-0.1557206566619131,0.215568623776718
K-Means (11_lexico),0.1386228448858012,-0.1349333253027848,0.1564175985152359
K-Means (11_lexico),-0.0493334382308643,-0.168944215458142,0.1367006103224724
K-Means (11_lexico),-0.0824601570144858,-0.2665222183716021,0.2276591362280624
K-Means (11_lexico),0.2632564561945942,-0.2281094824443555,0.2954090449960364
K-Means (11_lexico),-0.1285057755701439,-0.3254309910215378,0.1616023037545799
K-Means (11_lexico),-0.2272577168580881,-0.1948529411764711,0.2397642136239479
K-Means (11_random),-0.0377972636004971,-0.1572045305133696,0.1552259367869988
K-Means (11_random),0.1991508111068864,-0.2481605804375642,0.1322427342255866
K-Means (11_random),0.2983583315679318,-0.1062676981683625,0.2573114731411191
K-Means (11_random),0.2657098076375858,-0.2275611792489704,0.2214704416850763
K-Means (11_random),0.1567989198666705,-0.1974364094665969,0.1867201682525046
K-Means (11_random),0.2443634296069117,-0.2731338287401815,0.2271981062302409
K-Means (11_random),0.1489976318136966,-0.1973299469836175,0.21723247492963
K-Means (11_random),0.5082283381280298,-0.2748393950241604,0.3213115864192618
K-Means (11_random),0.1657677958742181,-0.1144939286268438,0.2472069222097241
K-Means (11_random),0.1172850066330638,-0.1974364094665969,0.1867201682525046
K-Means (22_lexico),-0.0839532671828218,-0.2939368847447281,0.2824162365431799
K-Means (22_lexico),-0.127426683029372,-0.3355235683357028,0.2641745098983021
K-Means (22_lexico),0.0582411707486045,-0.3674958506890509,0.2144425177108622
K-Means (22_lexico),-0.0865818201138779,-0.2253613277084908,0.2663776387499132
K-Means (22_lexico),0.1690222667791421,-0.1758290226826295,0.3447583260646415
K-Means (22_lexico),0.1138887805118591,-0.2755627748398168,0.2780748881779167
K-Means (22_lexico),0.0536572798139328,-0.3737518637347931,0.1430102260936703
K-Means (22_lexico),0.0847572873987434,-0.4356105372509468,0.1191065322396518
K-Means (22_lexico),0.0762614232226846,-0.294424710506704,0.1742254232924889
K-Means (22_lexico),0.2023352599661735,-0.3704064411039103,0.2691589160292192
K-Means (22_random),0.1119169143647068,-0.3360690265087267,0.1849640188830392
K-Means (22_random),0.094985340220686,-0.3243094464016601,0.1888291053645541
K-Means (22_random),0.1042396529947536,-0.201166512097594,0.3291071516017539
K-Means (22_random),-0.0575621335591314,-0.4183195568792509,0.083432677527042
K-Means (22_random),0.1633042037458926,-0.2805103617209334,0.277346986019659
K-Means (22_random),0.1121393743858112,-0.2111726699340155,0.2711968325076533
K-Means (22_random),0.2837495340461008,-0.1015349278617967,0.3656687963271507
K-Means (22_random),0.1420639480833609,-0.275664437359199,0.2753502046827474
K-Means (22_random),-0.0378407661691659,-0.4183195568792509,0.083432677527042
K-Means (22_random),0.0634906339511775,-0.2316728650148354,0.1865649293322372
Local Pivotal,0.3992984848809572,-0.1793600175088417,0.2427099544445722
Local Pivotal,-0.1886676475313466,-0.2617995998698365,0.1567726815052312
Local Pivotal,0.1049642725022794,-0.1382193489890694,0.1436537772541893
Local Pivotal,-0.0921384349660619,-0.133980780037044,0.228073514847374
Local Pivotal,0.2299410128121697,-0.1416269779107571,0.1495323442830611
Local Pivotal,0.1756443519683485,-0.317464887721534,0.1404928601396268
Local Pivotal,-0.329257463254116,-0.1768790490314748,0.1800641699096974
Local Pivotal,0.1196854053731417,-0.1306518845402263,0.1460504658201905
Local Pivotal,0.1477962609146084,-0.2324055629261319,0.2667980432828725
Local Pivotal,0.0701300584837606,-0.2427097978595267,0.1622599431978121
Random,0.0706416041564935,-0.1608150146630385,0.2990433010350902
Random,0.1725813133362631,-0.1503167449832341,0.2018811016681024
Random,-0.084764691345632,-0.1693645534625546,0.1962283205131994
Random,0.4219063296746298,0.0498186796446816,0.5013274776758019
Random,-0.2664155572777587,0.0640020480983105,0.4810565626585388
Random,-0.4242893036211129,0.0017325897267895,0.4824481042394299
Random,-0.6064960277892193,-0.0350404391015026,0.3243221462234039
Random,0.3375344247024229,0.0193010874217302,0.4206048348934201
Random,0.21680134871415,0.0417251941057413,0.2956974695529452
Random,-0.3766832663452788,0.0236707714670243,0.3168054690000775
UPmaxentropy,-0.4280325329200814,-0.150269729910804,0.2854185902642516
UPmaxentropy,0.369949667514614,0.000943322348598,0.3552001000627452
UPmaxentropy,-0.327282433775533,0.0829811364062406,0.3683684360931312
UPmaxentropy,-0.3308692227616551,-0.0482659780691695,0.2859138893544737
UPmaxentropy,0.342856529273614,-0.0638371597692003,0.2963612993895143
UPmaxentropy,0.1859620858941248,-0.2015280360160005,0.3159477075999379
UPmaxentropy,0.1371871375633222,-0.0771891909934682,0.2207405494773812
UPmaxentropy,-0.6021537871197173,0.1164276173827504,0.4342590800191281
UPmaxentropy,-0.545216264227569,0.0609567901234568,0.2914134105416828
UPmaxentropy,-0.4616457659999784,-0.1916986933289499,0.2382805556314355
Wave,0.1253314687611584,-0.3690974698688486,0.1591966365074248
Wave,0.4863565822316779,-0.2936170574998647,0.3217322248243939
Wave,0.1338164580069486,-0.3676656255310421,0.2205326330793305
Wave,-0.1197021686208844,-0.3185539768653062,0.1923662030289155
Wave,0.2514119613071836,-0.3714533761457405,0.2245871819066166
Wave,0.3045828741236034,-0.3419820832106585,0.2112509316257031
Wave,0.3231657951556084,-0.3830885683182808,0.2621011894123174
Wave,0.0900552828018282,-0.3525439993924593,0.1762514928490365
Wave,-0.2469619460839538,-0.3985844860663283,0.215856751777303
Wave,0.1196583664569263,-0.3798680656352624,0.2370830062946215
