pop,method,n,rep,Density,IB,LocalBalance
clust_uneq,srs,8,1,-0.3959047484291438,-0.24867038679902315,0.3632791348675281
clust_uneq,srs,8,2,-0.5428288159299441,0.14159001339635835,10.480437102706311
clust_uneq,srs,8,3,0.10326647309476458,-0.06647582906386,1.4551199540315214
clust_uneq,srs,8,4,-0.22400681893984065,-0.20399902343516013,0.3355063934953734
clust_uneq,srs,8,5,-0.3998530745113171,-0.03753963199760647,1.3208543719563317
clust_uneq,srs,8,6,-0.6193969134096631,0.03888414838749638,1.5556227969317658
clust_uneq,srs,8,7,0.13242330057746585,-0.17846719637319952,2.9248826026891375
clust_uneq,srs,8,8,-0.21966474121356583,-0.20580085895991077,0.793539757313663
clust_uneq,srs,8,9,-0.28600047577422777,-0.0013177549352141465,0.3105286733623985
clust_uneq,srs,8,10,-0.3388267289008183,-0.16561184052665964,3.018758578387139
clust_uneq,srs,8,11,-0.3954536789929889,-0.009962323351892332,0.4559705662685511
clust_uneq,srs,8,12,-0.20391107714986662,-0.09979007310758738,0.9172933667382536
clust_uneq,srs,8,13,-0.2598933454380612,-0.09014865269388897,0.47540432403777616
clust_uneq,srs,8,14,-0.24085620239883515,-0.18609964904609635,0.3960979744771671
clust_uneq,srs,8,15,-0.3508719040968473,-0.03574056820682852,0.7729829415136436
clust_uneq,srs,8,16,-0.27916808223766953,-0.17993175078570212,2.0185590073802304
clust_uneq,srs,8,17,-0.16129521982121836,-0.2183682645994092,1.1024310577776046
clust_uneq,srs,8,18,-0.5899361542513871,-0.05225434272213049,3.6183913826091594
clust_uneq,srs,8,19,-0.20037652637559866,-0.05190222188141389,3.0460809639159017
clust_uneq,srs,8,20,-0.394753281846686,0.053819352110513724,3.176957733266374
clust_uneq,srs,8,21,-0.5278268182319628,0.09335672932079615,0.6524703077881236
clust_uneq,srs,8,22,-0.239212223879976,-0.11388937002559663,1.4900159338484968
clust_uneq,srs,8,23,-0.22993216314255394,-0.10664570449066418,2.5181798113006715
clust_uneq,srs,8,24,0.2517526514454853,-0.06706692604472685,10.408845267313444
clust_uneq,srs,8,25,0.11927455298598114,-0.01959339573384223,10.141882290256865
clust_uneq,srs,8,26,-0.4480114957503356,0.086023311815551,0.649274731043842
clust_uneq,srs,8,27,0.2744629077049342,0.01905815236493301,10.058782693418815
clust_uneq,srs,8,28,0.22767203521996843,-0.2191959986117463,1.3544348641849706
clust_uneq,srs,8,29,0.18676481364333308,-0.003419550977419067,3.0047877669822936
clust_uneq,srs,8,30,-0.13116065515973818,-0.0881877595845825,0.9283141859454462
clust_uneq,srs,8,31,0.044357607289219086,-0.09102221072270245,0.4079644264013628
clust_uneq,srs,8,32,-0.11219741790852855,-0.05615136143388688,0.5087064321935867
clust_uneq,srs,8,33,0.326234323590331,0.003692192688283139,1.5312773686649337
clust_uneq,srs,8,34,-0.3342869209962848,-0.1803714211915998,0.4648278581060365
clust_uneq,srs,8,35,0.22096707772877444,0.13257040081438115,0.4596147400144559
clust_uneq,srs,8,36,-0.7324119038369183,0.04138957462166018,10.255824816127234
clust_uneq,srs,8,37,-0.4638963122962283,0.04355662048153835,1.653483878227478
clust_uneq,srs,8,38,-0.5621509384721746,0.15565906655629225,0.5388935121028726
clust_uneq,srs,8,39,-0.377609602771709,-0.027284615101306753,1.1152497147616638
clust_uneq,srs,8,40,-0.5016237320926245,-0.08146444404286829,0.49341203086572133
clust_uneq,srs,8,41,-0.46300606292278035,0.018682792147583383,0.7994534674576548
clust_uneq,srs,8,42,0.15613594923979196,0.008315565965849665,0.5921220133993502
clust_uneq,srs,8,43,-0.4738531592547434,-0.050516033497041826,3.021683712997791
clust_uneq,srs,8,44,-0.2560770938552549,-0.14708415844738398,1.6819624959819792
clust_uneq,srs,8,45,-0.33511453941508074,-0.04107612826918962,0.6775677101955819
clust_uneq,srs,8,46,0.2729934042254687,-0.04561746031282361,1.5601837920533381
clust_uneq,srs,8,47,0.3283107328321235,0.03898855776261535,1.5850228989971193
clust_uneq,srs,8,48,-0.5075349616005339,-0.1305391987630006,10.562740133236861
clust_uneq,srs,8,49,-0.4476251734458795,-0.15729455812681983,0.50251683474489
clust_uneq,srs,8,50,-0.24626208361626828,-0.12014195044338531,1.3270125532405905
clust_uneq,srs,8,51,0.23863654489671696,-0.08379762995368681,0.3854437238398864
clust_uneq,srs,8,52,-0.32569589738933036,-0.1667677795184241,1.8981468504587313
clust_uneq,srs,8,53,-0.4134031973067246,0.05376456790484535,1.3232352824945155
clust_uneq,srs,8,54,-0.3603971745149467,0.026136289213411594,1.5987879451986422
clust_uneq,srs,8,55,0.10137528178226277,0.10719062864382504,0.34336286515185516
clust_uneq,srs,8,56,-0.7058096623738551,-0.030553375507635924,7.142974765320623
clust_uneq,srs,8,57,-0.8053497114022921,0.055933075602330434,0.7644169996881902
clust_uneq,srs,8,58,-0.16420888082416984,-0.07942524725573234,1.5244833471238801
clust_uneq,srs,8,59,0.22995280276925173,0.05878566769546837,1.3990259943624135
clust_uneq,srs,8,60,-0.31263878805896383,0.11221354924254741,0.5421812248574489
clust_uneq,srs,8,61,-0.18461824487563736,0.008687396841318924,0.5232320671552603
clust_uneq,srs,8,62,-0.34918575172800764,-0.06217988082627878,0.3678016684678841
clust_uneq,srs,8,63,-0.24159524162350798,-0.09901927744006811,0.37435048674941823
clust_uneq,srs,8,64,-0.10066899376873492,-0.04696856330436523,4.680299036072881
clust_uneq,srs,8,65,-0.44212449219655015,-0.0764320133191653,5.052106710164159
clust_uneq,srs,8,66,-0.1477278765714942,0.024499331215983876,2.1160002513832703
clust_uneq,srs,8,67,-0.5730119696635791,0.015359152219874609,0.6813689268870989
clust_uneq,srs,8,68,-0.36955261964567404,0.012944545425390542,10.462977394583895
clust_uneq,srs,8,69,-0.41977157493062034,-0.08677134147407918,1.5868700889600649
clust_uneq,srs,8,70,-0.3432555973061009,-0.11487337103271757,2.0139206507341045
clust_uneq,srs,8,71,0.1365133542217604,0.00464225450974099,1.4306793030066105
clust_uneq,srs,8,72,0.2344238154461366,-0.11926349023393193,2.9284239631695703
clust_uneq,srs,8,73,-0.27939985334672973,-0.1841493624609677,0.4629830272229706
clust_uneq,srs,8,74,-0.18495036198363335,-0.19139191526205535,0.9710778764624205
clust_uneq,srs,8,75,-0.30070241624714206,-0.14830779474637085,3.645922152694905
clust_uneq,srs,8,76,-0.34701185385312483,-0.11393792556151877,0.7132544332398354
clust_uneq,srs,8,77,-0.09553939908095047,0.051071957747641915,0.29912739772184394
clust_uneq,srs,8,78,-0.6004134777480923,0.037776815892223245,0.697070830771583
clust_uneq,srs,8,79,-0.37865721663978286,-0.017195472338773495,2.93020383421788
clust_uneq,srs,8,80,-0.2666712292742031,-0.15958850000523997,0.44030911737701295
clust_uneq,srs,8,81,-0.11303499761105915,-0.10277165693876487,10.211586126696405
clust_uneq,srs,8,82,0.06815445456126847,-0.2376383004684939,0.45303767399762107
clust_uneq,srs,8,83,0.1285634600106702,-0.06624780101391056,1.7936913228307114
clust_uneq,srs,8,84,0.19994157347685146,-0.2897491537426484,1.4253906876228213
clust_uneq,srs,8,85,-0.10684417990245051,-0.021401453535402685,0.5459946038656016
clust_uneq,srs,8,86,-0.24918139361724234,-0.24381792196570712,0.8519393211677005
clust_uneq,srs,8,87,-0.31965983577352913,-0.23095605663366992,7.1546877538847875
clust_uneq,srs,8,88,-0.34551941964494143,0.021061199632683023,0.2715302848666958
clust_uneq,srs,8,89,-0.5301552590210458,0.12340643232496822,10.39386187065069
clust_uneq,srs,8,90,0.2090077636165838,-0.1079586326299583,0.16206426002174795
clust_uneq,srs,8,91,-0.568600103940365,0.049140416071974884,0.6215350549051364
clust_uneq,srs,8,92,0.2308659999973876,-0.05741370802323744,10.309201327250499
clust_uneq,srs,8,93,-0.45885067369630955,0.36658395728403936,0.6365567911896732
clust_uneq,srs,8,94,-0.207253410967991,0.1059727734918771,0.3228241325049147
clust_uneq,srs,8,95,-0.33673960595723984,-0.029559341565992672,0.4703572568432471
clust_uneq,srs,8,96,0.3240084193354408,-0.07795392429723227,1.5038999781757427
clust_uneq,srs,8,97,-0.4065089069214002,-0.04777839231938437,0.7761250185173116
