"V1","V2","V3","V4"
74,59,84,46
33,90,47,30
47,37,33,83
14,35,61,77
46,67,9,59
59,82,22,93
71,35,9,85
71,12,91,62
31,37,63,36
99,22,12,64
80,34,20,11
51,25,94,32
41,91,65,23
93,98,82,56
12,93,67,13
90,2,37,11
63,31,3,86
41,59,79,2
69,21,55,91
53,30,28,33
99,13,46,5
12,2,54,58
24,80,94,9
15,8,9,89
71,82,8,1
92,49,85,51
16,2,82,64
88,53,67,17
3,70,27,7
84,95,55,36
90,15,43,28
70,74,72,23
22,85,34,73
36,15,33,70
44,16,14,21
51,70,93,91
93,77,90,29
20,21,89,56
35,72,73,66
72,63,51,93
20,94,14,60
49,58,81,89
82,94,49,29
99,40,23,97
78,83,92,15
21,80,27,3
78,7,28,32
21,64,7,29
80,13,53,47
52,54,36,30
73,59,26,19
19,88,95,9
83,13,17,65
60,2,68,24
73,41,70,76
64,59,9,50
88,80,73,11
23,70,73,21
32,39,38,19
90,29,7,28
55,75,5,83
21,14,91,44
47,29,12,82
81,14,87,79
82,66,39,16
21,20,51,29
40,3,13,27
30,71,81,72
8,86,15,49
38,70,20,19
90,32,69,18
23,62,66,58
84,64,72,29
19,75,22,51
94,71,99,37
82,16,40,93
36,57,81,49
34,47,58,37
62,49,14,29
78,21,48,12
29,20,36,95
29,65,13,25
60,18,2,33
24,88,23,34
46,63,97,19
53,45,3,12
70,74,6,96
25,60,72,11
2,54,33,12
18,76,77,87
89,59,63,10
36,59,41,65
12,16,100,39
62,77,27,15
33,97,17,37
44,75,93,16
45,99,10,69
10,46,15,87
98,68,94,93
49,59,71,21
18,7,73,37
21,76,35,16
23,11,1,82
10,62,86,79
81,67,75,36
56,76,85,13
74,99,62,81
33,61,31,84
79,78,93,58
15,92,96,46
86,76,68,81
73,35,9,87
25,54,83,82
98,41,39,31
56,46,19,47
15,29,66,34
37,95,9,52
34,23,64,37
77,39,14,78
33,82,20,53
47,53,43,87
41,68,56,92
21,48,63,34
88,18,66,20
18,99,81,30
30,5,93,78
46,31,60,4
13,82,84,57
23,1,35,63
96,73,85,47
68,40,51,98
48,91,45,95
54,92,68,29
53,39,22,74
89,54,12,15
7,9,69,8
59,49,35,77
54,20,28,32
18,92,82,40
34,18,83,24
87,6,84,45
86,83,88,59
86,48,35,100
52,86,59,20
37,46,63,12
61,37,67,17
28,7,47,69
63,61,25,21
88,73,98,87
34,71,44,20
41,58,74,98
53,96,48,41
32,19,81,27
97,37,25,45
64,45,87,74
100,23,48,92
95,12,28,33
63,7,2,83
21,64,55,32
8,2,54,78
91,6,73,88
3,51,98,73
14,76,30,26
69,75,99,54
72,58,90,76
59,11,18,22
8,45,51,52
99,38,18,97
92,62,17,6
19,5,17,42
87,84,72,74
62,72,98,80
18,12,99,70
64,7,56,89
19,29,45,93
91,71,66,83
15,81,32,26
89,62,12,83
40,57,23,26
31,67,25,84
58,86,89,45
39,11,32,43
13,55,41,51
16,83,32,17
92,86,33,30
16,35,58,8
89,81,19,54
11,43,7,98
44,28,69,20
33,25,1,49
12,82,29,17
22,43,8,83
9,69,60,62
2,38,63,91
51,98,40,91
23,10,60,92
59,58,83,37
96,48,66,65
34,79,21,96
58,89,3,85
96,85,77,17
48,23,59,50
51,55,3,77
66,52,32,50
6,49,44,21
7,95,71,44
55,85,46,10
57,45,88,43
33,94,42,72
51,25,20,4
49,25,51,89
8,17,86,16
43,17,53,81
71,57,17,33
78,86,27,15
86,88,44,92
66,94,98,58
83,71,77,94
9,84,17,12
28,10,96,16
68,88,37,99
53,78,48,95
70,14,74,91
72,93,100,54
86,48,90,96
22,63,87,29
62,25,39,53
72,48,83,13
5,34,81,45
68,11,43,98
38,60,17,25
50,43,34,6
14,34,44,57
53,2,1,9
78,37,40,55
35,61,93,64
12,21,99,95
16,85,50,87
15,38,61,66
59,36,25,69
31,9,56,3
15,9,70,36
88,48,61,2
12,57,5,62
85,2,57,48
12,24,67,55
23,79,93,17
56,52,92,39
27,31,12,50
87,5,80,35
48,52,28,30
8,86,68,22
11,1,50,39
76,48,38,79
99,74,32,84
11,80,17,42
45,16,55,2
68,80,83,62
91,17,100,36
71,80,38,92
97,49,59,30
73,63,54,7
25,58,45,54
20,89,25,18
56,90,29,94
53,40,25,55
71,26,98,47
57,67,21,6
38,26,31,50
5,51,65,79
75,24,92,38
62,89,29,47
58,69,6,80
100,35,48,68
27,51,86,94
64,77,38,37
86,25,45,75
75,59,89,39
73,8,23,60
34,6,99,67
77,35,28,58
12,38,28,83
81,51,63,29
70,86,67,76
3,93,6,46
39,34,59,54
23,56,18,20
98,100,21,94
46,14,59,49
24,69,59,23
32,17,37,22
19,26,40,14
78,41,99,4
51,20,96,41
36,45,50,24
23,64,55,27
22,70,52,98
44,94,4,71
84,97,38,30
59,86,51,88
55,5,97,76
42,13,56,6
44,76,20,19
69,57,40,79
48,9,95,8
70,16,50,41
11,66,48,67
66,45,39,16
89,85,80,66
77,13,19,87
76,96,28,99
83,24,44,21
32,92,93,26
22,99,3,47
27,80,22,30
61,99,77,93
4,51,94,52
51,28,6,78
27,34,33,95
59,48,45,18
21,40,27,49
73,32,46,18
49,27,31,58
74,55,14,68
4,44,86,45
74,4,75,37
94,16,43,77
27,88,82,8
73,18,92,39
95,68,90,66
35,96,73,3
43,21,46,82
76,24,49,66
81,97,63,65
76,54,12,64
24,100,52,77
1,52,92,8
24,27,63,42
34,84,26,68
44,50,86,65
50,73,42,21
48,50,7,31
89,49,68,27
9,37,44,92
87,7,49,55
6,43,52,7
79,36,97,93
44,86,20,21
97,6,9,38
39,86,37,97
30,46,94,2
29,22,38,14
50,37,31,36
7,28,57,61
2,73,49,64
84,10,60,99
40,30,41,29
82,25,60,75
55,81,3,84
5,58,40,81
79,71,26,43
11,27,83,97
90,100,84,8
26,90,4,77
56,64,90,51
98,17,34,71
71,30,32,28
8,92,23,10
8,13,89,19
15,58,50,84
95,74,30,90
92,84,49,38
44,49,57,20
97,22,68,94
91,12,86,7
29,75,89,88
9,100,70,49
20,100,15,86
80,24,26,12
75,89,80,97
95,54,91,52
94,45,16,29
98,84,26,76
89,86,67,47
39,88,10,21
66,93,44,51
91,59,68,29
14,29,30,16
83,34,35,13
30,7,4,85
17,47,74,90
31,59,95,21
48,57,71,45
43,49,20,12
22,87,81,44
96,92,7,54
32,84,78,29
56,78,64,22
25,53,62,83
39,34,12,59
79,11,25,40
99,6,72,89
75,86,28,24
1,87,48,23
74,1,83,57
61,38,62,81
3,14,62,16
54,75,59,100
94,28,72,41
83,14,79,63
6,53,87,5
52,66,40,29
85,26,61,87
48,39,32,91
8,15,27,24
63,62,60,34
54,86,17,8
50,9,19,82
73,34,22,28
92,49,19,14
81,6,15,69
14,79,89,73
43,84,39,35
64,16,50,82
90,54,52,53
24,67,36,16
77,91,75,16
6,92,63,29
24,78,59,65
57,1,100,50
51,76,49,22
65,93,57,64
78,47,5,82
63,27,87,34
97,23,13,69
50,29,17,64
94,59,17,38
52,44,31,40
48,79,1,22
34,39,79,13
43,18,11,79
41,90,99,18
46,91,54,7
33,6,43,69
38,56,32,95
36,18,84,69
34,74,82,16
98,79,44,10
99,78,19,18
17,100,28,15
60,81,33,95
29,67,19,53
91,17,47,38
11,35,31,30
40,18,63,38
2,57,83,18
8,13,55,63
39,96,22,13
78,84,27,16
12,96,50,76
57,61,71,46
32,63,70,94
37,47,41,12
61,18,64,56
42,34,83,1
86,40,93,94
56,24,68,7
78,37,81,96
64,5,83,29
69,91,92,57
54,5,25,65
30,48,90,96
71,79,83,76
91,89,100,99
28,59,11,57
19,41,72,65
87,55,47,25
10,73,42,17
38,4,30,56
9,26,43,63
17,24,47,14
52,21,90,100
86,85,32,26
55,79,36,80
93,49,87,43
68,27,57,59
41,72,78,61
10,5,38,54
34,99,63,77
77,53,81,84
60,71,68,62
11,53,69,85
53,22,98,9
13,98,77,3
2,32,88,63
85,93,50,52
88,21,100,51
37,70,69,71
64,92,49,22
43,60,30,68
94,43,77,50
15,75,56,55
80,31,51,24
81,94,7,61
31,19,13,21
70,98,6,32
11,93,7,38
48,27,44,70
31,81,38,15
22,75,68,88
86,38,62,32
67,8,88,35
12,64,1,66
42,14,19,95
45,33,91,32
64,62,92,71
12,73,38,6
9,61,76,56
72,61,49,82
52,48,81,2
58,80,78,55
39,8,74,18
35,99,96,31
3,2,69,66
55,64,83,25
3,30,71,94
95,8,97,45
19,25,52,73
22,47,2,30
68,59,100,92
82,35,97,81
21,17,50,47
1,74,83,78
27,19,22,97
33,38,66,54
39,80,82,83
22,51,11,43
23,81,14,64
45,93,28,7
52,16,1,14
32,37,76,80
52,12,48,31
43,42,49,24
36,73,4,21
24,70,6,82
15,10,30,76
14,86,3,1
11,74,96,27
66,83,6,30
61,50,33,58
80,5,96,97
4,44,90,93
56,64,60,87
21,88,62,49
82,94,95,68
63,10,16,8
32,16,44,69
76,12,87,44
6,25,75,66
96,13,5,31
46,72,51,16
27,15,48,82
38,37,84,92
92,91,18,68
99,22,60,71
87,35,31,74
49,78,68,10
51,35,32,49
21,52,34,50
87,15,57,76
43,13,83,82
35,50,27,54
87,32,58,28
56,22,77,67
10,91,68,18
14,5,83,47
21,87,28,31
19,32,2,50
100,11,98,61
68,98,33,57
17,3,65,9
39,15,7,24
3,30,26,95
15,68,17,50
85,76,86,33
52,18,34,62
66,13,70,62
21,24,29,16
12,3,77,78
73,42,76,53
3,83,21,16
54,74,1,29
80,43,9,69
29,42,89,63
89,44,68,35
49,51,2,75
64,100,33,27
88,73,52,59
55,23,93,64
64,89,41,98
58,29,62,44
54,7,86,46
92,62,54,23
46,93,98,1
28,57,21,60
26,33,99,61
27,69,67,97
17,74,72,27
40,86,74,8
90,40,1,6
69,65,3,95
93,28,62,50
23,7,9,55
61,63,59,19
100,41,92,29
90,76,51,13
81,20,25,95
26,70,13,54
63,20,33,53
23,88,58,65
88,90,73,98
60,76,88,52
24,63,91,61
18,88,37,80
42,30,54,28
61,31,42,97
11,44,75,36
47,58,94,49
94,62,16,70
26,1,8,10
30,14,17,58
81,40,89,43
15,46,3,18
79,64,1,51
59,47,38,30
61,7,75,81
5,39,34,30
71,70,18,22
52,37,14,57
24,88,75,85
64,14,3,84
74,13,91,28
45,7,79,90
17,64,68,38
19,27,79,25
41,78,61,82
77,7,12,29
56,75,72,87
44,64,54,80
9,7,92,74
69,76,12,80
96,76,94,57
9,70,51,86
53,52,65,84
47,48,79,94
29,83,72,60
13,95,5,47
17,40,79,51
84,74,43,39
2,82,33,10
48,64,96,80
48,91,70,21
55,82,94,52
88,85,3,91
36,16,2,27
29,72,46,5
30,50,58,95
74,47,97,26
70,38,24,90
28,84,14,100
69,73,90,46
22,1,72,65
10,34,85,38
68,54,15,18
97,54,21,7
21,40,5,22
72,89,100,99
73,77,4,2
77,74,14,45
11,34,48,66
45,7,43,15
16,25,79,94
71,28,33,34
