"V1","V2","V3","V4","V5","V6","V7","V8"
22,71,50,100,64,40,90,18
6,90,99,39,35,89,100,46
53,65,11,17,57,79,18,39
44,32,13,48,67,74,94,21
68,35,3,100,46,42,91,38
56,85,45,91,27,23,24,57
75,45,46,10,81,15,72,2
73,71,5,36,47,53,43,35
51,77,3,83,74,98,100,46
94,84,61,45,41,90,22,14
97,25,22,59,14,30,18,12
15,55,35,14,69,51,99,12
48,44,64,1,41,95,83,70
15,8,90,11,1,26,82,100
70,26,14,15,61,19,46,35
62,56,100,53,69,93,29,35
87,9,78,40,35,17,27,75
18,47,87,37,59,66,17,69
100,86,49,78,48,18,9,66
33,88,37,64,50,45,14,59
77,70,10,15,16,26,56,29
97,64,44,51,27,35,68,16
99,12,96,22,77,54,89,8
3,40,61,93,27,49,50,66
75,19,48,90,31,100,70,80
4,28,35,94,79,51,65,87
31,24,7,15,22,93,39,36
81,62,3,69,98,42,41,5
7,24,43,68,21,22,82,53
88,66,55,27,79,19,86,11
40,57,75,39,7,62,44,85
60,35,56,62,15,22,16,86
39,74,42,16,83,10,18,68
26,15,16,77,4,22,1,5
47,17,12,48,94,30,64,100
91,10,7,33,73,41,39,23
11,61,39,1,49,58,91,33
48,41,28,6,61,37,18,96
98,94,30,81,47,37,72,91
10,78,95,53,98,67,11,72
2,92,90,67,28,58,45,49
84,24,49,16,11,58,75,50
69,10,96,49,63,50,30,19
48,61,34,7,3,95,23,74
98,39,62,12,83,55,3,23
13,92,10,96,12,44,28,89
2,8,37,86,12,36,47,55
77,15,43,51,56,91,31,26
71,61,11,72,21,18,22,67
18,12,29,87,13,1,58,16
37,73,11,75,85,49,90,62
32,38,19,93,81,15,60,73
40,99,98,18,38,64,3,5
21,52,69,100,58,77,34,94
63,28,97,70,44,68,71,99
5,13,15,16,96,36,20,44
2,99,61,53,6,13,73,41
25,32,50,2,33,52,26,92
43,36,92,73,75,35,48,22
14,19,72,29,25,24,61,83
15,20,3,95,55,68,79,88
88,73,85,13,89,52,34,74
40,78,25,83,76,32,45,54
68,91,83,29,71,25,39,31
23,90,50,17,61,10,83,95
36,60,65,98,31,20,18,71
34,36,72,60,63,89,20,49
14,73,35,79,75,31,65,5
46,24,21,60,52,19,66,20
39,55,68,87,99,74,69,25
72,81,2,18,38,67,47,97
91,89,20,88,58,10,64,47
4,9,12,38,77,31,71,70
80,29,10,99,92,55,1,52
78,68,44,45,58,83,80,82
78,27,94,55,44,62,65,8
65,2,16,39,60,79,36,47
53,51,83,58,93,63,26,79
94,30,28,41,45,29,92,99
1,26,23,18,79,99,36,75
46,70,88,45,26,50,81,16
11,6,57,29,38,70,76,43
8,37,45,21,26,92,12,33
34,10,76,78,53,91,37,33
46,31,57,12,23,30,15,100
96,49,58,74,80,60,72,47
52,45,76,93,85,8,44,7
38,81,74,76,68,9,42,78
76,44,72,33,82,71,89,22
75,5,62,76,33,53,48,13
16,58,5,48,40,24,6,72
4,62,85,15,99,52,91,29
19,82,47,63,54,95,15,4
92,46,96,80,1,78,43,18
49,40,58,69,56,4,76,63
88,87,81,51,80,100,98,41
5,19,97,38,93,55,47,98
94,15,13,66,91,86,80,34
72,73,81,88,13,86,76,8
66,36,53,87,69,71,27,77
8,1,81,33,87,75,37,56
8,29,67,33,52,28,100,40
47,2,90,86,41,7,5,94
7,45,12,25,46,2,92,8
33,52,85,73,80,61,71,2
52,99,74,21,54,55,19,87
22,33,91,56,17,62,30,64
43,26,78,21,98,80,11,18
54,66,38,35,23,27,60,29
23,81,27,48,65,95,72,2
71,41,72,82,40,75,5,56
31,50,62,84,7,46,17,79
63,6,88,89,76,51,4,34
5,76,2,82,6,9,64,92
64,61,96,95,55,83,24,14
69,79,98,12,5,17,45,66
40,31,75,66,68,87,83,27
3,64,82,27,38,49,76,59
45,87,81,38,44,78,63,72
84,92,88,76,96,62,12,78
70,51,13,56,1,23,46,3
7,66,31,36,5,22,77,57
58,16,83,70,19,8,32,9
57,85,39,9,75,8,43,94
59,23,17,75,21,29,86,99
80,38,26,19,54,99,91,18
20,36,13,59,10,49,70,6
96,13,61,28,50,68,3,84
80,10,35,15,67,93,98,50
80,86,31,40,18,61,52,95
36,11,70,98,85,79,76,41
46,73,13,43,80,78,32,40
15,96,23,24,52,80,100,63
29,84,98,18,13,24,97,7
39,77,32,66,1,49,59,87
33,14,44,13,89,73,11,9
22,80,24,71,100,4,77,49
30,86,33,78,63,25,6,58
92,50,31,33,100,14,98,6
30,46,57,84,79,81,96,70
33,40,86,47,68,93,14,70
22,72,94,46,11,36,79,5
35,23,81,43,37,80,94,21
79,75,69,3,36,67,42,59
9,96,16,8,18,6,71,80
53,40,82,68,49,61,66,94
