"V1","V2","V3","V4"
82,68,2,78
33,77,32,96
27,96,36,99
68,70,94,17
26,2,44,19
23,14,19,61
76,81,17,59
46,26,10,7
96,85,72,53
89,76,56,25
13,55,7,39
95,12,68,66
41,2,47,82
13,24,89,29
68,72,5,18
32,62,26,87
46,41,94,90
22,5,70,45
11,91,82,72
7,76,40,6
89,83,88,62
40,36,78,20
94,34,1,67
56,66,69,22
58,8,39,81
51,84,59,42
61,28,68,90
26,29,50,79
53,71,5,42
38,91,52,59
3,71,58,61
100,60,87,78
11,42,33,30
88,91,97,51
44,81,71,49
54,1,59,89
98,69,63,90
49,65,14,44
2,61,64,38
66,48,52,17
79,74,28,69
72,57,94,50
72,8,79,11
3,28,86,37
14,71,19,3
39,46,41,22
86,61,31,91
45,91,40,55
17,14,54,94
29,28,62,64
68,47,85,34
34,88,96,1
27,14,88,91
13,44,99,8
38,100,39,41
45,64,32,9
33,41,32,5
27,54,83,85
24,64,13,17
72,80,71,34
61,9,16,1
44,88,41,50
67,39,77,79
60,93,94,52
56,16,38,31
46,40,37,33
2,26,1,82
56,85,26,63
6,12,33,85
41,55,13,29
92,59,65,71
98,6,15,49
90,68,78,18
33,57,77,67
59,10,44,87
88,52,40,24
24,83,84,69
11,76,14,43
79,35,52,42
56,89,30,32
72,18,54,41
9,92,36,91
78,47,26,71
35,61,63,38
70,50,90,33
51,3,30,20
30,71,17,12
25,80,68,34
51,50,17,31
97,5,48,79
40,96,3,8
39,100,62,95
34,54,38,73
15,87,17,100
84,16,39,33
27,49,42,70
37,62,66,87
38,70,59,23
42,11,51,9
48,96,1,40
79,7,73,4
34,21,6,98
39,49,88,89
37,36,7,16
81,45,10,98
17,6,60,88
73,95,8,70
7,16,32,59
50,84,18,32
64,13,24,89
38,94,10,60
77,94,96,99
31,100,37,25
2,37,47,8
76,5,3,87
15,32,92,82
16,51,63,95
30,63,52,60
36,18,85,86
89,65,24,99
30,34,5,12
52,38,53,60
84,72,93,22
72,76,11,58
64,94,72,67
19,33,91,62
5,26,87,69
55,93,14,83
96,45,55,35
19,52,23,95
83,15,47,85
45,72,28,83
62,31,11,18
34,60,83,4
8,20,10,64
39,26,50,18
95,11,99,65
17,95,45,59
69,14,17,75
85,39,7,97
31,44,29,8
86,16,59,36
39,44,77,36
33,35,46,69
2,28,57,64
5,46,32,61
50,79,43,87
62,40,48,2
64,52,94,44
35,64,3,25
9,51,77,55
83,84,66,41
52,29,3,50
31,2,21,92
45,6,97,13
36,85,11,10
31,16,28,40
42,100,73,81
77,21,41,30
88,98,20,44
61,60,89,81
41,43,76,79
47,84,89,37
25,50,21,2
1,69,76,10
85,77,36,94
73,89,99,43
67,3,32,92
71,57,12,30
95,63,28,52
91,55,25,93
99,3,1,40
45,26,64,3
5,98,84,63
12,37,13,39
46,76,95,89
23,79,4,2
62,4,72,78
73,97,6,58
32,83,20,14
99,32,4,38
53,19,92,29
20,42,56,75
24,85,27,49
70,35,41,100
71,64,82,67
10,34,68,66
96,73,99,47
38,49,8,46
80,48,41,70
37,9,57,20
40,95,25,57
15,4,32,41
20,92,52,36
76,64,79,24
45,90,68,31
42,16,8,83
95,98,93,92
16,15,65,94
50,69,76,13
44,21,100,41
11,71,65,68
81,27,73,3
91,51,10,78
69,78,14,89
95,78,4,52
51,65,14,11
55,24,40,75
8,27,64,41
56,10,27,9
27,26,4,12
13,70,43,41
66,53,51,7
7,89,56,87
70,68,87,98
50,78,84,43
32,9,51,26
23,76,37,29
12,86,91,64
20,60,35,81
36,5,49,91
35,41,54,91
87,7,51,83
58,70,9,23
12,89,91,42
28,29,78,87
24,52,15,46
93,3,22,5
69,46,60,51
54,89,10,72
20,4,61,27
10,75,32,6
37,51,3,87
54,89,1,66
55,65,22,31
49,46,64,43
75,14,93,78
34,7,83,25
5,23,53,28
61,17,94,27
18,98,4,34
54,3,29,31
45,27,24,61
12,87,60,37
34,3,2,76
89,7,63,61
72,8,40,68
52,13,47,65
26,40,53,29
56,37,95,20
53,8,76,61
75,55,31,56
32,67,66,1
54,25,64,91
92,62,32,53
58,69,21,97
13,77,85,9
63,40,6,24
52,4,6,71
82,11,12,86
96,40,51,33
53,77,18,3
17,82,100,37
57,24,69,42
15,1,26,64
35,91,85,83
1,59,92,30
59,15,34,13
2,72,94,74
33,85,44,50
46,28,33,47
14,59,56,13
12,64,55,15
17,16,60,65
67,6,32,12
6,12,20,63
46,32,1,66
57,15,19,65
7,70,53,31
73,65,32,61
78,32,22,58
34,59,10,75
35,42,51,93
71,54,3,7
92,63,14,75
5,52,2,92
86,57,14,27
5,32,56,87
100,59,96,58
79,7,23,11
26,27,77,7
21,66,30,92
86,44,99,28
71,37,4,76
9,14,26,51
89,60,44,70
62,98,37,86
26,83,11,99
9,50,94,20
12,48,19,27
90,20,40,72
2,65,64,98
87,97,18,13
94,55,39,41
78,97,93,28
17,48,40,30
7,52,96,14
26,76,56,11
13,25,79,78
89,78,25,12
5,14,63,71
35,30,80,14
79,84,69,28
64,63,40,52
98,16,48,59
91,83,21,50
100,87,62,14
53,66,77,79
30,8,1,39
63,99,2,76
16,11,71,91
47,71,13,26
21,18,15,51
92,39,88,70
34,38,93,16
95,73,97,86
29,36,23,83
19,17,42,6
5,81,65,46
56,82,14,51
42,83,63,88
36,6,84,99
5,74,99,7
18,13,20,66
59,55,38,45
93,63,79,40
98,42,63,19
49,74,23,7
55,42,71,91
26,40,33,100
43,96,14,51
98,78,76,53
8,17,11,44
4,55,25,53
44,26,96,73
100,88,70,26
97,19,31,48
3,31,45,75
57,23,97,81
98,8,43,52
33,12,2,23
52,31,53,58
15,39,92,40
98,72,8,47
87,60,9,42
25,41,17,84
6,44,8,15
69,15,71,35
28,37,11,43
63,96,23,57
83,95,99,90
6,72,98,51
24,64,43,4
81,96,41,72
65,67,100,92
39,84,28,74
79,62,4,16
7,83,97,31
49,60,38,96
45,53,40,92
52,24,62,46
33,82,51,59
93,22,40,59
72,56,76,62
34,58,64,5
51,99,32,21
69,59,38,49
7,49,13,62
29,96,8,87
86,94,90,41
60,14,78,87
40,37,67,9
34,93,67,95
63,93,29,44
71,63,65,66
44,26,9,91
90,82,39,16
12,41,97,88
75,85,63,17
60,55,1,93
66,49,12,16
100,66,53,4
70,66,60,27
14,87,53,26
94,24,18,66
79,71,20,22
2,70,90,32
37,69,5,29
73,21,59,53
95,85,32,41
51,94,43,32
84,6,31,45
9,48,78,92
28,35,97,90
50,17,87,95
19,31,52,14
48,35,36,4
23,9,89,70
7,29,61,97
48,51,52,14
7,22,21,33
39,85,28,64
57,12,32,62
56,98,21,32
7,77,53,87
11,67,34,48
14,2,41,98
10,86,8,3
12,8,93,66
82,92,71,13
94,22,70,4
86,35,4,28
61,90,20,40
68,98,1,65
63,39,49,87
32,23,5,95
3,1,38,57
94,10,6,73
44,70,53,61
99,8,7,62
70,62,22,20
20,88,9,36
99,58,62,27
23,58,81,21
4,8,30,26
54,65,42,13
26,13,62,30
57,26,4,97
88,74,46,81
47,27,68,3
68,70,18,66
20,11,19,41
44,96,56,33
10,95,44,25
52,23,16,21
53,52,49,1
69,22,37,76
88,85,25,66
100,7,61,79
57,34,83,65
20,82,69,63
68,92,26,52
49,37,64,12
13,34,58,71
56,32,47,4
55,87,77,75
61,2,62,32
16,86,88,13
15,87,4,27
72,10,44,99
53,59,69,13
29,83,89,34
85,82,38,3
83,30,42,6
35,31,85,24
69,2,92,46
55,97,42,39
31,85,33,12
11,93,47,75
11,5,93,88
31,1,85,5
2,54,45,4
6,13,26,97
66,41,68,9
18,93,12,28
33,87,34,22
61,19,46,73
79,40,39,8
31,78,49,85
8,20,74,100
37,75,98,83
61,8,18,51
92,73,57,83
54,10,71,35
80,63,10,83
66,3,89,88
4,29,38,5
49,17,28,7
19,50,71,83
35,73,20,19
97,21,54,1
12,43,8,18
59,55,14,61
10,100,84,8
33,26,7,88
54,8,76,26
59,46,55,66
3,94,89,75
94,31,56,77
50,96,16,58
35,67,32,26
64,66,37,49
98,49,87,90
1,69,85,4
61,72,5,95
91,85,40,1
87,6,46,48
53,34,66,38
45,86,49,23
99,54,87,27
31,46,97,94
38,28,81,78
36,19,94,18
4,60,20,14
43,41,91,63
33,15,73,66
96,69,53,31
39,84,23,8
45,51,90,7
40,1,3,38
72,81,32,69
24,80,84,96
20,78,59,87
2,20,34,67
47,61,65,91
52,6,19,5
43,100,4,19
14,72,30,44
48,19,50,9
71,30,85,31
63,17,3,86
88,95,15,14
53,93,13,46
47,97,73,30
80,48,17,23
98,32,71,80
61,36,10,86
53,15,61,100
84,20,9,70
27,10,3,81
70,34,80,71
89,80,28,49
69,85,82,8
21,59,79,4
61,96,81,33
55,34,14,4
69,53,2,62
4,10,79,24
24,11,57,76
35,6,24,96
53,65,75,96
41,43,94,19
84,62,60,42
63,73,9,24
2,100,96,32
42,38,23,96
35,34,12,78
100,60,48,87
71,11,27,96
35,8,54,18
83,11,85,45
45,86,44,68
81,89,92,2
34,82,6,58
53,93,90,56
73,58,9,66
38,50,60,66
70,2,80,40
8,14,44,71
16,28,42,45
19,37,74,14
65,13,51,41
16,38,8,43
97,94,57,13
18,59,62,75
25,48,64,18
20,59,80,72
56,8,98,25
13,95,78,100
17,72,1,51
13,34,74,56
87,50,18,68
88,26,58,51
1,13,25,77
65,32,78,60
52,13,61,56
68,56,41,46
41,96,73,74
41,71,100,94
26,59,78,14
34,81,30,49
18,36,1,69
4,30,20,12
92,63,70,3
65,72,38,99
44,98,55,23
35,77,78,75
31,88,2,65
49,70,18,40
47,2,87,1
85,98,21,42
29,84,69,76
7,21,41,1
16,86,14,73
26,14,48,84
67,68,3,98
44,20,92,43
97,35,79,66
42,95,93,15
90,17,50,26
60,30,87,44
17,46,33,6
60,47,93,54
38,89,6,54
6,1,86,4
64,11,72,96
71,32,72,83
51,96,62,4
94,11,16,92
11,88,41,72
66,79,16,78
64,65,88,51
32,10,36,24
13,15,33,26
76,27,33,3
5,18,62,76
7,80,19,51
69,41,45,49
71,91,43,64
3,4,65,57
97,69,100,67
90,38,9,45
68,92,72,36
9,22,19,53
92,94,88,74
44,5,38,85
39,38,93,1
8,16,64,75
45,93,21,17
40,42,65,41
42,54,15,51
96,4,35,75
42,44,33,10
6,71,45,3
89,74,96,94
71,87,61,11
47,4,73,70
44,9,41,20
91,15,55,66
3,70,57,68
5,78,2,18
99,20,29,7
5,94,92,2
51,35,34,12
60,79,88,58
2,76,92,16
89,55,84,94
50,22,63,26
24,82,99,42
