"V1","V2","V3","V4"
47,61,57,55
94,5,60,53
97,16,56,59
96,61,31,39
86,13,69,39
86,82,57,2
63,31,44,7
82,30,12,35
42,23,70,38
50,71,16,22
93,26,31,71
17,9,89,12
90,53,4,69
11,41,47,66
49,40,77,78
48,12,61,42
17,31,58,59
51,10,83,40
34,79,85,27
64,50,73,29
58,18,43,96
43,62,33,37
77,79,98,17
57,43,66,24
40,41,72,57
63,52,85,24
13,79,40,90
37,68,56,15
60,41,2,81
53,4,40,78
18,69,40,38
64,86,1,24
28,82,19,62
5,70,82,88
15,83,63,81
50,29,9,2
38,14,42,61
44,6,92,4
42,2,64,37
90,36,72,27
95,13,5,24
43,66,56,87
100,30,51,9
82,80,16,88
79,80,19,51
85,54,5,58
49,13,68,75
29,80,89,8
64,28,1,12
67,39,80,79
60,66,24,16
8,90,44,51
52,70,16,32
100,23,43,59
19,69,2,97
14,86,84,98
29,34,55,100
37,26,80,23
7,50,16,91
63,15,98,49
30,20,94,35
40,19,75,49
42,27,7,73
29,75,33,82
17,20,40,23
37,22,95,65
16,43,67,69
86,84,42,82
35,34,79,23
90,32,9,89
5,99,67,72
13,51,77,100
47,31,64,78
76,55,45,69
98,25,4,40
65,34,8,41
1,97,70,74
98,32,63,69
50,44,10,35
59,5,77,65
76,19,57,18
24,2,85,86
88,20,72,33
39,47,2,59
48,100,33,98
35,55,26,30
9,58,85,36
56,42,66,59
89,37,48,10
3,64,87,50
72,54,20,23
15,100,29,23
96,79,11,55
12,28,15,4
97,70,98,86
86,26,36,69
32,28,98,37
99,78,23,47
98,93,91,54
62,26,25,38
65,57,32,93
87,45,53,43
31,36,38,21
23,12,50,76
23,44,2,42
25,47,89,95
52,88,96,89
100,16,14,79
46,20,34,39
37,55,64,95
17,79,90,8
67,20,25,98
65,30,97,74
70,73,98,39
39,12,1,77
39,72,86,38
49,31,30,9
12,55,78,14
25,3,19,47
42,28,45,52
2,55,76,93
52,44,16,62
76,7,84,27
34,54,93,96
30,44,39,23
69,11,100,1
69,17,8,81
22,80,37,63
41,59,29,37
17,80,58,68
7,29,27,96
30,98,8,53
85,29,90,48
74,5,42,25
20,4,28,88
11,48,31,41
30,39,74,22
38,57,98,82
33,6,91,10
13,85,39,5
48,52,62,64
50,90,74,2
40,65,51,53
72,41,31,68
54,51,31,27
25,80,11,77
91,49,86,95
48,66,50,9
28,97,93,6
76,89,90,10
5,48,37,81
64,76,66,40
6,95,18,90
26,35,52,11
86,25,34,32
30,26,74,70
40,10,79,21
42,62,91,73
13,47,20,53
88,11,53,79
94,62,17,95
18,11,63,79
39,81,78,50
40,79,49,37
