"V1","V2","V3","V4","V5","V6","V7","V8"
82,25,34,100,72,97,76,7
98,32,1,18,76,100,92,14
8,20,68,79,69,63,3,99
39,86,10,37,94,25,1,69
70,48,61,66,1,56,19,50
43,7,13,46,54,74,34,11
37,73,14,2,64,7,72,23
22,31,51,27,69,43,48,72
86,41,43,11,55,73,15,37
95,38,92,58,16,68,31,82
11,92,24,21,4,72,19,33
30,91,48,1,61,98,38,2
84,75,99,69,67,29,53,97
29,3,84,48,43,90,7,39
12,37,53,8,85,60,51,48
29,59,82,51,35,93,9,1
48,67,55,34,85,24,63,17
22,25,38,46,77,67,66,14
76,33,98,100,97,13,25,41
98,40,38,44,42,76,24,36
37,66,70,90,88,2,12,31
10,50,81,11,1,55,16,65
99,74,85,75,32,52,92,9
56,13,95,86,24,36,54,93
54,95,34,45,26,94,59,12
13,53,35,23,60,47,84,57
49,29,17,69,8,24,72,71
84,67,24,45,13,87,86,78
2,33,5,96,45,36,46,60
86,35,32,93,47,24,14,5
26,65,51,41,52,78,70,66
52,56,92,93,23,85,100,83
14,37,15,23,72,54,70,93
83,36,18,75,51,70,39,38
56,4,76,28,12,46,99,72
95,36,17,98,61,89,84,33
69,46,15,47,91,6,24,35
75,3,91,17,59,39,97,15
20,68,74,23,38,91,30,4
9,98,97,24,94,92,70,55
95,93,58,80,42,27,98,77
32,26,18,31,5,10,44,77
37,38,60,45,46,30,43,21
12,88,35,56,24,9,4,80
48,73,100,74,54,45,63,23
19,22,31,73,46,47,12,71
39,12,34,16,75,10,78,60
29,11,1,22,20,14,24,79
87,37,81,49,30,41,98,22
6,76,20,51,4,26,29,64
96,18,37,49,62,54,93,70
98,55,4,1,66,35,93,65
70,34,21,98,93,2,89,74
2,98,65,10,95,88,14,31
23,29,54,79,62,50,13,94
58,46,38,35,72,3,74,22
91,97,82,48,41,18,81,77
21,70,32,80,18,83,88,64
74,62,55,35,21,80,7,13
47,43,10,33,56,42,30,11
7,74,20,45,29,52,58,49
31,39,73,28,15,86,54,75
35,91,95,96,52,41,79,81
24,11,75,92,2,81,20,30
61,91,98,66,37,78,56,73
27,53,21,68,35,78,24,38
70,42,51,8,20,53,85,80
34,55,40,45,42,8,4,46
96,18,74,14,66,1,21,99
90,37,23,31,39,10,84,53
100,30,92,67,6,18,29,69
70,81,32,90,31,67,63,85
16,70,47,9,85,94,21,46
43,71,81,78,94,68,5,61
12,82,88,16,55,48,100,65
93,97,90,20,95,35,47,43
8,12,33,58,34,11,38,52
90,7,62,3,93,23,6,54
30,78,3,36,66,91,38,44
92,27,78,97,60,5,75,6
89,15,13,82,45,69,76,95
93,70,49,61,72,2,38,75
79,73,77,14,93,19,31,98
35,97,91,80,42,1,29,32
6,94,41,57,67,1,48,50
55,56,77,50,42,68,23,31
22,45,88,96,73,92,28,52
9,64,4,96,72,10,19,20
79,90,30,31,82,45,72,35
1,24,89,43,70,39,85,94
80,5,75,20,96,87,92,26
70,31,7,23,62,35,13,92
83,25,94,73,40,9,84,92
100,82,50,14,8,95,7,70
65,48,8,59,68,63,37,38
1,38,97,31,22,80,28,48
56,20,97,79,71,45,87,8
90,5,81,77,34,29,57,41
91,13,99,28,34,2,45,71
53,4,68,73,37,61,5,22
83,97,55,12,2,65,54,17
59,19,6,12,23,3,73,44
85,13,35,57,47,31,6,23
47,89,80,62,48,41,60,72
46,42,10,86,38,32,22,72
4,73,92,61,66,71,100,37
100,59,5,9,69,20,38,44
96,79,47,98,91,65,11,80
21,93,69,63,98,65,73,38
48,55,11,51,98,68,54,94
50,80,15,23,81,29,61,70
39,94,26,10,60,11,2,81
7,24,18,95,16,85,62,31
6,27,58,94,21,48,51,69
38,52,95,11,87,47,61,94
52,3,59,79,28,47,74,4
24,86,85,91,53,78,34,100
93,69,52,20,63,22,48,11
46,69,93,97,40,32,24,31
93,94,50,41,19,67,48,65
76,38,18,12,60,89,87,80
72,25,88,96,2,55,80,10
36,63,17,29,10,93,54,99
57,69,31,11,12,47,76,64
61,59,66,95,26,92,51,74
76,33,84,74,39,30,69,95
71,77,25,69,26,41,4,59
62,77,35,73,42,52,7,39
25,69,13,63,15,89,26,44
46,23,85,97,25,19,21,2
13,43,80,14,68,41,18,1
77,52,28,80,64,36,95,100
54,64,15,49,38,1,16,43
80,11,85,48,44,82,91,46
32,66,42,30,13,93,57,19
49,73,51,9,43,29,47,34
8,87,25,5,54,2,90,96
66,7,2,90,59,8,96,10
32,73,25,51,100,64,35,96
75,86,85,82,98,65,11,62
16,40,55,65,46,72,35,75
36,64,48,70,16,66,15,47
10,32,90,7,46,49,43,95
69,76,93,29,87,26,42,38
41,7,68,27,60,44,67,38
52,59,45,87,33,11,21,92
81,72,57,2,86,74,3,73
88,58,38,75,77,59,18,54
95,48,80,25,2,72,15,34
49,74,20,93,24,37,73,65
75,21,45,100,76,71,82,84
60,12,63,28,65,17,62,86
54,6,69,71,92,47,13,39
21,51,26,71,79,11,34,18
66,42,1,70,24,76,18,23
79,63,51,84,60,9,43,85
92,48,39,25,40,79,44,12
72,39,78,12,16,81,73,84
14,86,5,95,77,27,58,32
21,25,9,98,12,27,96,78
86,37,95,21,6,20,58,88
26,41,45,61,95,42,74,52
9,95,24,34,80,27,99,81
36,46,18,32,13,20,74,64
90,66,30,98,85,54,55,48
92,62,43,21,63,5,23,18
12,84,7,62,32,36,99,92
82,91,48,87,22,61,7,4
12,1,86,6,67,15,91,5
53,55,32,79,67,98,24,57
56,12,80,3,74,29,36,42
20,45,17,41,71,69,49,36
44,36,69,14,86,90,43,100
59,39,44,42,28,17,60,24
91,21,30,89,76,94,71,56
74,33,50,91,17,52,12,72
100,14,22,11,29,8,94,2
84,31,64,92,35,17,91,58
30,52,38,72,48,91,39,82
47,65,43,81,89,26,24,75
5,91,32,24,74,80,81,2
51,35,15,77,44,30,20,11
12,48,16,96,8,18,97,98
96,53,75,34,15,69,22,35
22,75,15,33,29,18,81,88
30,50,85,21,62,81,1,31
31,19,9,46,87,85,30,61
1,83,96,75,65,73,62,37
63,56,16,90,92,12,60,1
62,80,16,38,59,44,37,3
78,97,74,81,23,29,28,60
2,52,81,13,57,14,72,51
89,14,26,56,65,91,8,15
15,60,61,18,58,97,50,2
45,34,59,79,33,38,88,94
2,62,99,30,44,23,27,59
69,93,98,64,24,66,67,86
22,32,66,16,39,45,55,81
95,82,83,22,26,87,4,98
60,88,7,63,87,35,36,19
82,42,11,24,35,20,83,51
14,100,29,75,64,25,99,61
38,68,52,35,13,36,88,34
43,82,3,96,87,72,6,78
85,16,12,27,54,35,79,7
50,77,96,92,51,87,82,30
92,27,64,68,67,48,4,37
85,55,23,72,51,9,87,70
55,98,56,90,62,57,68,31
86,18,100,30,40,66,10,41
32,4,10,92,38,61,68,47
44,73,74,22,15,87,49,56
73,82,69,52,23,83,46,34
2,14,4,51,88,29,54,44
12,27,51,20,94,100,78,48
8,94,89,14,67,38,35,36
79,76,44,23,24,33,32,72
42,96,38,62,91,64,28,78
20,70,53,88,59,95,73,56
42,20,37,7,69,21,66,45
64,85,94,57,65,88,7,98
63,55,29,6,100,90,71,8
86,8,62,85,79,30,47,23
37,8,27,75,84,12,36,68
10,81,41,49,39,15,11,94
26,37,35,34,57,2,90,31
71,66,6,24,46,10,92,1
87,78,81,51,69,58,92,10
65,20,66,28,99,52,70,64
21,9,33,16,68,34,28,93
50,5,100,63,13,70,10,64
85,62,46,39,19,94,40,56
41,21,8,98,34,68,27,52
25,11,37,34,83,88,2,10
49,96,42,28,50,38,8,75
22,13,76,1,30,59,50,89
67,81,23,9,37,70,84,30
41,100,63,35,50,12,65,56
70,32,77,66,47,62,12,87
70,30,67,82,86,36,62,52
63,89,40,14,99,45,50,22
50,30,2,14,49,45,55,99
87,52,19,7,20,5,53,33
42,51,1,67,5,70,3,17
51,7,53,88,84,79,72,42
10,43,94,77,47,18,96,9
23,65,20,58,75,64,47,38
100,84,31,2,64,36,50,34
100,99,37,41,56,29,50,83
96,92,11,10,97,26,64,14
61,17,26,1,5,19,84,46
48,4,19,68,54,29,80,37
36,15,91,27,78,57,17,69
28,6,27,20,2,69,71,64
71,19,68,61,83,98,36,33
79,88,3,49,21,50,77,25
27,45,80,83,77,84,64,3
14,99,7,35,81,27,24,69
53,26,87,22,78,18,100,58
83,33,20,42,13,94,9,6
11,67,14,20,89,72,56,64
50,53,11,70,35,41,48,43
4,10,15,5,29,20,2,73
59,45,15,8,93,41,97,53
24,34,37,58,26,29,1,83
39,28,89,23,48,65,49,84
3,32,28,23,76,54,37,75
23,24,6,48,65,60,88,47
59,7,87,81,13,100,18,91
34,16,38,27,69,63,28,54
1,40,33,94,100,43,30,52
32,80,78,100,21,72,57,84
39,77,9,7,73,62,20,38
36,87,67,56,68,85,43,82
12,47,41,56,4,100,93,21
58,86,44,19,55,75,3,57
36,56,32,35,74,14,48,95
9,50,75,5,67,88,38,21
7,10,55,63,38,78,19,4
19,42,77,3,47,52,100,68
72,94,32,42,5,24,96,29
64,31,4,52,51,25,36,1
60,37,85,78,39,68,32,87
7,22,88,89,47,10,34,37
49,84,14,64,96,1,79,69
11,7,34,1,41,54,38,59
71,65,19,66,89,47,62,67
35,61,30,44,36,33,4,28
19,15,74,37,73,27,9,39
38,22,40,70,35,9,8,96
11,62,95,80,12,61,19,91
67,50,40,25,39,49,34,24
97,75,37,92,79,45,24,35
75,59,60,33,22,69,31,1
81,58,4,92,73,62,88,77
79,70,25,45,84,95,41,67
91,49,51,60,39,50,47,74
79,39,96,67,86,34,75,55
59,47,68,97,23,28,98,52
59,21,64,8,57,14,26,96
92,20,17,41,50,73,25,42
88,56,69,14,68,44,10,81
98,81,58,44,51,92,3,2
38,60,25,90,26,80,34,92
89,17,47,7,86,2,51,11
3,21,86,94,62,52,43,34
83,19,47,33,3,17,56,31
37,88,20,92,56,79,25,49
14,92,61,8,42,82,66,95
3,52,75,2,69,94,78,87
96,24,19,7,25,79,93,72
6,32,49,79,66,1,83,2
48,64,7,63,53,51,24,31
70,59,83,28,54,27,88,69
96,5,23,69,100,13,56,43
52,43,96,10,51,73,87,5
59,98,23,74,11,84,43,72
72,62,24,43,40,23,95,20
69,68,80,2,47,31,79,65
85,25,38,97,1,2,10,33
49,22,96,26,93,24,78,10
54,82,95,3,77,48,55,17
5,12,8,4,26,84,9,18
16,17,6,32,62,15,5,25
43,85,22,97,62,41,56,15
84,6,22,78,73,16,61,69
9,19,7,83,35,38,51,92
19,90,62,98,11,23,35,8
1,33,65,24,48,22,77,36
9,75,97,18,15,73,39,30
21,60,63,18,78,94,36,26
39,52,74,97,40,54,90,77
25,91,26,62,20,60,65,44
30,48,37,82,24,68,14,27
53,11,14,1,30,41,51,23
20,88,28,89,58,56,15,42
3,24,17,65,72,33,73,84
78,43,96,72,47,46,79,1
78,63,87,69,13,42,55,86
38,40,69,8,14,87,34,49
87,92,55,35,8,70,22,11
45,62,81,56,97,64,52,40
77,28,89,84,34,95,67,17
46,13,64,81,35,39,65,29
63,4,77,37,22,18,83,90
78,27,12,79,55,95,80,5
37,27,85,38,45,80,30,64
66,85,67,45,93,28,8,92
17,61,62,37,29,97,77,28
75,36,86,84,51,76,18,57
13,83,80,25,26,12,14,92
22,35,38,70,51,65,45,21
39,18,27,97,68,21,55,30
58,57,14,87,1,26,19,95
87,54,67,56,43,24,25,86
72,53,22,69,33,48,6,59
98,22,49,33,50,12,75,30
10,67,64,68,36,66,78,54
50,47,55,99,64,71,35,41
12,64,88,68,32,73,23,11
53,54,91,3,100,32,25,83
45,12,37,94,31,92,42,52
