"V1","V2","V3","V4"
47,16,31,21
88,53,42,60
86,7,68,76
64,18,43,73
28,30,76,56
6,32,58,7
17,9,23,5
39,96,74,15
37,95,24,20
1,84,96,3
80,37,63,29
53,41,44,38
14,6,21,75
31,50,41,48
7,97,13,55
63,3,75,23
16,52,37,29
87,89,79,8
32,86,88,36
8,99,38,27
3,22,13,87
84,47,28,100
93,62,99,89
97,36,55,43
92,71,37,33
56,4,30,65
65,92,40,5
85,99,76,27
57,76,11,86
79,87,13,69
82,22,28,18
70,54,3,37
95,94,51,78
62,38,7,16
1,72,59,34
32,72,9,10
80,16,93,94
55,54,1,43
86,72,79,92
23,38,34,39
1,6,32,11
9,12,53,74
84,76,18,69
35,11,39,66
36,9,37,18
68,37,76,23
12,64,82,90
32,43,70,3
100,99,98,69
55,63,49,29
47,68,76,21
84,26,82,81
42,13,20,35
79,5,21,40
54,33,19,55
14,5,49,54
73,29,32,39
73,76,55,18
64,72,1,57
8,41,42,57
40,23,15,59
5,46,77,68
44,52,54,93
50,79,8,34
85,30,78,15
52,43,29,89
66,76,48,63
60,20,71,84
4,88,99,38
58,32,51,48
60,78,62,83
29,39,16,68
82,28,39,4
75,30,69,92
47,42,98,11
14,95,22,97
58,89,17,90
85,4,33,84
84,9,73,2
9,32,58,70
35,1,56,34
27,25,26,67
53,21,27,43
49,21,80,37
2,66,81,43
56,62,99,96
14,1,46,91
19,4,92,21
70,93,90,14
62,50,84,78
9,25,96,39
27,54,77,98
2,43,13,1
71,72,75,8
69,62,10,31
26,65,47,10
35,49,13,62
93,43,18,31
76,38,91,92
29,74,28,9
97,57,91,31
53,16,9,100
36,68,9,83
52,14,94,84
35,79,37,65
71,80,70,65
31,52,35,2
47,24,30,66
58,93,61,21
47,89,52,59
100,53,64,35
58,8,95,77
27,75,78,12
23,28,89,87
28,84,1,8
100,25,8,75
25,29,7,4
23,57,50,26
63,36,18,92
47,23,32,12
54,78,31,55
16,32,5,80
18,78,67,52
3,89,97,91
62,45,18,7
49,98,39,21
72,70,88,98
92,15,64,68
47,18,100,55
49,14,7,31
5,52,76,6
78,83,73,33
56,41,24,19
6,81,76,44
36,51,12,91
41,20,38,96
35,42,30,14
13,97,62,37
68,18,27,46
22,85,5,25
35,58,3,97
98,12,18,52
82,6,86,74
85,82,49,32
81,41,45,53
51,80,69,8
86,97,95,66
80,46,73,87
57,69,73,32
13,18,99,19
65,85,51,73
14,25,80,44
6,57,56,79
39,65,61,15
58,73,52,7
60,84,93,82
98,30,77,73
97,10,56,34
67,52,3,87
85,3,55,33
66,70,94,54
13,46,88,66
12,82,96,56
23,22,75,34
91,30,93,43
33,51,34,63
18,14,21,80
51,64,71,8
3,23,89,10
10,8,76,18
85,83,12,50
33,45,41,5
12,34,21,24
68,83,60,15
60,75,2,52
68,18,97,41
94,19,12,18
26,87,7,60
75,13,65,49
65,70,33,75
38,69,67,34
30,71,47,43
12,83,2,59
68,52,32,23
45,26,13,4
32,24,45,50
1,75,12,37
82,54,77,34
100,5,83,82
73,55,46,25
74,13,78,20
16,21,40,80
14,62,48,24
55,23,11,49
97,82,1,4
95,49,87,83
31,22,3,81
