"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
14,68,54,5,36,60,87,25,61,19,74,31,28,66,72,44
5,21,27,12,81,74,50,4,83,52,10,41,1,44,54,31
52,71,13,38,56,83,75,53,3,9,28,100,39,87,45,23
78,46,71,33,25,73,76,53,7,41,17,63,9,87,40,85
45,84,43,36,59,5,48,96,15,67,91,25,57,35,17,56
39,43,99,81,88,90,25,84,73,44,65,69,78,46,54,9
62,94,12,34,93,99,80,92,35,41,61,66,97,7,58,91
39,34,68,35,50,49,77,97,15,7,42,53,76,94,90,20
80,84,62,38,20,69,35,16,59,87,5,52,63,41,47,44
50,76,56,11,43,24,40,45,20,72,84,85,86,70,83,31
58,4,98,20,2,60,73,87,12,64,72,32,42,100,33,8
45,64,92,44,37,63,22,9,72,98,93,47,20,23,4,73
23,77,29,86,16,2,95,49,68,27,88,78,35,100,55,11
13,49,22,46,27,89,19,86,2,64,54,31,17,94,7,98
78,42,5,33,76,24,64,52,11,46,96,47,70,62,3,90
79,90,67,68,94,74,77,65,28,33,96,57,97,70,85,81
12,98,47,72,36,40,17,57,67,82,37,56,75,91,33,9
93,48,67,38,94,50,46,92,64,85,27,6,59,29,100,49
44,56,3,70,40,60,85,52,26,57,78,69,46,22,28,21
86,28,61,21,74,17,16,67,20,32,35,64,13,33,89,58
9,12,71,72,18,92,91,21,32,11,38,88,85,41,59,64
38,31,44,51,84,87,79,17,95,43,64,3,34,7,76,59
65,34,33,92,91,2,79,86,13,11,49,24,7,71,26,81
78,100,7,20,75,97,68,38,5,73,33,32,29,36,52,50
18,67,42,36,29,88,95,48,86,74,97,58,89,35,32,9
10,38,32,96,84,5,93,23,83,15,28,69,48,70,100,89
1,39,44,49,48,22,95,53,19,32,78,85,20,83,61,88
91,85,23,35,4,90,96,92,78,100,46,26,64,44,17,5
47,66,6,4,53,86,49,35,46,91,99,85,71,43,24,79
12,86,31,5,89,80,100,53,91,13,97,47,50,23,15,40
37,15,29,75,91,4,62,74,16,42,30,35,25,14,61,100
19,24,28,36,75,90,73,56,97,22,31,45,42,33,20,32
65,88,2,74,87,17,76,54,27,66,67,36,96,98,35,15
4,72,74,56,39,13,29,77,48,79,38,55,31,57,86,75
45,65,20,89,13,64,46,12,96,47,54,59,39,85,44,38
55,6,19,71,24,99,75,94,95,10,60,100,36,39,28,76
19,73,38,53,21,97,71,11,91,76,30,56,6,79,48,85
