"V1","V2","V3","V4"
38,47,90,6
12,82,35,72
34,59,35,37
1,81,30,49
62,79,94,91
14,88,8,2
14,63,39,10
82,13,81,91
39,99,8,73
52,98,42,24
33,72,26,89
61,66,29,58
54,46,4,90
17,84,9,43
92,38,40,85
42,2,100,36
22,47,73,90
64,54,90,44
89,11,9,90
48,6,37,39
41,72,4,89
47,42,40,67
84,11,55,97
50,32,42,71
91,81,70,41
46,29,79,89
96,81,7,67
92,97,86,64
83,74,87,63
90,77,51,28
18,74,52,87
81,100,44,53
35,38,68,6
70,14,66,71
43,14,99,64
54,49,21,64
12,96,73,40
78,82,27,11
24,33,75,100
14,22,25,100
62,12,6,60
33,10,45,29
82,59,25,3
77,46,65,84
89,69,39,91
91,40,37,7
46,45,59,29
35,2,52,5
24,4,67,61
94,95,82,96
34,12,78,83
71,32,78,7
65,87,83,63
16,52,27,39
24,28,55,75
86,71,9,24
30,62,95,75
44,92,80,47
2,4,8,75
93,45,57,94
25,53,11,7
69,8,26,35
94,82,87,28
15,79,84,59
9,50,7,51
45,74,16,9
59,42,44,2
54,41,78,30
26,49,86,76
51,85,74,92
91,49,27,60
8,89,29,6
55,35,78,87
92,14,48,40
31,52,28,51
63,52,4,51
65,60,9,14
30,77,65,16
87,1,52,23
74,93,70,13
12,42,87,64
68,13,65,77
3,95,60,64
80,26,61,17
9,18,28,59
58,61,96,88
34,25,41,79
78,16,88,41
82,88,75,2
50,9,57,70
95,40,4,11
87,91,27,31
30,38,7,47
13,83,45,91
10,58,65,96
48,74,79,38
5,6,4,50
72,42,33,46
6,11,41,95
68,41,35,34
17,36,5,44
17,69,4,49
77,100,1,27
13,41,81,92
43,91,61,29
32,56,46,91
19,98,83,81
86,2,7,31
81,18,75,67
91,15,72,20
98,25,55,77
70,76,99,28
26,47,34,36
11,6,12,76
91,1,52,27
66,23,28,15
77,2,34,62
8,23,60,45
43,89,12,15
19,88,3,59
96,86,77,43
90,50,100,39
80,25,89,55
75,88,13,6
5,3,71,63
29,9,56,65
38,97,27,9
44,39,79,73
88,6,61,94
87,77,25,53
21,31,89,96
5,62,48,80
55,86,52,19
74,48,80,3
54,21,75,5
2,60,90,88
94,31,14,99
23,38,52,91
28,33,79,47
72,47,38,14
12,65,98,49
4,69,26,2
66,4,58,24
70,78,67,12
4,42,38,24
59,68,85,17
75,36,5,9
91,56,60,58
45,44,94,19
80,100,35,38
86,54,80,1
45,26,87,91
100,17,71,11
92,22,20,35
72,50,2,39
56,94,90,84
31,11,8,34
94,32,14,73
69,82,93,87
8,98,44,83
7,19,8,17
95,13,38,94
40,55,51,75
58,48,41,80
60,90,57,15
79,11,66,10
3,74,79,59
25,67,13,90
20,72,69,48
22,76,57,86
6,59,3,72
38,69,50,3
94,36,74,75
14,38,55,45
7,21,70,61
52,65,55,34
55,21,41,11
54,94,100,62
1,27,19,57
1,20,83,24
45,23,49,60
47,70,73,53
86,33,16,100
50,70,82,17
93,73,59,55
80,44,11,57
55,45,94,68
33,92,12,28
49,43,80,84
21,49,51,14
74,51,71,48
57,56,6,7
31,54,89,90
37,23,7,39
33,85,66,47
27,33,73,42
21,98,89,11
40,46,24,51
96,70,44,77
96,76,19,6
64,82,90,56
71,34,72,100
86,71,39,61
35,14,21,22
11,63,69,78
28,44,67,66
75,36,4,76
84,37,27,42
45,22,28,59
9,57,14,50
19,5,67,60
80,16,88,60
89,53,90,72
53,74,46,50
6,2,37,20
36,60,64,30
31,28,53,99
99,63,3,40
94,14,54,58
59,63,97,62
53,54,75,74
64,9,6,50
67,49,63,6
82,10,79,2
40,60,65,11
99,22,47,95
78,68,14,19
90,61,20,1
2,91,28,58
62,36,6,20
44,67,16,21
12,35,36,57
8,70,2,30
67,21,16,3
52,15,34,79
39,59,72,57
60,10,15,16
50,40,52,77
85,2,56,38
78,4,82,67
2,31,62,79
26,34,12,76
15,6,54,79
55,93,3,71
18,15,92,10
83,62,19,36
93,63,88,27
1,44,49,42
85,94,7,62
90,68,33,55
79,17,23,100
43,76,70,36
84,62,96,7
85,83,11,26
23,52,11,17
4,44,43,50
90,16,58,24
84,53,41,47
50,70,1,49
51,53,86,80
89,37,5,65
77,48,19,93
65,37,26,61
52,64,9,56
49,89,27,18
99,96,79,95
1,32,45,88
98,6,58,45
96,83,6,72
47,42,29,96
72,3,8,63
29,58,7,89
86,34,100,89
5,15,48,72
54,37,95,39
38,10,46,16
98,19,73,23
90,58,69,36
37,45,84,39
70,67,10,65
33,30,98,78
4,88,5,24
70,79,17,67
65,84,67,76
97,78,83,82
91,85,49,80
58,55,74,42
47,39,12,75
86,65,40,35
83,47,31,60
42,47,7,69
99,49,92,25
51,81,70,5
74,23,90,76
11,40,61,89
69,84,71,17
43,33,70,60
94,14,27,78
2,31,52,39
50,2,14,7
19,92,14,75
21,26,42,27
67,51,69,64
58,89,30,44
39,6,72,96
35,2,20,11
19,45,21,12
92,71,63,80
21,88,99,76
75,74,92,81
21,100,84,96
71,58,6,11
27,36,60,3
47,32,73,74
30,41,73,34
4,51,17,66
93,55,60,38
55,50,37,85
12,14,79,90
64,89,14,45
91,48,12,96
29,30,80,93
40,4,34,71
70,25,44,53
36,87,47,5
9,3,76,27
77,57,56,42
100,29,23,20
35,66,87,86
57,70,16,59
29,9,65,4
100,28,24,25
73,27,62,36
14,27,57,85
35,38,11,1
24,46,19,37
22,100,82,36
75,36,100,63
77,69,30,84
79,95,40,78
94,57,81,37
79,31,95,52
81,32,99,10
27,23,73,47
23,84,10,5
84,42,63,88
50,21,57,56
76,3,48,79
52,74,3,87
61,96,52,18
82,58,54,26
1,25,83,23
90,13,59,54
16,31,52,60
99,93,25,15
45,13,36,51
57,44,12,18
48,26,41,42
64,9,81,18
42,67,55,31
75,34,13,97
81,7,60,86
34,99,68,49
90,9,47,28
74,87,71,85
90,91,83,87
11,29,34,88
19,46,96,93
99,68,91,9
37,67,35,64
8,6,93,17
61,32,60,14
72,15,86,18
16,1,8,4
34,63,56,70
98,66,35,45
19,95,9,33
42,80,57,12
70,60,53,83
20,50,90,31
9,36,83,69
57,75,10,68
99,47,89,71
62,31,70,72
1,80,72,65
15,78,66,58
15,5,46,75
16,94,4,80
80,43,55,5
81,85,48,56
79,98,99,71
3,28,22,79
19,53,98,58
82,96,56,23
84,25,98,89
61,48,51,16
70,17,48,2
22,71,24,47
79,83,4,90
91,55,42,70
78,7,49,24
53,70,13,21
29,39,3,13
63,65,74,94
12,39,97,11
18,20,67,24
74,77,28,21
1,85,40,70
13,85,54,16
7,34,70,20
14,77,64,39
37,82,79,56
51,69,54,47
63,30,55,54
83,67,16,24
66,22,10,86
57,78,32,67
47,2,57,79
53,71,24,23
15,76,30,24
95,71,86,97
82,8,33,4
14,20,67,78
28,56,87,35
74,2,67,86
74,93,81,100
100,28,79,86
77,18,46,32
8,41,14,43
73,100,14,4
19,33,62,91
47,14,27,78
72,86,20,95
62,45,74,81
63,85,30,67
2,57,51,70
40,64,13,94
39,80,28,36
8,91,84,74
17,92,94,14
17,79,28,55
98,73,53,63
6,66,11,59
60,61,48,32
82,27,8,65
62,86,49,47
49,33,34,19
31,96,7,26
95,90,88,61
87,36,64,31
86,56,6,30
58,39,11,40
59,80,4,82
80,52,24,23
3,54,39,27
58,39,57,18
1,24,72,34
12,97,83,65
33,62,43,35
41,53,71,94
52,42,27,1
54,41,42,5
13,41,38,95
1,83,49,19
7,74,17,46
42,74,57,50
51,7,72,27
9,85,57,6
85,84,94,41
21,14,94,35
52,100,48,60
15,65,67,11
99,34,96,38
99,35,39,84
9,94,75,20
71,67,29,49
44,86,78,46
13,8,88,91
48,45,81,88
49,8,70,46
96,13,70,2
43,27,32,28
16,35,65,7
67,74,62,11
64,52,15,82
81,95,85,98
72,78,61,8
14,37,46,20
81,73,8,3
2,56,41,88
44,23,33,100
19,12,96,4
2,29,6,87
53,51,71,62
19,73,3,17
25,82,26,88
96,93,26,30
82,78,65,77
98,13,59,80
69,99,74,67
93,26,87,44
38,23,26,98
69,67,39,93
33,89,96,92
73,93,44,58
87,31,94,44
43,29,65,72
24,21,90,93
81,88,87,21
21,27,44,42
15,87,5,6
41,37,18,98
37,87,57,22
20,54,58,67
87,6,46,34
7,22,44,4
71,50,41,69
18,65,23,66
92,5,66,20
8,49,83,19
61,16,31,11
13,28,12,47
35,92,55,53
21,88,16,87
69,21,98,47
55,32,83,78
60,64,86,97
64,71,70,47
93,1,38,83
7,55,64,66
77,73,83,90
2,99,64,95
51,63,20,69
44,41,94,36
78,33,41,83
70,92,46,55
84,99,48,59
1,60,20,2
56,20,58,46
45,28,7,12
65,70,53,60
55,6,26,67
38,91,82,8
27,16,30,63
54,93,27,48
77,2,3,12
86,28,68,44
61,46,6,7
69,58,47,93
42,40,96,48
77,1,18,20
4,23,14,7
14,22,100,97
44,36,23,50
24,64,23,95
18,89,59,60
3,25,36,37
36,51,7,56
35,31,11,15
100,7,4,47
71,67,23,56
67,18,23,11
3,19,10,23
8,41,12,39
86,94,25,10
66,18,32,57
21,22,74,97
29,77,31,93
72,81,12,47
64,26,91,42
63,30,59,13
3,75,37,5
55,60,62,30
11,25,47,51
94,95,38,85
85,50,75,42
75,22,13,11
29,96,95,51
100,29,95,41
93,64,23,72
86,39,87,93
3,75,72,34
69,43,56,48
7,16,81,1
75,78,40,70
24,68,23,39
77,96,86,50
52,97,88,58
15,5,41,24
98,89,10,51
28,58,15,78
24,93,11,71
88,9,53,76
45,14,69,100
58,50,55,17
18,84,52,4
17,5,45,16
33,59,100,26
75,16,9,11
59,12,87,88
4,69,91,95
72,9,69,75
77,19,45,25
59,82,65,68
55,92,53,1
43,21,93,15
86,42,11,32
78,56,75,48
36,32,21,60
91,51,29,80
18,99,69,91
37,100,72,31
94,9,36,91
77,84,93,3
29,70,11,12
84,44,5,76
23,49,9,54
76,4,37,79
40,59,6,61
58,19,40,42
80,5,2,22
25,20,50,47
56,25,50,14
54,89,6,35
43,28,30,86
80,97,19,93
70,41,98,51
34,78,89,49
10,50,99,82
28,86,40,20
39,66,21,27
63,7,66,36
2,27,54,39
81,42,74,83
25,6,1,76
95,46,65,81
32,34,33,27
26,82,57,24
65,68,27,25
38,17,26,7
45,70,19,13
85,65,92,33
65,56,92,68
55,18,8,95
85,67,39,12
14,25,82,46
54,75,90,50
85,5,46,66
1,53,91,15
84,42,94,37
94,75,60,28
74,35,24,26
63,71,93,26
45,31,77,69
84,98,53,89
94,28,14,65
11,63,29,1
71,80,33,3
18,84,32,47
13,20,32,24
80,62,67,7
39,33,36,17
8,23,44,37
90,42,83,21
55,58,36,62
34,33,95,9
79,20,43,22
52,98,66,53
81,1,82,49
57,15,42,6
48,11,58,95
19,47,56,35
63,6,82,43
88,19,72,58
18,65,57,98
36,93,98,64
39,48,90,47
58,56,6,89
64,99,75,26
57,8,91,80
56,9,98,33
99,15,71,37
77,84,91,86
99,35,40,52
97,86,27,81
92,95,38,61
17,58,36,8
20,19,99,66
29,87,66,48
52,59,9,22
16,49,63,58
57,39,59,45
41,85,73,9
44,57,95,94
65,43,9,88
44,34,64,97
61,100,69,26
20,21,86,61
29,37,33,99
75,59,99,5
95,60,75,23
55,51,16,87
26,86,18,32
94,48,88,83
71,22,93,73
51,70,31,92
20,97,70,19
84,95,38,76
90,45,99,52
99,26,22,57
64,22,97,69
46,15,24,7
42,16,80,62
56,15,93,98
72,82,51,6
95,79,40,7
12,56,26,86
27,88,58,50
69,67,10,13
82,33,53,13
90,13,40,64
30,100,17,23
79,67,61,98
57,93,90,28
26,14,51,18
70,38,89,72
19,33,92,6
46,60,71,66
97,5,75,74
40,37,5,30
12,45,59,15
26,30,95,20
9,2,83,87
42,34,72,28
16,10,70,9
31,52,88,71
90,79,17,3
19,28,50,80
51,91,58,98
20,59,57,26
