Method,Density,Moran,Voronoi
K-Means (11_lexico),0.3408322922909859,-0.27180002874121,0.5961413255509129
K-Means (11_random),-0.4613199762151609,-0.1862471828949047,0.4217752498374015
K-Means (11_projection),0.621535078663645,-0.2620372236774193,0.7425482600593771
K-Means (11_distance_0),0.414334397121616,-0.2985011046591947,0.6267757250400213
K-Means (11_angel_0),0.4940428905954327,-0.4399413450640606,0.6090278853364585
Local Pivotal,-0.2351970043821322,-0.0557392672799945,0.6234660903992062
Wave,0.2181514640937192,-0.4136695642249623,0.5138437588336116
K-Means (22_lexico),0.3746974622819102,-0.3577327612166934,0.5199642906328885
K-Means (22_random),0.1289729304393116,-0.1613743060919756,0.3905928559669585
K-Means (22_projection),0.0364552862781119,-0.5001716401492329,0.5098902691931
K-Means (22_distance_0),-0.270936642288558,-0.3311330892662605,0.357561705101161
K-Means (22_angel_0),-0.1380567851475656,-0.5291067161269918,0.2232428270587987
Local Pivotal,0.2662138773700738,-0.3450435125853213,0.637633850926047
Wave,-0.3763352805867732,-0.2364652326708193,0.339944783718405
K-Means (33_lexico),-0.01882350294783,-0.3411441196105076,0.294141647316058
K-Means (33_random),-0.3120755943277897,-0.2795084971874733,0.4322897594801801
K-Means (33_projection),-0.1418320217742301,-0.4651270704016855,0.4931485006890153
K-Means (33_distance_0),0.1357744343825488,-0.3854955397219417,0.6106418993309128
K-Means (33_angel_0),-0.1049914837782182,-0.4124132642712707,0.5575911888069126
Local Pivotal,0.3614059861594232,-0.3889807697994916,0.5560656023928753
Wave,0.0777564803747535,-0.4777510892149802,0.3215939674812048
K-Means (11_lexico),0.4169768277594237,-0.383447289396354,0.5167691075013242
K-Means (11_random),-0.1040996236261818,-0.3134798446491976,0.2412175840447137
K-Means (11_projection),0.428876814179951,-0.3363821262212707,0.6265916883738741
K-Means (11_distance_0),-0.1109210520689229,-0.3202896214887064,0.4988619180157602
K-Means (11_angel_0),0.1849133640919602,-0.2561904487576382,0.5481958080379993
Local Pivotal,0.3295517391980716,-0.2274294130736687,0.5379797938531158
Wave,0.4774674970178371,-0.5320273009416217,0.4887402748393422
K-Means (22_lexico),0.148570386319855,-0.2621966711739678,0.5623802418155285
K-Means (22_random),-0.0796953332598301,-0.4882356669999522,0.4653249783856065
