Method,Density,Moran,Voronoi
K-Means (11_lexico),-0.2226369508247282,-0.121254770285692,0.3667799298224503
K-Means (11_random),0.1662599220832987,-0.1887108544995272,0.4610599219968501
K-Means (11_projection),-0.0821360663611665,-0.156959521338239,0.4844648078572849
K-Means (11_distance_0),0.6564872205504084,-0.2733948305584328,0.6646343577943045
K-Means (11_angel_0),0.1149802714318443,-0.1987915662877217,0.4234857928408205
Local Pivotal,0.2238654374927012,-0.1247927561462957,1.468291997141183
Wave,0.4429392719903263,-0.2024745629534645,0.5742253311888821
K-Means (22_lexico),-0.2179399012721088,-0.0248400920724782,0.4915306166995299
K-Means (22_random),0.1542422179353807,-0.1477421460459507,0.556051935532127
K-Means (22_projection),0.7063513223510608,-0.2091355911194187,1.9947443310730208
K-Means (22_distance_0),-0.059500838542022,-0.1186820621605531,1.554663076562632
K-Means (22_angel_0),0.6554637040467235,-0.2611522123411629,1.5907212812758982
Local Pivotal,0.5051980280355199,-0.0394386987049935,0.4305213553634888
Wave,0.3868054813559068,-0.2087903878435764,0.3787637979934441
K-Means (33_lexico),0.3161681790329788,-0.2815634930955955,0.5680650952737994
K-Means (33_random),0.6220697911663605,-0.2587931243641972,0.638910588213155
K-Means (33_projection),-0.0837028449791733,-0.2569500833627404,0.5253502185510146
K-Means (33_distance_0),0.2340117468272428,-0.2635677116324755,0.5669760711917462
K-Means (33_angel_0),0.734373789321229,-0.0355469468790493,0.785039579227562
Local Pivotal,0.1806962926579587,-0.1667096360966244,0.9119709418787298
Wave,-0.0714018340969073,-0.107380733702209,1.8829514724608072
K-Means (11_lexico),0.1542422179353807,-0.1477421460459507,0.556051935532127
K-Means (11_random),0.6630606389287086,-0.1660855951104414,1.9366669479988168
K-Means (11_projection),-0.1741935025655014,-0.2708815223557623,0.4937358210275389
K-Means (11_distance_0),0.5346475625707786,-0.1961920204849342,0.5826407316071569
K-Means (11_angel_0),0.2570291470693221,-0.1100333590499731,1.163918032741463
Local Pivotal,0.1516899570235125,-0.2210551713564593,0.3229778753228011
Wave,0.3713358789468531,-0.2254719136359657,0.6922817167197366
K-Means (22_lexico),-0.1858670793857365,-0.1463605359023109,0.5573310616712026
K-Means (22_random),0.6019196761044245,-0.2568041381373956,0.6871172539049278
K-Means (22_projection),0.1200185915793453,-0.1492061053021521,0.5666453136532186
K-Means (22_distance_0),-0.1143773358333111,-0.1812738968874183,0.4566662642340896
K-Means (22_angel_0),0.5631193417672669,-0.1228679356402441,0.7722505211850621
Local Pivotal,0.104987813676275,-0.2058763884956046,1.0787496843120117
Wave,0.2418812073921757,-0.1856470194790616,0.3925175879543705
K-Means (33_lexico),0.0609737877860493,-0.1085088751139638,0.6966414945478342
K-Means (33_random),-0.0448260344743005,-0.2814779051672374,0.6007803517109053
K-Means (33_projection),-0.0448260344743005,-0.2814779051672374,0.6007803517109053
K-Means (33_distance_0),0.6220697911663605,-0.2587931243641972,0.638910588213155
K-Means (33_angel_0),0.1523775378047454,-0.1318608647990627,0.5704706241433252
Local Pivotal,0.0773541591921016,-0.0163414110496588,0.7105200036171558
Wave,0.4411364172080733,-0.1918021299353218,0.9609047747422484
K-Means (11_lexico),-0.2892374143715223,-0.2170061255352735,0.5680235968745235
K-Means (11_random),-0.1176259952947116,-0.2120222102776638,0.5049553050240465
K-Means (11_projection),0.6829878564656849,-0.2631309125310759,0.672207330312216
K-Means (11_distance_0),0.6564872205504084,-0.2733948305584328,0.6646343577943045
K-Means (11_angel_0),0.3347864206747787,-0.1558176011742217,0.5447474704226634
Local Pivotal,0.2010332419211891,-0.1279426809258212,0.594732432827094
Wave,0.322849334622112,-0.2450862940977106,0.5411059668801855
K-Means (22_lexico),0.1820856462479002,-0.1567242465850482,0.5619663889918407
K-Means (22_random),-0.170667685443602,-0.0207293193802287,0.633919564880491
K-Means (22_projection),0.5611385659868872,-0.2098505574882395,0.5565638384648065
K-Means (22_distance_0),-0.1624291578688068,-0.1712451726963065,2.278892344936624
K-Means (22_angel_0),0.2344444862148643,-0.2863456506046495,0.5451949205456414
Local Pivotal,0.3716552739335848,-0.213070131305181,0.6783306560765863
Wave,0.2808785327221147,-0.1951427607090836,0.6781441941544968
K-Means (33_lexico),0.4822558263011927,-0.1434596884064155,2.97970485250604
K-Means (33_random),0.4972217390064156,-0.0817781492675971,0.5286027407777256
K-Means (33_projection),0.5167654844676125,-0.1758641790149366,2.165233657853902
K-Means (33_distance_0),0.0111097356705299,-0.1635888454008882,5.496452708384448
K-Means (33_angel_0),0.2540121742782496,-0.2264654498997061,0.592087848099835
Local Pivotal,-0.1579866735357174,-0.0536758437891593,0.5688676517670432
Wave,-0.3491869143060583,-0.025984187458526,0.5741815128148581
K-Means (11_lexico),0.6220697911663605,-0.2587931243641972,0.638910588213155
K-Means (11_random),0.1593450022790875,-0.1648167907913508,0.6668599663392196
K-Means (11_projection),0.5346475625707786,-0.1961920204849342,0.5826407316071569
K-Means (11_distance_0),0.507696187088509,-0.1985593824581216,0.4953022206026586
K-Means (11_angel_0),0.1149802714318443,-0.1987915662877217,0.4234857928408205
Local Pivotal,0.4434437963109901,-0.210652385562324,10.39926920289281
Wave,0.1975588661853162,-0.171760144089434,1.0465657322287123
K-Means (22_lexico),-0.08921958587458,-0.1797392028988691,0.4416944423084826
K-Means (22_random),0.6015712388418974,-0.1759024097914318,1.5755416675019105
K-Means (22_projection),0.2344444862148643,-0.2863456506046495,0.5451949205456414
K-Means (22_distance_0),0.2344444862148643,-0.2863456506046495,0.5451949205456414
K-Means (22_angel_0),0.3497325768913638,-0.2463012151694615,2.8742194762236988
Local Pivotal,0.177696351298403,-0.1709527863226726,0.5510788830383718
Wave,-0.1197635090773412,-0.128303213411935,0.9620397884757484
K-Means (33_lexico),0.1276483556455707,-0.0145644950846477,0.6628526377449541
K-Means (33_random),-0.0448260344743005,-0.2814779051672374,0.6007803517109053
K-Means (33_projection),-0.0448260344743005,-0.2814779051672374,0.6007803517109053
K-Means (33_distance_0),-0.3333670743241829,0.0333075666509756,0.5263276631505358
K-Means (33_angel_0),0.709481863898256,-0.1343480823190692,0.8722017868336129
Local Pivotal,0.3261703606977922,-0.1105239137508381,9.024768230948434
Wave,0.7567422675543591,-0.2276768579690301,0.7950462132137731
K-Means (11_lexico),0.6461498955388444,-0.2870760554126571,0.611496775133099
K-Means (11_random),0.5983646224552273,-0.1978639897706036,0.3396051036992619
K-Means (11_projection),0.5346475625707786,-0.1961920204849342,0.5826407316071569
K-Means (11_distance_0),-0.1418130065243898,-0.2181033865831205,0.5853949292995082
K-Means (11_angel_0),-0.0538395965966918,-0.2833194666339267,0.5201345572883944
Local Pivotal,0.0938889212057848,-0.1342744996408894,0.4366193820734207
Wave,0.0798728460639062,-0.2214589403612082,0.5746427239026025
K-Means (22_lexico),0.7539953954275276,-0.0162418781925443,0.7380899875737986
K-Means (22_random),0.1200185915793453,-0.1492061053021521,0.5666453136532185
K-Means (22_projection),-0.0456577147523684,-0.3526789589817115,0.5723912488105275
K-Means (22_distance_0),-0.103519843057681,-0.2004785674303527,0.4861080708485956
K-Means (22_angel_0),-0.1420386208873089,-0.2275709624427542,0.5736690920969284
Local Pivotal,0.1913157108066784,-0.2578090385265513,0.4370438047674836
Wave,0.6403269507741939,-0.2436844759114477,0.771659703842964
K-Means (33_lexico),0.7606584609729552,-0.008336521744183,0.7583379766446408
K-Means (33_random),0.5961776202004061,-0.1719587520295706,0.4961220648600477
K-Means (33_projection),-0.3333670743241829,0.0333075666509756,0.5263276631505358
K-Means (33_distance_0),0.3161681790329788,-0.2815634930955955,0.5680650952737994
K-Means (33_angel_0),0.1657932642944249,-0.1513228430718494,0.5959669088731339
Local Pivotal,0.2373912247240279,-0.1247505969998392,4.163659796764345
Wave,-0.1475354179631313,-0.2101692183293488,0.4838044719506778
K-Means (11_lexico),0.5789785888580378,-0.1932310750337517,1.0434880046401158
K-Means (11_random),0.1114820686176129,-0.363579391430426,0.5267179057809507
K-Means (11_projection),-0.1741935025655014,-0.2708815223557623,0.493735821027539
K-Means (11_distance_0),0.0912966440999467,-0.2038041175784359,1.3602806171110913
K-Means (11_angel_0),0.3916226876482682,-0.1665851906730428,0.945843803404512
Local Pivotal,0.8133152406876336,-0.1531569587106797,0.7293018130596391
Wave,-0.1541965067494677,-0.2080433305231312,0.5742539208482964
K-Means (22_lexico),-0.0965297020734838,-0.2087025166491656,0.4655095937196895
K-Means (22_random),-0.185280049654217,-0.0164078483795312,1.691120419320029
K-Means (22_projection),0.5517638706089965,-0.0619002434716093,0.4658356497508051
K-Means (22_distance_0),-0.350916663912261,0.0017314194588731,0.7342617138449047
K-Means (22_angel_0),-0.1399389500587652,-0.1707357667973497,0.7719324877653169
Local Pivotal,0.5706035503604738,-0.1570092671698329,2.802764089264095
Wave,0.2974880248823957,-0.2775956485706773,0.5677672822752273
K-Means (33_lexico),0.1820856462479002,-0.1567242465850482,0.5619663889918407
K-Means (33_random),-0.1085270394792646,-0.2725959359242752,0.5254411067088148
K-Means (33_projection),0.2763374283715319,-0.1715851902591916,2.879279904470699
K-Means (33_distance_0),0.1523775378047454,-0.1318608647990627,0.5704706241433252
K-Means (33_angel_0),-0.3333670743241829,0.0333075666509756,0.5263276631505358
Local Pivotal,0.1090495244172659,-0.2759629002106815,0.5463250597366581
Wave,-0.0658615118002601,-0.2481200350368504,0.5110400630401571
K-Means (22_lexico),0.6435542242612158,-0.1755881098235436,1.1345078395340356
K-Means (22_random),0.3200489265473242,-0.258444381496561,2.53587770774039
K-Means (22_projection),0.0935331687432304,-0.0537725533480557,0.5550180304821511
K-Means (22_distance_0),0.0780824730977369,-0.2554726624760758,3.536565941814144
K-Means (22_angel_0),-0.0832224838077552,-0.1723995374111661,0.7968396066011697
Local Pivotal,-0.2391875382003319,-0.2763750871709252,0.7878609361128505
Wave,-0.0698675029037563,-0.1746585308539505,0.509747582717384
K-Means (11_lexico),-0.060151067833993,-0.1844451396761681,2.305368233303028
K-Means (11_random),0.7639697841917333,-0.2042443839684548,0.8586652951433988
K-Means (11_projection),0.1344729382141588,-0.2796005875435329,10.207058761878343
K-Means (11_distance_0),-0.1741935025655014,-0.2708815223557623,0.493735821027539
K-Means (11_angel_0),0.062895292965498,-0.272379758995645,0.5580031566081907
Local Pivotal,0.2832243735421867,-0.0576982767148067,0.5090692652954584
Wave,-0.1951411546759592,-0.0314210324634475,0.6439160577829075
K-Means (33_lexico),0.4972217390064156,-0.0817781492675971,0.5286027407777256
K-Means (33_random),0.1539133545366948,-0.194522972022629,0.4663446746044176
K-Means (33_projection),-0.0837028449791733,-0.2569500833627404,0.5253502185510146
K-Means (33_distance_0),0.4968337147853133,-0.2040897974795617,10.399397431294227
K-Means (33_angel_0),0.0723816068468345,-0.1682987237213796,2.293359873049424
Local Pivotal,-0.1408030387819689,-0.1734233396658395,0.3430458277563563
Wave,0.3678826496255409,-0.2770856682149892,0.7128610549915255
K-Means (22_lexico),-0.0408578142946572,-0.2647113624861105,0.5584969718363244
K-Means (22_random),0.6205746490568681,-0.1677849815626578,0.7770329374072381
K-Means (22_projection),0.2344444862148643,-0.2863456506046495,0.5451949205456414
K-Means (22_distance_0),0.7804444800267327,-0.1624879919002153,0.8076541147459452
K-Means (22_angel_0),0.5444155939465931,-0.053173115893757,0.5173266166100954
Local Pivotal,0.1789495373638466,-0.2158449123184897,0.2726461914744939
Wave,0.3762229841756153,-0.1660859322508998,0.2964630201344836
K-Means (11_lexico),-0.2892374143715223,-0.2170061255352735,0.5680235968745235
K-Means (11_random),-0.1075101751726868,-0.1878260024033491,0.4854827183700939
K-Means (11_projection),0.0506542454738195,-0.2837274858064907,0.5236239525048868
K-Means (11_distance_0),0.690548054691589,-0.1702010022844194,1.671754932403053
K-Means (11_angel_0),0.5346475625707786,-0.1961920204849342,0.5826407316071569
Local Pivotal,0.5982529619284651,-0.2211666772395336,0.8281481886815106
Wave,-0.0509927724248291,-0.2342324073307797,0.9364551642134832
K-Means (33_lexico),0.4972217390064156,-0.0817781492675971,0.5286027407777256
K-Means (33_random),-0.0587048170527088,-0.194696570082713,0.5415046358266047
K-Means (33_projection),0.0935331687432304,-0.0537725533480557,0.5550180304821513
K-Means (33_distance_0),0.6220697911663605,-0.2587931243641972,0.638910588213155
K-Means (33_angel_0),0.5403189054438382,-0.2466392278609927,1.976013843203299
Local Pivotal,0.6564872205504084,-0.2733948305584328,0.6646343577943045
Wave,0.6303237493244847,-0.2922291178668463,0.6082993573536488
K-Means (11_lexico),-0.124514423554245,-0.3326744563231807,0.5388036618860415
