Method,Density,Voronoi,Moran,Local Balance,score_0_0,IB_value,SBLB_value,method
"K-Means (1, 1)",0.067149695631597,0.1118031866960376,-0.0741036605138102,0.358764312814447,,,,
"K-Means (1, 1)",-0.4137489431339733,0.0628073188635361,-0.0971206754948561,0.5700086132209632,,,,
"K-Means (1, 1)",-0.3022846251147942,0.1181819592085275,-0.1969043081908305,0.561215422400918,,,,
"K-Means (1, 1)",-0.4397732598459191,0.0689866404688718,-0.1188284606111426,0.5795311428910054,,,,
"K-Means (1, 1)",-0.3634535628452221,0.0891336712878735,-0.146348424474407,0.4513943083666533,,,,
"K-Means (1, 1)",-0.3192067746180212,0.117149325537971,-0.1125105321765679,0.5942493143360956,,,,
"K-Means (1, 1)",-0.3145740652710277,0.1206585900137408,-0.1131299182560872,0.6147779140235345,,,,
"K-Means (1, 1)",-0.0173584280513949,0.0712326798852331,-0.1422609480911569,0.3415198252940311,,,,
"K-Means (1, 1)",-0.3398241260590769,0.0788699564495137,-0.1566252812141722,0.4499554056088761,,,,
"K-Means (1, 1)",-0.317783105397528,0.1122609420556386,-0.1623952166237937,0.3831045431650809,,,,
"K-Means (1, 1)",-0.4606182323560212,0.0983032650253729,-0.0839663470691889,0.4366233410573016,,,,
"K-Means (1, 1)",0.032923457352422,0.1289562015237789,-0.2331126660237973,0.2943924202357174,,,,
"K-Means (1, 1)",-0.3994697707598097,0.1856042363320744,-0.1068691686070859,0.6172466392364386,,,,
"K-Means (1, 1)",0.0978007663433627,0.1130328702347586,-0.1778650013991339,0.3504745071200716,,,,
"K-Means (1, 1)",-0.4038582492395319,0.0864631411392976,-0.1283938770015749,0.4444670991389672,,,,
"K-Means (1, 1)",0.0680409464627161,0.1210587033310666,-0.2166394177208978,0.310233330439786,,,,
"K-Means (1, 1)",-0.4800632670639,0.0886865119965154,-0.0875610575700286,0.5051706899361831,,,,
"K-Means (1, 1)",-0.502961797281392,0.1032452246210566,-0.0437074231936988,0.5265975257540224,,,,
"K-Means (1, 1)",-0.1023006430338317,0.0226368291310456,-0.1510755736575717,0.4718093151964531,,,,
"K-Means (1, 1)",-0.4914577807397866,0.1874676330395801,-0.0436288000645715,0.598054923242371,,,,
"K-Means (1, 1)",-0.3604495435983481,0.0717019451703807,-0.1127138046327045,0.526355967554865,,,,
