population,ptype,n,method,D_mu,D_me,D_sd,D_mn,D_mx,I_mu,I_me,I_sd,I_mn,I_mx,L_mu,L_me,L_sd,L_mn,L_mx
clust,EQ,4,,-0.34,-0.40,0.31,-0.93,0.46,-0.09,-0.08,0.14,-0.89,0.34,0.53,0.51,0.15,0.16,1.26
clust,EQ,4,,-0.11,-0.13,0.23,-0.73,0.43,-0.30,-0.28,0.14,-1.00,0.11,0.38,0.37,0.07,0.15,0.65
clust,EQ,4,,-0.11,-0.13,0.25,-0.78,0.43,-0.28,-0.26,0.14,-0.89,0.07,0.38,0.38,0.08,0.15,0.70
clust,EQ,4,,-0.33,-0.40,0.31,-0.93,0.45,-0.09,-0.08,0.15,-0.82,0.34,0.53,0.51,0.15,0.17,1.19
clust,EQ,4,,-0.09,-0.06,0.24,-0.77,0.41,-0.45,-0.41,0.20,-1.00,-0.02,0.36,0.36,0.07,0.15,0.68
clust,EQ,8,,-0.20,-0.25,0.29,-0.93,0.47,-0.06,-0.05,0.13,-0.54,0.45,0.39,0.38,0.11,0.13,0.78
clust,EQ,8,,-0.04,-0.08,0.17,-0.61,0.37,-0.33,-0.33,0.10,-0.65,-0.04,0.25,0.25,0.05,0.13,0.44
clust,EQ,8,,-0.04,-0.08,0.17,-0.55,0.38,-0.31,-0.31,0.10,-0.65,0.05,0.25,0.25,0.05,0.13,0.47
clust,EQ,8,,-0.20,-0.25,0.28,-0.94,0.51,-0.05,-0.05,0.13,-0.54,0.44,0.39,0.38,0.11,0.14,0.78
clust,EQ,8,,-0.06,-0.09,0.14,-0.50,0.36,-0.50,-0.50,0.10,-0.85,-0.14,0.25,0.24,0.05,0.13,0.46
clust,EQ,16,,-0.09,-0.14,0.23,-0.72,0.49,-0.04,-0.04,0.13,-0.41,0.42,0.29,0.29,0.06,0.13,0.60
clust,EQ,16,,-0.01,-0.04,0.12,-0.34,0.28,-0.39,-0.39,0.09,-0.65,-0.11,0.19,0.19,0.03,0.09,0.33
clust,EQ,16,,-0.01,-0.03,0.12,-0.40,0.28,-0.37,-0.37,0.09,-0.60,-0.05,0.19,0.19,0.03,0.09,0.31
clust,EQ,16,,-0.10,-0.14,0.23,-0.77,0.43,-0.03,-0.04,0.13,-0.45,0.42,0.29,0.28,0.06,0.13,0.59
clust,EQ,16,,-0.01,-0.05,0.12,-0.34,0.27,-0.61,-0.61,0.06,-0.80,-0.34,0.19,0.19,0.03,0.08,0.30
clust,UQ,8,,-0.28,-0.29,0.33,-0.93,0.48,0.02,0.02,0.15,-0.46,0.66,0.60,0.48,0.74,0.15,10.26
clust,UQ,8,,-0.09,-0.11,0.19,-0.70,0.30,-0.20,-0.19,0.09,-0.46,0.07,0.45,0.37,0.53,0.11,10.14
clust,UQ,8,,-0.08,-0.10,0.20,-0.74,0.36,-0.18,-0.18,0.10,-0.48,0.17,0.49,0.37,0.72,0.12,10.16
clust,UQ,8,,-0.24,-0.29,0.29,-0.90,0.49,-0.05,-0.05,0.12,-0.38,0.45,2.59,1.39,3.05,0.16,12.68
clust,UQ,8,,-0.07,-0.10,0.18,-0.82,0.33,-0.30,-0.31,0.08,-0.55,0.01,0.48,0.36,0.67,0.10,10.05
clust,UQ,16,,-0.21,-0.22,0.27,-0.93,0.42,0.09,0.09,0.14,-0.43,0.61,0.45,0.37,0.41,0.14,5.20
clust,UQ,16,,-0.10,-0.12,0.15,-0.61,0.28,-0.20,-0.20,0.08,-0.42,0.09,0.36,0.26,0.48,0.10,5.03
clust,UQ,16,,-0.11,-0.12,0.14,-0.59,0.30,-0.18,-0.18,0.09,-0.44,0.25,0.34,0.26,0.41,0.10,5.10
clust,UQ,16,,-0.16,-0.22,0.25,-0.81,0.40,-0.03,-0.03,0.12,-0.39,0.35,2.18,1.48,1.82,0.16,6.72
clust,UQ,16,,-0.10,-0.11,0.15,-0.62,0.29,-0.35,-0.35,0.06,-0.51,-0.13,0.34,0.25,0.44,0.09,4.98
clust,,4,KMS,-0.08,0.09,0.08,-0.59,0.17,-0.38,-0.34,0.03,-0.75,-0.11,0.39,0.37,0.01,0.17,0.58
clust,,4,KMS,-0.25,0.08,0.17,-0.88,0.27,-0.27,-0.30,0.01,-0.50,0.03,0.67,0.59,0.93,0.24,20.14
clust,,8,KMS,0.02,0.06,0.01,-0.12,0.15,-0.34,-0.34,0.01,-0.67,-0.12,0.25,0.24,0.00,0.17,0.35
clust,,8,KMS,-0.10,-0.08,0.01,-0.31,0.23,-0.23,-0.23,0.01,-0.42,0.03,0.50,0.39,0.41,0.20,9.83
clust,,16,KMS,0.02,0.07,0.01,-0.13,0.13,-0.42,-0.40,0.01,-0.65,-0.24,0.21,0.19,0.00,0.13,0.29
clust,,16,KMS,-0.06,-0.05,0.02,-0.31,0.23,-0.18,-0.17,0.01,-0.35,0.06,0.34,0.25,0.18,0.11,4.89
grid,EQ,4,,-0.30,-0.34,0.33,-0.97,0.62,-0.08,-0.08,0.13,-0.52,0.32,0.49,0.48,0.15,0.12,1.03
