"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
5,13,25,31,33,40,43,45,50,52,59,69,71,75,87,89
6,9,12,13,16,17,30,31,44,46,55,59,66,67,76,91
1,14,21,26,27,28,39,41,53,57,70,74,84,86,93,98
9,17,27,32,39,40,54,57,61,71,76,87,89,91,97,99
4,9,14,16,17,43,46,51,54,65,68,70,74,81,83,99
11,12,26,34,36,42,47,51,63,75,76,77,84,86,93,95
5,8,9,21,22,33,36,43,45,51,52,54,64,69,71,81
7,9,12,26,27,35,36,39,53,54,71,75,77,87,89,93
13,17,37,39,47,53,55,60,66,70,78,79,83,88,99,100
11,17,24,41,47,51,54,55,64,67,70,71,72,78,79,85
12,17,26,36,44,51,59,60,63,66,69,73,79,82,83,87
15,16,17,25,26,30,32,41,45,57,64,65,68,70,84,85
1,7,14,16,46,49,57,70,71,74,82,84,86,91,93,96
6,8,13,16,19,24,25,29,40,57,59,64,67,82,86,91
5,6,20,26,32,36,51,52,55,65,68,73,77,78,94,99
6,9,15,26,36,47,52,55,59,64,74,75,78,83,88,94
9,10,13,15,21,31,32,35,40,43,50,55,58,65,68,89
1,17,18,34,44,46,61,63,64,70,72,85,90,96,99,100
2,5,11,13,14,31,33,37,42,45,69,70,75,93,98,99
2,6,7,19,20,24,38,49,65,70,75,78,80,86,93,100
18,20,37,43,44,46,47,48,50,52,54,55,65,71,72,76
5,16,19,27,34,44,48,56,57,64,68,80,91,94,95,96
3,5,14,34,36,51,53,56,78,79,85,87,88,92,94,99
4,14,17,28,44,47,49,53,54,56,59,61,74,79,86,98
2,4,19,39,41,48,51,53,56,62,66,69,75,76,81,83
2,12,41,43,48,51,58,59,61,66,72,76,83,88,91,93
4,9,10,15,17,19,35,47,59,63,69,70,80,90,92,98
16,19,22,27,41,53,57,58,62,64,67,82,85,92,94,98
2,3,18,22,30,35,37,48,50,53,55,56,72,73,83,92
1,2,4,7,19,20,29,43,57,60,64,71,88,91,94,99
13,14,19,21,23,28,31,43,47,55,56,59,62,67,86,91
5,7,8,10,13,22,29,31,40,48,53,71,87,88,89,92
11,14,31,33,40,42,49,50,62,69,75,82,85,88,90,97
1,10,17,20,32,37,44,54,57,60,61,65,70,87,95,98
11,12,21,25,32,36,37,51,54,60,64,66,77,78,79,93
9,10,11,12,15,23,25,35,42,44,49,51,54,67,88,97
