"V1","V2","V3","V4"
20,43,56,80
84,89,91,97
14,23,33,68
9,55,72,94
23,48,57,92
11,13,70,71
53,57,64,99
20,44,45,86
23,39,49,71
4,40,49,67
1,7,12,13
17,55,60,72
33,61,66,70
5,17,36,65
14,39,54,60
46,72,98,99
4,17,89,96
19,40,89,97
7,28,33,46
27,44,69,99
9,27,34,70
26,76,87,94
6,57,60,87
16,52,86,92
8,26,28,32
44,62,66,78
20,38,51,91
24,40,61,88
9,27,56,61
3,22,67,80
5,11,18,58
14,41,53,94
58,74,87,91
9,12,45,47
1,27,28,47
20,43,51,70
4,8,42,96
5,49,62,68
15,43,81,100
27,32,68,95
29,33,55,85
33,50,54,66
19,67,91,99
22,32,72,82
28,32,72,96
30,32,40,79
13,27,62,66
35,40,65,80
5,8,42,79
31,32,46,82
13,50,87,96
9,20,27,77
26,28,35,94
10,29,38,61
28,34,84,91
49,50,68,90
23,24,61,91
44,54,63,76
41,74,79,94
9,13,87,89
4,21,43,52
14,29,37,100
14,18,22,62
37,43,56,61
7,82,83,88
45,50,86,98
24,43,51,81
37,52,72,90
12,24,43,100
6,37,54,71
10,13,38,70
10,25,90,99
7,9,77,78
36,55,63,70
11,18,61,85
24,25,84,91
73,86,96,98
9,23,45,69
11,24,31,40
14,72,75,77
32,37,62,97
3,24,26,81
76,87,91,94
3,30,49,98
9,27,66,94
9,15,36,53
12,27,34,68
26,28,34,94
40,76,87,88
8,67,80,91
36,69,75,82
5,26,47,84
10,29,64,95
6,42,51,85
30,32,49,70
25,46,69,99
14,36,44,59
17,32,45,82
1,36,48,87
19,29,89,97
1,66,72,94
29,41,66,79
15,42,49,75
7,49,82,96
15,27,32,86
3,57,74,96
12,48,61,100
42,44,45,60
13,14,17,22
9,33,40,69
8,66,72,96
37,47,84,97
53,74,87,100
9,25,40,97
4,68,69,70
20,73,92,93
7,48,56,88
32,51,58,86
1,10,81,82
15,36,50,81
30,47,58,80
49,52,64,75
28,68,72,83
12,51,64,96
9,27,94,98
34,62,88,99
23,45,47,86
23,55,60,91
3,22,66,80
