"V1","V2","V3","V4","V5","V6","V7","V8"
15,34,37,44,49,77,79,97
9,27,29,31,35,53,69,99
4,5,7,11,15,51,70,90
17,28,34,43,46,49,76,90
6,7,26,39,52,57,66,86
8,19,30,40,53,81,87,95
8,14,30,43,69,72,84,99
40,41,58,65,69,73,74,91
5,21,67,80,81,88,93,99
20,40,41,42,45,60,65,70
4,8,9,16,22,32,35,97
3,10,18,19,20,21,37,39
6,12,16,28,49,54,64,79
4,12,35,37,43,51,69,79
8,24,27,32,37,46,53,80
1,12,23,24,32,45,84,96
4,24,29,59,69,78,91,99
16,24,37,69,80,88,91,93
3,9,16,22,35,72,84,97
7,23,33,68,70,73,74,80
5,7,8,23,65,73,82,86
8,25,40,47,48,57,89,91
34,47,52,72,75,84,85,92
29,55,66,82,86,87,91,100
1,3,6,25,47,52,80,85
9,31,49,61,62,66,77,79
6,21,27,35,50,62,68,83
8,13,33,38,42,89,92,95
9,14,16,17,18,19,38,53
10,18,38,59,61,66,70,82
8,16,20,26,35,40,43,57
5,10,18,19,34,44,71,96
9,12,21,46,83,84,92,95
7,9,12,31,33,39,90,94
12,13,20,21,22,50,81,85
10,20,31,42,58,74,75,96
19,32,33,58,68,72,80,85
2,5,23,45,54,70,83,92
3,22,31,41,50,67,85,97
4,32,49,76,81,91,93,99
21,27,30,52,79,83,84,95
2,27,30,42,65,70,84,95
1,6,9,21,23,72,83,84
1,2,6,10,31,83,85,93
3,21,27,48,51,61,71,96
8,9,44,55,63,71,75,100
21,24,26,37,57,77,83,96
4,8,22,30,32,35,44,97
5,12,23,34,87,91,96,100
26,38,50,52,57,66,69,96
30,33,52,55,89,90,95,100
5,28,32,41,44,53,55,73
1,17,25,33,66,73,86,92
8,31,46,66,67,81,86,92
10,14,19,34,77,86,90,96
4,42,66,70,86,89,91,94
24,27,32,33,37,58,84,92
14,29,36,39,48,61,78,79
2,8,25,36,53,60,66,75
16,28,38,44,50,91,92,100
2,5,25,46,53,72,89,94
26,28,29,81,83,90,96,100
1,19,30,34,36,50,63,95
1,3,23,36,41,55,63,74
13,22,30,83,88,93,95,97
14,58,61,79,86,92,97,100
10,14,25,31,47,48,58,92
6,8,9,34,36,40,71,79
1,6,17,18,27,38,61,99
26,31,32,40,53,68,74,94
41,48,50,62,65,67,73,81
2,3,4,6,48,79,83,84
2,22,25,50,51,62,78,85
14,21,25,30,52,91,95,100
29,31,61,66,75,78,86,96
3,4,30,66,67,78,79,92
18,27,38,52,65,73,90,99
6,13,20,42,62,68,73,85
19,38,48,49,58,61,71,96
31,44,47,59,60,77,78,83
11,41,47,48,55,70,73,89
12,15,22,23,38,47,89,100
14,29,32,75,78,85,96,100
29,37,38,42,71,79,84,92
16,17,28,51,53,72,75,76
11,17,48,61,64,71,72,80
3,34,53,61,68,71,86,100
12,23,65,81,85,89,90,100
5,25,39,48,50,62,78,90
6,9,10,17,25,31,35,87
2,6,25,36,48,62,77,79
3,16,38,43,49,54,75,89
8,11,34,42,48,80,88,90
11,12,46,57,61,71,85,94
7,12,46,60,71,72,94,96
29,41,43,47,54,76,98,99
