"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
7,9,10,15,38,42,47,56,64,66,67,68,74,81,92,93
1,7,25,38,42,47,52,67,71,74,77,82,85,89,91,98
7,17,29,35,42,44,47,48,59,67,86,89,95,97,98,100
2,16,20,24,30,45,55,69,70,75,76,85,93,97,98,99
9,10,12,21,23,32,35,38,58,61,62,68,71,81,83,92
2,5,6,9,20,21,26,42,44,55,68,69,70,93,95,98
7,9,42,47,52,57,63,66,67,75,76,77,81,85,89,92
7,11,29,30,38,42,47,50,66,67,68,72,74,81,89,99
7,12,13,25,37,38,42,47,59,64,66,67,85,93,97,99
21,22,25,28,34,36,38,42,64,69,70,71,74,77,94,97
5,7,14,16,30,48,58,62,63,68,69,81,84,89,90,95
14,15,21,23,26,38,48,58,59,61,67,70,74,81,89,98
2,5,9,14,25,44,61,65,67,70,73,89,90,93,95,98
2,19,21,22,28,35,38,52,61,67,70,71,77,81,83,92
7,9,23,26,39,42,44,47,58,66,67,74,76,81,89,98
7,21,25,35,42,43,47,52,56,60,67,71,79,82,89,94
4,7,17,20,22,28,35,42,44,47,60,64,70,71,81,97
2,3,7,9,25,35,37,42,43,56,67,78,79,83,94,95
5,24,28,44,55,58,64,66,69,83,84,86,87,90,91,92
5,7,12,16,17,21,25,34,36,44,64,71,85,86,91,99
9,13,21,33,38,39,55,56,62,66,67,69,74,75,83,94
2,16,29,35,38,39,40,48,50,55,69,79,86,89,95,98
16,28,33,38,55,64,66,68,69,70,74,83,87,90,92,93
32,45,47,58,61,62,66,68,70,81,83,85,86,87,96,99
9,12,14,15,19,21,33,34,38,39,61,62,74,77,81,93
12,15,17,26,38,42,47,55,59,62,64,66,69,74,83,86
7,20,32,34,36,38,52,61,66,74,77,86,87,90,91,99
5,7,25,26,28,29,30,42,47,66,67,89,94,95,96,98
2,10,14,15,21,25,29,40,50,59,60,61,67,74,82,98
7,16,24,38,39,40,48,58,67,72,79,81,87,90,98,99
7,9,20,25,29,40,42,47,54,65,66,74,76,87,94,99
3,7,8,25,34,35,39,42,46,47,56,60,64,67,82,95
5,20,25,28,30,42,47,52,66,68,69,77,84,91,95,98
